8/6k1/4r1p1/1R1p4/8/2P4K/PP3r2/6R1 w - -,b5d5
r5k1/2p1Rrbp/1p1p2pB/3P1b2/2P5/6N1/q2Q2PP/3R2K1 w - -,e7f7:e7e8
r2qkbnr/1p1bpppp/p2p4/8/3pP3/4BN2/PPP2PPP/RN1QK2R w KQkq -,f3d4
6k1/p4ppp/4p3/8/P7/3K4/2rB1PPP/8 b - -,c2c6
7k/4r2p/1B4p1/p7/P4n2/5B1P/1P3PP1/5K2 w - -,g2g3
1rq2b2/p1nbrpkp/1p2nN1p/8/8/4BPP1/PQ4BP/2RR2K1 w - -,d1d7
1q2b3/n4pk1/4p1p1/2QpP2p/P2P3P/1P1B2P1/3N1P2/4K3 w - -,e1d1
1rb1r1k1/2q2p1p/p2p1bp1/npnPp3/1Pp1P3/2P1BNNP/P1B2PP1/R2QR1K1 b - b3,c4b3
r5k1/1p2r1p1/2bNp3/1p2Pp1p/3P1P1P/2R3P1/1K6/2R5 w - -,c3a3
1k1r4/pp3ppp/5n2/3pP3/8/1NP2P2/PP5q/R1B1RK2 b - -,f6h5
6rb/8/4k2P/4PP2/4K3/3R4/1P6/8 b - -,e6e7
r1bq1rk1/2pnbppp/pp1p1n2/4p3/P1BPP3/2N2N1P/1PP2PP1/R1BQR1K1 b - -,c8b7
5rk1/pQ3pq1/4p1p1/3p4/8/1P2R3/2r2PP1/4R1K1 b - -,g7d4
rnbqkb1r/pp3ppp/2p2n2/3P4/3Np3/2N3P1/PP1PPP1P/R1BQKB1R b KQkq -,d8b6:c6d5:f8c5
rn1q1rk1/pp2p1bp/2P2pp1/5b2/3P4/2N2N1P/PPP1QPP1/R1B1K2R b KQ -,b8c6
rn1qkb1r/pp4pp/2ppbn2/5p2/3PpB2/1NN3P1/PPP1PPBP/R2QK2R b KQkq -,h7h6
r2q1rk1/ppp2pbp/1n4p1/3P4/2Q1p3/1PN3P1/P3PPBP/3R1RK1 w - -,c4c5
8/2n2p1p/P1k3p1/4N3/8/5K2/5PPP/8 b - -,c6d5
r4rk1/1b3ppp/p7/P3q3/1p2P3/3B4/2P2RPP/1R2Q1K1 w - -,e1b4
3r1rk1/p2q2np/b3p1p1/2pp2N1/2P2P2/3B3P/PPQ3PK/4RR2 b - -,h7h6
r1b2rk1/ppq1bp1p/2nppnp1/6B1/3NP3/2N3P1/PPP2PBP/2RQ1RK1 w - -,d1d2
r1b2rk1/2pnbp1p/p1pq2p1/Np6/3NP3/4B3/PPP2PPP/R2Q1RK1 b - -,c6c5
8/7p/1nk3pP/p4pP1/P2K1P2/8/1N6/8 w - -,d4e5
2b2rk1/p3n1b1/r3p1pn/q2pPpNp/2pP1N1P/2P3PB/P1Q2P2/1RB1R1K1 w - -,a2a4
r2r2k1/4qpp1/4p2p/1pN1Q3/1Pb1P3/7P/5PP1/R2R2K1 w - -,a1a8
2rq2kr/R4p2/1p2p1p1/4P2p/Q2P4/8/5PPP/1R4K1 b - -,b6b5
4rr1k/1ppq2pp/p1np1b2/P2BpbN1/8/3PB2P/1PPQ1PP1/R3R1K1 w - -,g5e4
8/1p1b1k2/2r2p1p/3p2pP/3P2P1/BR3PK1/1P6/8 b - -,b7b6
rnbqr1k1/pp4bp/2pp1np1/3Ppp2/2P5/2N2NP1/PP2PPBP/1RBQ1RK1 w - e6,d5e6
1r2rb1k/p4p1p/n3bNp1/2p1p3/2B1P3/1P6/P2B1PPP/1RR3K1 b - -,e6c4
rn1qkbnr/1bpp2pp/p7/1p2pp2/2PPP3/4BP2/PP4PP/RN1QKBNR w KQkq f6,e4f5
r1b1r1k1/ppq2p1p/4pbpB/4P3/2p5/2P5/PPB1QPPP/R3R1K1 b - -,f6g7
r3k1nr/ppp2p1p/2nq4/5b2/3PP1p1/8/PPP3PP/RNBQKB1R b KQkq e3,f5e4
3r2k1/pp1rqpp1/5n1p/2bP4/4p1b1/PQN1P1P1/1P1N1PBP/2R2RK1 b - -,g4f5
rR4k1/7p/3p2pB/1Rpp1p2/5P2/p1b5/6PP/7K b - -,a8b8
2R5/p7/r1p2k2/4p1p1/8/6KP/8/6N1 w - -,c8f8
rnbqk2r/pp2bppp/2pp1n2/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3
r2q1rk1/pp3ppp/2n2n2/2bp4/3Pp3/P1N1B3/1P1NQPPP/R3K2R w KQ -,d4c5
5b2/p2R1pk1/6pp/1p6/n7/5N1P/PKP5/8 w - -,b2c1
3k4/1p6/8/2pp4/8/2pqNP2/P3R1KP/4R3 w - -,g2f2
r2qkb1r/pp1n1ppp/2p1p1b1/2Pp1n2/3P3N/1P3PP1/P3P1BP/RNBQ1RK1 w kq -,h4f5
r1b2rk1/1pq3pp/2ppp3/p1n5/2P2P2/1P2RNP1/P3P1BP/3Q1RK1 b - -,c8d7
8/6p1/6R1/1p3n1p/2k2B2/P4b2/1P3P1P/6K1 b - -,f3e4
r2r2k1/pp2bppp/1n2pn2/3q4/3N4/1P1NP2P/PB2QPP1/R4RK1 w - -,f1d1
r2q1rk1/pp2bpp1/2p1b2p/3pPP2/8/2NQP1BP/PP4P1/R4RK1 b - -,e6c8
rnbq1rk1/pp1n1ppp/4p3/3pP3/1b1P4/2N3P1/PP2NPBP/R1BQK2R b KQ -,b8c6
8/7p/p6k/P1N1p2P/1p4PK/1Pp2P2/2P1b3/8 w - -,c5e6
r2q1rk1/pp1nbppp/2p1pn2/8/3P4/1B3N2/PPP2PPP/R1BQR1K1 b - -,f8e8
5rk1/1p4qp/p1bb4/3pp3/1P1n2P1/P1NQ2P1/R4PK1/3BR3 b - -,e5e4
r7/5k2/1p1P1b2/2n3R1/pBP5/6p1/PPB3K1/4R3 b - -,f6g5
3rr1k1/2q2pbp/6p1/2n5/1BN1p3/RnP1N1P1/4QP1P/1R4K1 b - -,d8a8
1rr4k/5p2/3p1Pp1/p2Pp1Pp/1p2Pb1P/1P6/P3B1R1/6K1 b - -,c8c1
8/6P1/3k1N1p/1pp5/3p2b1/8/1PP4P/6K1 b - -,g4e6
r2q1rk1/pb1n2pp/1p2p3/2bp4/3N4/6P1/PPQ2PBP/R1B1R1K1 w - -,d4e6
1R6/8/6p1/5k1p/7P/8/1p3PK1/4r3 w - -,b8b2
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f1g2
2k2r1r/p1q1bpp1/bpn1p1np/2ppP3/1P3B1P/P1PPQNP1/5P1N/R3RBK1 b - b3,g6f4
7r/8/R2NPk1p/pR4p1/P4n2/1p4K1/1P3P2/8 b - -,f6e6
r4qk1/2pbnrp1/1p1n3p/p2P1p1Q/2P2B2/1P5P/P1B1R1P1/1N2R1K1 b - -,g7g5
r1b2rk1/pp1nqpp1/2p1p2p/3p4/2PPn2P/2N1PN2/PP3PP1/2RQKB1R w K -,g2g4
2r4k/1p4pp/n1pR4/p1P3q1/1P2P3/P5P1/4QP2/3R2K1 b - -,a5b4
r4bk1/p2q1p1p/1prn2p1/1P1Qp3/P3P3/4B3/4BPPP/R5K1 w - -,b5c6
4r1k1/3n4/b1n1pbp1/2ppq3/p7/P1PP1N2/5QBP/R2N1RK1 b - -,e5h5
2kr3r/pp1n1ppp/4pb2/7b/PP2N3/5N2/2B2PPP/R1B1R1K1 b - -,f6a1
2R2bk1/5p1n/p2r2pp/1pBP4/5P2/7P/PP4P1/1B4K1 b - -,d6d5
2rq1rk1/1p3p2/p4nnp/2p5/3p4/PB1P1P2/NPPQ1P1B/R5K1 b - -,g8h7
1r1q1rk1/1ppn1pbp/p1np2p1/3Pp3/2P1P3/2N1BBPP/PP3P2/1R1QR1K1 b - -,c6d4
r2q1rk1/pp1b1pp1/1n2pb1p/8/3P2PP/1BN2N2/PPQ2P2/2KR3R b - g3,d7c6
r1bqkb1r/pp1n1ppp/4pN2/2p5/3P4/3B1N2/PPP2PPP/R1BQK2R b KQkq -,d7f6
3rrbk1/1pp2ppp/1qn1b3/p7/3P4/1P2PPP1/P1N4P/R1BQRBK1 w - -,c1d2
Q1bq2k1/2b3p1/3p1np1/2pP3p/4PB1P/2PB2P1/3N4/6K1 b - -,g8h7
2b4r/nk1rbpp1/1p1p3p/4pP1P/1PP1P3/P1NR1B2/5BP1/1K5R w - -,c3d5
r4r1k/1bp3pp/pn6/1p4q1/1P1P4/PBN1b3/1BR3PP/3QR2K w - -,d4d5
r2qkb1r/1b1n1ppp/2p1pn2/p2p4/PpPP4/1P3NP1/1B2PPBP/R1NQ1RK1 b kq -,d5c4
r7/3P2k1/3Q1bp1/4p3/2B1P3/8/1r6/6K1 w - -,c4f1
r1bqkb1r/ppp1pppp/2n2n2/3p4/5P2/5NP1/PPPPP1BP/RNBQK2R b KQkq -,e7e6
8/4Q1pk/6r1/p2pPp2/1p2q3/6P1/PP3P1P/5RK1 w - a6,f1d1
rnbq1rk1/ppppbppp/4pn2/1P6/8/5N2/PBPPPPPP/RN1QKB1R w KQ -,e2e3
4rr1k/2p3pp/1pQpb3/7q/1P1RP3/2P1NpP1/P4P1P/R5K1 b - -,g7g5
6k1/4qpp1/8/2p2Q1p/8/1P1KP3/8/8 b - -,h5h4
r3k2b/3nqp2/2n1p1p1/1p1pP1N1/p1pP1PP1/2P2N2/PPQ5/R1B2K2 w q -,f4f5
