8/8/2Q5/1p6/k7/8/r1K5/8 w - -,c2c3
5r2/4ppkp/2pp2p1/5b2/1rPNn3/4P3/4BPPP/R4RK1 w - -,d4c6
r5k1/1ppn1ppp/8/pP1p1P2/P5P1/1NP1P2P/8/3R2K1 b - -,d7b6
5k1r/1pqnr1p1/3p1pPp/pRpPnP2/P1P5/2P3BP/3QB2K/5R2 w - -,f1b1
r1b2rk1/1p2bpp1/p2p3p/2qBp3/P3P3/3Q1N2/1PP2PPP/RR4K1 b - -,a6a5
r5k1/5pbp/3qp1p1/r7/1n1P4/1B2B2P/P2R1PP1/1QR3K1 w - -,g2g3
2b4r/1k1pBQ1p/2p1pp2/8/2P2P2/1P3K2/r5PP/8 b - -,h7h5
2r3k1/2q2ppp/4p3/8/1bPP3P/2N2QP1/5P2/5BK1 w - -,c3e4
r1bqk2r/pp2bppp/2nppn2/8/4P3/4QN1P/PPP1BPP1/RNB2RK1 b kq -,b7b6
5rk1/1pp3pn/1P1p1r1q/2PPp3/4Q1p1/3N3P/5PP1/3RR1K1 w - -,b6c7
5r2/1pp2nkp/p2p2p1/3P4/2P1qP2/PP4K1/5Q1P/5R2 w - -,f1e1
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2PP1NP1/PP3PBP/RNBQ1RK1 w kq -,b1a3
rnb1kb1r/pp1ppppp/8/q1P3P1/8/8/PPPNPPP1/R2QKBNR b KQkq -,g7g6
2NR4/1p3p1p/p4bpk/8/3B1Pn1/7P/1P1Q2K1/q7 w - -,h3g4
3rn1k1/1q3p1p/pp1p2pP/3Pn1B1/4P3/1P5B/P3Q2P/2R3K1 b - -,f7f6
7R/5r2/7P/8/8/5k2/3K4/8 b - -,f3f4
r2qr1k1/ppp1bppb/2n4p/5P2/2P1N1P1/1P1pPQ2/PB4BP/R3R2K b - -,e7h4
rnbq1rk1/ppp2ppp/3p1n2/4p3/1PP5/P1Q2N2/3PPPPP/R1B1KB1R w KQ -,c1b2
r4rk1/pbn3bp/1p2p1p1/2p2pB1/2PqN3/3P1B2/P1R2PPP/2Q2RK1 w - -,g5e3
4rbk1/5ppp/2b2q2/1pp1p3/r3P3/2P2NNP/1PQR1PP1/3R2K1 w - -,f3h2
r1b1r1k1/1pq1bppp/p1nppn2/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K b - -,c8d7:c6d4:c6a5:e7f8:a8b8
8/5p2/R6p/4KN2/6k1/7r/3b4/8 b - -,d2f4
8/1p6/1kn2p1p/1pb1p1pP/4P1P1/2P2P2/K2B4/3B4 b - -,c6a5
8/5p2/6p1/1kp2p1p/7P/1PK1P1P1/3R1P2/3r4 b - -,d1f1
8/3r2kp/2Rp2p1/3Npp2/8/6P1/5PKP/8 w - f6,d5b6
r6k/1p1b2b1/p7/3Pn1r1/1P1B2n1/2P3P1/P5BP/R4RK1 w - -,h2h3
8/2R5/8/1r6/8/pkp5/8/1K6 b - -,b5b4
r4rk1/p1p2p2/3pbqp1/2p4p/Q1P1P2P/1P1RB1P1/Pb3PB1/5RK1 w - -,a4a5
r1bqk2r/1p1nppbp/2pp1np1/p7/P2PP3/2N1BP2/1PPQN1PP/R3KB1R b KQkq a3,e7e5
R7/5k2/3p3p/P3p2P/2Nn4/8/5PPK/r7 b - -,f7e6
8/8/2p2kp1/p1r5/Pp5P/1P6/1P3p2/1K4R1 w - -,g1f1
r4rk1/ppn1ppbp/1n4p1/2NqN3/3P4/1P6/1P3PPP/R1BQR1K1 w - -,c1e3
2r1r1k1/pq3pbp/1p2p1p1/1n4B1/3PP2Q/5N2/P4PPP/2RR2K1 w - -,c1c8
8/1p2k3/8/2P1p1rp/4Pp2/1BK5/P2R2P1/8 w - -,b3d5
rn3rk1/2q1bppp/p1p1p3/2Pp4/2nP4/2BNP1P1/P1Q1NP1P/R4K1R b - -,b8d7
r1bq1rk1/pp3ppp/2pb1n2/2n1p1B1/4P3/1B3N2/PPP1QPPP/RN3RK1 w - -,b1d2
r3k2r/1bq1ppbp/p2p1np1/1p1P4/3N1P2/4BB2/PPP3PP/R2Q1R1K w kq -,d4e2
8/pp2r2k/3p2rp/8/4qB1R/7P/P1Q3PK/8 w - -,c2d2
1r6/rP3ppk/3Np2p/4P3/1R1P4/6P1/pp3P1P/5RK1 w - -,b4b2
1k6/2p2p2/pp3Q2/4P3/4q3/P1KR4/1PP2P1r/8 w - -,c3b3
8/6pk/7p/8/4R3/4P3/3r2PP/6K1 b - -,h7g6
1r2r2k/p7/6pp/2p2b2/8/2N3q1/PPP3PP/1K1R1R2 w - -,h2g3
r2qk2r/p2n1pp1/2pb1n1p/4p3/P1B1P1b1/2N2N2/1P2QPPP/R1B2RK1 w kq -,f1d1
8/1p3rk1/2p3p1/P1P1b3/1Q6/2P5/6K1/8 w - -,c3c4
r4rk1/pppq1pp1/2nb2np/1P1p1b2/3P4/1NP2N2/P4PPP/R1BQRBK1 b - -,c6e7
rn2k2r/p4pp1/4p1n1/2ppP1Qp/6qP/P1PP1N2/3B1PP1/R3K2R w KQkq -,e1g1
r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 b - -,a8b8
2q1rnk1/pp3ppp/2p2n2/4p3/2P3b1/BPN3P1/P1Q1PPBP/3R2K1 w - -,c3e4
1r4k1/r2bp1b1/2pp2qp/5pp1/1PP5/B3P1P1/3QNPBP/1RR3K1 b - -,a7a3
8/1p4p1/1P5p/1kPbp2B/8/2R3PP/6r1/4K3 w - -,h5e2
1k2r3/ppp1r2p/5p1R/q2p4/3N4/P2PB3/1PP2Q2/2K5 w - -,h6f6
6k1/3r1pp1/p1q1pn1p/1pB5/1Q6/1PN3PP/2r1PP2/R5K1 b - -,a6a5
3R4/p5k1/8/p4Bp1/1r1P2P1/8/5nPK/8 w - -,h2g1
1r1r2k1/pp3pb1/3pq1pp/N2Nn3/2b1P3/8/PPPRB1PP/R2Q3K b - -,c4e2
1qr1bbk1/1pr2pp1/p2ppn1p/2n1P3/2P2P2/1PN2NPP/P3QBBK/2RR4 b - -,d6e5
8/8/2q3K1/4Q3/7P/8/k7/8 w - -,e5f6
4B3/8/pkp4R/3p4/3PnK2/1r6/8/8 b - -,b3c3
8/7k/1R4rP/2p4b/8/1P2K3/P7/8 w - -,b6b5
2r3k1/4b1pp/p3p3/Pp2Pp2/1PpP1P2/3qRN2/5KPP/2Q5 b - -,d3e4
r1r3k1/1b1n1ppp/4p3/qB1p4/3PnB2/2P1PN2/1Q3PPP/2R2RK1 b - -,d7b6
5q2/8/2K3k1/p6p/P1Q5/2P4P/6P1/8 b - -,f8c8
r2qk2r/pp3pb1/2npbnpp/2p1p3/2P4P/PP2P2N/1BQPBPP1/RN2K2R w KQkq -,d2d3
3r4/1p2q1k1/2pprnpp/p3p3/P1P3P1/1PNR2QP/2P2P2/4R1K1 w - -,d3e3
2b2rk1/r7/Pp1p4/2pPp3/1p2P2p/6qP/1P2QNP1/R4RK1 b - -,f8f4
8/2p3pp/1p1b1p2/pP1kn3/P7/6PP/2K5/5R2 b - -,e5d7
r1b1kb1r/2q2ppp/p1p2n2/1pPpn3/1P6/P1N1PN2/5PPP/R1BQKB1R w KQkq -,f3e5
r4rk1/1b2ppbp/p2p1np1/qPpPn1B1/P3P3/R1N2P2/1P2BNPP/3QK2R b K -,a6b5
2kr3r/pp1nqpp1/2pbpn2/3p2p1/2PPP1P1/2NB1Q1P/PP1B1P2/2KR3R b - -,e6e5
3r1rk1/p2n1ppp/1q1ppb2/2p4P/2P1P3/1PN3P1/PB2QPK1/3R1R2 b - -,h7h6
4rbk1/1bq2np1/pp1p2p1/2n1p3/PP1NP2Q/2N1B2B/2P4P/5RK1 w - -,b4c5
2n2rk1/1r1b2np/Bp4p1/2pPNp2/4N1PP/8/1PP5/2KR3R b - -,b7a7
1qrr2k1/p3bppp/1pbpp3/7n/1PP1PB2/2N2P2/P2Q2PP/2RR1BK1 w - -,f4g5
2r2rk1/pb2ppbp/1p4p1/nQP5/3P4/q3BN2/P3BPPP/2RR2K1 b - -,a3a2
3b1rk1/1p1q1pp1/p2pr2p/P2NpR1P/1PP1P3/2R3P1/5P1K/3Q4 b - -,d7c8
6k1/pp3p2/6p1/7p/3P2nP/1PBp2P1/P4PK1/8 b - -,f7f5
6k1/5pp1/p1q1p2p/3n4/3P4/BP4P1/P2Q1P1P/6K1 w - -,a3c5
5rk1/3n2bp/q3p1p1/2pn4/P3p3/1P2BP2/3QN1PP/1R3RK1 w - -,f3e4
5r1k/2q4p/p1Pb1p2/1p1Q1B2/3P1Pp1/1P6/P6P/2B2RK1 b - -,h7h5
8/p2b2bk/2p3qp/2P5/Q2NNr2/5p1P/P4K2/3R1B2 w - -,d4f3
3r1bk1/1q3p1p/6p1/4P3/3p1P1P/2nQ2P1/5B2/R4BK1 w - -,a1c1
2bbk3/2p3p1/p1p3r1/PpB1Pp1p/1N3P1P/2P3P1/1P5K/3R4 w - -,d1h1
r5k1/1p2r1pp/5p2/p2Bbb2/P6B/2P5/1P4PP/R4R1K b - -,f5e6
r1bq1rk1/5pbn/pP1p1n1p/2pPp1p1/2P1P3/2NN2B1/1P1QBPPP/R4RK1 w - -,b2b4
