3k4/8/1PBp4/2n1p3/2P2p2/8/2PK1P2/8 b - -,d8c8
8/2k1b3/4p3/3pP1p1/K2P2P1/8/4N3/8 w - -,a4a5
r1r3k1/1Q1R1pp1/p3p3/3nB3/6qP/8/5P1P/4R1K1 w - -,e5g3
3b3Q/5R1p/p2q2pk/3p4/2pp4/4P2P/P5P1/7K w - -,h8g7
r3rnk1/pp2npp1/2pRp2p/q3P2P/2P5/2P2P2/P1B1QBP1/3R2K1 w - -,d6d3
2r2k2/5p2/3pbnp1/1p2b1Rp/p3P3/1NQB3P/P1P5/3K2R1 b - -,c8c3
6k1/8/p7/6P1/b2RpB2/4K1P1/7r/8 w - -,d4a4
r2q1rk1/pp4pn/2p5/1P2ppPB/2PnP2P/P2p4/1R1P1P2/2Q2RK1 b - -,f5e4
3q1rk1/4Rp2/5Qp1/p6p/3r4/5B1P/5PP1/4R1K1 b - -,a5a4
6k1/4pp1p/3p4/2nP2p1/4P3/2P3P1/3N1PKP/8 w - -,f2f4
4r1k1/p4pp1/1p6/3Qq2p/8/4PPP1/PP4KP/3R4 b - -,e5e3
4r3/2p5/6p1/1pkpr2p/p2R3P/P1N2P2/1PP1b1P1/4K2R w - -,d4f4
6k1/4rr1p/3R4/pp3p2/2b2K2/P4P2/1P4PP/3R4 w - -,d1d2
r4rk1/1bp1qnpp/1p1p1n2/p2PpP2/1PP5/P4PP1/2QN3P/R1R1NBK1 b - -,f6h5
rnbqkb1r/pp2pp1p/5np1/2pp4/5P2/5NP1/PPPPP1BP/RNBQK2R w KQkq -,d2d3
r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/2PP4/1P2PN2/P2NBPPP/R1BQK2R b KQkq -,f8d6
r5k1/1bp2ppp/1p1p1n2/3Pp3/rPP1P1q1/PR1Q2P1/3N1PBP/5RK1 w - -,f1c1
2r3k1/4Rp1p/6p1/8/8/2r4P/5PP1/R5K1 w - -,a1a7
rnbqk2r/pp2bppp/3p1n2/2pPp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,e8g8
r1b2rk1/2q1bppp/p2p4/5NP1/1pn1PB2/1N6/PPP2Q1P/1K1R3R b - -,a6a5
5R2/p6p/k6r/Pn6/1P5P/2KN1P2/8/8 w - -,c3c4
r1b2rk1/ppq2pbp/2p3p1/4p3/2B1Pn2/2N1B2P/PPP1QPP1/3R1RK1 w - -,e2d2
r4rk1/pb4pp/1p1qp3/3p1p2/2pP1P2/2P1P2P/PPB1Q1P1/R4RK1 b - -,b6b5
2r1k2r/2q1bpp1/p1b1p3/1p2p2p/2P1P3/P2QN3/BP3PPP/3RR1K1 b k -,e8g8
4rr1k/6p1/pbPp1p1p/3Qpq2/1P1P4/P3P1P1/1B2NP2/5RK1 w - -,f1c1
rnbq1rk1/pp2bppp/4p3/2Pp4/3PnB2/2N2N2/PP3PPP/R2QKB1R w KQ -,f1d3
B7/5p1p/4pkp1/2n5/8/2r3PP/3R1PK1/8 w - -,a8f3
5rk1/ppn2rbp/2pp3q/8/1PP1Rp2/P1N2BPb/3BQP2/2R4K w - -,d2f4
r1bq1rk1/3nbppp/pp1p1n2/4p3/2BPP3/2N2N2/1PP2PPP/R1BQR1K1 b - -,c8b7
8/1nk5/8/1pPK4/1P5B/2P5/8/8 w - -,c5c6
1r3r2/2q1n1kp/p2p1np1/2pPpp2/NpP5/1P1QPPP1/P5NP/2R2RK1 b - -,g6g5
8/p2r2bk/1p2r1pp/1P1ppn2/5p2/B2P2P1/P1R1PPKP/3N1R2 w - -,e2e3
r2r2k1/pp1qbppp/2np1n2/2p5/2P1P1b1/1PN2PP1/P1N3BP/R1BQR1K1 b - -,g4h3
8/5k2/5p2/2rp4/8/4K1P1/5P2/3R4 w - -,e3d4
8/1p3b1p/6p1/k7/Pp6/3K2P1/7P/3B4 b - -,f7e8
1qrr1bk1/3n1ppp/p1bp1n2/1p1N4/2P1PP2/BP2N3/P3Q1BP/3RR2K b - -,d8e8
br3rk1/2q1bppp/p3p3/P1npP3/1P1N1PP1/2PBB3/1K1Q3P/3R3R w - -,d1a1
2kr3r/ppq5/2b1p3/1BbpPp2/P4Pp1/1QP1P1p1/5RP1/R4NK1 w - -,f2e2
3q1rk1/r1pp1p1p/1p1n2p1/p2PQ3/2R5/1P2P2P/P3BPP1/2R3K1 w - -,c4c2
8/2k5/8/3K3b/1P5P/P7/8/8 w - -,d5e5
r1b1r3/p4k1p/6p1/1p1pP2n/1b3P2/4BN1P/PP4PK/R4R2 b - -,h5g7
3r1rk1/pp2q3/3b3p/2np2p1/BQ2p3/6P1/P4P1P/1RN2R1K w - -,a4c2
r3k2r/ppB1bppp/4b3/2p5/8/1N5P/PPP2PP1/R2R2K1 b - -,a8c8
8/5p1k/6p1/1q6/1P4rP/2Q3P1/5P2/1R4K1 b - -,g4e4
r1bqk2r/pp2bppp/2npp3/8/3NP3/2N1n3/PPPQBPPP/2KR3R w kq -,d2e3
3rn1k1/3qb3/p4pp1/1p1Pp1Bp/2p1P2P/4Q1N1/PP3PP1/3R2K1 w - -,g5h6
3k4/3Bp2p/1p2P1bP/1P1K2P1/8/8/8/8 w - -,d5c6
2r1kb1r/5p2/p2pbN1p/1p2n1p1/4P3/6B1/PPPRB1PP/2K4R b - -,e8e7
5rk1/pp1Q1pp1/1bn2q1p/8/3p4/2P2NBP/PP3PP1/4R1K1 w - -,g3h4
r1bqk2r/ppppbppp/2n2n2/1B2p3/8/NP2P3/PBPP1PPP/R2QK1NR w KQkq -,a3c4
2br2k1/3rqnb1/p4pp1/Qpn1p2p/4P2B/2P4P/PP1NBPP1/1N1R1RK1 b - -,c5d3
2r2b2/3B2p1/4P1P1/4kqB1/4p3/P7/1P5n/1K1R2R1 b - -,e4e3
rnbqkb1r/pp3ppp/2p1pn2/8/P1pPP3/2N2N2/1P3PPP/R1BQKB1R b KQkq e3,f8b4
5rk1/6r1/1p1R2B1/p1pP2N1/2Pn1P1p/4Q3/q1n3PP/4R1K1 w - -,e3e8
R7/2p5/2kb4/5r1p/P7/4B3/5PK1/8 w - -,a8g8
4rk2/pp4pp/2n3p1/b1pB4/1PPp1PP1/P2P3P/5B2/R4K2 b - b3,c5b4
2r1r1k1/3nbpp1/q1p3p1/1pn1P3/p1Np1PP1/3P3P/PPQB2B1/4RRK1 w - b6,c4d6
3k4/r5bp/5pp1/p2BP3/1p2KP2/1P6/2R3PP/8 w - -,d5c6
5r2/1p4kp/b2p4/8/R3PBK1/8/1PP4P/4b3 b - -,a6e2
r2qrbk1/pppn1ppp/5n2/3p1N2/3P4/5B1P/PPP2PP1/R1BQ1RK1 w - -,c1g5
7q/6k1/PKR3p1/1p6/1P3P2/1B6/3r4/8 b - -,h8b8
8/7p/P1p2k2/4rp2/4p3/2P2p2/1P1K1b2/R4R2 b - -,f2a7
8/p2rkp2/1pR1p1p1/3r3p/P1R4P/2KP2P1/4PP2/8 b - -,d5d6
8/4b2p/1k6/2p3p1/P1P1N1P1/K4P2/8/8 b - -,b6c6
6k1/2R3p1/7p/1N3p2/4b2P/4K3/r7/8 b - -,a2h2
2r2k2/R4b2/1p4p1/3n4/P7/8/3KB3/5R2 b - -,d5e7
1r4k1/3q1pbp/2pP1np1/p1B2P2/8/P5PP/1r1R1QBK/4R3 w - -,d2b2
3q1bk1/p4p1p/1pp1p1p1/2n1P3/4PP2/1P4P1/PBB1Q2P/5K2 b - -,c5b7
r5k1/4pp2/n5p1/2pPN1p1/P4r2/5R2/5PPP/5RK1 w - -,f3f4
r6k/1nq2nr1/1p1p1b2/pPpP1p2/QPN1pP2/P5pP/1BR3B1/1R5K b - -,f6b2
5r2/r2q2k1/2npbp2/2p1pn1p/ppP1B1pP/1P1PP1P1/PQR1NP1K/3R2N1 w - -,c2d2
rnb1kbnr/pp2p1pp/2p5/3p1pB1/3P4/3BPN2/PqPN1PPP/R2QK2R b KQkq -,g7g6
r1bqk2r/1p3ppp/p1nppn2/8/2P1P3/1N1Bb3/PP2QPPP/RN3RK1 w kq -,e2e3
8/2Q5/p1p1k3/7p/2Nq2b1/1P6/P5PK/8 b - -,d4d5
r4rk1/pb3pp1/3qpn1p/1p2N3/2pPP3/2P1R3/3Q1PPP/1BR3K1 w - -,c1e1
2r2rk1/3qnpb1/p2p3p/1p1Pp1pP/4P1P1/2N5/PP1NQP2/R4RK1 w - b6,f2f3
r2q1rk1/pppb2bp/1n4p1/3Ppp2/4P3/N4PP1/PP2K1BP/2RQN2R w - f6,d1b3
8/1p3rk1/p4p1p/2RN2pP/2Pr2P1/3p1K2/P7/5R2 w - -,d5e3
8/4kpp1/1p1rq3/p5P1/3pPQ2/P7/1P2P3/K1R5 w - -,c1d1
5r2/5k2/1p1q2p1/p1pP4/P1P1Q2p/5pPP/5K2/4R3 w - -,e4h4
8/2r4p/2pb1pp1/8/1P1k2P1/5N1P/2R2PK1/8 b - -,d4d5
r5k1/1p1b1rpp/p3pbn1/1Pq2p2/2Pp1P2/P2B2P1/NB1P2QP/2R2RK1 b - -,a8b8
5rrk/1p2ppb1/7p/p1qPpb2/P6P/2P2P2/1PB1Q3/2KR2R1 w - -,c2f5
8/3Q4/p4p1k/8/2q1p3/1p6/1P3PP1/6K1 w - -,d7h3
