8/5p2/P3p2k/4Bn2/r7/3B4/r6P/4R2K b - -,f5d4
r1bq1rk1/5pbp/p5p1/1p1p1n2/3p4/1B3QN1/PPPP2PP/R1B2RK1 w - -,d2d3
r1bk3r/3nnpb1/pq2p1pp/1p1pP3/P1pP1N1P/1PP1BN2/2B2PP1/RQ2R1K1 b - a3,c8b7
r2qk2r/1p3ppp/p1b5/3p1n1B/3PN3/1Q2P3/PP3PPK/R1B2R2 b kq -,d8h4
2q1r3/1p4k1/p2Bppb1/P1P4p/2BP2pP/1R6/3N1PP1/4R1K1 w - -,b3b6
rn2k2r/p3nppp/qpp1p3/3pP3/P2P4/2P2N2/2P1QPPP/R1B1K2R w KQkq -,c1a3
2r3k1/p2pb2p/1p2p3/3n1pp1/PnNP4/1P4PP/1B2PPK1/3RN3 b - -,h7h5
2r5/r2bp2p/3p2k1/1p3p2/1P6/P4P2/2N1N1PP/2R4K w - -,h2h4
4r1k1/1b3ppp/p2B4/R2n4/2nP4/1P6/5KPP/4N3 w - -,b3c4
8/8/2nk2pp/3R4/1PKp1PP1/7r/3B4/8 b - -,d6e6
6k1/7p/7P/4BP2/5KP1/8/8/3b4 w - -,g4g5
r2qr3/1b1n2kp/p2p1ppN/1pnP4/P1p1PR2/2P3NP/1PBQ2PK/5R2 w - -,f4h4
8/R7/6pk/5p2/P1n1B3/r7/2K5/8 w - -,e4d3
r1b2rk1/ppp4p/3ppnq1/5p2/2PP1B2/P4PPN/1PQ1P1B1/2K3R1 w - -,g2f1
2k5/3n4/2p2p2/2P2P2/P2K1P2/2B5/8/8 b - -,c8d8
r1bqk1nr/pp2ppbp/2Bp2p1/2p5/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,b7c6
6k1/2p1rbp1/p1p4p/3p4/3B2P1/1P3PKP/P1PR1r2/8 w - -,g3f2
8/8/2k4K/5rP1/8/8/3R4/8 w - -,g5g6
1rr3k1/p4pb1/4p1p1/qpP5/1p1p1PP1/1P1Q4/2RB1P2/5RK1 b - -,a5c7
R7/5p2/8/4pk1p/7P/P4PK1/r7/8 b - -,f7f6
8/3rk1bp/p3npp1/1P2p3/1Pp4P/2P1P1B1/2N1KPP1/3R4 b - -,a6b5
5k2/R4p1p/6p1/1r6/1p2n3/1P3N2/1b3PPP/4K2R b K -,b2c3
r2q1rk1/4p1bp/2Pp2p1/3P4/2p1Nn2/3B1P1P/1P1Q1BP1/2KR3R b - -,f4d3
r1b2r1k/1pp1N1b1/p2p2Bp/8/2P2P2/B1Q3P1/P4K1P/4R3 b - -,g7c3
8/P4pk1/1K6/8/r3P2p/5p2/8/5B2 b - -,f3f2
8/p7/6K1/1p6/1Pp5/2Pk2P1/P7/8 w - -,g6f5
8/N3R3/p5k1/2P5/8/8/r4r2/2R3K1 w - -,e7e6
8/3B4/3p2k1/3P4/P4PP1/1p2n3/8/2K5 w - -,d7c6
3br1k1/1bqr1p1p/p2p2p1/1p2pPBn/4P3/P1NB3Q/1PP3PP/4RR1K w - -,f5f6
r2q1rk1/pp2bppp/2n1pn2/3p4/3P2b1/1P3N2/PBPNBPPP/R2Q1RK1 w - -,h2h3
5rk1/p3p2p/5pp1/8/8/q2PQNPb/4PP1P/2R4K w - -,f3g1
8/8/8/4Q2k/4K1p1/7r/8/8 b - -,h5h4
3r2k1/p3b1pp/1pb2p2/3rp3/P3N1P1/1P1PBP2/4K2P/R2R4 b - -,c6b7
2rr2k1/pp4b1/2p1p1p1/2PpPp1q/3P4/1PBQP3/P5R1/5RK1 w - -,f1f2
8/8/2p3p1/6Pp/1p3K1P/3kN3/8/8 b - -,b4b3
1r4k1/1b1n1p1p/1p2n1p1/p1p1P3/P6N/4R1P1/1P4BP/3R2K1 b - -,b7g2
r1r1n1k1/p3bq1p/1p2p3/2ppPp1p/3P1B2/2P4Q/PP3PP1/3RRNK1 b - -,g8h8
8/1p6/p2k1bp1/Pr3p1p/RPP2P2/4KpP1/7P/8 w - -,c4b5
r1k3r1/p1p2pp1/1p2b1np/2p1P2N/8/5N1P/PPPR1PP1/3R2K1 w - -,a2a3
3b4/8/3Bp1kP/1P1p1p2/6p1/3K4/5P1P/8 w - -,d6f4
3b4/4kp2/2B3p1/1P1K3p/8/4P1P1/5P2/8 b - -,d8b6
4br1k/q3n1pp/2n1Bp2/4p3/Rp2P1P1/3P1N2/1Q1N1P1P/1R4K1 b - -,a7a4
5rk1/pp2Qpp1/1q2b2p/n2R4/5B2/r3PN2/P4PPP/5RK1 w - -,d5d6
2rqkbnr/1p1b1ppp/p2p4/4p3/4P3/2NQ1N2/PPP2PPP/R1B2RK1 b k -,h7h6
8/1p3pk1/2p5/4P1pp/2P1P2P/1P6/3K4/8 w - -,h4g5
rn3rk1/1bq2ppp/p3pn2/1p1pP3/1b1N1P2/3BBQ2/PPP1N1PP/R4RK1 b - -,f6e4
r3b1rk/p3qp2/1pp2n1p/4NP2/3PN3/1P1Q4/P6P/R5RK b - -,f6e4
r4rkb/1q2pp1p/2Np1nBP/1p1P4/1Pp5/2n1BP1Q/6P1/R4R1K b - -,h7g6
5k2/8/p1p4p/4R3/1Pr2pK1/P6P/8/8 b - -,c4c3
2rkr3/pp1b2pp/3b1p2/3pn3/8/PN1P2N1/1P1KBPPP/R6R b - -,e5g4
rn1q1rk1/1p3ppp/2p1pn2/p4b2/PbBP4/1Q2PN2/NP3PPP/R1B2RK1 b - -,c6c5
r1bqk2r/1p3ppp/p1np1b2/3Np3/4P3/8/PPP2PPP/RN1QKB1R b KQkq -,e8g8
1r1nN3/3R2bk/p3p1p1/8/1P6/5N1P/5PP1/6K1 b - -,d8f7
r1bqk2r/ppppnpbp/2n3p1/1B2p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,a7a6
r2q1k1r/ppp1n1bp/5p2/3ppQ2/4P3/2P5/PP1N1PPP/R3KB1R w KQ -,f5f3
8/6pk/P2q3p/4p3/2P1P3/3pQ1P1/5PKP/8 w - -,a6a7
2r1k1nr/pp1b1p2/4p3/3pP1QP/3N4/P1qB4/R1P1K1P1/7R b k -,g8e7
3br2k/p1n4p/4p1p1/2qpP2P/6Q1/3P2P1/P4PB1/5RK1 b - -,h8g7
2r2rk1/pp3pbp/2n3p1/3q1b2/3p4/4PNB1/PP2BPPP/R2Q1RK1 w - -,d1d2
1rR5/5Rk1/4p1p1/1r1p1q1p/5Q1P/6P1/5P1K/8 b - -,g7f7
rn3rk1/ppp1q1bp/3pbnp1/5p2/PPPPp3/1QN1P3/1B1NBPPP/R3K2R b KQ -,e6f7
2rqk2r/1b2bppp/pn1pp3/1pn3P1/3NPP2/P1NBB2P/1PPQ4/1K1R3R b k -,d6d5
r3r1k1/pp5p/2p1b1pb/qPP1p3/P5nN/2NP4/2Q3PP/1R3KBR w - -,h2h3
6rk/1p4r1/p1b1p3/3pPqbp/P1p1pB1P/2P1P1P1/1P2Q2K/R3R3 w - -,h4g5
7R/5K2/7P/2B3r1/4b3/5k2/8/8 w - -,c5e7
r2qrbk1/7p/2p1pnp1/pp1b1p2/1N1P3B/Q3P3/PP2BPPP/2RR2K1 w - a6,b4d5
6k1/2R5/7p/1r3K2/6PP/8/8/8 w - -,f5g6
1n1r2k1/pB6/7p/1p6/2b4P/P3KN2/1B3PP1/8 b - -,d8d3
r1bqk2r/ppp2ppp/2n1pn2/3p4/1b1P4/1P1BPN2/P1P2PPP/RNBQK2R w KQkq -,c1d2
4kr2/R7/p2pB2p/3P1Pp1/P3r3/8/P6P/7K w - -,h1g2
5R2/8/8/5p2/4k1p1/6P1/1r6/6K1 b - -,b2d2
8/5k1p/6p1/1p6/2r2PP1/2P5/PPK5/5R2 w - -,c2d3
r3k2r/pp3ppp/2n1pn2/q7/Q2P4/B1N2P2/PP4P1/R4RK1 w kq -,a4c4
2k4r/4p2p/p1p2pp1/6P1/2Pr3R/6KR/PP3P1P/8 b - -,d4h4
5rk1/1p3p1p/3Pp1pb/Q3P3/3p1P2/PP4P1/2q3BP/4R1K1 w - -,d6d7
r5k1/4bpp1/pp2pn1p/3r4/8/1PN2PP1/PB2P1KP/R2R4 b - -,d5d1
r2qr1k1/pp3bbp/2ppnn2/1P2pp2/2P5/B1NP2P1/P2QNPBP/2R2RK1 b - -,d8d7
3rr1k1/p4pp1/3q3p/2R1p3/1P2Q3/P6P/5PP1/4R1K1 b - -,f7f6
8/2R2kpp/p7/3P1r2/8/7P/P4PP1/6K1 b - -,f7e8
3q4/1pn2pk1/1P4p1/2p1N2p/4P2P/2P3P1/2Q2P2/6K1 b - -,c7e6
8/8/4pp2/4k1p1/4PnR1/1r2KP2/8/5B2 w - -,e3f2
