8/5K2/1p6/8/P3p3/5k2/8/8 w - -,f7e6
r1b1k1nr/pppp1ppp/2n2q2/2b2N2/4P3/2P1B3/PP3PPP/RN1QKB1R b KQkq -,c5e3
1rb2rk1/p3q1pp/2p1p3/3nbp2/4N3/P5P1/1PQ1PPBP/1RB2RK1 w - f6,e4c5
8/p4k2/1p1qp1p1/1Qp4P/4P2P/P4P2/1P4K1/8 b - -,g6h5
2r5/1q1br2k/4p1pb/R2pP2p/1P1N1P1P/2PQ2PB/8/R5K1 b - -,c8c4
2rn2k1/pprbq1p1/4p2p/3p1p2/3P4/P1R1PN2/1P1QBPPP/5RK1 w - -,f1c1
1k6/1p3N1p/p5p1/3n4/1P4R1/7P/1r1r1PP1/5RK1 w - -,f7g5
b7/6k1/3b2pp/2pP1p2/1pP5/5B1P/1P3NP1/6K1 w - -,f2d3
r4rk1/ppp2ppp/2n5/1N1n2Q1/4q3/2P5/PP3PPP/2KR3R w - -,g5d5
2kr3r/pbpp1p1p/np3qpb/5p1P/Q1PP4/P1N1P3/1P2NPP1/R3KB1R b KQ -,d8e8
5bk1/p4p2/7p/6p1/6q1/3Q2P1/PPr1rP2/2BR2KR w - -,h1h2
2b5/2p2rk1/p1Pp2p1/1p1Pp1Pr/1P2P3/P3RPKn/2N2N2/7R b - -,h5g5
8/6k1/6p1/3b4/1R2B2P/5PK1/8/3r4 b - -,d5e4
2r2bk1/1p3pBp/2p1b3/1PP4P/4P3/5QR1/p2q1PP1/R5K1 b - -,f8g7
7r/4kp1p/p3p1p1/1p2p3/B3P2P/2P5/P1P5/1K1R4 w - b6,a4b3
r1q2rk1/pp2ppbp/n1p1bnp1/8/Q2P4/2N2NP1/PP2PPBP/R1BR2K1 b - -,f8d8
r1bqk2r/pp1nppbp/2p2np1/3p2B1/3P4/4PN2/PPPNBPPP/R2QK2R w KQkq -,e1g1
8/7p/3p4/1p1k2P1/1P4KP/p7/P7/8 w - -,g4f5
3n4/5p2/7p/p1kBpp2/2P5/1P1K2P1/5P1P/8 b - -,c5b4
2r2rk1/pb2bppp/1p1qpn2/3nN3/3P4/P1NQ4/1P1B1PPP/1BR2RK1 b - -,d5c3
r5k1/pp3Npp/1np2q2/4p3/4P3/Q2r1P2/PP2B1PP/3R2K1 w - -,d1d3
3k4/5R1P/4p1N1/6p1/4P3/2b2P2/1r4K1/8 w - -,g2h3
r4rk1/ppp2pbp/3q2p1/3b1P2/1n1p4/3B2PQ/PPPNR2P/R5K1 b - -,b4d3
8/8/3R4/2k1Pp1p/5P1r/1P2KP2/8/8 w - -,d6d1
3r4/1kq2p2/1pp1b1pp/p1p5/P3N3/1P1PR2P/2P1QPP1/6K1 w - -,e4d2
6rk/2R3p1/6qp/8/P7/2Q2N1P/7K/8 b - -,g6d6
2rkbn1r/p4nRp/2p1p3/1p1pPp2/1P1P1N2/2N1KP2/P1P4P/5BR1 w - b6,a2a4
3q1r1k/6p1/br5p/p7/P4N2/4p1P1/1PQ2bBP/R1R4K b - -,d8e8
2r2k2/3b1p1p/prn1p1p1/1p1pP3/5P2/1PPB1N2/P1R2KPP/2R5 w - -,f2e3
r2qk2r/1p2bppp/p2pbn2/P3p3/2n1P3/1NN5/1PP1BPPP/R1BQ1RK1 b kq -,a8c8
8/5pk1/7p/R5p1/pr6/6PP/5P2/5K2 w - -,f1g2
3r1rk1/p2P1ppp/b7/2p1B3/2P1p3/1P4P1/P6P/2RR2K1 w - -,e5c7
2b3k1/2r2ppn/7p/1pq2P1P/1p2P3/1P3BQ1/6P1/3R3K b - -,c5e7
r3r1k1/2qb1pbn/pp1p2p1/2pPn2p/P3P2P/2N1BP2/1P1QBNP1/R1R3K1 b - -,f7f5
r4rk1/2q1bpp1/1n1p2b1/p2Pp1Pp/PpN1P2P/1P3B2/2PNQP2/2KR3R b - -,c7c5
3r2k1/p5p1/1p3p2/6p1/1P6/P3PPbP/1B2K3/2R5 w - -,b2d4
5nk1/1p6/2p3Pp/2PpP3/1P2bNPK/2B1Q3/8/5q2 b - -,f1f4
8/5pk1/7p/R2B1p2/3rP3/2n1K1P1/5P1P/8 b - -,d4d1
5rk1/p3q2r/1pp1p1p1/4P1p1/P1BP1nP1/1P2QR1P/5R1K/8 b - -,g8g7
8/5pkp/3r4/1p1P2PR/2r1p3/1K1RP3/P7/8 w - -,d3d2
rn2kb1r/p3pppp/1qp2n2/1p1b4/8/NP1P1NP1/2Q1PPBP/R1B2RK1 b kq -,c6c5
6k1/1p1q1p1p/3p1Qp1/2rPr3/p7/2PR4/PP3PPP/3R2K1 b - -,e5e2
7k/1bp1q2p/pp6/8/P5Q1/1PP1p3/1R5P/4K3 b - -,c7c5
r5k1/7p/ppP2Bp1/5b2/P3p3/4P3/1P5K/5R2 b - -,a8c8
r3kb1r/ppp2p2/1nnpp1p1/4Pq1p/3PNP2/2P2Q2/PP4PP/RNB2RK1 b kq -,h5h4
2r3k1/p4p2/1pn3p1/2p1P1B1/8/P7/1P3PPP/3R2K1 w - -,g5f6
r2r2k1/pp2ppb1/1qp1b1pp/3nP3/3P4/BP1B1N1P/P2Q1PP1/R3R1K1 w - -,a1c1
rr4k1/1b2pp1p/3p2p1/2pP4/4P1n1/1PQ2NP1/P2RqPBP/R5K1 b - -,e2e4
r1b2rk1/2q3bn/p1p1n1p1/N1Pp1p1p/P2Pp3/R3P2P/N1QBBPP1/4K2R w K -,c2b1
1rbq1rk1/p1p1bppp/4pn2/8/2pP4/6P1/PP2PPBP/RNBQ1RK1 b - -,c7c5
8/3b1pk1/pp1p2p1/2pP4/P1P3P1/1P4Qr/8/3B1RK1 b - -,h3g3
4k2r/4n1b1/prq5/3p3P/2pP1PQ1/4PK2/1PP2B2/6R1 w k -,g4g7
5r2/p3kr1p/1pp1n1p1/3p4/3P4/1NPBB1PP/PP3P1K/4R3 w - -,c3c4
r3qrk1/pp2b1p1/2n1b2p/2p1pp2/2P1B3/1PN1P3/P3QPPP/R1BR2K1 w - f6,e4d5
rnb1r1k1/p1pq3p/1p1p1bp1/3Pp3/2P1B2P/BQP2PP1/P3NK2/R6R w - -,g3g4
r2q1rk1/1bpnbppp/p3pn2/1p6/3P4/5NP1/PPQBPPBP/RN3RK1 w - -,d2a5
8/p7/1p6/6r1/PkB5/1P1K4/8/8 b - -,g5g3
8/pkpq4/1p5p/n2N2r1/P1PP3p/3P1Q2/5P2/1R5K b - -,c7c6
rn1q1rk1/1b3pbp/p1pppnp1/1p2P3/3P1P2/PBN2N2/1PP3PP/R1BQR1K1 b - -,f6e8
1rr5/3b2kp/p2p2p1/4pp2/1P1pP3/P2P2P1/5P1P/1RR2BK1 w - f6,f2f3
1rb2r2/5p1k/pq3Np1/2p3Q1/2pp2P1/7p/PP5P/2KR1N1R b - -,h7g7
r1bq1rk1/pp2ppbp/2np1np1/2P5/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,d6c5
8/4b3/4N3/5Pk1/4K3/7P/8/8 b - -,g5h4
q4rk1/rbpnbppp/p3pn2/Bp6/3P4/5NP1/PPQNPPBP/R4RK1 w - -,b2b4
r2r2k1/1pqn1pp1/p3pbp1/2P5/1P1NQ3/2B5/P4PPP/2RR2K1 b - -,d7e5
7R/1p1r1p2/2p1p3/p7/P2P4/2P2k2/1PK5/8 w - -,h8a8
r4r1k/3q3p/3n1ppP/3PQ1P1/8/1N6/1PP5/1K1R3R w - -,g5f6
2r5/1p1bn1kp/pq3pp1/4p3/1P1pP2P/1Q1P2P1/3N1PB1/2R3K1 w - -,d2c4
2r1r1k1/4qppp/pp2p3/1bP5/1P6/2Q1PN2/P4PPP/2R1R1K1 b - -,e6e5
8/3r4/8/4Kp1p/5P1P/8/1k6/8 w - -,e5f5
r3kb1r/pp2ppp1/1nnq2p1/8/8/1PP2N1P/3PQPP1/RNB2RK1 b kq -,e7e6
8/8/p7/P1pK4/2P5/1k6/8/8 b - -,b3b4
r1b1kb1r/3n1ppp/pqn1p3/3pP3/1p1p1P2/4BN2/PPPQB1PP/R2N1RK1 w kq -,f3d4
2k2b1r/ppqr1pp1/2p1pnp1/6B1/3P3P/2N5/PPP1QPP1/2KR3R w - -,d1d3
r1bq1rk1/3nbppp/p3p3/1ppn4/3PP3/1P3NP1/PB3PBP/RN1Q1RK1 b - -,d5b6
3rr1k1/1bq1bppp/2npp3/p1n1P3/1p1N1P2/2PB4/PP1BQNPP/4RR1K w - -,d3b1
r2qnrk1/1pbb1ppp/4pn2/p1PpN3/3P4/PPN2B2/1B3PPP/2RQR1K1 w - -,b3b4
r7/pp1b1k1p/2p1p2r/4Pp1q/1BPPp1p1/P3P2P/1PQ3P1/R4RK1 w - -,h3g4
8/8/5kpp/1p2p3/3bP3/1p3NP1/P3K2P/8 w - -,a2b3
r4rk1/1p3ppp/pqnpbb2/4p3/4P3/1NNQ4/PPP1BPPP/1K1R1R2 b - -,f8d8
8/1p2k3/2p1p1b1/1PPpN1r1/3P2PR/4r3/1R5K/8 b - -,g5e5
rnbq1rk1/1p3p1p/p2ppnpQ/2pP4/P1B1P3/2N5/1PP2PPP/R3K1NR b KQ -,e6d5
5rk1/4b1p1/p3P3/q5p1/5p2/1Q4P1/B4P1P/3R2K1 w - -,a2b1
r2qk2r/1p1nnpp1/p1pbp1p1/3p2P1/2PP1P2/P1N1PQ1P/1P1B4/2KR1B1R b kq -,e7f5
2qb2n1/3n1p1k/p2p2pp/2pPp3/2P1P3/1P4NP/1N1B1PP1/1Q4K1 w - -,b2d3
