8/6k1/1R3p2/7P/5PK1/1p1r2P1/8/8 w - -,b6b7:h5h6
r4r2/2pq2k1/3pnppb/2PNp2p/P3P2P/B4RP1/2Q2P2/3R2K1 b - -,d7c6
rnqr2k1/pb2bppp/1p1ppn2/8/2PNP3/1PN3P1/P4PBP/R1BQR1K1 w - -,c1b2
2r2rk1/ppq1n3/4pp2/3p3p/2PPb2N/PPQ4P/1B4P1/2R2RK1 b - -,e7f5
8/1p6/1p6/2p4R/P1P2k1P/1r6/6K1/8 b - -,b3b4
3qr1k1/1pp3bp/2npn1b1/3N1p2/1PP2P2/4B1R1/2Q1B1PP/3R2K1 b - -,c6d4
5rk1/4Qp1p/6p1/p1nR4/1q4P1/4PN1P/5PK1/8 b - -,f8c8
r4rk1/ppp3pp/3p2q1/5b2/2PBnP2/1P3PP1/PQ4BP/3R1RK1 b - -,e4c5
r2q1rk1/pp2n1p1/2p1ppp1/8/P1QPP3/2P2PP1/3B3P/R4RK1 b - -,d8d7
1q6/1r4nk/4prpp/p2pR3/1PpP2PP/2P3QN/1P4P1/R5K1 b - -,a5b4
7b/pp3r1k/3r2pP/2ppNpp1/8/1P6/P2B1P2/1K2R2R b - -,h8e5
8/5rkp/2R3p1/2Nr4/1p6/1P3PPb/5P2/4R1K1 w - -,f3f4
5rk1/1ppn1pp1/3p2np/1P2p3/1BP1P1q1/3P2P1/Q4PKP/4NR2 b - -,g6f4
4r2r/kp2q3/p1p1p3/P1Pp1p2/1P1P1R1p/4P2P/3R1QP1/7K b - -,h8h5
1br3k1/pp2qppp/5n2/1N6/1Bn5/P3PN1P/1P2QPP1/R2r2K1 w - -,a1d1
8/6kp/2b3p1/1p1np3/p1q1B2P/P1P2RP1/8/4R1NK w - b6,h1h2
5bk1/2r2p1p/1pq1n1p1/8/7P/4BNP1/Q3PP2/3R2K1 w - -,f3e5
R1b5/2r1kpb1/2p1p1p1/1pN3p1/3P1P1P/3BP3/1P3K2/8 w - -,h4g5
r6k/p1q1n1b1/1p2bNpp/3pP3/6P1/1QN1B2P/PP6/3R2K1 w - -,e3d4
1rb2rk1/2qnppbp/p2p1np1/1Pp5/3PP3/P1NBBP2/1P1QN1PP/R1R3K1 b - -,c5c4
8/1p6/p4kr1/Pb3p2/1PpP1B2/4PK2/7R/8 w - -,d4d5
6k1/5p2/3qp1p1/8/3PP1P1/4QP2/6K1/8 b - -,g8g7
8/p7/5k1p/2p2r2/2R4K/P1P4P/8/8 b - -,f6e6
6k1/4P2p/r4Pp1/8/4P1P1/3b2B1/1K5P/8 b - -,g8f7
2r3k1/4bp2/2q3p1/3p2P1/pp1npP1P/8/PPPR1QB1/2K1R3 b - -,e7c5
8/r4pk1/2R3p1/2n4p/4PN1P/5PK1/6P1/8 b - -,c5d7
2rq1rk1/p3ppbp/bpnp1np1/8/4PP2/1NN3P1/PPP3BP/R1BQR1K1 w - -,h2h3
r1q2rk1/1b3ppp/np3b2/p1pPN3/5B2/6P1/PP1R1PBP/R2Q2K1 b - -,g7g5
rnbqkb1r/pp3p1p/5pp1/3p4/3P4/2N5/PPPQ1PPP/R3KBNR w KQkq -,g1e2
8/5pk1/1r4pp/q1pP4/2Bb4/3Q2PP/P3RPK1/8 b - -,b6f6
7k/p5p1/1p5p/8/1qP3P1/4p2P/P3Q1K1/8 b - -,b4c3
2b2b2/3p1kp1/p1q1p1p1/4PpBr/P1pR3P/2N3Q1/1rPR1PPK/8 b - -,b2b4
r6k/pp2r3/1n2p1qb/P1npP3/2p2P2/6P1/1PP1N1B1/R1BQ1RK1 b - -,b6d7
3r2k1/7p/p5p1/2p5/1pPb4/1N4P1/P4RKP/8 w - -,f2d2
rnq1kb1r/pb3ppp/2p1pn2/Bp6/3PP3/1P3N2/2Q2PPP/RN2KB1R w KQkq -,f1d3
8/p3kppp/4pn2/q7/1pB5/1P2PP2/P2Q1P1P/6K1 w - -,d2d4
3r1rk1/4pp1p/1p4p1/p1pP2N1/1nP2Pq1/1Q2P3/6B1/1R3RK1 w - a6,g1f2
8/8/8/2R4p/5P1k/4PK2/8/r7 w - -,c5c2
2r3k1/3bP1pp/p7/1pp2pPq/4R3/3R4/PPP3B1/6K1 w - f6,g5f6
2kr3r/pppq1ppp/2n5/4p3/2P5/3Pb1P1/P1P1NPKP/1R1Q1R2 w - -,f2e3
8/8/6n1/1pPkp3/1P4Pp/2P4K/3B4/8 b - -,e5e4
r1bqkb1r/pppn1ppp/3p1n2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,g7g6
2b1r1k1/6bp/pqn2pp1/1p1P4/2p5/2P3NP/PPB2PPN/2Q2RK1 b - -,c6e5
8/1pkb2R1/p7/2K5/1PP5/8/8/8 w - -,c5d5
6k1/6p1/5p1p/2R1pP2/P1p5/K5P1/7r/8 b - -,h2h3
rnb1q1k1/pp1r2bp/2p3p1/5pN1/2P1p1n1/BPN3P1/P1Q1PPBP/3R1RK1 w - -,d1d7
5rk1/1p1bqr1p/2n1p1p1/p1bpP3/P6P/2PB1NP1/3N1P2/1R1Q1R1K b - -,b7b6
r1bqk2r/ppp1ppbp/1nn3p1/8/3P4/4PNP1/PPQ2PBP/RNB1K2R b KQkq -,c8f5
3r3r/1pn1bk2/1qB1p3/R2pPppp/1PpP4/2P1P3/3N2PP/RN1Q3K b - -,b6c6
r1bqkbnr/pp2pp1p/2n3p1/3p4/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq -,c2c3
1r1q1r2/5pk1/1p1Nb1p1/p2pPp1p/PP1Q1P2/2P5/6PP/R3R1K1 b - b3,d8c7
r4rk1/5ppp/1pNbp3/3p4/1p3P2/P3B1P1/2RR3P/6K1 w - -,a3b4
2r2r1k/ppb3pp/2pn1q2/3p1p2/8/2BP2P1/PPP1RP1P/R2Q1BK1 b - -,d5d4
r1bq1rk1/pp4pp/1nn5/4pp2/1bP5/P1NB4/1P2NPPP/R1BQ1RK1 b - -,b4e7
2rr2k1/1q3pp1/2n1p2p/pp1p4/3PnB2/P1PQ1NP1/1P3PP1/R3R1K1 w - -,g3g4
2rr2k1/4Rpb1/5np1/8/ppq5/2P5/1P2Q1PP/3N1RBK w - -,c3b4
2Bk4/3P2pp/5p2/p7/1pRN2PP/1P1qp1K1/P7/8 b - -,e3e2
r2r2k1/pp1b1pp1/2n1pq1p/1Bp5/P2P4/2P1PN2/5PPP/R2Q1RK1 b - -,f6e7
5r2/p5kp/1P2Pn2/1Rp1q1p1/8/7B/1PP1p3/1K1Q4 w - -,d1e1
r3r3/1p1nppkp/6p1/1Pqp4/2P5/1N2P1P1/2Q2PKP/2R2R2 b - -,c5b4
r1bqkb1r/1p3ppp/p1nppn2/6B1/4P3/2N2N2/PPPQ1PPP/R3KB1R w KQkq -,e1c1
7B/5b2/1pk5/4KpP1/5P1P/1P6/P7/8 b - -,c6d7
5nk1/1rBq1pb1/3p2pp/2nNp3/2N1P3/RP6/2Q2PPP/6K1 w - -,c7d6
2r5/3q1pnk/1Rp1p1p1/1p1r3p/3PQPP1/1PP4P/5BK1/R7 b - -,h7g8
r1bqk2r/ppp3bp/2np2p1/5n2/2PN3P/2N1B3/PP3PP1/R2QKB1R w KQkq -,d4f5
1r3rk1/1pp3p1/3p3p/P3p3/1pb1P3/5NP1/1PPN1bPP/3RR2K b - -,f2e1
3r2k1/5ppp/4p3/4P3/2pP1P2/pbN1K3/5RPP/8 b - -,d8b8
r3k2r/p2n1B2/b1p3pp/qpb1n3/3QP3/2N1BN2/PPP4P/2KR2R1 b kq -,e8f8
r1bqk2r/p5p1/2p1pbn1/2pp3p/2P1p2P/1P1P1NP1/PB2QP2/RN2K2R w KQkq -,d3e4
rn1Q1rk1/1pp2pb1/p3bnpp/4p3/2P1P3/2N1BN1P/PP2BPP1/R3K2R b KQ -,f8d8
7k/1Q4pp/p7/4r3/4p2P/2P2qP1/PP4K1/2R5 w - -,g2h3
1r2k2r/1p3p2/p2p4/3Pp1q1/1PP1P1b1/2NB1nQp/4NK2/R6R b k -,h3h2
2k3rr/pp1q4/2n1pp2/2Pp1n1p/5P2/6P1/PP5P/RN1Q1RBK w - -,b1d2
rn1q1rk1/pb2bppp/1pp1p3/3p3n/2PP4/4BNP1/PPQNPPBP/R4RK1 b - -,b8d7
6k1/2nn3p/3p2p1/2pPp3/2P1p3/2B1bP2/N5PP/1N3K2 w - -,f3e4
1r4k1/5ppp/1rp1pn2/p1n5/4P3/P3R1N1/2K1BPPP/7R w - -,h1d1
rn1q1rk1/1p2ppbp/2p2np1/3p1b2/p1P5/1P1P1NP1/PBQ1PPBP/RN3RK1 w - -,b1d2
6k1/p6p/1r1pp1p1/8/2p1P3/1qP2P2/b4QP1/R1K4R w - -,c1d2
1r3rk1/2q1npb1/pNnpb1pp/P1p1p3/4P3/2PP1NP1/3BQPBP/R4RK1 w - -,c3c4
5rk1/p4p1p/3p1b2/2p4p/qnP1P1b1/1R1P3P/P2Q2R1/5B1K b - -,a4d7
1r6/6bk/1P2n1p1/2BNp3/2K1P2p/5p1P/R4Nq1/4Q3 w - -,c4b5
5r2/p1rq1pkp/2p1p1p1/Q1Pp4/1R6/2P3PP/P3PPK1/1R6 b - -,d7e7
r2q1rk1/b2b1pp1/3p1Bnp/1p2p3/2pPP3/2P2NNP/1PB2PP1/R2Q1RK1 b - -,d8f6
r1r3k1/p6p/6pb/2P2p2/2Np1P2/3P4/4P2P/1R3RK1 w - -,b1b5
