8/8/5kp1/1p5p/1P2KP2/4N1PP/4b3/8 b - -,f6e6
8/p3r2p/1p4p1/3Rk3/2P1B1PP/1P3K2/P7/2b5 b - -,e5f6
3r1rk1/1b2bp1p/1qnpp1p1/pNp2n2/2P5/P3BNP1/1P2PPBP/1RQR2K1 b - -,f5e3
3rr3/pb1nk1p1/1p1Rpp1p/2p1P2P/2P2P1B/PKP3P1/8/3R1B2 w - -,f1h3
3r4/pp2q3/3p1b1k/1PpRnB1p/2P1Pp2/5P1p/P5R1/5Q1K w - -,g2g1
r1b1r1k1/1pq3bp/p1p2pp1/P2pP2n/1P1Q1P2/2N3PP/2P2BB1/R3R1K1 w - -,e5f6
2r2rk1/2q1bppp/p2p4/1p1PnBP1/n2Q3P/1N6/PPP5/1KBR3R b - -,g7g6
1r3r2/p3p1kp/3n2p1/3Bb3/1P6/8/P2B1P1P/3RK2R w K -,e1g1
2R5/6kp/1p6/p4p2/8/P6P/bb1r2B1/4N2K w - -,e1f3
1r1b2k1/1r1B1p1p/2Rp2p1/3Pp2P/1qP5/1P3QP1/5PK1/1R6 w - -,f3g4
5k2/5p1p/p3p3/Pprn1pr1/2q5/2PR1QN1/6RP/7K w - -,g2d2
B7/8/8/p1p1k1pp/pbP5/7P/K5P1/8 w - -,a8f3
r1b1kb1r/pp1nppp1/1qp4p/3p4/3P1Bn1/2NQ1N2/PPP1PPPP/2KR1B1R w kq -,f4g3
rn1qr1k1/pbp1bppp/1p1p1n2/3p1N2/2P5/6P1/PP2PPBP/RNBQ1RK1 w - -,c4d5:b1c3
r3Rbk1/1b3q1p/2Q1npp1/p1p1p3/P1P1P3/BPN5/4BPPP/6K1 w - -,c6e6
8/1k3p2/3p3p/2bPp1pP/4P1P1/1NR2P2/1PK5/5r2 w - -,b3c5
r3rbk1/2q2ppp/p2p2n1/8/1PpNP3/4B1PP/2Q2P2/2R1R1K1 w - -,c2a2
r2q1rk1/pbp1bppp/np6/3p4/3P1B2/2R2NP1/PP2PPBP/3Q1RK1 w - -,f3e5
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN1BQ1P/PPP2PP1/2KR1B1R b - -,b7b5:a6a5
1kn2b1r/1pr4p/p1q2p2/2Pp2p1/3P1B2/5PP1/P3RPKP/1R1Q4 w - g6,f4c7
r1bqk2r/ppp2ppp/2n2n2/2b1p3/4P3/5N2/PPPNBPPP/R1BQ1RK1 w kq -,c2c3
r2r2k1/1b2bp2/p3p1p1/4P2p/P4P2/1p1B2NP/3R2PK/3R4 w - -,d3b1
1r4k1/p4pp1/3N3p/6b1/1R6/2B3P1/2r2P1P/R5K1 b - -,b8b4
r1b3nr/pp3Q1p/1b1kpq2/3p4/8/5N2/PPP2PPP/R1B2RK1 w - -,c1f4
r1r3k1/pp1bb1pp/1q1np3/3pBp2/3P4/1P2PPPN/P5BP/2RQ1RK1 w - -,f1f2
3r1k2/2n2bpp/2p2p2/1p2p1P1/4P2P/1P1N1P2/1KP1B3/6R1 w - -,f3f4
r2qkb1r/1p1b1pp1/2n1p1n1/pP1pP1Pp/3P3P/P1N2N2/1B3P2/2RQKB1R b Kkq -,c6a7
5bk1/1p2p1p1/2n5/p2r1P1R/8/2B4P/PP4P1/4K3 w - -,h5g5
1R6/2B5/2p3p1/3b1kP1/5P2/b5K1/8/8 w - -,b8d8
rn1qk1nr/pp2ppbp/2p3p1/3p4/3PPPb1/2N1BN2/PPP3PP/R2QKB1R w KQkq -,e4e5
r1bq1rk1/ppp1bppp/2np1n2/8/2P2N2/P1N1P3/1P3PPP/R1BQKB1R b KQ -,c8f5
8/7p/5pk1/4p3/p1qpP2P/P2N1P2/3K2P1/2R5 b - -,c4a2
r1b1k2r/5ppp/p1q1p3/1pnpP3/5P2/2N5/PPPQ2PP/R3KB1R w KQkq -,c3e2
3r1rk1/ppp1qp2/2npbn1p/2b1p1p1/4P2P/1BPP2B1/PP3PPN/RN1QK2R b KQ -,g8g7
r4r1k/3b1qb1/2ppn2p/p3pp2/2P2P2/3PP3/P1N1N1BP/1RQ2RK1 w - -,c1a3
7r/4kpp1/p2p4/3QpPb1/4B3/2q5/2P4P/R3R2K w - -,d5d3
1rb1r1k1/2q2ppp/pp1b4/2pn4/P1Np1PP1/1P1P3P/1BPQN1K1/R4R2 w - -,c4d6
r5k1/r1qn1bpp/2pb1p2/ppp1pP2/P3P1P1/1PBPNN1P/2P1Q3/R4R1K w - -,g4g5
q1r5/P4pkp/1b3np1/3p4/RP3Q2/6PP/5P1K/3R4 w - -,d1c1
r1b1N1k1/pp1n1p1p/6p1/8/P2pB3/1P4P1/2P1PP1P/4K2R b K -,d7c5
rn3rk1/1b3ppp/pq1ppn2/8/1PPQ4/p3NNP1/4PPBP/R4RK1 b - -,b6d4
1r4k1/5p2/4b1p1/2q1p2p/2p1P2P/4PBP1/1PRQ4/6K1 b - -,g8h7
2r1r1k1/1p1b1pp1/1q1p2np/p1pPp1bn/P1B1P3/BPN1Q2P/2PN1PP1/3RR1K1 w - -,e3f3
rnbqk2r/ppppppbp/5np1/8/8/2PP1N2/PP1NPPPP/R1BQKB1R b KQkq -,e8g8
8/3k4/2p2b2/1pP3p1/1P2B3/8/8/1K6 b - -,f6c3
8/8/4K3/8/2N2k2/8/3r4/8 b - -,d2d3
1R6/r5pk/5r1p/6p1/3N2P1/4P3/5PKP/8 w - -,b8b2
7r/3kbpp1/1Rb1p3/4P2p/1p3P2/3r1NP1/6KP/2R3N1 b - -,h8c8
1b3rk1/1P3pp1/3P1rp1/2PQ4/8/6P1/6KP/8 b - -,f6f5
rnb1kb1r/pp1n1ppp/1q2p3/2ppP3/3P4/2PB4/PP1NNPPP/R1BQK2R b KQkq -,b8c6
2bqnrk1/4ppbp/p2p1nP1/2pP2B1/1r2P1P1/1BN2P2/PP1Q4/R3K1NR b KQ -,f7g6
1k1r4/1pb5/4q1p1/2p1n1P1/3pP2p/PP1P4/3Q1RK1/3B1R2 w - -,f2f6
r4k2/1pp3bQ/4P3/p3Pp2/8/2N5/Pq3PP1/n4K1R b - -,b2c1
2r3k1/q4ppp/p2np1P1/3b3P/1prN4/5P2/PPPQN1R1/1K3R2 b - -,f7g6
3b1R2/1p1r4/3P4/p1P2k2/2KB4/PP3p2/8/8 b - -,f5g4
r4r1k/1bq1bp1p/p3p1p1/4P3/1p1NnB2/4R2Q/PPP1N1PP/5R1K b - -,a8d8
8/3k3p/3P4/2P2p2/2K1p2p/6PP/8/8 w - -,g3h4
2r1k1r1/1p3p2/pBn1p3/6Pp/7n/1B6/PP6/1K1R1R2 w - -,f1h1
4r1k1/p5pp/8/p1p2p2/3b1N2/PP1P4/2P2PPP/4RK2 b - -,e8e1
5bk1/1p1q3p/4p1p1/pb1pP3/3PpPP1/1B2B2P/PP6/2Q3K1 b - g3,a5a4
1r1q1rk1/p2b2Bp/3pp1p1/n7/1p1N3P/5P2/PPPQB1P1/2KR3R b - -,g8g7
6k1/5P2/3R4/1R2p2n/p6P/P1P1r3/K1P5/8 b - -,g8g7
r4rk1/1p4p1/4q2p/p2pP1n1/2nP1R2/3Q3P/P1P3PK/4BR2 b - -,f8f4
7r/1R6/2p1k3/2PpP3/P2rb3/1B6/KP6/4R3 w - -,b7c7
3r3k/2q4p/6p1/2BBp3/3n4/1P4P1/r1PQ3P/2R3K1 w - -,d2d4
1R3bk1/2P2p1p/6p1/5p2/KPn5/3r1PP1/7P/7R b - -,d3a3
r4rk1/2pqppbp/pp4p1/n5B1/P2PP3/2P2N2/4QPPP/R4RK1 w - -,f1d1
3r2k1/3p2p1/b3p2p/p4p2/Nr1p4/1P1P2R1/2P2P1P/K3R3 b - -,d8c8
8/pp3Qbk/7p/2q4p/P4BP1/3nPP1K/1r6/5R2 w - -,g4h5
8/4k3/7R/4K3/4B3/8/8/4r3 w - -,h6h7
8/6k1/8/8/1p6/r5P1/1R5P/2K5 b - -,a3f3
8/7p/R5k1/1p1r4/1P6/P3ppN1/3b1P1P/3K4 b - -,g6g5
1r3k2/5p2/5p2/4p2p/2R1P2P/6P1/5PK1/8 b - -,f8g7
8/2qbb1k1/p7/3pp1p1/3p2Pp/1PrP1B1P/P2Q1P2/4NK1R b - -,d7c6
r4rk1/1p1q2pp/2n1pn2/2bp4/p4B2/2NB4/PPP1QPPP/1K1R3R w - -,a2a3
2R5/5p1p/p4k2/P2P2p1/1P2N1P1/5K2/r6P/4b3 b - -,f6e5
2r1r1k1/pp1nbppp/1qp1pn2/4N1Bb/3P4/1P3NP1/P1Q1PPBP/R2R2K1 w - -,e2e4
r4r1k/ppp1n2p/3pB2q/3P1p2/4P3/2P1N2P/PP4P1/R2Qn1K1 w - -,d1e1
8/1p4k1/p2p1p2/3P1Prp/P2p2P1/1P2b3/4B3/R6K w - h6,a1f1
r6k/2p1n1r1/3pB1pb/pPpPp2p/2P1Pq1P/R4P2/1P2KB2/3Q3R w - -,f2e3
r1b1k2r/2q1bppp/p1nppn2/1p6/4PP2/PNN1BB2/1PPQ2PP/R3K2R b KQkq -,c8b7
4R3/p7/1r5p/6p1/2PkB3/b2P3P/2K3P1/8 w - -,e8d8
r2q1rk1/1p3pp1/3Pp2p/1b1pN3/3P1B1P/p3R3/Pn3PP1/RQ4K1 b - -,d8f6
r4rk1/p2qn1bp/bpn1ppp1/2ppP3/5P2/2PP1NP1/PP2Q1BP/RNBR2K1 w - -,e5f6
