8/8/8/4k1Nb/6p1/4PP2/5K2/8 w - -,f3f4
8/3n1pk1/1rp1p1p1/p2p2P1/P6P/1PP5/8/2KR3R b - -,b6b3
1nN5/5p1p/3P2k1/1Bp1b1P1/8/7P/5KP1/8 w - -,h3h4
2b5/2k3p1/3p1p1p/1Pp4P/2PpPPP1/8/4K1B1/8 w - -,e2f3
5k2/1p2R1p1/p2B1p2/3K3p/8/3r2P1/8/8 w - -,d5c5
R1br4/5pp1/6k1/8/1p4pP/1P4K1/5P2/4R3 w - -,f2f3
r3k2r/pp3ppp/2p2q2/1Q6/3N4/2P1P1P1/P4PP1/R3K2R w KQkq -,b5b7
r2qkb1r/pp3ppp/3p1n2/2p1p3/2BnP1b1/2NPBN2/PPP2PPP/R2Q1RK1 w kq -,e3d4
r1bq1rk1/pp3pbp/1nn3p1/1B2p3/8/2P2N1P/PP1N1PPB/R2Q1RK1 b - -,f7f6
2rr2k1/1b2ppbp/1n4p1/p7/1p4N1/P2B2BP/1PP2Kn1/R1N4R w - -,c1b3
6n1/p2k4/1pp1p3/2p1Pp1b/1PP2P2/P1NPN1P1/3K4/8 b - b3,c5b4
2r2r1k/1p2bppp/p2p1n2/q2b4/2P1PB2/3B4/PP1R2PP/1K1Q3R w - -,e4d5
r1bqkb1r/1p6/p1n1pp2/3p2pp/3P3P/P1N1PNn1/1P3PP1/2RQKB1R w Kkq -,f2g3
1R6/4k2p/B5p1/2P2p2/3q4/6P1/3r1r1P/5QK1 w - -,b8b7
r1bqkb1r/pp2pppp/2n2n2/2pp4/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq -,g1f3:f1g2
3qr1k1/6p1/3nb2p/1p2Q3/p2PBp2/P4N1P/1P3PP1/2r1R1K1 w - -,e1c1
rnbqkb1r/ppp3pp/5n2/3p1p2/3Pp3/1P2P3/PBPNBPPP/RN1QK2R b KQkq -,f8d6
1n6/4kppQ/8/3pP3/1p2n3/4P2P/2q1KPP1/1R5R w - -,e2f3
8/4Qpkp/2r3p1/4P3/5q2/7P/6P1/3R3K w - -,d1e1
r4rk1/pp2pp1p/1nbp2p1/8/1PP1P3/2N4P/P3BPP1/R4RK1 w - -,c3d5
r3rnk1/5pp1/2p4p/2Np3q/3P4/3BP1bb/2Q2P1N/1RR3K1 w - -,f2g3
r1bqk1nr/1p2ppbp/p1np2p1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 b kq -,c8g4
6k1/p1r3pp/1p2qb2/5p2/2bPpP2/P1N1Q1P1/1P5P/R2R2K1 b - -,c7d7
r1bqkbnr/pp1ppp1p/2n3p1/8/2BNP3/8/PPP2PPP/RNBQK2R b KQkq -,f8g7
r4rk1/1b2qppp/4pn2/p2pN3/Pb1Q4/2N3P1/1P2PPBP/R2R2K1 w - d6,a1c1
8/8/5R2/2p3pp/2r5/3r2PK/2k5/6R1 w - -,f6f5
r7/4p1kp/3p4/5p2/N1r2PnP/R1P3P1/2P5/R5K1 b - -,c4e4
4r1k1/2p1rp2/3p1npp/1p1P4/3PP3/3B4/1P2R1PP/R5K1 w - -,a1e1
8/pp1R1p1k/n1p4p/4r1p1/1PP1BN2/P5PP/5P2/6K1 b - -,e5e4
8/1p3kp1/1b2p2p/1P3P1R/3PK1PB/8/1r6/8 b - -,b6c7
2r1nk2/RR4p1/2Pp2np/3P4/1p2PP1P/6P1/5K2/8 w - -,b7b4
r1bq1rk1/1p1nbpp1/p2p1n1p/2pP4/4P3/3B1P2/PP1N1BPP/R2QK1NR b KQ -,b7b5
4B3/8/1p6/4pb2/8/Pk3P1p/7K/8 w - -,a3a4
1r4k1/R4p2/3P2p1/4r3/1pQRpq2/5B1b/1PP3P1/6K1 b - -,f4e3
8/1b1n4/p1pk1ppp/4p3/NP2PPBP/4K1P1/P1P5/8 b - -,d7f8
r2qkb1r/pppb1ppp/2Bp1n2/8/3QPP2/2N5/PPP3PP/R1B1K1NR b KQkq -,d7c6
1r3k2/1p3pp1/p7/2PpR3/3P2b1/1P4P1/P7/5RK1 b - -,b8d8
r4r1k/2p3pp/p4p2/1p1RpP2/3R4/q1P1Q1P1/Pn3PNP/6K1 w - -,d4b4
r1bq1rk1/1p3pbp/2n3p1/p1n1p3/2Pp4/P2P1NP1/1B1NPPBP/1R1Q1RK1 b - -,c8d7
8/7p/1B4p1/pp4P1/2p1k3/P1K5/6P1/8 b - -,a5a4
2r1r1k1/p4pb1/1p1q2pp/4p3/1n6/1P1P1BPP/P2Q1P2/B2RR1K1 w - -,e1e4
rnq1kb1r/ppp1pppp/5n2/3p1b2/3P1B2/1QP2N2/PP2PPPP/RN2KB1R b KQkq -,e7e6
r2q1rk1/pp1nbppp/2p1p1b1/3pP3/2PP1BP1/1PN2B2/P4P1P/R2Q1RK1 w - -,d1e2
8/5ppk/1bB4p/1P2P3/1B3P1P/6P1/6K1/3r4 w - -,h4h5
r3b1k1/5p1p/p3p3/1p1pPnPp/2rB1P2/PNPR4/1KP5/7R w - -,d3h3
5rk1/5p1p/2Qp1Pp1/3Pp1P1/4P2P/5BK1/1r3b2/8 w - -,g3g4
r2r2k1/ppp2pp1/2n1bq1p/3p4/1b1P4/2N1P1P1/PP2NPBP/R2Q1RK1 w - -,a1c1
8/5nk1/3r4/6p1/6P1/2R2PK1/5N2/8 b - -,d6a6
rnb1k1nr/1pqp1ppp/p2bp3/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 w kq -,g1h1
8/8/5KP1/3k4/8/8/8/6r1 w - -,g6g7
rn1q1rk1/pb3pbp/3p1np1/1p1P4/P1p1P3/5N1P/1P3PP1/RNBQRBK1 b - a3,a7a6
8/P4p2/3kn1p1/3p3p/1p3p2/8/2B3PP/7K b - -,e6c7
8/1p5k/p2N2p1/P4p1p/2P1pb2/1PB5/8/1K6 w - -,d6e4
8/7p/1B2k1p1/4pp2/7P/3nK1P1/5P2/8 b - -,d3b2
r3r1k1/1b1nqp2/1ppb1np1/p2p3p/P2P4/1PN1PNP1/1QR1BP1P/R3B1K1 w - h6,e2f1
r2qr1k1/pp2bppp/2np1n2/2p1p3/2PP2b1/2N1P1P1/PP1QNPBP/R1B2RK1 w - -,b2b3
8/R4p2/3r1k1p/6pP/6P1/6K1/8/8 b - -,f6e6
rnbq1rk1/p3p1bp/1pp2ppn/3pP3/3P1P2/1P2BN2/P1P1B1PP/RN1QK2R w KQ -,h2h3
8/8/5p2/p3p1p1/Pk1p3p/1P2rP1P/1KPR2P1/8 w - -,d2f2
r3k2r/1pqnbppp/p2pbn2/4p3/P3PP2/1NN5/1PP1B1PP/R1BQ1RK1 w kq -,a4a5
8/8/7p/3r1p1P/npk2Pp1/p7/2PB2P1/R3K3 b - -,a4c3
r5r1/pppqnpk1/8/3pP2p/3P2PP/P2Q2b1/1P1B1NP1/2KR3R b - -,g3f2
6k1/3bp1bp/3p1pp1/3P4/2p2B2/1nP3P1/r3PPBP/1N3RK1 w - -,e2e4
8/1kqrbp1r/4b3/3pP2p/1ppN2pP/2P1B1P1/1PP2Q2/2KR1R2 w - -,c1d2
rnb1k2r/pp2ppbp/1qp3pn/3pP3/3P1PP1/2N4P/PPP5/R1BQKBNR b KQkq g3,f7f6
r2qk2r/pbp1b1pp/np2pn2/5p2/2P5/4PNB1/PPQN1PPP/2KR1B1R b kq -,e7d6
2r3k1/1b3ppp/4p3/1p1rP3/1PqN4/2PR2QP/6P1/3R2K1 b - -,c8a8
8/5p2/1R4kp/3p4/4r2P/6P1/8/7K b - -,e4e6
1r1r2k1/2q1nppp/pn1p4/B3p3/8/1QPP2P1/5PBP/R4RK1 b - -,e7c6
2rqr2k/pp3pp1/2nbbp1p/5B2/3P4/P1N2N1P/1PQ2PP1/R3R1K1 b - -,d8d7
5n1k/5ppp/p1pq4/8/8/P3N2P/1PQ2PP1/6K1 w - -,c2c4
2r2rk1/2qn2pp/p1Np1b2/1p1Pp3/5B2/5P1B/PPPQ3P/2KR3R b - -,e5f4
Q7/6pk/7p/p1P5/8/7P/6P1/2q2NK1 w - -,a8a5
2r3k1/pb1n1pp1/3B1n1p/1pp5/7N/1BP5/PP3PPP/4R1K1 b - -,c5c4
5rk1/1pqr1ppp/p2Rp3/P1P5/1P6/8/3Q1PPP/3R2K1 b - -,d7e7
8/1r4bk/3p4/3Npp1p/1PR5/5P1P/6PK/8 w - -,c4c6
4r1k1/p1p2pp1/1p2rn2/3p4/2qP4/P1P1PPPp/3B1R1P/1Q2R1K1 w - -,f2e2
r2q2k1/ppp1rp1p/3p2p1/1P1P4/1P2p3/P3P3/1Q3PPP/R3K2R b KQ -,e7e5
5r2/2p1rpk1/6p1/pPbBP2p/P1P2R2/6P1/6K1/5R2 b - -,c5b6
r2qr1k1/ppn2pp1/2pbbn1p/4N3/3P4/PB3QBP/1P1N1PP1/R3R1K1 w - -,b3c2
1qrr1bk1/1b1n1ppp/pp1p1n2/3NpN2/2P1PPP1/1P2B3/P3Q1BP/2R1R1K1 b - -,b7d5
r4rk1/pp3pp1/4b2p/2n5/7B/2P2P2/P3B1PP/2R2RK1 w - -,h4f2
rn1q1rk1/1pp3bp/2b1p1p1/3nPp2/p1B2P2/2N1BN2/PP4PP/R2QK2R w KQ -,f3g5
5krr/pppb2pp/2n1p2n/b2pPp2/3P1PP1/P1NBB2P/1PP1N3/2K3RR b - g3,g7g6
