8/4r3/2p4p/5Bp1/P4kP1/1P6/2P2K2/8 w - -,f5c8
1r4k1/3npp1p/b2p2p1/q1pP4/Nr3P2/PP4PP/1RQ1P1B1/1R4K1 b - -,b4b7
r5k1/5ppp/4p3/pn1r4/1p2NPP1/1P2K3/P6P/R4R2 b - -,a8d8
r3r1k1/p2q1pb1/n5p1/1ppP1b1p/n4N2/4N1PP/1P3PB1/R1BQ1RK1 b - -,g7d4
8/3k4/1p6/pP2Rpp1/P2K3P/6P1/2r5/8 b - -,g5h4
1rb3k1/2pp1pp1/3b3p/3Pr3/1p5q/2P5/1PB2PPP/R1BQ1RK1 w - -,g2g3
8/8/5B2/5p2/8/6kP/4K3/7r w - -,f6e5
2kr1r2/1p1n2pp/p3N3/4p3/8/1P2BP2/P1P2KPP/3R4 b - -,d8e8
r3k2r/1p1q1ppp/p1pbpn2/5b2/P1BP4/2N1P3/1P2QPPP/R1B2RK1 b kq -,f6e4
r5k1/ppp3pp/2n1pr2/8/2p1Pq2/2QP1N2/PPP3PP/R3K2R w KQ -,c3d2
2rq1rk1/1p1nbppp/p2p1n2/3Pp3/P1N5/4B3/1PP1BPPP/R2QK2R w KQ -,e1g1
rnbqkb1r/pp3pp1/7p/1N2p3/8/2P3P1/P3PPBP/R1BQK2R b KQkq -,d8b6
rnbqkb1r/p3pppp/2p2n2/1p2N3/2p5/6P1/PP1PPPBP/RNBQ1RK1 b kq -,d8c7
1R6/5ppk/2B1n1p1/7q/7Q/4P1PP/5P1K/r7 w - -,h4h5
8/8/5p2/5ppk/7P/3KP1P1/r1R2P2/8 b - -,a2a3
5k2/p4p2/4p3/1R6/8/r7/P4P2/6K1 w - -,b5b2
8/5p2/4pkp1/1R1r3p/5P1P/6P1/5K2/8 w - -,b5b6
2r3k1/2r1p1n1/p2p1p1Q/1p1P1qp1/4N3/1P3P2/P1P3R1/1K5R b - -,g8f7
5rk1/pppq2pp/2n2rB1/3p4/PP1P1pb1/2P2NP1/2QN1PP1/R3R1K1 b - -,f6g6
r1bqk2r/pp3ppp/2nbpn2/2Pp4/5B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,d6c5
3r2k1/pp4pp/2b1R3/8/1Pp5/P7/4B1PP/6K1 b - -,c4c3
1r6/3bkp2/4pp1p/1p6/2pbPP2/1PN2BP1/1KP4P/4R3 w - -,e1d1
r1b2rk1/pp3ppp/6n1/1R1N2N1/q7/b2Q2P1/P3PPBP/5RK1 w - -,d5c7
5Q2/8/4k3/KP1pp3/5p2/8/3r4/8 b - -,d5d4
r2r2k1/pp1qppbp/2p3p1/3nPb2/2BPn3/1QN1BN1P/PP3PP1/2RR2K1 w - -,c3d5
r1b2rk1/1pqn2bp/2Pp4/p1P1p2n/5p2/2N1BN2/PP3PPP/R2QRBK1 b - -,f4e3
2rr2k1/pp1qppbp/2p2np1/3pB3/2P5/1P1P1NP1/P1Q1PPKP/2RR4 b - -,d7e6
2r2rk1/1R1R3p/4p1p1/1Np5/2P5/5P1P/1b3P2/6K1 b - -,h7h5
1nr3rk/1qb2ppp/p3pn2/1P1p4/p2NP3/5P2/P2QB1PP/1RR3BK b - -,a6a5
5rk1/p4pb1/1r4pp/2p5/2B2R2/2P3N1/PPb3PP/3R2K1 w - -,d1c1
8/8/3p2k1/b1pP3p/2P2P2/1P3KN1/8/8 w - -,f4f5
4rr1k/1pp4p/p2n2p1/3P1p1n/7q/PBN2QbP/1PP2BP1/3RR1K1 w - -,f2g3
5k2/3b4/1p3r2/p1p1Rp2/5P2/P3N3/1P2K1P1/8 b - -,f8f7
2kr3r/ppqn1pbp/2p2np1/4p3/4PPP1/2N3QP/PPPB2B1/2KR3R w - -,g3f2
r4r2/4ppkp/6p1/p1n1N3/b7/6P1/q2PPPBP/1R1Q1RK1 w - -,d1c1
2N5/5p2/p1p1k1p1/1p1P3p/8/1P5P/5KP1/8 b - -,e6d5
1r6/3N4/2p1p3/r2p1k1p/P1pP1P2/2Pb4/R4R1K/3n4 w - -,d7b8
r4rk1/p4ppp/1pn1pn2/8/2PPq3/4BN2/P3QPPP/2RR2K1 b - -,f8d8
rnbqk1nr/pp3ppp/2pb4/3p4/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,g8e7
5r1k/1p4bp/p3pq2/P1Q3p1/2BP1P2/5R2/2P5/4RK2 b - -,g5g4
rn1q1rk1/pp2b1pp/2p5/3pNb2/3Pn3/2N5/PPP1B1PP/R1BQ1RK1 w - -,c3e4
2kr2n1/1bqn1p2/p1p3r1/1p2p3/4P3/3N1P2/PPP2Q2/2KR1BNR b - -,c8b8
1b6/3R1pkp/3p2p1/3bp1B1/1r4P1/4N2P/5P2/6K1 b - -,d5c6
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2B1P3/2N3N1/PPPP1PPP/R1BQK2R w KQkq -,d2d3
r5k1/1rq2p1p/2p3p1/p1Pp1b1P/5b2/5QP1/P4PB1/3RR1K1 w - -,g3f4
8/6pk/7p/5p2/2Np4/3R1KP1/r1r5/5R2 w - -,d3d4
4r3/1p2bkpQ/4bpp1/4P3/p1p2P2/3qB3/6PK/4R2R w - -,h1f1
r2r2k1/6bp/pn4p1/Bpq1pp2/2p1Q3/PP3P2/B1P3PP/3RR2K w - -,e4e2
1r1r2k1/p2b1p1p/4pnp1/8/1PB5/1N6/P4PPP/2R1R1K1 w - -,a2a3
8/3R1pkp/6p1/1P1nN3/4rP2/8/7P/4K3 w - -,e1d2
8/8/p1p2kp1/3Pp3/1P6/P1K1R1Pb/3N1r2/8 b - -,c6d5
5r2/ppr1p1kp/6p1/3PR3/8/1P4PP/3R1PK1/8 b - -,f8f6
8/2R5/6P1/8/1r6/1k2K3/8/1q6 w - -,g6g7
2k5/K6R/1P6/P2r4/8/8/8/8 w - -,b6b7
r3k1nr/p2qppbp/1p1n2p1/2pP4/5B2/2P2N2/PP3PPP/RN1Q1RK1 w kq -,b1a3
2r2r1k/pp2b1pp/1q5n/3pPP2/7p/3B4/PPPBQ1K1/R4R2 b - -,h6f7
8/8/1pkn4/2p4R/2b1P3/p2K4/8/8 w - -,d3c3
2r1r1k1/pp5p/3pNqp1/3Pnp2/2P1pQ2/1P5P/P4PP1/2RR2K1 w - -,c1c2
r5k1/1q1nbp1p/6p1/3b4/1p1N4/3QPN1P/1P1B2P1/5RK1 w - -,f1c1
6k1/5pp1/5r1p/3Q4/2Ppq3/5NP1/5PKP/8 b - -,e4d5
8/6kp/p1r3p1/1p6/1P3p2/P2Rb2P/2P1R3/3K4 w - -,h3h4
8/8/2p1k3/2Pp4/1p1P1p2/8/2K3PP/8 w - -,c2b3
r1bq1rk1/1pp1ppbp/p1np1np1/4P3/P2P4/2N1BN1P/1PP2PP1/R2QKB1R b KQ -,f6e8
3r2k1/pb2r1pp/1p3q2/2pnpp2/1PN5/P2PP2B/1Q3PPP/2RR2K1 b - -,c5b4
r1bqk1nr/5pbp/p1p1p1p1/3pP2P/3Q4/2N2N2/PPP2PP1/R1B1K2R b KQkq -,g8h6
6q1/ppn2r1k/2bp2Np/8/2P5/2B5/PP3RPP/1Q4K1 b - -,f7f2
8/pR6/6k1/8/4r3/2P5/2P5/2K5 b - -,e4a4
8/pr1q1p1k/3p1Qp1/2pP2Pp/1rP4P/4PP2/P1R1K3/7R b - -,h7g8
3kb3/6pp/1p1r4/p2P4/P7/1P4PB/1R5P/6K1 b - -,d6d5
r7/4kp2/3bp1p1/3p2P1/2n2P1P/2B5/1Pn1B3/3K3R w - -,d1c2
r2q1r2/2p1npbk/p1bp1npp/1p2pP2/3PP1N1/2P3NP/PPB3P1/R1BQ1RK1 b - -,e7g8
r4rk1/p1pq1ppp/1np2b2/8/8/1PNP1QP1/PB3P1P/R4RK1 w - -,a1c1
2r1k2r/1p1n1pp1/p1pbpn2/3p2p1/2PP2P1/1PN1PP2/1P1BB1KP/R6R w k -,e3e4
r1b1r1k1/1p3ppp/p2q1n2/3n4/3N4/1Q3P2/PP2BBPP/R3R1K1 b - -,b7b5
2kr3r/1b1n1qpp/pp2p3/4Pp2/PPPp1P2/3B1N1Q/6PP/R4RK1 b - b3,f7e7
r3r1k1/4nq1p/p1pRbpp1/PpQ1p3/4P3/1P3N2/2P1BPPP/1K1R4 w - -,b1b2
8/6k1/4R2p/5p2/4pP1P/r7/5KP1/8 w - -,e6e5
8/8/8/8/P6R/2pr1P2/3k2K1/8 b - -,c3c2
6k1/6p1/4p1p1/2B2p2/1P6/3n1P2/5P1P/6K1 w - -,c5d6
8/4k3/1R3p2/8/4PP2/r7/4K3/8 b - -,a3c3
2r3k1/pp1b1ppp/5n2/3p4/3P4/1P1B4/P2NKPPP/7R b - -,c8e8
r7/1p3kbr/2p1n1p1/5p2/4pP2/1P2P3/1BKP3R/2N5 w - -,h2h7
r4r1k/p2nppbp/2p2np1/q1Pp4/3P1P2/2N1B1P1/P2Q1PBP/1R3RK1 b - -,f6g4
r5k1/1p5p/2p3pq/p2pN3/P2Q4/1P4NK/2P2r2/3RR3 w - -,d4h4
4r3/Nn1q2kp/1p3p2/3r4/1BQ3pN/P5P1/1P3P1P/2R3K1 b - -,b7c5
2k1r2r/pp3p2/2p2Bb1/q2pn3/Pb1P2P1/2N2P2/1P1Q2N1/R4RK1 b - -,e5c4
