8/1p6/pB2n1p1/P2k3p/1P3P1P/3K4/8/8 w - -,b6e3
5nk1/2b5/B1N1pp1p/p2p4/3Pn3/P2NP2P/1P3PP1/6K1 w - -,f2f3
3r4/2kP1p2/3Rp1p1/p1P3Pp/2K2P1P/8/8/8 w - -,c4b5
r1b1r1k1/pp3ppp/2n2n2/q1bp4/5B2/P1N2NP1/1P2PPBP/2RQ1RK1 b - -,c5f8
2N2k2/1p3p1r/2b5/p3b3/P1P1P3/1P3R1p/5P2/4RBK1 b - -,h3h2
rqb1kb1r/1p1p1ppp/p1n1pn2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq -,f8c5
3r4/1q4kp/p3rnp1/4np2/BBpR1Q2/2P2P1P/P4P2/5RK1 b - -,f6h5
rnbqk2r/1p1pnppp/p3p3/2b5/3NP3/2PB4/PP3PPP/RNBQK2R w KQkq -,b1d2
r4rk1/1npqbppp/p2p4/1p6/3NP3/8/PPPB1PPP/R2QR1K1 b - -,e7f6
1R6/1P3pk1/7p/4Kp1P/8/5P2/8/1r6 b - -,b1b5
r3kb2/pp1q1pp1/2p2n2/2P3p1/P1N1p3/1Q4Pr/3PPP1P/1RB2RK1 b q -,f8c5
6k1/p4ppp/2P2q2/8/1BB1r3/PK4bP/2P5/3R3R b - -,f6c6
r5k1/1p1q1ppp/p2p4/P1rP4/4R3/1P5P/5PPK/3QR3 b - -,h7h6
2k3r1/ppp1r1p1/2n1p1Np/4P1n1/3P2P1/4K3/PP2N3/3R1R2 b - -,e7e8
5rk1/ppr4p/4p1n1/2Ppqp2/b7/PN1Q2P1/P3PPBP/3R1RK1 w - -,d1b1
r3k2r/1bpnqpb1/pp1pp3/7p/P2PP3/2PBNPP1/1P1NQ3/R3K2R b KQkq -,h5h4
8/p7/3k2p1/P4p1p/1PPr3P/4NKP1/5P2/8 w - -,b4b5
1rb1k2r/1pq1bpp1/p1nppn2/7p/4P3/1NN1BPPP/PPPQ4/2KR1B1R b k -,b7b5
8/8/2k1p1p1/P1BpPp2/1K2nP1P/8/8/8 w - -,c5e3
r2qbrk1/2p1bpp1/1p2p3/p1PpN1p1/1P1P1P2/P1NQ2PP/5P2/R3R1K1 w - -,f4f5
R7/4kp2/P7/8/4p1Pp/7K/1r4P1/8 w - -,a6a7
7R/2r1k3/p1nnp3/3p1p2/Pp1P2p1/1P1NP1P1/2B2P2/3K4 w - -,d3c5
rnq2rk1/1p4pp/3p1p2/p1p1P3/2Pp1P2/1P6/P2PP1BP/R3QRK1 b - -,g8h8
r1bq1rk1/ppp2ppp/2nb1n2/3p4/3P4/2PB3P/PP2NPP1/RNBQ1RK1 b - -,c8e6
r2q1rk1/5pbp/p3p1p1/1p1b4/3P1P2/Q1P2N2/PP4PP/R1B2RK1 w - -,c1e3
r3qrk1/ppp3bp/3p2p1/3Ppb2/2P1N3/P3BPPP/1P2Q3/R3K2R b KQ -,a7a6
2n5/2k5/8/p2pPK2/2pP1B2/2P4p/8/8 w - a6,f5g4
5rk1/ppb2bp1/1qr1pn1p/3p4/P2P4/2BB4/1PR1NPPP/4QRK1 b - a3,a7a6
6r1/pp1b2k1/5p2/BP1p1P2/3P4/2PB3P/Pb6/4RRK1 b - -,g7f7
r2R4/pp3rkp/2p3p1/b1P2b2/1Q1p4/3P1PN1/PP4BP/4R1K1 b - -,a5b4
1r2k2r/4pp2/p6p/q2p3P/5BPR/1PPQ4/P2N4/K7 b - -,f7f6
1R6/5p2/1bB1p1b1/1P4p1/Pk6/4P2P/1n3P2/6K1 b - -,b2a4
r3k2r/pp1q1p2/2nP3p/3Qnbp1/2P1p3/P1P3PN/4PPBP/1RB2RK1 w kq -,c1g5
rnbqkb1r/pp3ppp/5n2/4p3/2Pp1P2/6P1/PPN1P1BP/RNBQK2R b KQkq f3,f8d6
3qr1k1/p2r2bp/1p4p1/2p2p2/P1P1P3/4BPP1/4P2P/1RQ2RK1 b - -,f5e4
r1bq1rk1/pp2ppbp/6p1/2pP4/4PP2/2P5/P2Q2PP/1RB1KB1R w K -,c1b2
r1bqr1k1/pp1n1pp1/2pbpn1p/3p4/2PP3B/2NBPN2/PP3PPP/2RQ1RK1 w - -,e3e4
6k1/1b1qpp2/pQ1p2pp/3P4/4P1P1/5PB1/P5PK/8 w - -,g3e1
4Q3/1k6/3r4/5PNp/3p2P1/3b4/2p2K1P/8 w - -,e8e7
1rb2rk1/p2n1ppp/1pnNp3/3pP3/5P2/6P1/PPPK1B1P/R4B1R b - -,d7c5
1r1q2nr/pp1b1pbp/3k2p1/1P1Np3/Q7/4P1P1/P4PBP/R1B1K2R b KQ -,d6e6
r1bq2k1/3n1rbp/p5p1/1pNPpp2/6P1/1PN1BP1P/1P1Q4/3R1RK1 b - -,d7c5
r1bq1rk1/pp3pp1/1bp3np/3np3/3P4/1BP2NNP/PP3PP1/R1BQR1K1 b - -,e5d4
r3n1k1/1p3pp1/1qp2bbp/p2p4/1P1P1B2/2P2NQ1/P4PPP/4RBK1 w - a6,a2a3
8/8/3k1p1p/3b1Pp1/1p3bP1/7P/1P3N2/1K3B2 w - -,b1c2
1r3r1k/1p4bp/2Ppb1p1/1q2pp2/1R6/3PP1P1/3B1PBP/3Q1RK1 b - -,b5d3
2kr1b1r/ppq2ppp/2p1pnb1/4P3/2B3P1/2N4P/PPPBQP2/2KR3R b - -,f6d5
1rbq1rk1/n1p1ppbp/3p1np1/3P4/Np6/1P3NP1/PB2PPBP/2RQ1RK1 b - -,e7e5
q3k2r/r4pp1/2bp1n2/p3pP1p/1pB1P3/6P1/PPPNQ2P/2KRR3 w k -,h2h3
2r5/4pk2/6p1/1p5p/3R1P2/nPBK4/2P4P/8 w - -,d4d5
1b6/5k2/4pp1p/3p2pP/1B1P2P1/1p3B2/1Pb1PP2/5K2 w - -,f1e1
1n1r1rk1/p4pp1/bp2p3/3n2N1/2p2N2/1P4P1/P1P2PB1/3RR1K1 w - -,f4e6
r4n2/1p2Rpkp/2p3p1/5q2/PP6/1Q4PP/5P2/5BK1 b - -,b7b5
r4rk1/pbqpnpbp/1p1Np1p1/n1p1P3/P4P2/2P2N2/BP1P2PP/R1BQ1RK1 b - -,b7a6
3r1rk1/2q2ppp/1pp1p3/3n4/P3R3/1B1P4/1PP2QPP/5R1K b - -,d5e7
8/2B4p/p5p1/2k1pp2/P1Pb2P1/3K1P1P/8/8 b - -,d4b2
Q7/6pk/7p/4p3/2P1P3/2q3P1/5PKP/8 w - -,a8d5
r4rk1/p2nqpp1/Qp2p2p/2p5/3P4/2R1PN2/PP3PPP/5RK1 w - -,f1c1
1b4r1/1p3p1p/4p3/pk2P1P1/1r1B1P1P/2R5/1P6/2KR4 w - -,d4e3
3kr3/p6p/1p2Pb2/2p5/2P3P1/8/P1KN3P/4R3 w - -,e1e3
5k2/R4p2/8/2P5/3P2Bb/3K4/8/2r5 b - -,h4e7
2r5/5p2/4pP1R/p2bk1p1/Ppp3P1/1P1B4/2P2K2/8 w - -,b3c4
3rr1k1/pp1nqpp1/2pbpn1p/3p4/2PP4/1P1b1PP1/PB1NP1BP/R2QR1K1 w - -,e2d3
rn1k3r/3bpp1p/3p1p2/p2P4/2B5/2P3N1/Pb1BRPPP/5RK1 w - -,f1e1
r5r1/2q2p2/1pk1pB2/p2pPn2/2nP1N1P/2PQ1P2/2P2K2/RR6 b - -,c7c8
1r1r2k1/2q1bppp/pp2pn2/n1p5/P1P2P2/2NPP1P1/1B4QP/R2RN1K1 b - a3,a5c6
r2qk2r/p3npb1/1pp1b2p/2p1p1p1/1P2P3/P1NPBN1P/2PQ1PP1/R4RK1 b kq b3,c5b4
1nb1kb1r/1pq2p2/2r1p1p1/3pP3/1n1P1PP1/pP3N2/P2BN1K1/RB1Q1R2 w k -,f3e1
3q1r1k/2n5/p1R1Qp1p/3P1N2/1p6/3P4/PP5P/7K w - -,e6d6
5rk1/2R3bp/1Q2p3/nP2P3/P5Pq/N4r2/6K1/R7 w - -,b6e6
8/8/3k1N2/1K2p2p/4P3/5P1b/7P/8 w - -,f6h7
rn1q1rk1/pp2ppbp/3p1np1/3P4/2B5/5N1P/PPP1QPP1/R1BR2K1 b - -,b8d7
3r2k1/6b1/pp5p/2P1pP2/b3P2q/NnP2RN1/6B1/3Q2K1 w - -,d1e2
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,e7e6:f6h5
4b2k/8/7P/4p1P1/2K1B3/8/8/8 b - -,e8f7
6k1/1b3rp1/pP5p/P7/6P1/2R4P/5P2/6K1 w - -,c3c4
8/1kr4p/1p2p1p1/p3PpP1/5P2/1P1PK2P/1P4R1/8 w - -,e3d2
r2q1rk1/pp1n1ppp/4pnb1/2pP4/Pb2P3/2NB1N2/1P2QPPP/R1B2RK1 b - -,b4c3
8/3R4/r2Bppk1/2P3b1/2K4p/8/8/8 b - -,h4h3
r1bqkb1r/p1p2ppp/8/1p1np3/3nN3/2P5/PP1P1PPP/RNBQKB1R b KQkq -,d4e6
2R1Bbnr/pp4p1/3k3p/2N1Pp2/8/6B1/P4PqP/4K1NR b K -,d6e7
8/1r3p2/5npk/7p/1p1R1P2/1B1KP1PP/P7/8 w - -,e3e4
