8/8/8/6k1/5p2/5P2/2Q3P1/q5K1 w - -,g1f2
4r2k/3r2p1/3p3p/2pP1P2/1pPn3N/pPnK3P/P5RB/6R1 w - -,h2f4
8/6kp/2pq2p1/p4b2/PpQ1p3/1P5P/2P2PP1/4N1K1 b - -,d6d5
6k1/8/2pq1rp1/7n/P3p1BP/4P3/1P4Q1/4R1K1 b - -,h5g3
r7/8/4k2p/P7/1P1bpP2/1R6/5P2/5K2 w - -,b3h3
r2qk2r/1b2bpp1/pp2p3/n1p1P2p/PnPp1P2/3P1NN1/1P2B1PP/R1BQ1RK1 w kq h6,f3g5
8/1R3Bk1/6p1/8/r4bP1/8/8/3K4 b - -,g7f6
r1q3k1/1p3pp1/2p1p1np/4P3/p1P4P/P2R2PB/1P1Q1P2/6K1 w - -,f2f4
r1b1k2r/pp2nppp/2nq4/3pp3/1P6/2P1BNP1/P3PP1P/R2QKB1R b KQkq b3,e8g8
1r6/3R1pk1/5bp1/2p1p1Pp/4Pn2/2PP1Q1P/3N1P2/4rNK1 b - -,f6g5
r2q1rk1/pb1nbppp/1p1ppn2/8/3NP3/1P4P1/PBPN1PBP/R2QR1K1 b - -,g7g6
r5k1/1R3p1p/3P4/2B1np2/r7/p5P1/Rb1N1PKP/8 b - -,e5d3
8/1r3k1p/1p4p1/p4r2/3R4/8/PP2R1PP/6K1 w - -,e2f2
5r1r/pQ3bk1/3R4/4p3/2P3B1/1P2q1PP/P6K/5R2 b - -,e5e4
n1b2k2/1r4bp/p2p2p1/3Npp2/4P2P/6P1/P4PB1/1R3RK1 w - -,f1c1
rr4k1/3nppb1/3p4/2pPn1pp/P3P3/2B1R1PP/1P1N1PK1/R2N4 w - h6,a1a2
8/8/pp1k4/6p1/PP1KB1P1/2P5/8/2b5 w - g6,d4c4
6k1/5p2/3p2p1/p2P4/P1b4Q/2N3nP/1P3BP1/q5K1 w - -,g1h2
5q1k/bp1r1pp1/p1n1p2p/4P2N/P1R1Q2P/5NP1/5PK1/8 w - -,e4b1
r1bqk2r/ppp1bppp/2np1n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,d2d4
r2qkb1r/pp1n1ppp/2p1p1b1/3n2N1/2BP4/6N1/PPP2PPP/R1BQR1K1 b kq -,f8e7
r1b2rk1/pp2ppbp/2n2np1/2q5/P7/1B2BNN1/1PP2PPP/R2Q1RK1 b - -,c5a5
1R6/4r3/8/3k4/1P6/3p1K2/8/8 w - -,b8d8
r3kb1r/1p1b1ppp/1q2p2n/nP1pP3/Q2P2P1/P4N1P/1B3P2/RN2KB1R w KQkq -,b1c3
8/1p6/5p2/p2p2kp/P2Pp3/1P2K1PP/8/8 w - -,e3f2
2r2q1k/1ppP2b1/3r2p1/p4pp1/7P/PB6/1P3QP1/2R1R1K1 w - -,d7c8q
rnb2rk1/ppq2ppp/4pn2/2p5/2BP4/P1P1P3/1B3PPP/R2QK1NR w KQ -,c4d3
rn1qkb1r/pp2pppp/2p2n2/8/2PP2b1/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e7e6
2r1r1k1/1b1nqpbp/1pn1p1p1/1BPp4/1p1P4/P3NN2/1B2QPPP/2RR2K1 w - -,b5c6
r2q1rk1/pp3pbp/1np1bnp1/3p4/4PP2/PPNQ2PP/2P1N1B1/R1B2RK1 w - -,e4e5
2r3r1/1bp5/pp2kBq1/4Q3/2P5/NP4P1/P6K/5R2 b - -,e6d7
8/p3r1k1/3N1np1/2p5/8/3nrB1P/1P6/1K1R1R2 b - -,d3e5
4r2r/1kq3p1/1pp2pp1/8/3R4/2Q4P/PP3PP1/1K2R3 b - -,e8e1
rn1q1rk1/pb1pbppp/1p6/4PN2/3Q4/2N5/PP3PPP/R1B2RK1 b - -,f8e8
3R4/2B5/2p3p1/2bb1kP1/5P2/6K1/8/8 b - -,c5b4
4R1k1/7p/2p3p1/3b4/8/1P4Q1/Pq3P1P/6K1 b - -,g8f7
8/3rkp2/2p1p3/Qr4pp/3q4/8/PP2RP2/1K2R3 w - -,a5a3
4q1k1/p5pp/1p1b1r2/3pN3/bB1P4/7P/P2Q1PP1/2R3K1 b - -,d6b8
R7/5kpp/8/2P2p2/b1r5/P1B5/6P1/6K1 w - -,a8a7
r1bqkb1r/ppp2p1p/1n4p1/4p3/8/1PNnP1P1/P2PNPBP/R1BQ1RK1 w kq -,a2a4
2b2rk1/1pp1qppp/r2p1n2/8/1pPQ4/PP4P1/3RPPBP/RN4K1 b - -,e7e5
4r1k1/1pp2r2/2n1bb1q/p3p1pp/2P1PP2/1P3N2/P2RQPBP/2BR3K b - -,e5f4
4rrk1/5p2/pb1q3p/3P2p1/1PB1n1Q1/P3BN2/6PP/3RR2K b - -,b6e3
3R1bk1/p3q2p/1p3p2/6p1/1n4P1/PP6/1B3PBP/R5K1 w - -,d8f8
8/7p/7k/7P/p4Q2/Pb6/1P4K1/3r4 b - -,h6h5
r3kb1r/5p1p/p5p1/3b4/3Np3/4P3/PP4PP/2RK1B1R w kq -,f1c4
r1b1kb1r/ppp2ppp/2p5/4Pn2/8/2N2N2/PPP2PPP/R1BR2K1 b - -,c8e6:f8e7:f5e7:h7h6
2n4k/5nb1/1p6/2pPp3/2P1Pp2/1rB5/6KP/2N2B2 w - -,c1b3
r3r1k1/pb3ppp/1pp1nb2/6N1/2BP4/P6N/1P2RPPP/4R1K1 w - -,g5e6
8/p5r1/4k3/6p1/PP4R1/2P5/K7/8 b - b3,e6f5
4Qb2/1p5k/7p/p4N2/P1q3K1/5NP1/7P/8 w - -,f3d4
rn1qk2r/ppp1bppp/2b1pn2/8/2Q5/5NP1/PP1PPPBP/RNB2RK1 w kq -,b2b3
r1b2rk1/1p1nq1bp/3p2p1/pNnPpp2/2N1P3/4B1PP/PPQ2PB1/R2R2K1 b - -,c5e4
r4rk1/pp2ppbp/n2p2p1/1NpP4/2P1BPb1/4BN2/P5PP/Q4RK1 b - -,g7a1
r1b2rk1/q2nppbp/p2p1np1/P1pP4/4P3/2N5/1P1N1PPP/R1BQKB1R w KQ -,f1e2
6k1/5p1p/6p1/4p3/1R2P1P1/r6K/1Q4P1/2q5 w - -,h3h2
r1b1kbnr/ppqp1ppp/8/3Qp3/4P3/8/PPP2PPP/R1B1KBNR w KQkq -,f1c4
2bqr1k1/p3ppbp/2np2p1/r1p2PP1/1p2PN1P/1P1PB3/P1P3B1/1R1Q1R1K b - -,a5a2
r1bq1r2/pp2npkp/3p1np1/2p5/2PQP3/2N2NP1/PP3PBP/R4RK1 w - -,d4d3
2rr2k1/1pq1bppp/p1n1p3/4N3/NP1P4/P3Q3/5PPP/2RR2K1 b - -,c7d6
1rbq1rnk/1p1n1p1p/p2p1b1P/2pPp1B1/P1P1P3/2N2P2/1P1QN3/R3KB1R w KQ -,g5f6
r4rk1/5pbp/1nqN1np1/1Np5/P4P2/6PP/1PQ4K/R1B4R b - -,f8d8
rnbqkb1r/pp1n1ppp/4p3/2ppP3/5B2/3P1N2/PPP2PPP/RN1QKB1R w KQkq c6,c2c4
r4rk1/pbq1bppp/1pp5/2n1P3/5P2/2N3P1/PP2P1BP/R1BQ1RK1 b - f3,f8d8
7k/1b1n2b1/p3q2p/1ppp2pN/8/1P1QPP2/P2R1P2/5RK1 b - -,d7e5
4k3/1p2rrb1/p1b1qpQ1/4pR2/4P2P/P1NR4/1PP3P1/7K b - -,e7d7
r1bq1rk1/pp1nppbp/2p2np1/3p4/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 b - -,f8e8
r7/1q2ppk1/r2p1np1/2pP3p/2NbPB2/1P1Q2PP/P1R1RP1K/8 b - -,f6d7
2r3k1/pp1b1p1p/n4npb/2pP4/1qQ5/2N1PN2/PP1RB1PP/3R2K1 w - -,e3e4
r1bqk2r/3nnp1p/p3p1p1/bp1pP1N1/3P4/P2B1QN1/1P3PPP/R1B2RK1 b kq -,e7f5
1q2r1k1/3n1pp1/2p1nbp1/1pPp4/1P1P3P/r1B2PP1/4NRK1/1BRQ4 b - h3,f6d8
8/7p/p1nk2p1/1p3p2/5N1P/P1K1PP2/1P4P1/8 b - -,a6a5
6r1/Rb4rk/3np2p/1p3p2/2pPpP2/2P1P2R/1P2KN1P/5N2 w - -,f1g3
r4rk1/pppqn1bp/3p1np1/2PPpp2/1P2P3/2N1BP2/P3N1PP/R2Q1RK1 w - -,d1d3
2r3k1/1p4p1/4p1pp/b2pP3/Pp1P1P1P/1P3RP1/3RNK2/1r6 b - -,c8c3
8/6p1/1pp1kpn1/p1p3P1/P1P1PB2/1P3PK1/8/8 b - -,g6f8
1rq3k1/2r1nppp/3b4/pp1p1p2/3PnP2/PQPNBNP1/1P5P/2R1R1K1 b - -,c8b7
1n2k3/3rp3/p4ppB/2PR4/qP6/2Q4P/6P1/6K1 w - -,d5d7
