8/8/pr4pK/7p/7P/4k1P1/8/R7 w - -,h6g5
r1br2k1/pp2pp2/7b/n1P5/3RP2P/8/P1Q1BRP1/6K1 b - -,d8d4
8/2R5/1p2p3/4Pkp1/r7/P7/7K/8 w - -,c7c6
r1b2rk1/ppp1pqbp/2np2p1/3P4/2P1R3/5NP1/PP3PBP/R1BQ2K1 b - -,c6e5
r1bq4/1p3pbk/p2p1npp/2pP3r/2P2B2/2NBR2P/PP1Q1PP1/5RK1 b - -,h7g8
2r1nrk1/pbq1bppp/1p2p3/2n1P3/2N5/1P3NP1/PBQ2PBP/2RR2K1 b - -,c7b8
2b1k2r/1pb2pp1/p3nq1p/2P1p3/1P2B3/2B2N2/P4PPP/3QR1K1 b k -,e8e7
r1bq1rk1/2n1ppBp/3p2p1/p1pP1P2/P3P3/2N1n3/1P2B1PP/R2Q1RK1 w - -,d1d3
2rRr1k1/8/5p1p/6pP/6P1/QP6/P1q5/K2R4 w - -,d8d2
8/6Bp/7P/3k4/2p5/1pK3n1/1P6/8 b - -,d5c5
r2qkb1r/1p3ppp/p3P3/2p5/8/P3Pn2/1P1Q1PPP/R1BR2K1 w kq -,g2f3
4r1k1/2q2ppp/rp1Npn2/3p4/pBnP4/P3PP1P/4Q1P1/2R1K2R b K -,e8d8
2k5/p3q2p/2P2b2/8/1P1P4/8/P5BP/5R1K w - -,d4d5
8/4k3/5RKp/6p1/7r/3B3P/8/8 w - -,f6f7
8/4kp2/1np3pp/1p2p3/1Pp1P1P1/2P1KPN1/P2R3r/8 b - -,h2d2
4r1k1/8/p2pr1p1/1pq3Qp/2n5/P1P4R/BP4PP/5R1K w - -,h3h5
r2q1rk1/ppp2npp/2n1bp2/3pP3/3P1P2/1B2B3/PP1Q2PP/RN3RK1 b - -,f6e5
r1bqk2r/bp3ppp/p1nppn2/8/4PB2/1NPB4/PP3PPP/RN1Q1RK1 w kq -,b1d2
5r2/pp1q1r1k/2nppbpp/2p1p3/4P1QP/2PPN1P1/PP1N1P2/R4RK1 b - -,f6g7
R7/2r2pk1/3R4/5pPp/2P4P/8/7r/5K2 w - -,d6d8
4r1k1/rn1b2pp/p1n1p3/1pN2p2/P1pP4/B1P2B2/2P2PPP/RR4K1 b - -,b7c5
8/4kp1p/2p3p1/pp4P1/P4Q1P/2P1P3/5PK1/3q4 b - -,d1d6
r1b1k2Q/pp1p1p1p/2n2n2/2b1q3/4P3/8/PPP2PPP/RNB1KB1R b KQq -,e8e7
r2q1rk1/1ppbnppp/2np4/4P3/p1P5/P1NQ1NP1/1P2PPBP/R4RK1 b - -,d6e5
r7/p1pk1p1p/3p1p2/1r6/2PpP3/6P1/P1PK1P1P/7R w - -,c4b5
rn1qk1nr/1bpp1pbp/p3p1p1/1p6/3PP3/1N1B4/PPP1NPPP/R1BQ1RK1 b kq -,d7d6
r2qk2r/pp2n1b1/2npp2p/6p1/3pPp2/2N2N1P/PPP2BP1/R2Q1RK1 w kq -,f3d4
7r/1p1kr3/p1pnpp2/3p1pp1/2PP4/PP2P1PP/4KPB1/2R4R w - -,c1c2
5rk1/3R2pp/2rbp3/3p1p2/3P1P2/1P1BP1P1/7P/1N3RK1 b - -,f8b8
r2qk1nr/pp2ppbp/2np2p1/2p5/4P1b1/3P1NPP/PPP2PB1/RNBQ1RK1 b kq -,g4f3
3k1r2/pp2b1R1/2prp3/5Q1p/3B3P/2P5/PP3PP1/4RK2 b - -,f8f5
r1b2rk1/pp3pb1/1nP2qpp/4p3/2B1P3/2N2N2/PP3PPP/2RQ1RK1 b - -,b7c6
r2q1rk1/pp1nbpp1/2p1p2p/7b/3P4/2QNPPP1/PP4BP/R1BR2K1 b - -,h5g6
3r1rk1/1p5p/pqbp1pp1/4n3/P1P1P3/1P3BN1/1R1Q1RPP/6K1 w - -,g1h1
3r3r/1pq3k1/p1pb1pP1/6P1/3P4/1B2Q3/PP3R2/3R2K1 b - -,d8f8
1q4k1/pp1n1pp1/2r1pnp1/3p4/N2P4/3BP3/PP1Q1PPP/2R3K1 b - -,b8c7
3k4/pp2n3/2p5/4P2B/4K3/8/PP6/8 w - -,h5f7
r3kb1r/pp1qppp1/2n2n2/2ppNb1p/5P2/3PP1P1/PPP1Q1BP/RNB1K2R b KQkq -,d7c7
5k2/5pp1/6p1/p3r3/8/2NB2P1/2P2K2/8 w - -,c3a4
3r3k/1R4pq/5p2/pN5p/P7/2P3Q1/1KP5/8 w - -,b5d6
r1bq1rk1/1p2ppbp/n1p2np1/p2p4/P3PP2/1BNP1N2/1PP3PP/R1B1QRK1 w - -,e4e5
6r1/p7/3kppr1/1p1p1p2/3P2Pp/2PK1P1P/PP4R1/6R1 b - -,e6e5
3q3k/ppr4p/4brN1/3p1p2/3P3Q/2PBP3/P3KP2/7R b - -,h8g8
6k1/5p1p/1N1p2p1/1r1P4/1p3P2/2b3P1/P3K2P/1R6 w - -,b6d7
2bq1r2/p2kb2p/2p5/7Q/2BPN3/P3p3/1P2N1Pp/4R2K w - -,h5h3
5rk1/p2r3p/1p2q3/2p2pPQ/2P1p2R/3nP1B1/PP3PK1/1R6 b - -,d7g7
8/2k3p1/1r1np2p/pp6/2p2PPP/P1P1PB2/2K5/R7 b - -,b6b8
r4rk1/pb2b1pp/1q2pn2/1pp5/3P2Q1/5NP1/PP3PBP/R1B2RK1 w - -,g4h4
8/1p3ppk/p5bp/3r4/1P3B2/P2p1qP1/3Q1P1P/3R2K1 w - -,d1e1
8/6pk/1p3n1p/pP1p1p2/P2P1N1P/R3PP2/2r2KP1/8 w - -,f4e2
r3kr2/1Q3p1p/p7/q1pPP3/2p5/1P2P2P/P4KP1/n4B1R w - -,b7a8
6k1/3r3p/p2rp3/5pP1/PRP2P2/5n2/5K2/3R4 w - -,d1d6
8/6k1/R7/5P2/6KP/8/p5P1/r7 w - -,g2g3
4r1k1/pp4pp/2n2n2/3p4/3P4/3B1N2/Pq3PPP/R2Q2K1 w - -,a1b1
rn1qkb1r/1p2pppp/p1p2n2/3p3b/2P5/1PN1PN1P/PB1P1PP1/R2QKB1R b KQkq -,e7e6
2nrrk2/1p2qbp1/2p2p1p/p4P2/P2PP3/1Q1B1R1P/4N1P1/1R4K1 w - -,b3b7
r3k2r/pp1b1pp1/2n4p/2B1p3/2qPB3/2P1P3/P5PP/R3QRK1 b kq -,e8c8
r2q4/5Q2/p2PR1pk/1p3p1p/n6P/8/2P2PP1/3R2K1 b - -,d8g8
3r2k1/6q1/4p3/1PQ1N1p1/3P1rPp/5P2/P3n2K/3R4 w - -,e5c6
1rb5/1p2k2p/1Nn2p2/p1p1pP2/P3P3/2P3P1/7P/3R1BK1 b - -,e7e8
8/8/8/K1k5/8/1P6/8/8 b - -,c5c6
4r1k1/1p4p1/2b2b1p/5R2/3B1P2/2P4P/PK4P1/6R1 b - -,e8e2
4r3/1b2qpk1/1p4pp/p2pp3/3P3P/2rN3R/P1BQ1PP1/R3K3 b Q -,e8c8
2r2n2/R1r3R1/3kp1B1/8/p2K1P2/8/P7/8 w - -,g7c7
3rk2r/pp1qbppp/2n1pn2/2P5/Q1B5/N1P1BP2/PP3P1P/R3K2R w KQk -,a1d1
1r1rb1k1/3q4/Q1p1p1p1/p1P1PpPp/Pb1P1P1P/4BB2/6K1/1R1R4 w - -,a6c4
6r1/4k3/3Np3/1P2n3/4Nb2/7K/8/1R6 w - -,b1b3
3R4/8/p7/1p6/2n3k1/6P1/8/2K5 w - -,d8g8
r3r3/p4pkp/3R2p1/5q2/2b2N2/Q5P1/P4P2/R5K1 w - -,a1d1
r1b1kbnr/pp2pppp/2n2q2/3P4/8/5N2/P2B1PPP/R2QKB1R w KQkq -,d5c6
8/4k3/4p3/3q2p1/8/6PB/4Q2K/8 b - -,e7f6
8/1p2brk1/p1n1q3/3R1pp1/4p2p/P1Q4N/1P1N1PP1/7K b - -,e7f6
r4rk1/1b3ppp/ppq1pb2/n1p5/P4P2/2NPB3/BPP2QPP/R2R2K1 b - -,f6c3
3r1r1k/5ppp/p3p2b/3bP2N/q4P1R/1p1P3P/3P1NP1/1R2Q2K w - -,f2g4
4k2r/4qpp1/pn6/3ppP2/1p2r3/8/PPPN2QP/1K3RR1 b k -,e4e3
5rk1/3qbppp/8/1R1Np3/p3P3/2P1Q3/5PPP/6K1 w - -,b5a5
rnb2rk1/4ppbp/p2p1np1/qPpP2B1/P7/2N1P3/1P1N1PPP/R2QKB1R b KQ -,a6b5
rn1q1rk1/2p1bppp/p2p1n2/3Pp3/Pp2P1b1/1BP2N2/1P3PPP/RNBQR1K1 w - -,c3b4
1rbqr1k1/1p3pb1/p2p1np1/3Pn1B1/P1N1P1P1/2N2P1p/1P2B2P/R2Q1RK1 b - -,e5c4
3r2k1/1p3qp1/p1p2p1p/8/1P2P3/P1Q2BPb/5P1P/5RK1 w - -,f1d1
r7/3nk3/2p2r1p/p3p1p1/4P3/P2R1PPP/NP6/2K1B3 b - -,f6d6
3r2k1/5rp1/1p4Np/p1n5/2Pb1PPP/3p4/P2B2K1/4RR2 w - -,g6e7
1r1q1r1k/1pnn1pbp/p2p4/2pPP1p1/P1B2P2/2NQ2PP/1P3BK1/R3R3 b - -,g5f4
6r1/6p1/2ppn3/2p2Rpp/P1NkP3/3P3P/1PP5/1K6 b - -,d6d5
3r4/1p2q1kp/p2r1pp1/P1RP4/2Q5/6P1/1P3PKP/3R4 w - -,b2b4
3b1rk1/5rpp/p3b3/2qNpP2/1pPn4/1P1QN1P1/P5BP/3R1R1K b - -,d4f5
