8/2KPBk2/p7/1br5/8/7P/8/8 w - -,e7c5
r1b1kb1r/pp2pppp/1nnq4/8/2p5/2P2N2/PPBP1PPP/RNBQ1RK1 b kq -,c8g4
rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/1P3N2/PBP1PPPP/RN1QKB1R b KQkq d3,c8f5
r2q1rk1/pp2ppbp/2p2np1/3p4/2PPb3/1P1BPN2/PB3PPP/R2Q1RK1 w - -,f3e5
3b1rk1/3P1p1p/pp4p1/2q2n2/P4Q2/1P1R4/4N1PP/5B1K w - -,b3b4
1bRnr3/1r5k/p5pp/5p2/3P4/B2P1N2/4P1RP/5K2 b - -,b8f4
2k1b2r/pppn1p1r/4p3/1q1pP2p/3P1QN1/P6R/1PPKNP2/7R w - -,b2b3
r4r2/1p3p1k/1BbR2pp/p1PBb3/3p4/7P/PP3PP1/2R3K1 w - -,d5c6
2r3k1/pp3pp1/4p1p1/8/2nN3P/PP6/2P2PP1/3R2K1 b - -,c4b6
2R5/1r2p1bk/n3N1pp/3Pp3/5P2/1p5P/6P1/r1BRK3 w - -,c1b2
2k1r1r1/pbpp1p2/5Bp1/2p1P2p/2P1q3/PP4PB/2K2Q1P/3R4 w - -,c2b2
r4rk1/1p3pp1/p5p1/2QPq3/4P1b1/6P1/PP4BP/R4RK1 b - -,e5b2
4Qbk1/5p2/6pp/4p3/4P3/1N6/1KP2qPP/8 w - -,g2g3
rn2k1nr/1pq1ppbp/p2p2p1/8/4PPb1/2PBBN2/PP2Q1PP/RN2K2R w KQkq -,b1d2
4r3/1p1Rrpk1/2p2bp1/q7/2B5/P2RPP2/4KP2/3Q4 w - -,d1b3
8/p1rbkp2/1p1p4/3Pp1p1/1RP5/3P2P1/P2K1PB1/7r w - -,g2h1
r1b1qrk1/ppp2pbn/3p2pp/2n5/2PNPP2/2N1B2P/PPB3P1/R2QR1K1 b - -,e8d8
r1bqk2r/ppp3b1/2np1npp/4pp2/1PP5/2NPP1P1/P3NPBP/1RBQK2R b Kkq -,e8g8
4k3/5R2/p3P3/5pNP/5P2/r3n1P1/4K3/8 b - -,e3g4
5qk1/2bb4/2p3pp/1pPp1p2/4rP2/PQ2PN1R/6PP/2R4K b - -,d7e8
1rbq1rk1/p2nppbp/2np2p1/1pp5/4PPP1/2NP3P/PPP1N1B1/R1BQ1RK1 w - b6,e2g3
r1b2rk1/ppq1bppp/2nppn2/8/2P1P3/PNN5/1P2BPPP/R1BQ1RK1 w - -,c1e3
1R6/3r1pk1/4p3/p2nP1pp/2RP4/1P4PP/P2K4/8 b - -,d5e7
r3k2r/pbpq1p2/1p1p3p/1N4p1/2Pb4/P5P1/1PQ1PPP1/R3KB1R b KQkq -,d4g7
r4rk1/1p1bnp2/1pn1p1p1/3pP1Pp/5P1P/2P2N2/PP2N3/R3KB1R b KQ -,b6b5
r3n3/4kppp/1P2p3/2P5/1R6/8/5PPP/5K2 b - -,e7d7
r1b2rk1/pp1n1pbp/2pp1np1/q3P3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,d6e5
2r2rk1/2q1bpp1/p2p3p/np1Pp2b/8/1BP1BP2/PP1NQ1PP/R2R2K1 b - -,a5b3
1k1r1b1R/3nqp2/p2p1p2/1p2p3/P3P3/1N1RBP1B/1PP2P2/1K6 w - b6,a4b5
5k2/4bppp/8/pp1B4/7P/1P2P1P1/P3KP2/8 b - -,f7f6
r1b3k1/pp3r1p/2pbp2q/3p1pN1/2PP4/1P2P1P1/PB2N2P/R2Q1RK1 b - -,h6g5
6k1/pp2rpp1/5np1/3p4/8/2P2N1P/PP3PP1/3R1K2 b - -,g8f8
8/3r1p1p/2R3pk/3Bp3/1p2P1P1/p4K2/Pb5P/8 b - -,b4b3
r7/3n4/3kp3/1p2p1pp/3bP3/1B1N1P2/1PK3PP/2R5 b - -,d4e3:a8c8
3rrbk1/p1q2pp1/1pp1n2p/4p3/2P1n3/3PP1P1/PBQ2PBP/1R1R2K1 w - -,g2e4
3r2k1/1q3pp1/1p1p3p/p1r2N2/Pn2P3/2R1Q1P1/1P3P1P/2R3K1 b - -,b4a2
5rk1/pp1b2pp/1q4n1/3P4/2p5/2B3p1/PPPQ1PBP/R5K1 w - -,h2g3
r1q2r1k/1ppb2bp/p5p1/2pP4/4N3/1B6/PPQ1RPPP/R5K1 b - -,d7g4
1rb2rk1/1p2ppbp/p1np2p1/q7/P1PNP3/R3B1PP/1P3PB1/3Q1RK1 b - -,c6d4
8/4npk1/8/2R3p1/4B3/2P3P1/5PK1/1r6 b - -,b1e1
8/p5pk/1p3n2/1P6/3Q3P/P1B2qPB/4bP1K/8 w - -,h3g2
3r2r1/p3bqpk/1p2pn1p/2p5/2P1PP2/2N1B3/PP4QP/4R1RK b - -,h7h8
2r3k1/1p2ppbp/1n2q1p1/1P1n4/4N3/B3PP2/4BP1P/1Q3RK1 b - -,b6a4
4k3/1pR2p2/5P2/p3P3/1r6/5K2/8/8 w - -,c7e7
3r3k/5Qbp/p5p1/PpP2p2/1P1npP1q/6N1/4BPK1/3R4 b - -,h4f4
2r3k1/6pp/3B1n2/1r1P4/3Rp3/P3R3/2K3PP/8 w - -,e3c3
r4rk1/pp2q1p1/2n1p1pp/1Q1pP3/P2P1P2/8/1P1N2PP/R4RK1 w - -,d2b3
4r1k1/5pb1/pp1q2p1/3p3p/P2P4/7P/1P3PP1/1BRQ2K1 w - -,d1d2
r2qkbnr/1p1n1ppp/p1p1p3/3pPb2/3P4/1N3N2/PPP2PPP/R1BQKB1R w KQkq -,f1e2
8/pp1b2bk/6pp/2p1p2n/1PPpP1qP/P2P1rP1/3BR1BK/4Q3 w - -,g2f3
2rq1rk1/p2bppbp/1p4p1/n2PN3/5B2/1P4P1/P4PBP/2RQ1RK1 b - -,c8c1
r3qrk1/2pb3p/3b4/3p1pp1/Pp1Pp3/1P2PP2/1BQN2PP/R4RK1 w - g6,f3f4
2b2n2/8/p2k2p1/1p5p/PK2BP1P/4N1P1/1P6/8 b - -,b5a4
rn3rk1/4qpbp/3pbnp1/1Np3N1/P3P3/8/1P2BPPP/R1BQK2R b KQ -,b8c6
r3k2r/1p3pp1/1p2p2p/3nP2P/1P2Q1P1/2P5/P4PN1/5RK1 w - -,c3c4
4k3/p1rbp3/1p6/7Q/3N4/8/PPP2qPP/1K5R b - -,e8d8
2rrb1k1/1p3pbp/3ppnp1/p5P1/3PP3/1qNQ1N1P/1PR2P1B/2R3K1 b - -,f6h5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,c4d5
r1b1rqk1/2pn1pb1/p5p1/Pp2p2n/1P2P2p/2P1BPP1/1NBQ3P/R2R1NK1 b - -,f8e7
6k1/5p2/1b3pn1/3pQ2B/1P6/2R4P/6P1/7K b - -,g6e5
r2r2k1/2Rn1ppp/4p3/pN1pP3/5P1q/2Q5/PP4P1/1K1R4 w - -,g2g3
7k/p5pp/5r2/8/5q2/5N1P/PP1RQ1K1/8 b - -,f6g6
3r2k1/1p2r1pp/2p2p2/p1p2P2/P1P1P3/3P4/6PP/R2R1K2 b - -,g7g6
8/1p2kpp1/1P1P3p/4p3/B7/5PP1/nr5P/R6K b - -,e7d6
r1bqkb1r/ppp2pp1/2n2n1p/8/2Pp4/3P1N2/PP2BPPP/RNBQR1K1 b kq -,f8c5
8/8/2pk4/7p/P5p1/6P1/b2K1N1P/8 w - -,d2c3
8/p7/6B1/2k1r2p/6p1/2K3P1/5P2/8 w - -,g6c2
r2qr1k1/1p3pbp/p2p2p1/2pPnn2/P1P2B2/1PN4P/3QNPP1/R4RK1 b - a3,f5d4
2rr2k1/p3qpp1/Pnp1p1b1/1p4p1/1b1PP1P1/3BQ1BP/NP3P2/2RR2K1 b - -,b4a5
r2r2k1/p4ppp/b1p1pq2/2bp4/8/2P2NP1/P1QNPPKP/R3R3 b - -,c5b6
1k6/1p1r1p2/4p3/p3P3/4BP1P/7r/2P5/1R4K1 w - -,g1g2
5r2/3R4/4kb2/8/1p2Pp2/5K2/1P6/3R4 w - -,d1d6
3r4/4n3/p1p1Pk1p/1p3pp1/3P4/5P2/PPB2KPP/3R4 w - -,c2b3
8/5p2/pk2p1p1/1p2P2p/2P2P1P/P2qp1P1/1P4K1/6Q1 w - -,c4c5
8/5p2/b1p1kPp1/P2p2P1/5K2/1PP5/1B6/8 b - -,e6d6
8/8/r2k1nP1/4p3/3nP3/2RpK1N1/8/2R5 b - -,d6e6
2r2r2/p6p/2k1p1p1/P2pP3/8/3P2P1/P5BP/1R2K2R b K -,c6c5
8/1p1R2k1/p5r1/6p1/8/2P1P3/PP1K4/8 b - -,g7h6
r2qkb1r/pp1n1pp1/2p1pnp1/3P4/8/3P2P1/PP2PPBP/RNBQ1RK1 b kq -,c6d5
r4rk1/pb1nqppp/1ppbp3/8/2PPQ3/1P1B1N2/PB3PPP/R4RK1 b - -,f7f5
4k3/3r4/3B3R/5K2/8/8/8/8 w - -,f5e5
r3kb1r/pppb2pp/nq2pP2/8/2P1Q3/5N2/PP1PBPPP/R1B2RK1 b kq -,g7f6
8/5ppk/2q1p1nP/4P1P1/pQpP4/1p6/1P5K/2B5 w - -,h2g3
8/8/2K5/1N3k2/3B1p2/5P2/8/4b3 w - -,c6d5
