8/k4p2/P5p1/4p2p/4r3/2RK2P1/4P2P/8 b - -,e4d4
r1b2rk1/p7/1pp3qp/3p2p1/3b1p2/1Q3PP1/PP2PNBP/4RRK1 b - -,g6d6
r3r1k1/pp3pp1/2p2bqp/1PPp1b2/8/1QN3P1/P3PPBP/2R1R1K1 w - -,b5c6
8/Np1k1p1p/q7/1n1PQp2/7P/1R3Pr1/2P4K/6r1 b - -,g1g2
4r1k1/pp4Pp/4p2Q/n2rPpB1/6q1/8/P4PP1/R3R1K1 w - -,e1e3
r1b1r1k1/ppp2p1p/2np2p1/7P/2P1P2q/2N2P2/PPN1B3/R1BQ1RK1 b - -,h4g3
r1bq1rk1/1ppn2b1/3p2pp/p2P1p2/P1P1Pp2/1NN5/1P1QB1PP/R4RK1 w - -,e4f5
8/6b1/p2k2pp/2N5/Pn6/1P5P/3NKPP1/8 w - -,c5d3
2r1rbk1/1bqn1pp1/1ppp1n1p/p7/P1PB4/2N1N1PP/1PQ1PPB1/3RR1K1 w - -,d1d2
r2b3r/1p2kppp/2npbn2/qN2p3/p1P1P3/3NBP2/PP1Q2PP/2R1KB1R b K -,a5d2
b3r3/2pR1p1k/1p5p/1Pb1P3/6P1/6KP/2P5/4R3 w - -,d7f7
R7/4kp2/4p1p1/4P3/5PP1/4PK2/8/5r2 w - -,f3g3
5k1r/5ppp/1p4n1/qBbpP3/P1Q1R3/5N2/5PPP/6K1 w - -,c4d5
r1bqkb1r/pp1p1ppp/2n1p3/2pnP3/8/5NP1/PPPP1PBP/RNBQ1RK1 b kq -,d7d6
1r4k1/5pp1/8/2PpPb1p/8/7P/2pB1PP1/2R3K1 w - -,f2f3
1r1q1r2/4n1bk/3p2pp/1p2pb2/1P1nN2P/3P2P1/3B1PBN/1R1Q1RK1 w - -,b1a1
3rk2r/1q3pp1/2b1pn1p/p1B1Q3/Pp6/1B6/1PP2PPP/R3R1K1 b k -,c6d5
6k1/4q1p1/1pp3bp/p3p3/2P3P1/1P1QP2P/P5K1/8 w - -,d3g6
r2qkb1r/1p3pp1/p2pp2p/1N6/4P3/8/PPP2PPP/R2Q1RK1 w kq -,b5d4
r1b1k2r/pppp1ppp/5n2/4q3/2P5/2N1P3/PP2BPPP/R2QK2R b KQkq -,d7d6
8/8/8/5p1p/P1pK2k1/3b2P1/8/4B3 b - -,d3f1
r3k2r/p3qpb1/1pp1b1p1/2p4p/4PB2/3P3P/PPPQ2PN/1R3RK1 w kq -,b1e1
2r3r1/1p2kp2/p1p1bn1p/3p1p2/1b1P1N1P/2NBP1P1/PP1K1P2/2R3R1 w - -,a2a3
1rq2rk1/p2bn1b1/1p1p2pp/nPp5/2P1Pp2/P1NP1N1P/3B1PBK/1R1QR3 w - -,c3e2
2kr3r/p1pqnp1p/1pn1b1p1/3p4/3P4/P1PB1QNP/2P2PP1/1RB2RK1 b - -,h7h6
r2q1rk1/pp2ppbp/2n2np1/3p4/P2P2b1/2NB1N2/1PP1QPPP/R1B2RK1 w - -,e2e3
3r4/4r1k1/1pp2pnp/p4B2/R5P1/2P5/1P6/R5K1 w - a6,b2b4
8/2n3R1/2k1pP2/3pP3/2pP3r/2P1NR2/2b1r1B1/6K1 b - -,c2e4
5n2/3p2k1/R2p1r2/P2PpBp1/4P1Pp/r6P/5RK1/8 w - -,a6a7
8/3r1r2/5k2/5p2/1Q2p3/8/1P3PP1/1K6 w - -,b4b6
5R2/pp2rp1k/5bPp/8/2n2BB1/2P3P1/P4P2/5K2 b - -,h7g6
2r2rk1/p7/2b3p1/1pPp4/4p3/6Q1/Pq3PB1/R2R2K1 b - -,b2f6
r1b1k2r/ppppqppp/5n2/8/2BbP3/1QN5/P4PPP/R1B2RK1 w kq -,c1g5:c3b5
8/7p/r1pbk1p1/p3p3/2NPP3/P3PKP1/1PR5/8 b - -,d6b8
1q1rr1k1/pb2bp1p/1pn1pnp1/8/3P4/P1N1BN1P/1P2QPP1/1B1RR1K1 w - -,e3c1
6R1/1p1b4/1k3r2/1Prpp1p1/1R6/3B1P2/2PK2P1/8 b - -,g5g4
1r6/2p2b1p/2pk2p1/2N2p2/1PP2P2/p2R4/P2KP2P/8 b - -,d6e7
r1b2rk1/pp1p2pp/2nNpq2/8/8/5P2/PPPQ2PP/2KR1B1R b - -,c6e5
2R1r1k1/5pb1/1p2n1pn/pP1pp2p/P6q/1N1PP2P/1B1QNPP1/1R4K1 b - -,e8c8
2kr4/ppp2rpp/8/8/2K4P/NP1PB3/1P5P/7R b - -,f7f3
r1bqk2r/pp2ppbp/2n3p1/6N1/3PpB2/2P5/PP3PPP/R2QKB1R b KQkq -,d8d5
r3qrk1/p5p1/2p1bb1p/3p1p2/Q2Pp3/2N1P1P1/PP3PBP/R4RK1 b - -,g7g5
1rb1r1k1/2qnbp1p/pp1p2pB/2pPp3/P3P3/R1NQ3P/1PP2PP1/1R3NK1 b - -,d7f6
r6r/p4p1p/4k1p1/3p4/1b6/4BP2/PP3P1P/2KR2R1 w - -,c1b1
r2qk2r/pbpn1ppp/1p3b2/3p4/Q2P4/P1N2N2/1P2PPPP/R3KB1R w KQkq -,g2g3
8/7k/1R6/1P3p2/P1P1b1r1/4Pp1p/3R4/5K2 w - -,d2h2
brr3k1/4qppp/p3pn2/P2pN3/3P4/1Q4P1/1P2PPBP/R2R2K1 w - -,b3d3
rn1qr1k1/5ppp/1pp1p3/p3N3/Pn1P4/B2QP3/5PPP/1RR3K1 w - -,a3b4
2rq1rk1/4bppp/1pn1p3/p2bN3/3PR3/P1B3P1/1P3PBP/2RQ2K1 w - -,e4e2
3rqrk1/ppp3pp/2n5/8/2P1p3/P1BBP3/1P1Q1P1P/2KR2R1 b - -,g7g6
r5k1/3n1pp1/3Nrn2/p2p2B1/NppP3P/P3PP2/1P3K2/R6R b - -,e6d6
rnbqkb1r/pp2pppp/5n2/3p4/8/4P1P1/PP1P1PBP/RNBQK1NR b KQkq -,b8c6
rn1qkb1r/1b2nppp/p3p3/2ppP3/1p6/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,h2h4
3Q4/6k1/6p1/7p/7P/5PP1/4P1K1/4q3 w - -,d8c7
rn1qkbnr/1b3ppp/p2pp3/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b kq -,b8d7
1k4r1/pp6/8/1PPpb3/4p3/PK2P2r/2R1B3/2R5 b - -,h3e3
4k2r/2qp1p2/p3p1p1/3pP3/2r3RP/P1P1Q3/1P3P2/2K4R w k -,g4d4
4k3/5p2/pb2p2r/5p2/3Q1P2/5RNP/P1P3PK/8 b - -,b6d4
3qrbk1/pbrn1pp1/1p1p1n1p/3PpB2/1PP5/P4NBP/3N1PP1/2RQR1K1 w - -,g3h4
8/p5pp/1p6/1P1pk3/Pb1P2PP/1N2K3/8/8 b - -,e5e6
8/2R2k2/p3r2p/1p4p1/1P1P2P1/2PK3P/8/8 b - -,f7e8
r2q1rk1/1n2bppp/p1pp1n2/1p2p2b/1P2P3/P2PBN1P/B1P1NPP1/R2Q1RK1 b - -,h5f3
2r1k2r/3bpp1p/3p2p1/p2P4/pnP5/5N2/1P1K1PPP/R1RB4 b k -,b4a6
8/3R3p/p2kP3/r4P2/1pp5/4K3/2P4P/8 b - -,d6c6
6k1/8/4Q2p/5p1q/3P2p1/2P5/1P4P1/6K1 b - -,g8h7
8/6k1/5n1p/7P/r7/P4RK1/6P1/1B6 w - -,b1g6
r1q1k2r/1Q2bp1p/p2ppp2/8/2Pp4/5N2/PP3PPP/R3R1K1 w kq -,b7e4
6k1/3n1bp1/5p1p/1prp1P2/pN4P1/P1B4P/1P4PK/4R3 b - -,c5c4
3r1nk1/1br2ppp/ppqNp3/4P3/2P5/1P3PP1/PB2Q2P/2R1R1K1 w - -,d6b7
r4rk1/ppq2ppp/2p2n2/3n1p2/Pb1P4/1BN1PP2/1P1B2PP/R2QR1K1 w - -,c3d5
r1q2rk1/pp1bnppp/3p1n2/P1pPp3/2P1P3/2PB4/2QN1PPP/R1B2RK1 w - -,f2f3
8/pp1r2p1/4p2p/5k2/P1Nb4/1P6/2K2PPP/3R4 b - -,e6e5
r4rk1/pbq1bppp/1p1ppn2/4n3/2P1PB2/PNN5/1PQ1BPPP/2RR2K1 b - -,a8c8
4r2k/p5p1/1q1p3p/3R4/5P2/3Q2P1/3Rr2P/6K1 w - -,d3d4
1rbq1r1k/3nNp1p/pb6/5Q2/1P6/5N2/P4PPP/2R1R1K1 b - -,b6f2
r2qk2r/pp3p2/1bb1p3/1P1pPnpp/P4N2/2P2N2/5PPP/R1BQ1RK1 b kq -,g5f4
8/8/5P2/5R2/8/4k1P1/r7/4K3 w - -,e1f1
r4rk1/pppbq1bp/n2p2p1/1P1Pp3/2P1N3/B4PP1/P4QB1/R4RK1 b - -,d7f5
6k1/1p3p2/2p2p1p/8/1P1r4/1b4P1/5P1P/R3rBK1 w - -,a1e1
8/8/3R1p1k/8/5PP1/6K1/8/r7 b - -,h6g7
4R3/2p2p2/P4k1p/3P4/3b1P2/6PK/r3B3/8 b - -,a2a3
r2qk2r/ppp2p2/3pb2p/2b3p1/3pPn2/4NN1P/PPP2PPB/R2QK2R w KQkq -,f3d4
2kr3r/pp1bbp2/3ppnpp/8/3NP1PP/2NP1P2/PP1B4/1K1R3R b - -,c8b8
1r3rk1/p3bppp/1q2p3/8/4n3/6P1/PP2QP1P/R1BR2K1 w - -,e2e4
r2qkb1r/pppb3n/2n2p2/4p1p1/4PPPp/2N1B2P/PPPQN1B1/2KR3R w kq -,f4g5
