4k3/1p3r1n/p6P/3Q4/P7/1P5K/8/8 w - -,d5e6
r1bb2k1/5ppp/1pp2P2/p1B5/8/2P2NN1/P1p2PPP/4R1K1 b - -,c2c1q
8/5p2/1Kp5/5n2/5k1P/7r/8/4R1B1 w - -,e1f1
rn1q1rk1/pp2ppbp/3p1np1/2p3B1/3PP1bN/2PB4/PP1Q1PPP/RN2K2R b KQ -,c5d4
3q4/2p2rrk/1pRp2n1/pN1Pp1pp/P1Q1Pp2/5P1P/1PP2KP1/6R1 w - -,g1h1
8/8/2B2k1p/8/8/Pr4PK/1P5P/8 b - -,f6g5
1r3rk1/ppq1npp1/2p4p/4N3/3PP3/2Q2P2/P5PP/1R1R2K1 b - -,f8d8
8/5pk1/p5p1/3Pb3/4P3/4qP2/2R2N1P/1r1B1K1R b - -,b1d1
8/6k1/2P3R1/4KP2/7p/4Nb2/7r/8 b - -,g7f8
8/8/7R/1p3k2/4nP2/2P4P/r3N1K1/8 w - -,g2f3
r3kb1r/ppq2pp1/2n1p1np/1B2P3/3Np1Q1/4B3/PPP2PPP/R4RK1 b kq -,g6e5
8/8/6b1/8/4k3/1K6/3N1b2/8 b - -,e4d3
3r4/pp2rpk1/2p3p1/7p/2RPPp1n/P2B4/1P3PP1/4R1K1 b - -,e7d7
2rr2k1/1b2bpp1/p6p/1p1pp3/8/P1q1PN2/1PPRNPPP/1R4K1 w - -,e2c3
r2k3r/pp1bppbp/2n3p1/1B2P2n/8/2N1B3/PPP3PP/2KR2NR b - -,g7e5
8/3NK3/8/2pq2k1/p2p4/1P6/P7/5Q2 w - -,f1c4
8/pp2k3/8/r4ppp/P2R4/1P3K1P/5PP1/8 b - a3,a5c5
1r4k1/4ppbp/r2p1np1/2pP4/1n2PP2/2N1BN1P/PP3KP1/RR6 w - -,f3e1
2n3r1/2RN4/p2p2rk/1p1Pb3/4Pp1p/5P2/PP5P/2R4K w - -,d7e5
r4rk1/p5p1/1pn4p/2q1pp2/2P5/1P2Q3/P1B2PP1/4RR1K b - -,a8d8
1q3rk1/6p1/4p3/3p2p1/p2P4/P3Pr1P/1P2RR1K/4Q3 w - -,h2h1
3rr1k1/3n1pbp/p1ppbnp1/q7/2P1PP2/2N2Q1P/P1N3PB/1R2RBK1 w - -,g1h1
r3r1k1/ppp2ppp/3q1nb1/8/3B4/3BPP2/PP3KPP/2RQ3R w - -,d3c4
2r3r1/p2Q2bk/1pn1pq1p/5p2/2P2P2/4BRN1/PP2B2P/3R2K1 w - -,d7d2
3b2r1/p6k/7p/2Q2b2/2P5/PN1PRqP1/1P3P2/6K1 b - -,f3d1
1r2qr1k/b1pb1ppn/p2p2np/1p2p2N/4P3/1BPP1NQP/PP1B1PP1/R3R1K1 b - -,e8e7
8/PN3p1k/5P1p/8/4pP2/3p2P1/r5P1/3K4 w - -,b7c5
2kr1b1r/ppp2pp1/2n1pn1p/3q3b/3P4/2P1BN1P/PP2BPP1/RN1Q1RK1 w - -,b2b4
r3k2r/qp1b1ppp/p3p1n1/PP1p4/3P2Pb/B7/2N1BP1P/R2Q1K1R w kq -,a3c5
8/8/p3p3/6p1/2P2k2/4p2P/P4K2/8 w - -,f2e2
8/2r1k1p1/7p/2pRP2P/2P2R2/8/4r1P1/6K1 w - -,g1h2
r3r1k1/pp3ppp/6n1/2pPP1P1/q1p1P1N1/6Q1/PP6/3R1RK1 w - -,d1d2
2r1b1k1/2r2p1p/1q1p1Qp1/1p1Pn3/2p1P3/7P/PP2N1P1/1BR2R1K b - -,b5b4
rn1q1rk1/1b2bppp/pppp1n2/3Pp3/1PP5/PQN2NP1/4PPBP/R1B2RK1 b - -,b8d7
4R3/5n2/8/8/7K/5k2/6r1/8 w - -,h4h5
1r3r1k/4q1pb/p2p3p/1P1Bpp2/P1P4P/4P3/4PQ1P/R1R4K b - -,a6b5
r1r3k1/5pp1/p1b1p3/4N2p/1b5P/1PN2PP1/1P2K3/R2R4 w - -,d1d4
qrR1Q3/4ppkp/6p1/p3b3/4P3/P6P/2RN1PPK/1r6 w - -,g2g3
8/np1R4/p3p2k/r5p1/2P3P1/4P2N/1P3K2/8 w - -,d7b7
4N3/8/8/p3pk1p/5pP1/5P2/3K2P1/8 b - -,h5g4
r1b1kb1r/ppq3pp/2n2n2/1BPppp2/8/4PN2/PPP2PPP/RNBQ1RK1 w kq -,b2b4
r6r/1p4pp/pBbk4/4bp2/4B3/1R6/PPP1KPPP/3R4 b - -,d6e6
3r1r2/pp1qbp1k/2p1nnpp/3p4/3P4/2N1PP2/PP1Q1BPP/2NR1RK1 b - -,d7e8
r2q2k1/2p1brpp/p3Qn2/6B1/Np6/1P1b4/1PP2PPP/R3R1K1 w - -,a1d1
8/pp6/1kp1PKQ1/8/8/P3q3/8/8 b - -,e3d4
1k5r/2p1n1p1/1p3p2/p1p1p2p/P1P1P2P/1P4P1/1BPr1P2/2K4R w - -,c1d2
1r6/8/p2Pkp2/p1pR4/4B3/5P2/1P6/6K1 w - -,d6d7
1n2k2r/1pq2ppp/2pnp3/5b2/1P1P4/1B3NN1/2P2PPP/r2Q1RK1 w kq -,d1a1
r4rk1/1p1b2b1/p1n2qpp/2p1pp2/8/1P1PP3/P1PNB1PP/1R1NQRK1 w - -,a2a3
1r4bk/6p1/3q3p/Q1p2P2/3pP3/3P4/6BP/5RK1 w - -,f1c1
r1bqkb1r/4pp1p/pnp3p1/8/3P4/P1N2N2/1P3PPP/R1BQK2R b KQkq -,c8g4
1rbq1rk1/4bppp/pp1p1n2/2pPn3/P7/2N1N1P1/1P2PPBP/R1BQ1RK1 b - -,b6b5
1rb1k2r/1p1p3p/pq2p1p1/8/4pQ2/6P1/PPP2P1P/R4RK1 w k -,f4b8
6k1/2p4p/3p4/1p6/1P2bBNP/1Pb5/8/6K1 b - -,e4c2
8/P6k/2n3p1/1p1R1p1p/1P3b2/r1P5/8/3R2BK w - -,d5b5
r1b1k2r/1pq1bp2/p3p3/4p1p1/4P3/2NB1Q2/PPP3PP/2KR3R w kq -,h1f1
1r5k/1pp3r1/p4QBK/P1P2P2/2b5/8/8/8 b - -,b8g8
r1bq1rk1/1p2ppbp/p1np1np1/8/2PP1P2/1P3N2/PB2B1PP/RN1Q1RK1 b - -,d6d5
1r1r2k1/pp3p1p/3pb1p1/q1p1b3/2P5/1PN3P1/P2QPPBP/2R2RK1 w - -,f1d1
r1b2r2/1p1nkpp1/1pp5/4p1Nn/2B1PP2/P1N4P/1PP5/2KR3R w - -,f4f5
8/2P5/R3k1p1/p6p/7P/r7/6K1/8 b - -,e6d7
7K/8/8/1q3k2/8/6Q1/1p6/8 w - -,g3f3
8/7k/R7/4p1PP/4r3/8/7K/8 w - -,a6a7
rn1qkbnr/p2ppp1p/b5p1/1ppP4/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1e2
r3r3/1b2q1kp/p3p1p1/2pPp3/1pP1Pn2/1P1BNR1P/P2Q2P1/2R3K1 b - -,e7g5
8/8/8/1k1p4/3PnPp1/4P1Pp/2N4P/5K2 w - -,f4f5
r1bqk2r/2p1npbp/p1np2p1/4p3/B2PP3/2P2N2/1P3PPP/RNBQ1RK1 b kq -,e5d4
2r1k1nr/pp1qppbp/3p2p1/2pP4/4PP2/2N1B3/PPP3PP/R2Q1RK1 w k -,d1f3
8/1B6/Pk6/8/8/2RK2r1/8/8 w - -,d3c4
2rr2k1/1p3p1p/pp4p1/3P4/P1nb1P2/P2R1BP1/7P/1K1R4 w - -,d3d4
6k1/p2pr2p/1p2r1p1/3Qp2q/2P4P/P5P1/1P3PK1/4RR2 w - -,b2b4
3rr1k1/ppp1q2p/2n3p1/3np3/1P3b2/P2P1N2/2Q1BPPP/2BRR1K1 b - -,f4c1
rn1q1rk1/pb2bppp/1p2pn2/2pp4/2P5/1P2PNP1/PB1P1PBP/RN1Q1RK1 w - c6,d1e2:c4d5:b1c3
8/2p1k3/5p1p/p2P1K1P/2B1PP2/1P6/P7/2b5 b - -,c1d2
6k1/1pR3pp/1p4p1/2b5/8/5P1P/3r2P1/4NK2 b - -,c5d6
rnb2rk1/pp3ppp/5n2/3q4/4p3/2BB1N2/PPP2PPP/R2QR1K1 b - -,e4d3
1r1q1rk1/pb1nbpp1/1p1p3p/2p1p3/PP1P4/2PBPNP1/3NQPP1/R4RK1 w - -,b4c5
r1bq1rk1/pp1n1pb1/2p4p/4p1pn/2P5/2N1PNB1/PPQ1BPPP/R4RK1 w - -,f3d2
6k1/6p1/4bp1p/1n1q4/1Q5P/1p4B1/3N1PPK/8 b - -,e6f7
r7/p5k1/2p1p2p/2b5/4p2P/8/PP2PP2/R4K2 w - -,a1c1
2kr3r/1p2b1p1/p1p1b3/N2n1p1p/3Pn3/1P2PBP1/1PN4P/R1R1B1K1 w - h6,f3e2
r2qkb1r/3n1ppp/p3pn2/1p1p1b2/3P4/1BNQ1N2/PPP2PPP/R1B2RK1 w kq -,d3e2
6k1/5r1p/1p1p1Pp1/3P2P1/2R1PB1n/b5NP/4K3/8 w - -,c4c6
5rk1/2qbpp1p/3n2p1/2pPp3/1rP1P3/3Q1B2/4RPPP/3N1RK1 w - -,d1e3
