8/5r2/2k5/4p3/1PK5/5P1P/8/3R4 b - -,f7f4
6k1/6pp/2q2p2/2P5/1p1P1Q1P/6P1/r7/4R1K1 w - -,e1e4
r1b1kb1r/1p3ppp/pqnp4/3pP3/8/1N4P1/PPP1QP1P/R1B1KB1R w KQkq -,e5d6
4nrk1/N5b1/1p1pPq2/p1p1p1pR/P3PnP1/1P2BPK1/5Q2/2R5 b - -,f4h5
r3k2r/pp1b1ppp/2n1p3/3pPn2/P2P4/5N2/2PBBPPP/R3K2R w KQkq -,d2c3
2r5/pp2bp1r/1qn1k1p1/3pPp2/3P1P2/8/PPN4P/R1BQ2RK b - f3,c8h8
5rk1/1R6/7p/5KpP/4P3/8/8/8 w - -,f5g6
r5k1/ppp2b1p/2qn1pp1/2Pp4/3P1BP1/PP1B3P/2Q2P2/R3r1K1 w - -,a1e1
1r1q1rk1/p1pbbppp/4pn2/1p6/2PP4/2N3P1/PP3PBP/R1BQ1RK1 w - b6,c4c5
r5k1/5pbp/p2Rp1p1/1p2n3/2p1P3/N3q1P1/PPQ1B2P/5K2 w - -,b2b3
r4rk1/1q1p2pp/3np3/1pRnN3/pP1P4/Q7/1P1N1PPP/4R1K1 w - -,f2f3
rn1qk2r/pppbbp2/4p1p1/3pP1np/3P1P2/2N1B1Q1/PPP1N1PP/R3KB1R b KQkq -,g5e4
r3k2r/pb3ppp/1pn1p3/3n4/8/P1P1PNB1/5PPP/2R1KB1R b Kkq -,a8c8
r1bq1rk1/2pn1pb1/p1pp2pp/8/2PNP3/2N4P/PP3PP1/R1BQR1K1 b - -,d7e5
Q7/8/7P/3kp3/2p5/P4RPK/4qP2/1r6 b - -,d5d4
1rbq1rk1/pp1nbppp/2n1p3/2ppP2P/3P1P2/2P2N2/PP2N1P1/R1BQKB1R b KQ -,b7b5
2b2r1k/1r1Bq1np/pp1p1pp1/P1pPp3/2P1PP2/2N2NP1/1P1Q3P/R4R1K b - -,c8d7
2r2rk1/1n2bppp/1qNnp3/N7/1P6/6P1/1B2QPKP/R1R5 b - -,c8c7
2rr2k1/1b2qp1B/p3pp2/1p6/8/1P2b3/PBQ2PPP/2R2RK1 b - -,g8g7
r4rk1/1bq2ppp/5n2/2P1p3/1pNP4/pBn1P3/2Q2PPP/R1B1R1K1 b - -,e5d4
rn1qk2r/pb2bppp/1pp1pn2/N7/3P4/5NP1/P1Q1PPBP/1RB2RK1 b kq -,d8c8
8/7k/1B1pB3/P2Pp2p/8/5n2/5Q1P/3q3K w - -,h1g2
r1b1r1k1/3n1pb1/pq1p2p1/3P2B1/1pp4Q/5N2/PPB1N1PP/R4R1K b - -,e8e2
2r1r1k1/pb1nqpp1/1ppbpn1p/3p4/3P4/1PPBPN1P/PB1NQPP1/3RR1K1 b - -,c8d8
4k2r/ppnbq3/3p1p2/2pPp3/P1P1P3/1PN1Q1R1/5NK1/8 b - -,e8d8
r3k2r/ppq2ppp/1n2pn2/2b2b2/8/1BN1BN2/PPP2PPP/R2QR1K1 b kq -,e8g8
r4rk1/2qn1ppp/1ppb1n2/3p4/3PpP2/1NN1P3/PP2Q1PP/R1B2RK1 b - -,c7b7
2rqr1k1/1b2bppp/p2pp3/1p2n1B1/3NP1PP/5P2/PPP1B2Q/1K1R3R w - -,h1e1
8/8/1p3n2/1k2p1p1/4P3/PB2K1P1/8/8 w - -,b3d1
3rr2k/R3b2p/p5p1/Q1n5/3q1pN1/5N2/P4PPP/5RK1 b - -,d4g7
8/4bk2/8/5N2/5P2/1r4P1/4R1K1/8 b - -,e7c5
4k3/1p1rpbQ1/pBp2pp1/7q/2PP1P2/1P6/PK1R4/8 b - f3,d7d6
4rr2/5p1k/6qp/p7/P1BQb1P1/7R/1PP4P/4R1K1 b - -,e4c2
r2qk2r/pbpp2pp/1p1bpn2/2nP1p2/2P5/P1N3PN/1P2PPBP/R1BQK2R w KQkq -,e1g1
2kr3r/pppq1ppp/2nn4/3p4/3P1B2/3Q2N1/PPP2PPP/R4RK1 b - -,d7g4
1r1qr3/5pbk/3p1ppp/1p1N4/4P3/1P3R1P/2PQ1PP1/4R1K1 b - -,e8e6
1Q6/5k2/5npp/BB1p1p2/2pb1P2/4q1P1/7P/5K2 w - -,b8c7
8/6p1/1K6/5p2/r4Pk1/p7/R6P/8 w - -,b6b5
7r/1Qbk1p2/p2p4/2qPp2p/4Pp2/7P/2P2PP1/4RBK1 b - -,h8b8
5k2/1R6/6p1/3NP3/1p3P2/3n2P1/2r3KP/8 w - -,g2f3
r2r2k1/pp4p1/2p1q2p/3n4/1b2p3/1Q2B1P1/P4PBP/1RR3K1 w - -,a2a3
r2qrb1k/1pp3pp/2n1bp2/p2np3/4N3/PP1PPN2/1B2BPPP/2RQ1RK1 w - -,d1c2
8/6p1/P1PR4/K7/4k2p/8/8/1r6 b - -,b1a1
r1q1r1k1/ppn1ppnp/2p1b1p1/3pP3/2PP4/1P4P1/PB3PBP/2RQRNK1 b - -,c8d7
r4rk1/1bpn2pp/1p2n3/pP3pq1/2P1p3/P2BPP2/1BQ3PP/3RNR1K w - -,d3e2
8/7k/1R5P/r5P1/7K/8/8/8 b - -,a5a1
r2r2k1/1bqnbpp1/p1p1p2p/8/Pp1PN3/3BPN2/1PQ2PPP/2RR2K1 w - -,f3d2
5b2/3b4/5k2/1p1p1P1P/2p1p1B1/2P1P3/1P3K2/1N6 w - -,b1a3
r2q1rk1/4ppbp/p1np1np1/1pp5/4P3/2PPBQ1P/PPB2PP1/RN2R1K1 w - -,b1d2
6k1/5p2/2PB3p/1R1n2p1/8/7P/8/2r4K w - -,h1h2
r3k2r/1q3pb1/2p2n1p/p1B1p1p1/p3P3/1N4PP/1PP1Q1PK/R4R2 w kq -,b3d2
r1bqnBk1/p3pp1p/2p3p1/3pb3/8/2N2P2/PPPQB1PP/R3K2R b KQ -,g8f8
8/1k3N2/1P6/2P3p1/8/4K1p1/7P/5b2 w - -,h2g3
7r/Rnk2p2/4p1p1/1P1pP3/3K4/5P2/7P/5B2 w - -,a7a6
2r2rk1/1pqnbppp/p2pbn2/P3p3/4P3/2N2B2/1PPN1PPP/R1BQR1K1 b - -,f8e8
r2r2k1/p1qn1p1p/2ppb1pb/Pp6/3BPP2/2N3PP/1PPR1QB1/R5K1 w - -,c3e2
rnb2k1r/pp3pp1/4p2p/q1PpP3/6Q1/2nBB3/P1P2PPP/R3K1NR w KQ -,g1f3
1rr5/4pk2/1p1pb1p1/p2B3p/2P1KP2/PP4P1/7P/2RR4 w - h6,e4d4
3r1k2/1p3pp1/2n3p1/1p6/5P2/PB1p4/1P3KPP/2R5 w - -,c1c5
r2r2k1/1p3pp1/p1n1pbp1/2P5/1P6/2B2N2/P4PPP/2RR2K1 w - -,c3f6
r2qk2r/pp1n1ppp/2pbpn2/4Nb2/2PP1P2/2N1B3/PP2B1PP/R2Q1RK1 b kq f3,e8g8
2kr3r/pbq1b1pp/1p2p3/1Pp1p3/2P1N3/4Q1P1/PB2PP1P/R2R2K1 b - -,d8d1
3rr3/1p4pk/p2P3p/1q1nNp2/3R1P2/4Q2P/6P1/2R3K1 w - -,e3f3
r5k1/5pb1/1R1q2b1/P1pN4/2P1r1P1/7P/3Q1P2/3R1BK1 b - -,d6e5
8/6R1/4p3/p5k1/8/8/5PK1/r7 b - -,g5f6
7k/2pr4/2Q2bp1/B2Bq3/P3P3/1P4P1/5PK1/8 b - -,d7e7
5k2/1r4p1/p4nQp/1pP5/8/7P/PP3PP1/6K1 w - -,g6f5
8/1p2r3/3R2p1/P1R1nk2/2PN4/KP6/5r2/8 b - -,f5g4
2kr2r1/p1q2p1p/bp2pN2/2p1P3/P1pn4/6R1/1PPP2PP/2BQR1K1 b - -,g8g3
8/5k2/r7/1R6/4KP2/8/8/8 b - -,f7f6
r3r1k1/3qbp1p/p3pnpB/3p4/P7/2N4Q/1PP2PPP/R2R2K1 w - -,a4a5
2q2r1k/6rp/p1n1p3/PpPpPp2/3P1Qp1/2BB4/5PPP/R5K1 b - -,c8d8
3B1b1k/8/p2pB1pp/1b1P4/1P2p1PP/8/5P2/6K1 w - -,d8f6
rnb2rk1/1p4p1/1bpq1n2/3ppP2/1P4p1/2NP2NP/2P2PB1/1RBQ1RK1 w - -,h3g4
r1b1r1k1/p3pp1p/1pqp1bpB/8/3R4/2P2N2/PPQ2PPP/5RK1 w - -,d4f4
4k2r/r4ppp/pp1Bpn2/2n1Q3/4q3/2P2N2/PP3PPP/3R1RK1 b k -,e4e5
8/8/R2r2p1/4kp1p/7P/6P1/5K2/8 w - -,a6a4
k7/7R/p7/rp6/8/6P1/5PK1/8 w - b6,h7h5
1r1q1rk1/6bp/2bpp1p1/p1p2pP1/1pPnPP2/1P1PB3/PN1Q2BP/2R2RK1 w - -,g1h1
r2R4/np5k/p6p/4p3/PP2P1n1/1BP2P2/1B2Qb1r/2R2K2 b - -,h2h1
r3k2r/1bq1bppp/pp1ppn2/8/2PNPP2/2Nn4/PP2Q1PP/R4RBK w kq -,e2d3
r1b4R/1p5R/1pp1pkp1/8/2B5/P7/1PP3r1/2K5 b - -,b6b5
1r6/2p1nkpp/p2b4/P5P1/1p1PbP2/4P3/1P1BK2P/2RR4 w - -,d2e1
8/8/2k5/2P5/6rp/8/2R2KP1/8 w - -,c2c3
rn1qkb1r/pp2pppp/2p2nb1/8/3P2P1/2N2N1P/PPP2P2/R1BQKB1R w KQkq -,f3e5
