R7/2k5/2B5/P1p3p1/2P2b2/8/1PK5/8 b - -,c7c6
rnbq1rk1/pp3ppp/2p5/3p4/2PPn3/2P2N2/P2BBPPP/R2QK2R w KQ -,e1g1
r6r/2pnk1b1/p4p2/1p1b2Bp/3P3P/P7/1PPQ2P1/2KR4 w - -,g5f4
rnq2rk1/p4pbp/2pp1np1/1P1Pp3/4P3/2NN2P1/PP3PKP/R1BQ1R2 b - -,c6d5
2kr4/1n2b1pp/p1p1pp2/8/2P5/2B1N1P1/PP2RP1P/6K1 w - -,e3f5
r2qr1k1/1npp2pp/bp1b1p2/p2P4/3NPP2/PPB3P1/2Q3BP/R2R2K1 w - -,b3b4
5r2/p1pk1q2/7Q/3r2p1/3pN3/5P2/PP4PP/R3R1K1 b - -,d5b5
r1b1r1k1/pp1nqppp/2p1p1n1/3pP3/2P2PP1/1P1BP3/PB1N3P/R2Q1RK1 w - -,g4g5
7B/4k2p/p1p1p1n1/1p3p2/2p5/6P1/PP2PP1P/3R2K1 b - -,g6h8
r2qnrk1/1b2Nppp/pnp5/1p2p3/3P1BP1/P1N4P/1PP2QB1/4RRK1 b - -,d8e7
8/1R2bp2/4p1k1/3n4/4NP2/5K2/8/8 w - -,b7d7
r1bq1rk1/1p2ppbp/p2p1np1/2pPn3/P1P1P3/2N1BP1P/1P1Q2P1/R3KBNR b KQ -,f6h5
rnb2rk1/ppp2ppp/4pn2/3q4/3P4/2b2N2/PPQBPPPP/R3KB1R w KQ -,b2c3:d2c3
8/4k3/1p5p/7R/r2PK3/6P1/8/8 b - -,a4a3
4rr1k/p1p1np1p/1qppb1pQ/8/4P3/1PNB3P/P1P2PP1/4RRK1 w - -,g1h1
rr4k1/3qp3/b2p2p1/1N1P1p1p/PPp2P2/6PB/1RQ1PK2/3R4 w - -,b5d4
3r2k1/5ppp/8/1p1qP3/PPp5/2Q3P1/7P/2R3K1 b - -,b5a4
5rk1/2r1bppp/1q1p4/1p1Rp3/1P2P3/P7/1B2QPPP/3R2K1 b - -,f8c8
3r1rnk/2qn1pbp/2ppp1p1/pp6/3PP1PP/1BP1BPN1/PP1Q4/3R1RK1 w - -,h4h5
5k2/1p3pp1/1r5p/3p4/3Pb3/bP2P2P/B2RKBP1/r3N3 w - -,e1d3
2r2rk1/pp2bppp/2bp1n2/q3p3/2B1P3/2N2N1P/PPP1QPP1/1K1R3R b - -,b7b5
5bk1/5p1p/p5p1/1p6/4R3/1N5P/PPr2PP1/5K2 b - -,c2b2
4r3/rp4bp/1Np1b3/p1P1kp2/3N1p2/5P2/PPB3PP/2KR4 w - -,d4e6
5rk1/4ppbp/br1pPnp1/p1pP1P2/8/q1P1N1PP/P1RQN1B1/3R2K1 b - -,f8b8
rn5r/2q1bpk1/4p1p1/p1p1P2p/P1Pp1P2/1P1N1b2/3B2PP/1R1Q1R1K w - -,d1f3
r2q1rk1/pb4pp/1p6/5p2/3Pp3/1QNn4/PP1B1PPP/2R2RK1 b - -,g8h8
2rqnk2/pp4p1/3bRP2/7p/7P/8/PPP1Q3/1K1R4 b - -,g7g6
8/1P6/2n2k2/2N1p3/2K5/5p2/8/8 w - -,c4d5
3rr1k1/2q2pb1/pp1p1np1/2pb3p/P1P1PP1Q/1P4N1/2BR2PP/3R3K w - -,c4d5
r6k/5ppp/2qpr3/pb2pN2/4P3/1P3PQ1/2P3PP/3RR2K b - -,g7g6
2r2bk1/1q1n1ppp/rpp1pn2/p1Pp4/1P1P1P2/P1N1P1NP/1B2Q1P1/R1R3K1 b - -,b6b5
r1k4r/pp1n1R1N/2p1N1p1/4P3/4P3/1P6/P1PR2PP/4K3 b - -,d7e5
8/2R2pp1/7p/7P/2Ppnk2/3r4/PR4K1/8 b - -,f7f5
r4rkb/1pq1pp1p/3p1P2/p5Pp/1n2P3/1PN1B3/1PPQ3P/R4RK1 w - -,d2e2
r2qk1nr/1p1b1pbp/p2p2p1/2p1p3/2P1P3/2N2N1P/PP1P1PP1/R1BQ1RK1 w kq e6,d2d3
rn1q1rk1/pbp2ppp/1p1ppn2/8/2P3P1/1PQ2N2/PB1PPP1P/R3KB1R w KQ -,g4g5
1rbqk2r/p1bn1ppp/2p1p3/1pPp2Pn/3P4/3BPN2/PPQ2P1P/R1B1KN1R b KQk -,e6e5
8/8/8/3pBp2/2k1pP1P/4K1nP/2N5/8 b - -,g3f1
1r1n1rk1/1q4bp/1p1np3/p2pNp2/1N1P1P2/6P1/PP3BKP/2RQR3 w - a6,b4d3
3q1rk1/2nb3p/5n2/3p2p1/3Pp3/b3P1P1/N2BN1BP/3Q1RK1 w - -,d1b3
R3k3/8/P3p2K/6P1/8/8/8/r7 b - -,e8f7
r2q1rk1/pp1nbpp1/2p1p2p/3PPb2/8/1P4P1/PB1NPPBP/R2Q1RK1 b - -,c6d5
r1bq1rk1/pp1n1ppp/2pb1n2/4p3/2PP4/2N1PN2/PBQ1BPPP/R3K2R b KQ -,e5d4
2r5/5R2/8/p4k2/Pn2Rp1p/5P2/6P1/5K2 b - -,f5g5
8/2k5/2p4P/3p4/4r1Pq/8/3QBK2/8 w - -,f2f3
1Rn2k2/6pp/2r1P3/1p1p4/2pP4/2P1BP2/5K1P/8 w - -,b8b5
6k1/pr1q1p2/R5b1/1prp2Q1/8/4P1P1/5P1P/R4BK1 w - -,g5f6
r3kb2/1p3npr/2p1qp2/p3p3/P3P1P1/4B3/1PP1Q1PP/RN1R2K1 w q -,b1a3
r1bqk2r/1ppnbppp/p1n1p3/3pP3/3P4/P1NB1N2/1PP1QPPP/R1B1K2R b KQkq -,b7b6
3k4/3n2p1/8/r7/6B1/2R2P2/3r4/1R4K1 w - -,b1e1
6k1/5p1p/1p3np1/r7/p1B5/P1b2P2/5BPP/3R3K w - -,f2b6
r4r1k/1p5p/p1q2N2/2N1p1Pp/7P/2B4b/PPn1Q3/5KR1 w - -,f1f2
4k3/R7/1r6/3K4/4P3/8/8/8 b - -,b6h6
8/3r3p/2n2Rp1/3k2P1/8/8/5PKP/8 w - -,h2h4
4kb1r/r4pp1/p1B2np1/1pp5/5PP1/1PB1P2P/P7/R3K2R b KQk -,e8d8
6k1/7p/5pp1/n2rp3/BR6/4P2P/4K1P1/8 b - -,g8g7
2r1r1k1/p4pp1/1pp2b1p/2n5/2P2B1P/5N1R/P1P2PP1/1R3K2 w - -,f4e3
r2qk2r/1bp1npb1/pp1ppnpp/8/P1BPP3/2N1BN1P/1PPQ1PP1/R4RK1 w kq -,d4d5
1k1r4/1p1r1p1p/1p2p3/5p1B/3nPP2/4K2P/PP6/2RR4 b - f3,f7f6
6k1/1p2b2p/3p2p1/NB2p3/Pn2P3/2P2P2/7r/1K3R2 b - -,b4c2
rnbqkb1r/1pp2ppp/p3pn2/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq d6,b1d2
r4kr1/3pNq1p/p2Pp1pP/1p2npQ1/8/5PR1/PPP2P2/2KR4 b - -,g8h8
r2qr1k1/pb1nbppp/1p1ppn2/6B1/3P4/2PB1N2/PP3PPP/R2QRNK1 w - -,f1g3
1r1r4/5kbp/1p1n1pp1/pPpPp3/2P3P1/1P1BBP1P/R2K4/6R1 b - -,f6f5
rn2kb1r/pp3ppp/1qp1pn2/3p1b2/2PP4/1Q2PN2/PP1NBPPP/R1B1K2R b KQkq -,b8d7
r1b1qrk1/pp3nbp/2p2pp1/2n1p3/1PP1P3/P1N2N1P/5PP1/R1BQRBK1 b - b3,c5e6
2kr1b1r/pppqp3/2n2ppp/5b2/3PB3/P1N3P1/1PPQNPP1/2KR3R b - -,e7e5
2r4r/pb1nk1pp/1p2pn2/2pp1p2/2PP1P2/1P3N2/P2NPPBP/2RR2K1 b - -,h8d8
R7/5k1p/8/3pP1p1/p1pPb3/P7/r7/5K2 w - -,a8a4
rrb3k1/2q1ppbp/3p2p1/3Pn3/PPp5/2N3PP/2Q1PPB1/1RBR2K1 w - -,c3b5
3rk1r1/1pq2p1p/p1b1p3/5N2/3Q4/8/PPP2PPP/1K1RR3 w - -,f5g7
1rb1k2r/nq2bppp/3pp3/1P1nP3/8/2BB1N2/N4PPP/R3QRK1 w k -,e5d6
5rk1/2p1qpbp/p1n3p1/2P1p3/2b1N3/6P1/P3PPBP/BQ3RK1 w - -,b1c2
2br1rk1/p1q2pp1/1p1b3p/2p1N2n/2B1Q3/1P2P3/PB3PPP/3R1RK1 b - -,d8e8
4k2r/1p3pp1/pnr1p3/7p/3P4/2b1B3/PP3PPP/2R2RK1 w k -,c1c3
2r1k2r/ppq1nppp/2nbp3/3p3b/3P4/1PPB1N1P/P2N1PP1/R1BQR1K1 w k -,c1b2
1rb1r1k1/2p1nppp/p1np1q2/1p6/4PP2/1NN1Q1P1/PPP3BP/2KRR3 w - -,e3f2
1qb5/Q2nb3/2p2k2/2p1p1p1/P1N1PpP1/BN1P1P2/2P5/7K w - -,a7b8
r2r2k1/pp3p1p/4b1p1/4B1Pn/3pPP2/1P6/P5BP/2RR2K1 w - -,g2f3
3r4/p7/8/2p2k2/2P2p2/2KP2p1/PR4P1/8 w - -,b2b7
4r3/1p3b1k/p7/P1p2Pq1/7p/5QN1/1P2PK2/7R w - -,g3e4
Rn6/1r2qn1k/1p1p2pp/1PpPp1p1/2P1P1P1/4NPNP/6K1/Q7 b - -,e7c7
r2qkbnr/ppp2ppp/2n5/3p4/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1g1
5r1k/pp3p2/8/4N3/3p3p/1P6/n4PPP/4K2R w - -,e1d2
r2q2k1/pp3ppp/n1p1rn2/8/1b1P4/PQN1BN1P/1P3PP1/R4RK1 b - -,b4c3
3n1k2/6pp/B7/P7/8/8/5PPP/6K1 b - -,d8c6
3r1n1k/1p4Rp/5p2/p4P2/3pR3/1P1B4/P1P2P2/1K6 b - -,h8g7
