1n6/1P6/4N3/6p1/5Pk1/8/5K2/8 b - -,g5f4
2r2rk1/pp3pq1/1n2b2p/7Q/4N3/1B3R2/Pp4PP/4R2K w - -,f3g3
rnbqkb1r/pp1p1ppp/4p3/2pnP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq d3,c5d4
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPP1BPPP/RN1QK2R b KQkq -,c8g4:e7e6:c8f5
1nr1k2r/pp2bppp/1q2p3/3pP3/1P1P4/Pb1QPN2/4B1PP/R4RK1 w k -,d3b3
4rr1k/1b4bp/p7/2P4p/3p1q2/P4P2/2Q1BBP1/1R1R2K1 b - -,b7e4
r1bq1rk1/ppp1bppp/3p1n2/2nPp3/2P1P3/2NB3P/PP3PP1/R1BQK1NR w KQ -,d3c2
6r1/1p3r1k/p2R3p/8/4n1nP/1P4R1/1PB2P2/2B3K1 b - -,f7e7
r4rk1/ppq1nppp/8/8/4p2Q/1NPB1b2/PP3PPP/R2R2K1 w - -,d3e4
2r2rk1/2qn1pb1/Q5p1/N2bp3/1p1P4/1N6/PPP2RPP/R1B3K1 b - -,e5d4
8/8/4k1p1/4Nb2/R2p1P2/8/p6r/2K5 w - -,e5f3
2rr2k1/pb1nqppp/1p2p3/8/3PPQ2/3B1N2/P4PPP/3RR1K1 w - -,h2h4
1k2r3/1n3p2/p3q1p1/1p4P1/8/P1R4Q/1PP1r3/1K1R4 w - -,h3g3
6k1/ppq1b1p1/2p1p1p1/4P3/6P1/2N1P2P/PP3K2/2RR4 w - -,f2f3
3r1k1r/1p2bp2/2p1pnp1/1q6/p2P1PPP/5Q2/PP1B1N2/1K1R3R b - -,a4a3
5rk1/5pbp/4p1p1/2Q1nb2/1rP2B2/2N3P1/Pq2PPBP/2R2RK1 b - -,b4c4
r4b1k/pp4qp/6p1/1bp1Q3/8/P7/1PP2PPP/3RR1K1 w - -,e5g7
8/p6p/3B4/2Pk1pp1/4b3/2r5/P2R1KPP/8 b - -,d5c6
r1b1kb1r/1p1n2pp/1qn1pp2/p2pP3/3p1P2/PPP2N2/4N1PP/R1BQKB1R w KQkq -,c3d4
2rk4/3bq3/p7/1p1R4/8/PB4Q1/KPP3P1/8 b - -,a6a5
rnb2rk1/pp3ppp/2pb2n1/5qN1/2BP4/2N5/PP3PPP/R1BQK2R w KQ -,c1e3
2k5/p7/1p2p3/1b6/3BB1P1/2Pn4/PP6/6K1 b - g3,e6e5
r3kb1r/3b1pp1/p2ppn1p/8/1pqNP1PP/2N1BP2/PPPQ4/1K1R3R w kq -,c3e2
2r1k3/1b1qbp2/p7/4PR2/1p1Bp1pr/1P5P/P1P2QBK/2R5 b - -,g4h3
5kN1/8/8/pK6/2B5/8/P3r3/8 b - -,e2e5
r4rk1/1pp2p2/p1b1pq1p/P3N2P/2pP4/8/1PQ2PP1/R3K2R w KQ -,a1a3
r1b1kb1r/ppp2ppp/2n5/3qP3/8/P1Q2N2/1P2PPPP/R1B1KB1R b KQkq -,c8g4
rnbqk2r/p2nppbp/3p2p1/2pP4/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,f3d2
6k1/2p2p2/r3r2p/2PpP3/3Bb3/2P5/PR4PP/R5K1 w - -,b2b7
1r2k2r/pbppnnqp/1p2p1p1/4P2P/1P2Q3/3B1N1R/P1PB1PP1/R3K3 w Qk -,h5h6
r1b1r1k1/1pp2pbp/2p3p1/p1n1P1B1/3N1P2/2N5/PPP3PP/3RR1K1 b - -,c8g4
8/R7/7k/3K2p1/p5P1/4r3/8/8 b - -,a4a3
r1bq1rk1/p1p1n1bp/2p2Pp1/3p4/3P4/5N1P/PP3PP1/RNBQ1RK1 b - -,g7f6
rn2k2r/pp3ppp/2pbpn2/B7/3P4/3B1N2/PPP2PPP/3RR1K1 b kq -,b8d7
2rq1rk1/pb1n1pbp/1p2p1p1/2ppN3/3PnP2/BPPBP3/P2N2PP/R3QRK1 w - -,a1c1
8/5k2/3K4/3n4/7P/8/8/8 w - -,d6d5
8/2p2p2/1b1p1k2/1B1P3p/P7/r4n2/2R1KP2/5R2 w - -,f1d1
rn2r2R/pb2kpp1/1p1n1q2/2pp3N/3P4/P1PBPP2/5K2/2BQ3R b - -,e8h8
r3kb1r/pbqn1p2/1pp2npp/4p3/2P5/1PN2NP1/PB1QPPBP/R4RK1 w kq -,a1d1
r2q1rk1/pppbbppp/2np1n2/8/3NP3/2N3PP/PPP2PB1/R1BQ1RK1 b - -,c6d4
r1r3k1/1bpnqpbp/pp1pp1p1/8/1PPP1B2/2R1P2P/P2NBPP1/3QR1K1 b - -,e6e5
4r3/p2bp3/1p1p1rkp/3B4/P1PR4/1P4P1/5PK1/4R3 b - -,g6g7
r1bqk2r/1p1n1pb1/p3pnpp/3p4/P2P4/2NBBN1P/1PPQ1PP1/R4RK1 b kq -,b7b6
r1bq1rk1/1pp2pb1/n2p1np1/p2Pp2p/2P1P2P/2N3N1/PP2BPP1/R1BQK2R w KQ h6,c1g5
7Q/8/6K1/8/8/8/p7/1k6 b - -,a2a1q
4rr1k/ppq3p1/1bp1b2p/8/4NP2/P1QB4/1P4PP/4RR1K w - -,e4g3
2r5/p7/1p1n1k2/r2Pp1p1/1RP4p/5P1P/P2RBK2/8 b - -,f6e7
rn1k3r/pb3pbp/4p1p1/1pp4P/4nB2/2P2N2/PP1NPPP1/R3KB1R b KQ -,e4d2
rnb2rk1/ppq3b1/2ppp2p/5Pp1/2PP4/2N2NP1/PPQ1BPP1/2KRR3 b - -,e6f5
6k1/pN5p/2p3p1/P1P2p2/3b1P1P/5KP1/8/8 b - -,d4f6
r3k1nr/pp1q1pbp/2np2p1/2p1p3/2P1P3/1PN2N2/PB1P1PPP/R2Q1RK1 b kq -,g8e7
3k4/6R1/2p5/4n3/P7/1P2B3/1K6/3r4 b - -,d1d5
4k3/8/8/5PK1/R1b2NP1/2r4P/p7/8 w - -,f4g6
r4rk1/1q2ppbp/3p2p1/p1p1P3/2Pn1P2/1N2B3/PP1R2PP/R2Q2K1 w - -,e3d4
rn1qk2r/1bp2ppp/1p3n2/p2p4/1b1P4/2NBP3/PP1BNPPP/R2Q1RK1 w kq -,e2g3
3rrk2/2q4p/p2pPpp1/2pP4/1pP2PP1/3Q4/P3R2P/4R1K1 b - -,c7e7
2rq1rk1/4bppp/4pnb1/3pN3/3N1B2/8/2P1QPPP/R4RK1 w - -,e5g6
8/8/5b2/B2k2p1/5p1p/1p1K1P1P/6P1/8 w - -,a5d2
r2qr1k1/1p2b1pp/2ppp1n1/p1n5/P3PP2/2N1BN1P/1PP3P1/R2QR1K1 w - -,e3c5
r1b2r2/1p2b1kp/2n3p1/pN1p4/5q2/P2B1N2/1PQ2PPP/4RRK1 w - -,e1e3
4b1k1/5p1p/2p5/2p4n/4P3/pP3PPP/1p1Nn1BK/1N6 w - -,b1a3
8/7Q/3p2p1/2pPb3/4b2P/4PkPB/6RK/5q2 b - -,f1e1
4rbk1/1p2rp2/1P1p2pp/1ppP4/4PBP1/5P2/1P5P/R4RK1 b - -,e7d7
2Rr2k1/p4ppp/1n6/8/4P3/P1p5/5PPP/2B2RK1 b - -,d8c8
r4rk1/1p1nbppp/1qp5/p7/3pB3/3P2PP/PPQBPP2/1R3RK1 b - -,e7b4
2k3r1/pppqbp2/7r/1PPp1bp1/3Pp2p/4P2P/PBQ2PP1/1KR2B1R w - -,c2a4
8/3r1k1p/1p2qpp1/p1np4/6P1/1PQ1PP2/PB1R2KP/8 w - -,d2d4
rn1qkb1r/1b3ppp/p2ppn2/8/Pp1NP3/3BBP2/NPP3PP/R2QK2R b KQkq -,e6e5
2r3k1/3b1p2/3pp1pB/qn2b3/1p2P1P1/3P3P/2PQN1B1/5RK1 w - -,d3d4
3k1b1r/pBp1pppp/1n6/4n3/8/2N4P/PPP2PP1/R1B3K1 b - -,e7e6
r4rk1/pp1q1ppp/3bp1n1/n5N1/3P3P/2N1B3/PPQ2PP1/3R1RK1 b - h3,f8c8
r3kb1r/2pq1ppp/p1p1n3/3pP2b/QP6/2P2N1P/P2N1PP1/R1B2RK1 b kq -,c6c5
r1b1k2r/p1q1b1pp/2p2n2/1pPpp3/4P1n1/5NP1/PPQN1PBP/R1B2RK1 w kq -,a2a4
r3r3/1p4kp/1B2Npp1/pb1P4/1p6/6PP/PP4BK/R7 b - -,e8e6
8/1k6/p6R/P1p4p/1pb5/8/1K6/8 b - -,b7c7
r4k2/1bb2ppp/p3pn2/1p6/1P2P3/P4B2/1B1N1PPP/3R2K1 w - -,e4e5
r6r/pp1n2p1/1qp2k1p/5p1Q/3Pp3/4P3/PP1N1PPP/1R3RK1 w - -,f2f3
2r2rk1/R2bbqpp/1Bnp4/3Pp3/2B1p3/1PQ5/5PPP/5RK1 w - -,a7d7
7r/ppp1k3/5pn1/4n1p1/4P3/P1P5/1P3NP1/2KB3R b - -,e5d3
8/2r2kpp/5p2/3p4/Pn1P4/1P3K2/3RN1PP/8 w - -,d2d1
8/5k1p/R5pB/1pb1P3/p7/7P/2r3PK/8 w - -,e5e6
8/pb4p1/1p1k1p1p/4p3/1PB1P3/P4P2/4K1PP/8 w - -,e2d3
rnq2k1r/pp2ppb1/3p1np1/2pP3p/2P1PB2/2N2NPb/PP3P1P/R2QR1KB b - -,h5h4
rn3rk1/ppq1bpp1/2p1pn1p/8/3P3B/5B1P/PPP1NPP1/R2QR1K1 b - -,b8d7
8/8/1p6/p3R3/P1k4r/8/2K5/1N6 b - -,h4h2
