8/1p2r1pp/3k4/1P6/2P3P1/2KR3P/8/8 b - -,d6c7
r3k2r/pp1qpp2/3p1npb/2p3N1/2Pn2b1/3PN1P1/PP2PPB1/1RBQR1K1 w kq -,e3g4
8/3K2pk/P2Q4/8/6p1/8/1q5P/8 w - -,d7c7
r2q1rk1/pbp1bppp/1p3n2/3pP3/Q7/2N3P1/PP2PPBP/R1B2RK1 b - -,f6d7
rnb1kb1r/3ppppp/5n2/q1pP4/1p2P3/N4P2/PP1B2PP/R2QKBNR b KQkq -,d7d6:e7e6
1r3k2/2p3p1/p3np1p/P1n1p3/b1N1P3/2P2P2/3R2PP/4NBK1 w - -,e1d3
r1b2rk1/ppp2ppp/5b2/4n3/8/1NP2B2/PP3PPP/R1BR2K1 w - -,f3e2
4brk1/5ppp/1pP1p3/1P2Q3/4N3/4P3/q4PPP/5RK1 b - -,f7f6
2r1r1k1/1q3pb1/p1b3pp/4P2n/2p1B3/2B1QN1P/PP3PP1/3RR1K1 w - -,e4c6
4b1k1/p1p1Bppp/1b6/2pB4/8/PP3P2/2P3PP/2K5 b - -,g7g6
rnbqk2r/p4ppp/1p1bpn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQ1RK1 w kq -,b1d2
r3N2k/5p2/4b2p/1p6/p2bP3/P1pP4/4pPPP/2R1R1K1 b - -,a8e8
1r6/8/3k4/2p5/2n1B3/n1PN4/4K3/4R3 w - -,e1h1
r1bqr2k/1pp1n1bp/p1np2p1/5p2/2BNPP2/2N1B3/PPPQ2PP/R4RK1 w - -,c4f7
8/2Qb1n1k/5p2/3Np3/2K1P1P1/Pr3P2/1r6/8 b - -,d7b5
4r1k1/p1qn1pbp/1p1p1np1/4p3/2b5/1N1P2P1/P3PPBP/1RBQ1RK1 b - -,c4d5
r3kb1r/ppp3p1/2n1qn1p/1B1p4/4P3/2N5/PPP2PPP/R1BQ1RK1 b kq -,d5e4
r1bqkb1r/5ppp/p1n1p3/2ppP3/1p1P1PPn/2P2N1P/PP2NK2/R1BQ1B1R b kq -,h4f3
1qrrb1k1/1p3pbp/p2ppnp1/n2N2B1/1NP5/1P4PP/P2QPPB1/2RR2K1 b - -,e6d5
4k3/6pp/1p2p3/pPr5/P3PQ2/5P2/5RKP/3q4 w - -,f2d2
r2r2k1/1b4p1/1p1qnp2/1B1pN1p1/P2P4/6P1/3Q1P1P/2R2RK1 w - -,e5g4
r2q1rk1/pbpnbppp/1p1ppn2/8/2PPP3/P1N2N2/1PQ1BPPP/R1B2RK1 b - -,e6e5
b7/2r3bk/p4nqp/B1p1R3/2Nr1P1Q/6NP/1P4P1/4R1K1 b - f3,c7f7
6k1/p2n1pp1/2R1p2p/3pP3/1q1P1PPb/8/7P/3Q1RK1 b - -,d7b6
2kr3r/ppqb4/2n1p1pp/3pPp2/7P/2PBQN2/PP3PP1/2KR3R b - -,c8b8
2k5/7R/5r2/P2r2pp/8/1R2PKPP/8/8 w - -,f3e4
5rk1/B3bpp1/2p1p1n1/3n2p1/N1pP2P1/4P2P/1P3PB1/3R2K1 w - -,a4b6
8/2B2k2/p7/2p2q2/1pP1n3/1P5P/r5BK/4Q3 w - -,h2h1
5Qrk/ppp3Np/5n2/1P6/3p4/3P3P/2P2PP1/4R1K1 b - -,g8f8
r2qr1k1/p5pp/b1pbpn2/2P1NpB1/8/8/PP2QPPP/RB3RK1 w - -,b1d3
r2qk2r/pp1n1ppp/2pbpn2/3p4/2P3b1/1P1P1NP1/PB2PPBP/RN1Q1RK1 b kq -,g4f3:e8g8
rq4k1/2r1ppb1/B2pbnp1/1P2P3/3B2P1/P4P2/2P2Q2/3RK2R b K -,d6e5
r1b2rk1/pp2npb1/1qpp3p/3P2p1/2PpP3/5N1P/PPB2PP1/1RBQR1K1 b - -,a7a5
8/P7/8/1K2pk2/5n2/8/1P1R4/6r1 b - -,g1a1
2r5/4kp2/3p1p1b/4pP1P/bp2P2P/2qB4/P1P2Q2/1K1RR3 b - -,c8c5
1r6/r3q2p/1k1b1p2/1Pp1pPp1/1Q2P3/3PB3/6PP/RR4K1 w - -,b4c4
r1b5/1p5R/p1p1pNkp/P3n3/1b5P/8/1P4P1/5R1K b - h3,e5d3
8/7p/1N6/4ppk1/P4p2/1P3K2/3rB1P1/8 b - -,d2b2
r4rk1/pp1qppbp/2n2np1/3pP3/3P4/1P3N2/PB3PPP/RN1QR1K1 b - -,f6e4
r6r/3k1p2/3bp3/3p1p2/p2P3p/3NP3/1PR2PPP/1K5R b - -,h8b8
8/4kp2/4p1p1/4P2p/p1pb3P/P2b4/3R1PP1/5K2 w - -,f1g1
2r2r2/6bk/3pq2p/1P1Nn1p1/2PB1p2/1Q5P/5PP1/2RR2K1 w - -,f2f3
r1bqkb1r/1p3ppp/p1n2n2/3p2B1/3N4/2N5/PPP1BPPP/R2Q1RK1 b kq -,f8e7
5k2/2b2p2/p5p1/7p/2P2NPP/5K2/P7/8 b - -,c7f4
3q2k1/5pp1/5P1p/ppp1R3/5P2/1P5P/P3Q2K/3r4 b - -,d1d2
rq2kb1r/1p1n1pp1/p1p1pn1p/3p1b2/2PP4/1P2PN2/PQ1NBPPP/R1B2RK1 w kq -,b3b4
2kr2nr/pp1b1p2/2n1p2p/q2pP1pQ/P1pP4/2P2N2/2PBBPPP/RR4K1 b - -,f7f6
8/6kp/4p1p1/4pp2/b2rP3/P2R1P1P/4BKP1/8 w - f6,d3d4
1r3rk1/5p1p/p1bp2p1/1pp1p3/1PPqPP2/P2P2P1/1Q4BP/1R1R3K w - -,b2d4
8/4p3/3p1kp1/5p2/1pP2P2/4K3/1P1R3P/4r3 w - -,e3d3
1k2r2r/4q2p/pp1pP1p1/2p1n3/P3P3/2N4P/1P1Q2P1/R4RK1 b - -,e7e6
2k2b1r/6pp/1B1pnp2/nP2p3/P7/2PP4/4N1PP/R2K1R2 b - -,a5b3
r4rk1/pp2bpp1/1np1pnp1/7q/P2P4/4P3/NPQB1PPP/R2R1BK1 b - -,a8c8
3r2k1/5p1p/5bp1/R7/P7/2n1B3/5PPP/5BK1 w - -,g2g3
r2q1rk1/pbpp1pb1/np2p1pp/8/2PPP3/2N2NP1/PP1Q1PBP/3R1RK1 b - -,d7d6
1r3n1k/Bpp3rp/p2bPq2/3Qp1p1/2B1Pp2/5P2/PPR3PP/5RK1 b - -,b8d8
N1b2r1k/1p2b1pp/8/p1P2p1q/3ppPn1/P5PP/1PQBP1B1/R4RK1 b - -,g4h6
3q1rk1/1p2bppp/2p1p3/4Q3/2PP4/1P6/5PPP/B2R2K1 b - -,d8b6
6k1/2b2ppp/pB2pn2/8/N7/PP4PP/4nP2/5K2 w - -,b6c7
2r1r1k1/p4p2/5np1/3p4/5BP1/2qBP1Q1/P4PKP/3R4 b - -,c3b2
r4r2/1nqbbp1k/p1pp1npp/2PPp3/BP2P3/5N1P/1B1N1PP1/R2QR1K1 b - -,c6d5
r3r1k1/p1pnqp1p/3p2p1/1p1Q4/1P2PP2/5B1P/P1P3P1/3RR1K1 b - -,a8b8
8/1B1q4/8/P3p1k1/4P3/6P1/Q1n4K/8 b - -,d7d2
r1bq1rk1/pp1n1pp1/2pb3p/8/2PQ4/5N2/PPB2PPP/R1B1R1K1 b - -,d6c5
1r4k1/Qb3qpp/1p2pp2/4b3/1P6/4n1P1/3BPPBP/5RK1 w - -,d2e3
r4rk1/5ppn/2pbp2p/1p1q3P/p2P2P1/3NBP2/PPP1Q3/1K1R3R w - -,f3f4
8/2PP4/1P3kp1/2n2p2/7p/8/r4KPP/8 w - -,f2f1
2kr3r/pp1bn1p1/2n1pP2/3p3p/q1pP1N1P/P1P3P1/2PB1PB1/RQ2K2R b KQ -,g7f6
q4bk1/4rpp1/pp5p/3P4/Q7/P5P1/5P1P/2BR2K1 b - -,b6b5
8/2RR1pkp/2q3p1/4K3/1pn3P1/7P/8/8 w - -,e5d4
8/2k5/R7/p1p3r1/P7/3P1K2/8/8 w - -,a6a5
8/2r2pp1/2P1pk1p/3pn3/7P/8/1QP2PP1/6K1 b - -,g7g5
5nk1/2p2pp1/2p4r/p1q5/P1P1Q3/1P2R1B1/4PP2/6K1 b - -,f8e6
1r2r2k/1R4b1/n1p3p1/3p3p/3p4/B4B1P/2P2PP1/1R3K2 b - -,g7f8
8/1k1R4/6p1/5p1p/2KPrP1P/8/8/8 b - -,b7c8
rn1qkb1r/3p1ppp/p3pn2/8/Np1Nb3/6P1/PPP2PBP/R1BQ1RK1 w kq -,g2e4
1r6/4k3/2p1p2b/5p2/2N1p3/P1P5/P1K1R1P1/8 b - -,e7f6
r1bq1rk1/ppp3bp/2npp1p1/5p2/2PP4/BPR2NP1/P3PPBP/3Q1RK1 b - -,d8f6
r5k1/1bqnnpb1/6pp/Npp1p3/1P2P3/2B2N1P/1Q3PP1/R3R1K1 b - -,e7c6
4rrk1/1pq3bp/1n2pp2/p2b1npP/3P2N1/P1N1B1P1/1PB1QP2/3RR1K1 w - -,c3d5
