8/8/7p/5k2/1pB5/1P4PP/b2K4/8 b - -,f5e4
r1bqk2r/pp1nbppp/3np3/3pN3/3P4/1QN2PP1/PP2P1BP/R1B2RK1 w kq -,e2e4
r2r2k1/pp1bbppp/2n1pn2/8/P1PP4/1N3B2/1B3PPP/RN3RK1 b - -,a8c8
3r1rk1/ppp1qpp1/7p/3p4/2nPnBP1/2P2B1P/P3PP2/R1Q2RK1 w - -,g1g2
8/8/7p/4k2R/4bp2/8/2p2K2/1rR5 b - -,e5d4
r1bqkbnr/ppp1p1pp/3p4/5pB1/3Pn3/3BPN2/PPP2PPP/RN1QK2R w KQkq -,h2h4
2rq1rk1/p2nbppp/3p1n2/1P2p3/1P5P/1QNb1NP1/P2B1PB1/R1R3K1 w - -,c3d5
2k5/pp3bpp/n1p2P2/5P2/2prP3/P7/1P3N1P/2K2B1R b - -,g7f6
r2qkbnr/3p1ppp/p1b1p3/1p2P3/8/2NB4/PPP2PPP/R1BQ1RK1 b kq -,g8e7
7R/2k5/2b1BN2/q2pP3/rppP4/2P5/2PK2P1/1Q6 b - -,b4b3
r1bq1rk1/1p2ppbp/p2p1np1/2pPn1B1/P1P1P3/2N2P2/1P3NPP/R2QKB1R b KQ -,d8a5
7r/8/P1pk4/2N1pp2/1p1P4/1P4K1/8/R7 w - -,c5b7
r1b2r1k/2qn1p1p/2p1p1p1/p1bpP1B1/N6Q/P2B4/1PP2PPP/R4RK1 b - -,c5a7
r3r1k1/ppqn1ppp/2pbp3/8/3Pn3/P2BBQ1P/1PP2PP1/3RR1K1 w - -,d3e4
2rqr1k1/p3npbp/bpp3p1/3p1n2/3P4/BP2PNPB/P1Q1NP1P/2R1R1K1 b - -,c8c7
br1r2k1/5ppp/1p2pq2/2b5/1PR1P3/3B1N2/4QPPP/2R3K1 b - -,c5f8
rn1qkb1r/ppp1pp1p/3p1np1/8/3P2b1/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,f8g7
2rr2k1/5pp1/p1p1pnp1/1pP1n3/4P3/1B2BPP1/PP2K2P/2RR4 b - -,g8f8
1r3Bkr/5p2/p3pPpp/3p4/b4P1Q/1P1P2RR/1Pq4P/4K3 w - -,f8d6
3q1n1r/pp2rppk/3p1n1p/2pPpP2/P1P2PP1/2PBB2P/3Q3K/R4R2 b - -,f8d7
r1bq1bk1/4rp1p/p3p1p1/1BBpP3/Q4P2/P3PR2/6PP/R5K1 b - -,e7b7
q7/7k/1p2Q2b/2p2p1p/5P2/2B5/1P5P/6K1 b - -,a8g8
2k5/1p5p/p1n2p2/3p1p1N/3Pn1r1/2P3P1/PP3qP1/R1Q1R2K b - -,e4g3
1rb1k2r/p1pn1ppp/4p3/1pb1P3/2p2P2/6P1/PP2P1BP/RNBR1K2 w k b6,a2a4
8/7k/1R1P2p1/1P2p3/7p/5P2/6rr/3R1K2 b - -,h4h3
r1bq1rk1/1pp1npbp/p5p1/2pPp3/2P1P3/2N1QNP1/PP3PBP/R4RK1 b - -,b7b6
r3kb1r/pppbnpp1/2p4p/4P3/8/2N2N1P/PPP2PPB/R2R2K1 b - -,a8d8
4R3/7p/r4k2/6p1/4K1P1/2p5/7P/8 w - -,e8c8
rnbqk2r/pp2bppp/4pn2/2p5/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq c6,g1f3
r4r1k/1pb2pp1/1npqB2p/p3N3/Pn1P1P2/N5QP/1P1B2P1/3RR1K1 b - -,d6e6
r4rk1/p4p1p/2p1qnp1/2b5/Q3PB2/5P2/PP2N1PP/R3K2R b KQ -,f8d8
r5k1/3q1r1p/1pn1pP1R/p1pp4/P2P4/2PQ4/1P3PPP/R5K1 w - -,a1e1
2rqk2r/4bppp/p3p3/3nP3/Ppp5/4B1P1/1P1QPPKP/RNR5 w k -,e3d4
6k1/6p1/p4p1p/4pP2/b1PrP1PP/2pN4/3bK3/2N2R2 w - -,e2f3
3r3k/8/2b1p2p/p3Pp2/1p1p1P2/6P1/PP1R1B1P/6K1 w - -,d2d4
4r3/p1p1rbkp/3pqpp1/2p5/2P1PP2/2QB2RP/PP4P1/4R1K1 w - -,g3e3
4r3/1p1n1k2/p1b2p2/6pp/PPp5/2B2PP1/2B1P2P/4R1K1 w - -,g1f2
1n1rr3/k1p1qp2/pp2pp1p/3P4/3NQ1P1/8/PPP2P1P/2KRR3 b - -,d8d5
rnbqk2r/1p2ppbp/p4np1/3p4/3P1B2/2NBP3/PP3PPP/R2QK1NR w KQkq -,h2h3
r1b2rk1/p2p2qp/2p1nbp1/N1P2p2/1P2p2P/P1N1P1P1/5P2/2RQKB1R w K -,d1d2
3r2k1/5p1p/1pp3p1/8/1PP1PP2/1K1p1B1P/5b2/R7 w - -,e4e5
5r2/1p4R1/p2P1n2/P1P2k1P/3Qp3/4B3/1PK2P1q/8 b - -,h2h5
8/1Q6/6kp/6p1/P7/3KP2q/1P5P/8 w - -,b7b6
3Q4/pb5k/2q4p/1pp1bp2/8/P3B1NP/1PP4K/8 w - -,d8e7
8/4bk2/R7/4Bp2/8/p2K1P2/6rP/8 w - -,h2h4
8/1Pk5/2P5/6p1/4b3/4pB1P/4K1P1/8 b - -,e4f5
5r2/8/2p1k3/4p1p1/6Pb/PP1KP2p/3N3R/8 w - -,h2h3
8/5k2/2p5/7p/4P1b1/B6p/5K2/8 w - -,f2g3
r2qkb1r/1bpp1ppp/p7/np2N3/3Pn3/1BP5/PP3PPP/RNBQ1RK1 b kq -,a5b3
8/p6k/2R5/1p6/7P/rP5K/6P1/8 w - -,g2g3
8/k7/P1B5/2K2r2/8/4R3/8/8 w - -,c6d5
r3k2r/1b3ppp/p3pn2/n1Pq4/Pp6/3BBN2/1PQ2PPP/R4RK1 b kq -,d5h5
r1q2rk1/1p4p1/p1p1p2p/4Np2/3P1B2/3R2Q1/n4PPP/4R1K1 b - -,f8f6
b1rr2k1/1q2bpp1/p1n1pn1p/1p6/1P1P4/P1NBBN1P/4QPP1/2RR2K1 w - -,d3b1
1rbq1rk1/pp2ppbp/2n2np1/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - -,a2a4
4rrk1/p2n1ppp/4p3/2pq4/PpN5/1P1P2P1/2P2P1P/R2QR1K1 w - -,d1e2
8/p5k1/1pq2bR1/8/2P5/P6p/K3QR2/8 b - -,g7g6
8/p6p/1pq3k1/4Rpp1/P3b3/1P5P/1B3R2/6K1 w - -,e5e7
4r3/p5k1/1p6/8/P4R2/6P1/2r1BK1P/8 w - -,f4g4
8/8/6pk/8/1r2PR1P/5P2/6K1/8 b - -,h6g7
2rr2k1/4p1bp/R3P1p1/1Nq2p2/6n1/1b3N2/1PnQBPPP/2B2RK1 w - -,d2f4
6k1/1nr1r1p1/p1p3p1/Pp4Pp/3RP2P/2P1KP2/2B5/R7 w - -,f3f4
1r1q1rk1/3b1p1p/1nnPp1p1/2Q5/1pP5/pP4P1/P2NN1BP/1R3RK1 b - -,d8c8
7r/p1q1kpb1/6pp/1b6/4Q3/8/PPP2PPP/R1B2RK1 b - -,c7e5
5B2/4N3/6p1/2p3P1/P1bbK3/2k5/8/8 w - -,e7g6
8/1R3p1p/6pk/1P2p3/4P3/5P1P/1r4P1/5K2 b - -,f7f5
8/8/2b3k1/2P1p3/5p1B/5P2/2P3PK/8 b - -,e5e4
4r3/1ppk4/p2b1pp1/2B4p/1P1PP3/5KP1/P4P2/2R5 w - -,c5d6
r4rk1/1p2q1p1/3pb2p/1P2p3/P6b/4N3/4QPPP/R1B2RK1 b - a3,e7f7
4k3/4qpp1/1ppn3p/4p3/PP2P1P1/1N2P3/2Q4P/5K2 b - -,e7d7
2rqnrk1/p2p2pp/bp3p2/n1pPp3/2P1PP2/P1PBB1N1/4Q1PP/R4RK1 b - -,e8d6
r4rk1/pp3pp1/2p1pqp1/8/2PPQ3/1P3R2/P4PPP/4R1K1 b - -,f6d8
3Q2k1/p4r1p/1p6/2p1qPK1/2P3P1/3R4/P7/8 b - -,g8g7
2r1r1k1/1bq1bppp/pp2nn2/4p3/P3P3/2N1BBN1/1PP1Q1PP/R4R1K w - -,g3h5
5k2/3R4/6p1/5p1p/7P/1r1B2P1/5K2/8 w - -,f2e3
2r2rk1/p1nq2bp/1pbp1pp1/3Np3/2P1P1PP/3BBP2/PP1Q1K2/2R3R1 b - -,f8f7
1r3k2/2r2pp1/4n1p1/pB2p3/PbP5/5PP1/R4B1P/3R3K w - -,h1g2
