8/6r1/P2P1k2/2pKR3/8/2P3p1/8/8 w - -,e5e1
8/1r2r1k1/3Q1ppp/2p2q2/pnP4P/N4N2/PP1R1PP1/K2R4 w - -,d6d8
6k1/2R5/3p1N1p/5K1P/6P1/5n2/5r2/8 b - -,g8f8
r3k2r/1b1pbpp1/p3p2q/1pp1P2p/4NP2/1PNP4/1PP3PP/R2Q1RK1 b kq -,f7f5
r1b1kbnr/ppp2ppp/2qp4/8/4P3/3B4/PPP2PPP/RNBQK2R w KQkq -,e1g1
2r3k1/2Q2ppp/2r1pn2/p7/N2R4/2P5/1P3PPP/4R1K1 b - -,c6c7
3r3k/pQ1n1p1p/1q1P1pr1/1p2pN2/2p3P1/P6P/1P2PP2/3R1RK1 w - -,b7c7
r1bqkb1r/p2p1p1p/2p1p1p1/4P2n/2B5/2N5/PPP2PPP/R1BQK2R w KQkq -,g2g4
8/7p/5k2/5pn1/8/6KP/1B6/8 b - -,f6e6
2r1qbk1/r5p1/4p1bp/1p1pB3/1P1P4/2P1QP2/4NK2/6RR b - -,a7a2
8/1R4pk/1P3p2/5P2/1r4P1/5K2/8/8 w - -,b7b8
r4rk1/pp3ppp/1n2p3/8/3Q1P2/b6P/2P1B1P1/1R4K1 w - -,e2d3
5k2/1R2pp1p/B3b1p1/8/1N2P3/6P1/P2n1P1P/2r3K1 w - -,g1g2
8/8/6k1/7R/8/1r2BK2/8/8 w - -,h5g5
8/8/8/2pnkpPp/8/1B3K2/8/8 w - -,g5g6
1r6/3q2bk/6pp/p1pnP3/5p2/P1P2N2/6BP/1R2R1K1 w - -,b1b8
8/3R1p2/3p1k2/3P1p1b/2PN1P2/2K3r1/1P6/8 w - -,c3b4
1k5r/pp1r1pb1/1n2p2p/2q1P1p1/4R3/1BP3P1/PP2QP2/1K1RN3 b - -,h8d8
8/p2p3R/1p1P1kp1/2pr1p2/2q5/P7/1PPQ1P2/R2K4 b - -,c4f1
3r1rk1/p3ppbp/3P2p1/qBp1P3/Pn4n1/5N2/1PP3PP/R1BQ1R1K b - -,a7a6
3r4/pp6/4pk2/3pb1p1/2rn2B1/P1N3PP/1P3P2/3RR1K1 w - -,d1d3
r7/6pp/1k3p2/1Pprp3/3n1P2/P7/1R3BPP/2K1R3 w - -,e1e3
6r1/2qn4/2rpn2k/3RpPpp/1pP1P3/pP2B1P1/P1BQ3R/4K3 b - -,e6c5
r1bqkb1r/1p1n1ppp/p4n2/3Np3/3NP3/3BBP2/PPPQ2PP/R3K2R b KQkq -,e5d4
2r2rk1/1p3pp1/pnnRb2p/q3p3/P3P3/1PN2Q1P/2P2PP1/1N2RBK1 b - -,c6d4
3q4/1p6/p1p1p1k1/P3p1p1/1P2P3/2P2P2/3QKR2/7r b - -,d8e7
8/p3k2p/1p2bpp1/3p4/1n1P2PP/2N1KP2/PP6/1B6 b - -,b4c6
8/7k/4p2p/8/6p1/5rP1/3R1PK1/8 w - -,d2e2
8/1B2pp2/R3bkp1/7p/7P/1P4P1/P4r1K/8 w - -,h2g1
r1bqkb1r/2p2ppp/p1np1n2/1p2p3/B3P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq b6,a4b3
4k1r1/1b1rbq2/p3p2p/2ppBpP1/5P2/1PQ1PNR1/P1P3P1/3R2K1 b - -,h6g5
5k2/1p1n3p/pn1N2p1/8/2q2r2/5Q2/PP3PPP/4R1K1 w - -,e1e8
rr4k1/1bq2pb1/2pp1npp/p1nPp3/2P1P3/5NNP/P1BB1PP1/1RR1Q1K1 w - -,d2c3
1Rb4k/6pp/8/8/3P4/4P2P/Q4rBK/4q3 b - -,f2f8
b1r5/4np2/pp2pk1p/6p1/P1PN1P2/1P4PP/4NK2/2R5 b - -,e7g6
r4rk1/ppp1q2p/2p5/2Pb1pp1/3Pp3/4P1P1/PP2BP1P/R2QK2R w KQ g6,d1d2
r4qk1/1p1r1pb1/2p1b2p/p1n1pNpN/2PnP3/4B2P/PP3PP1/1BQRR1K1 b - -,e6f5
8/8/2b5/5k1N/1pp4P/6K1/2P5/2B5 b - -,c4c3
8/2b1k3/8/4P3/3K1P1R/3n4/8/8 b - -,d3b4
8/6k1/3rp1p1/7p/7P/6P1/5P2/R5K1 b - h3,d6d2
r4qk1/ppn1nr1p/2p1p1p1/2PpP3/3P2P1/1P1BB1QP/P5K1/2R2R2 b - -,f8g7
1rbq1rk1/p3n1bp/2npp1p1/1pp2p2/2N1PP1N/2PP2P1/PP4BP/R1BQ1RK1 w - b6,c4e3
r2r2k1/p2Q1pbp/1p4p1/n1p1P3/8/1PP2NB1/P1q2PPP/4RRK1 w - -,d7h3
r1b2rk1/ppq1p1bp/3p1np1/2p3B1/2PP4/3B1N2/PP3PPP/2KRQ2R w - -,h2h3
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4PP2/3P2P1/PPP3BP/RNBQK1NR b KQkq f3,f8g7:d7d6
5rk1/pp3ppp/4pn2/2b5/2B1P3/2P3qP/PPQ2PP1/3r1RK1 w - -,f1d1
2q2k2/p4pb1/4r1p1/3pN3/3PnPPQ/1N2P3/P6P/5RK1 b - -,c8c3
r1nq1rk1/p5b1/Q2p2p1/pP1Ppp1n/4P2p/2N1BP1P/4N1P1/R4RK1 w - -,a6a5
8/p4p2/2b2k1p/5Np1/1r4P1/R4P1P/8/6K1 w - -,a3a7
2rrb1k1/p3qp1n/1p1pp1p1/n3b2p/PNP1P3/NP1RBP1P/6P1/3RQBK1 w - -,a3b5
r2q1rk1/pb2ppbp/1pnp1np1/8/2P1P3/2N2P2/PPNBB1PP/R2Q1RK1 b - -,f6d7
3rr1k1/pppq2b1/2n4p/2Pp2p1/3Pp1P1/PP2B2P/2Q1NPK1/R2R4 w - -,e2g3
2r3k1/2P5/1P2pPp1/7p/1K6/3p4/4p3/4R3 w - -,b6b7
2r3k1/2q2p1p/5P2/1prp1BPp/3R4/6b1/PP1Q4/1K1R4 b - -,c8e8
4r2k/1p1r1p2/p2p2p1/P1pP3p/5B2/2P2B2/2P2P1K/1R6 w - -,b1b6
3k4/2R5/2PP4/3p4/4r3/8/3K4/8 b - -,e4d4
bbr2rk1/p4ppp/5q2/2np4/3Nn3/P3PN2/4BPPP/1QRRB1K1 w - -,c1c2
2r2nk1/p1r1pp1p/1pp1q1p1/4N3/PPR5/3PQ1P1/4PPKP/2R5 b - -,e6d5
8/5k2/4n3/1pprp3/p4p1P/P1B4P/1PR5/5K2 b - -,f7f6
r7/1k1b1r2/2p1p3/p3Q2P/P2P2P1/6K1/5P2/8 w - -,h5h6
R7/2p2pp1/3kb2p/p1p5/2P5/1P6/r4PPP/3BK3 b - -,e6d7
1r2bqn1/p5k1/2n1p2p/1p1pNrpP/3P4/5NP1/PP2QPB1/R4RK1 b - -,f8d6
6k1/1p6/3p4/4p1qp/1P1PP1p1/1b1r4/5PNP/1Qb2BK1 w - -,b1d3
8/1p3pk1/pr1bp2p/3p4/P2P2P1/2PB1RP1/K1P3P1/8 b - -,d6c7
1r6/5pk1/R2p3p/3P4/2p2P2/3bR2P/1P6/6K1 w - -,a6d6
2r3k1/5pp1/1p3n2/1P2pP1p/1qP5/4N1P1/4Q2P/3R2K1 w - -,g1h1
5r2/5pbp/kPp3p1/3rP3/P1N5/4P3/4K2P/3R1R2 w - -,d1b1
8/R6p/6k1/1p1r4/1P6/P3ppN1/3b1P1P/3K4 w - -,a7a6
1b6/8/P1k5/2p2p2/2Bp1P2/3KP3/8/8 b - -,d4e3
r1bq1rk1/1pp1npbn/p2p2pp/3Pp3/1PP1P3/P1NQ1NP1/5PBP/R1B2RK1 w - -,a1b1
8/p7/2pk1p2/1pn1pP2/4P1p1/PPK2P2/2P1N3/8 w - -,e2g3
r1bqk2r/ppp1p1bp/2np2p1/5p2/3Pn3/1P3NP1/PBP1PPBP/RN1Q1RK1 w kq -,b1d2
r4rk1/4ppbp/Q2p2p1/2pPn3/4P3/2N4P/PPR2PPK/R1B5 b - -,a8a6
8/1pK5/p5k1/8/8/P1P5/1P6/8 b - -,b7b5
r4rk1/pp2ppb1/2n3pp/Q7/3P1BbP/4PN2/P3BPP1/R4RK1 b - -,c6a5
8/8/P1K5/5p1k/1R1brP1P/1B6/8/8 w - -,b3d5
r1br2k1/pp2bppp/4p3/8/4nB2/1NP5/PP2BPPP/RR4K1 b - -,f7f6
5k2/pp3pb1/4p2p/8/2P1KP2/4N1P1/P6P/8 b - -,f7f5
6k1/2p4p/1p1pr3/p4p2/2PQp1p1/1P2P1P1/P3KP1q/2R5 b - -,h2h6
2rr4/5pp1/pnb2k2/4p2p/Pn6/1P2N3/3NBPPP/2RR2K1 w - -,d2c4
1r2k2r/3bp1bp/p5pn/q1pPpp2/2B2B2/2N2Q1P/PP3PP1/1R2R1K1 w k -,f4e5
rn1qkb1r/5ppp/p1p1pnb1/1p1p4/2PP3N/1QN1PP2/PP2B1PP/R1B1K2R w KQkq b6,c4c5
r1b1kb1r/ppqp1ppp/2n1pn2/8/3NPP2/2N1B3/PPP3PP/R2QKB1R b KQkq f3,c6d4:f8b4:d7d6
1k6/1p3p2/1np1rq1p/p1b1p2b/P3P3/1PP2NP1/2B1QPK1/B4R2 w - -,c2d1
2r3k1/2rN1pp1/b1qnp2p/1pnp4/3P4/2PBPP1P/1Q4P1/2R1R1K1 w - -,d7c5
3r4/p2r2kp/1ppqbpp1/2p1p3/P3P3/1P1PQN1P/2P2PP1/R4R1K b - -,d6e7
r2qk2r/pp1nppbp/2p1bnp1/3pN3/2P5/1P1P2P1/PBQ1PPBP/RN2K2R b KQkq -,e8g8
r4rk1/pb3ppp/1pp1pq2/4b3/Q1P5/5BB1/PP3PPP/3R1RK1 b - -,e5d4
1r4k1/b4pp1/4p2p/8/1pR2Pq1/1P1P1nP1/3R2Q1/1N1K4 b - -,f3d2
