3k4/R2n4/3p3q/2p5/4Q3/2P4P/6PK/8 w - -,e4g4
3rk2r/pp1nb1p1/2q1p1p1/5nPp/3PR2P/2N4B/PP2QP2/R1B3K1 b k -,e8g8
r1b1k2r/1pp1n2p/p1npq1p1/8/4P3/2PQ1N2/P4PPP/RNB1R1K1 b - -,c6e5
3b1rk1/1p3p2/p2p2p1/1q2p2p/PPNnPP1P/3Q2P1/4r1B1/1R3RK1 b - a3,b5a4
rb5r/pp1k1pp1/1n1np1p1/BN1p4/3P2P1/1P5P/P3PPB1/R1R3K1 w - -,b5c3
r1bq1rk1/ppp2ppp/2n2n2/3p2N1/1bBPPB2/2N5/PPP3PP/R2QK2R w KQ -,e4d5
2kr3r/pp1b2pp/4p2n/2b1P3/3pNP2/Pn4PB/RB2K2P/7R b - -,d4d3
3r2k1/p1p1pp1p/6p1/4b3/4P3/4B3/P3KPPP/2R5 w - -,f2f4
8/pp3p2/5p1p/2Pk4/3Pb1P1/1P2K2P/P4P2/8 b - -,f6f5
2n5/1R1b2r1/1p1P3p/2p1k2B/5N2/8/5K1P/8 w - -,f4e2
r2q1bk1/3b1p1p/p2p2p1/2pP4/PpP2Q2/2B4P/1PB2PP1/4R1K1 w - -,c3f6
4r1k1/5ppb/p1p4p/1p1n4/8/1BP2PQ1/PP2q1PP/2B3RK b - -,h7g6
8/5pkn/4p3/2p1q2p/p1PpP1pP/Pr4P1/1PQR1PB1/6K1 b - -,h7f6
r1b2rk1/p1q1bppp/2pp1n2/4p3/4P3/1BN1B2P/PPP2PP1/R2QR1K1 w - -,d1f3
8/q2rbpk1/6pp/1pp1p3/1P1nP3/P5PP/BQP2PK1/R1N5 b - -,c5c4
4r1k1/5rp1/1Qp4p/5p2/2Pp1n1q/4pPR1/PPP2P2/4RBK1 b - -,e3f2
6k1/p3qp2/Pp2p1p1/1P1pP2p/3PP3/3Q2nP/3N2P1/4K3 b - -,e7h4
r4rk1/1bqnbppp/p3pn2/1pp5/3P4/P1N1PN2/1PB1QPPP/R1BR2K1 w - -,e3e4
1rb1k2r/2qp1pp1/p3pn1p/b7/2pNP1PP/P1N1BP2/1PPQ4/K2R3R b k -,c7b7
8/8/8/P5pp/1K6/5k1P/8/8 w - -,a5a6
r1bqkb1r/pp3p1p/3ppnp1/8/2BNP3/Q7/PPPP1PPP/R1B1K2R w KQkq -,d2d3
3r1rk1/1b5p/pp1b2p1/2n2p2/P3p3/4P2P/1P1BNPP1/R2RN1K1 w - -,e2d4
r3brk1/1pp3pp/p1nb4/2pN1p2/2P1PP2/1PN5/P5PP/R1BR2K1 w - -,e4e5
8/8/3R4/3np1P1/2kb3P/5P2/6K1/8 b - -,d5e3
8/5pkp/8/3p2p1/3N4/PP2P1P1/5PKP/2r5 b - -,g5g4
7R/p3r3/8/3Pk3/4B3/1P3P2/P1K5/3r4 b - -,d1a1
8/3r3p/5Rp1/3kn1P1/7P/8/5PK1/8 w - -,f2f4
8/N6p/R4bk1/2p2p2/2r5/5P2/6PP/5K2 w - -,a7b5
8/2r1r1k1/3Rp1p1/3pP3/5P1P/R5K1/8/8 b - -,g7f7
3r2k1/np3pp1/p1r1pb1p/3N4/7P/P2P2P1/1P1B1PB1/1RRK4 b - -,e6d5
5r2/1r4p1/p2pk3/2bRp2p/P1P4P/1P1R1P2/K2B2P1/8 w - -,d2e3
r1br2k1/1p3p1p/1qn1pbp1/3P4/p3P3/1NN5/PP1QBPPP/3R1RK1 w - -,b3c1
8/1pp1kp2/1p1p2q1/3Pp3/4P1r1/2P1KQ1N/PP3Pr1/R7 b - -,g2g3
8/3bk3/1p1p3p/3Pp1pP/2r3P1/2P3R1/P2K4/6R1 w - -,g1b1
r1bqkb1r/5ppp/p1np4/1p1Np3/4n3/N3B3/PPP2PPP/R2QKB1R w KQkq -,e3b6
1r1r2k1/p2bqpb1/1p2p2p/4P1pP/3p4/P7/BPQ2PPN/3RR1K1 w - -,a2b1
r3k2r/3nppbp/1q1p1np1/2pP4/4P3/2N2NP1/PP3PKP/R1BQ3R w kq -,d1e2
r5k1/pN3p1p/4p1n1/4q3/1Q2P3/6P1/PP3PKP/3R4 b - e3,e5h5
6k1/p5pp/3qb3/2ppN3/2p2P1P/6P1/P3Q1K1/8 w - c6,e2h5
4r2k/7p/2p1Nb1p/pp3P2/8/P1PBP3/1P6/7K b - -,f6g5
r4rk1/1bqpbppp/p1n1p3/1p5P/3NP3/P1N1BP2/1PPQ4/R3KB1R w KQ -,d4c6
5rk1/1p3pp1/p2p4/7Q/P2pPP2/6P1/2q5/3R3K w - -,d1d4
1r2k3/4npp1/B6p/4p3/R3P3/4KPP1/1P5P/8 b - -,b8b2
3q1n2/5k2/p2p1p2/nbpPp1pP/2p1P1P1/2P1N3/PQ6/1R1B3K w - -,e3f5
8/2r5/4pkp1/1p1p3p/7P/1PP2PP1/1K6/3R4 w - -,d1a1
r1bqkb1r/1p3ppp/p3p3/2pPp3/4PP2/2N5/PPP3PP/R1BQ1RK1 b kq f3,d8c7
r1bq1rk1/p3n1bp/2Pp4/4p1p1/2Pn4/2N3B1/P2NBPPP/R2Q1RK1 b - -,e7c6
1r6/6b1/6kp/6p1/8/4NbP1/3N1P1P/4R1K1 w - -,g3g4
r2q1rk1/pp3ppp/2p2b2/3nnN2/8/P2Q2PP/1PP2PB1/R1B2RK1 w - -,d3b3
rnb1k1nr/pppq3p/4p1p1/3pPp2/1b1P4/2N2Q2/PPP2PPP/R1B1KBNR b KQkq -,b8c6
r1bqkb1r/pp1npppp/2p2n2/8/3P4/2N2Q2/PPP2PPP/R1B1KBNR b KQkq -,e7e6
4r3/1pN2pk1/p2Bp3/3bP1p1/2p2n2/P3R3/1P3P1P/6K1 b - -,e8c8
8/1r3ppp/4p3/R1Pk4/5P2/4K3/6PP/8 w - -,e3d3
r1b2rk1/p1q2ppp/1p3n2/2p1n3/2P5/P3PN2/2Q1BPPP/R1B2RK1 b - -,c8b7
3b4/4k1p1/R3Bpp1/8/3PP3/3K2P1/7r/8 w - -,d3c4
r2qkb1r/pQ1n1ppp/4pn2/3p4/6b1/2N5/PP1PPPBP/R1B1K1NR w KQkq -,c3b5
r3k2r/ppqnbppp/2p1p1b1/2PpN3/1P1Pn3/3BP3/PB2QPPP/RN3RK1 b kq -,f7f6
r4rk1/1p2bppp/3p1n2/1q2p3/pn2PP2/1N2BB2/1PP3PP/R2QR2K w - -,b3c1
2k3rr/p2n4/4pp2/q1ppn1BP/1p3N2/3P2Q1/PPP3B1/1K1R3R b - -,g8g5
7r/p3kp2/bpp1p2p/q5p1/1RpP4/2P1P1P1/P1Q1BPP1/6K1 b - -,b6b5
rr4k1/p1nq1ppb/2Q1p2p/3n4/3P4/N3P2P/PP1NBPP1/2RR2K1 b - -,d7c6
6k1/5p1p/6p1/n1p1N3/pr2PP2/7P/1P1R2P1/6K1 w - -,e5g4
r1b2rk1/1pqnbppp/p2ppn2/8/2PN4/1PN3P1/PB2PPBP/2RQ1RK1 b - -,a8b8:f8e8
r5k1/1p2pp1p/n2p2p1/2PP4/1P6/6PP/5PB1/2R3K1 w - -,c5c6
r1bq1rk1/3n2pp/1p2pb2/p1np4/8/2P2N2/PPBNQPPP/R1B1R1K1 w - -,d2b3
r1b2rk1/pp2q1bp/2p3p1/8/1PPN4/P3B1nP/2Q2PB1/3R1RK1 w - -,f1e1
6k1/p3p1n1/2pq3p/2p1Np2/2P2P1P/1P2P3/P3Q3/5K2 b - -,d6f6
r2q1rk1/pb1n1ppp/1p2pn2/2p5/2BP4/P1P1PN2/1B2QPPP/R4RK1 b - -,a8c8
rnbqk1nr/pp1pppbp/6p1/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,c5d4
6k1/R4p2/Pp5p/3p1B2/5p2/5P1P/1b2KP2/r7 w - -,f5d3
1rb2rk1/5pbp/1p2p1p1/4P3/1q3P2/2N1B3/1P3QPP/R2R2K1 b - -,c8b7
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/P3P3/1P3PPP/RNBQKBNR w KQkq -,g1f3:b1c3
3r2k1/1prq1ppp/p2bp3/n2p4/3P1PP1/PPNQP2P/R2N4/5RK1 w - -,b3b4
8/5qk1/1p3p1p/5p2/PP3n2/4Q3/3N4/3K4 b - -,f4d5
r4rk1/1b4pp/p2np3/2p2P1q/2P2Pn1/P1NB2P1/1BQ4P/3RR1K1 b - -,d6f5
8/p6p/2R5/r5k1/2p2nP1/3b1BK1/8/7R b - -,a5a3
r1n2rk1/1p1q2pp/2p1b3/p2pPp2/Pb1P1P2/2B3Q1/1PBN2PP/2R2RK1 w - -,d2b3
r2q1rk1/pp2bp1p/2p5/4pB2/4P3/2N1B3/PPP3PP/R4RK1 b - -,d8a5
2r1qrk1/pbn1b2p/1p1p2p1/3P2N1/2Q2PpP/P1N3P1/1P1BP3/2KR3R w - -,c4b3
r2q1rk1/1b1nbpp1/p1p1pn1p/1p4N1/3PN3/3BP3/PPQB1PPP/2R1K2R w K -,e4f6
r3k2r/ppqnp1bp/2p3p1/3ppn2/N2P1P2/5B1P/PPPQ1BP1/R3K2R w KQkq -,f4e5
2r5/5k1p/1b4p1/4R3/8/4P3/5NKP/8 b - -,c8e8
8/3kb3/1R6/3K4/1p5p/8/7P/8 b - -,d7c7
2Q3k1/6p1/2K4p/2P1qp1P/8/8/6P1/8 b - -,g8h7
8/p1R4p/6pk/5p2/4p2P/6P1/PPr2P2/3R2K1 b - -,c2c7
