8/1p5P/p5k1/6N1/4p3/P1P3n1/1P1K4/8 b - -,g6g7
4r3/pp4k1/7p/2pP1Pp1/P1Pq2n1/3P3P/3Q2B1/4R2K b - -,g4f6
r2qr1k1/5pp1/1p3n1p/p1b5/3n2P1/P4P2/1P2NRBP/R1BQ2K1 w - -,e2d4
7k/p6n/1pbN4/2p4p/P3P3/1P3P1P/2P3PK/8 b - -,h8g7
r1b2rk1/1pppnppp/p4q2/2b1n3/P1BNP3/2P1B3/1P3PPP/RN1Q1RK1 w - -,c4e2
4k3/3n3p/1pNnp1p1/p1b2p2/5P2/1P1KP2P/PB3PB1/8 w - -,a2a3
r2q1rk1/pp3pp1/2b4p/2p4n/P2pPP1b/3P3P/1PPQNBB1/R4RK1 w - -,d2e1
rnbqr1k1/pp3ppp/2p2n2/3pp3/1bP5/1QN1P1P1/PP1PNPBP/R1B2RK1 b - -,b4c3
rnbqk1nr/ppp2ppp/8/8/2ppP3/5N2/PP1Q1PPP/RN2KB1R w KQkq -,f3d4
1q2r1k1/3n1pp1/3p3p/Q2b4/1P1P4/6P1/1B3P1P/2R3K1 w - -,a5d5
r1bqk2r/pp1nbpp1/2p1pn1p/3p4/2PP2P1/2N1PN2/PPQ2P1P/R1B1KBR1 b Qkq -,g7g6:f6h7
4r1k1/1b2rp2/p2p2p1/1p1qb2n/3N1B1P/P1PB4/1P1R1QP1/5RK1 w - -,f4e5
5n2/2k2b2/p5p1/7p/1KN1BP1P/6P1/1P6/8 w - -,c4e5
r1b2rk1/1pN1b1pp/5n2/p1P2p1q/3ppP2/P5P1/1PQBP1BP/R4RK1 b - -,g8h8
8/1b2nkpp/p7/1p1p4/1B1P4/1B1P2P1/PP3K1P/8 w - -,b4e7
4rrk1/1p1qppbp/p1p3p1/2Pn2P1/2NPR3/2B3QP/PP3P2/4R1K1 b - -,f7f6
rq2r1k1/pp1n1ppp/2n1p3/3p4/3P4/2PB1QNP/PP3PP1/R3R1K1 b - -,b7b5
2kr1b1r/Rp4p1/4qp2/1bp4p/2NP4/1P2P3/1B2Q1PP/5RK1 b - -,b5a6
2Q5/5pk1/8/6pp/5q2/7P/6PK/8 w - -,h2g1
4k3/1R6/2P1pp2/2r1p1p1/1p2P3/1P3P1p/4K1PP/8 w - -,g2h3
rn2kbnr/1p1b1ppp/1q2p3/p1ppP3/3P4/P1P2N2/1P2BPPP/RNBQK2R b KQkq -,b8c6
2r3k1/Q4p1p/4p3/N2n2p1/1P6/P7/4qPPP/R5K1 b - -,e2b2
rnbq1rk1/1p2bpp1/p6p/2pP4/P1p3n1/2N1BNP1/1P3PBP/R2QK2R w KQ -,e3f4
3Q1b1r/1p3kpp/p3pp2/n1P2b2/q3p3/8/PP2NPPP/2R2RK1 w - -,f1d1
3r1rk1/pp4pp/2pn1q2/3pNb2/3P4/2N1QP2/PP4PP/R4RK1 w - -,b2b3
r4rk1/1bpq1pbp/2Nppnp1/1P1P4/P1p1P3/2N1BP2/3Q2PP/1R3RK1 w - -,b1b4
2rq2k1/1b3p1p/5np1/p2p4/3Q1P1r/PP2P3/1B2B1PP/R2R2K1 b - -,c8c6
r1bq1rk1/pp2bppp/2n1p3/3nP3/2B5/2N2N2/PP3PPP/R1BQR1K1 b - -,d5c3
8/3r2kp/4rnp1/p1Q1b3/8/P2p2PP/5PB1/5RK1 w - -,c5a5
2R5/1r3q1p/6pk/3p4/8/7P/5PP1/Q5K1 w - -,a1c1
3r1b1k/2R1p2p/5ppN/3b4/p2PpB2/P6P/5PP1/6K1 w - -,h6g4
6k1/1p3pb1/p6p/P5pP/1Qpq2P1/3p4/N7/1KR5 w - -,b4c3
r4rk1/2q2pbp/p1npp1p1/2n5/1pP1PN2/5N1P/PP2QPP1/1RBR2K1 b - -,b4b3
2r3k1/1Q3pbp/3qp1p1/8/P1rP4/5N2/1P3PPP/R2R2K1 b - -,c8b8
8/5p1p/3r2k1/1pb2p1n/3p1R2/PB1P3P/1B3KP1/8 w - -,b3f7
r4r2/p4ppp/3kp3/Pp1nN3/2pP4/1P2P3/2R2PPP/R5K1 b - -,d5b4
2r1r1k1/p4p1p/P1p3p1/1p1pPPn1/1P1P2P1/8/1PB5/1K1R3R b - -,c8c7
2k4r/ppp1nppp/1q6/1B2P2Q/3r4/6Pb/PP3P1P/R3R1K1 w - -,h5h3
r1b1k2r/p1q1bppp/2pp1n2/1p2n3/4P3/PNN1B1QP/1PP1BPP1/R3K2R b KQkq -,a7a6
r1b1k2r/pp2bppp/1qnppn2/8/2P1P3/PNN5/1P2BPPP/R1BQK2R b KQkq -,e8g8
rnb2rk1/ppp1ppbp/1q3np1/8/3P1B2/2N2NP1/PPPQ1P1P/2KR1B1R b - -,b8a6
5Q1Q/8/4p3/1p2P3/p3p3/P1r5/1k2K3/7R b - -,c3c2
r5k1/4pp2/3p2p1/3B3p/1P1bqB2/8/P2Q2PP/2R4K b - -,e4d5
4k2r/1pr1ppbp/p2p1np1/3P1P2/q2B4/5P1B/PPP2Q1P/1K1R2R1 w k -,c2c3
r1br2k1/1p2bppp/p1nqpn2/8/3P4/P1NBBN2/1P2QPPP/3R1RK1 b - -,b7b5
rnbq1rk1/pp2bppp/3pp3/2pnP3/2BP4/2P2N2/PP3PPP/RNBQ1RK1 w - -,d1e2
r2q1rk1/pbpn1ppp/1p1p1n2/4p3/2PP4/1P1BP3/PB1N1PPP/R2Q1RK1 w - -,d4d5
r1b1r3/1pqn1pk1/p1p2n1p/4b1p1/1P1R3B/2N1PN2/P2QBPPP/2R3K1 w - -,f3e5
r2q1rk1/pp1nbpp1/2p1pn1p/P2p1b2/2PP4/1QN2NP1/1P2PPBP/R1B2RK1 b - -,b7b6
r1b2rk1/1pqnbppp/4pn2/pPp5/2P1N3/3PBNP1/P4PBP/R2Q1RK1 w - -,d1e2
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PNQ1NP1/P3PPBP/R1B2RK1 b - -,a7a5
r1bqkbnr/ppp3pp/2np4/4pp2/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq -,e4f5
rn3rk1/4p2p/b2p2p1/2pP4/2q1B3/5N2/1B1Q1PPP/1R4K1 b - -,c4e4
rq3rk1/pp1b2pp/3bpn2/1P1p4/1n1P4/3B1N2/P2BNPPP/2RQ1RK1 w - -,d2b4
2r2bk1/5p2/6pp/8/1n6/1RN3PP/5PK1/2B5 w - -,c1d2
2rq2k1/p3p1r1/2p4p/2Pp4/3P2b1/P4p2/1P1N1PP1/R2QR1K1 w - -,d2f3
r4rk1/p1q2pbp/bpN3p1/3p4/8/6P1/PPP2P1P/R1BQR1K1 w - -,c6e7
r5k1/1ppbq2r/n2p2p1/p2Pp1B1/2P1P2b/PPN2P2/2BQ2KR/7R b - -,h4g5
6k1/p4p1p/4r1p1/4q3/8/5P2/PPQ3KP/5B2 b - -,e5g5
r1b1r1k1/1p3p1p/p2p2p1/2pPq2B/P3P3/2N3PP/1P3P1K/R2QR3 b - -,e5h5
r1b2rk1/ppp1n1pp/2n1p3/1B3pN1/3P4/P1P5/1P2QPqP/R1B1KR2 b Q -,e7d5
r2q1r1k/1p2nppp/p2pb3/3Np1b1/P1B1P3/NQP5/1P3PPP/R4RK1 b - -,a8b8
8/p7/r7/2K2kp1/1R4p1/8/8/8 b - -,g4g3
r4rk1/pb2q1bp/3p4/1Pp1np2/2P1n1p1/P2NPN2/1B2B1PP/R1Q2RK1 w - -,f3e1
k7/1p6/p7/8/8/2P5/PPKQ4/6q1 b - -,g1g6
r1bqkb1r/pppn1ppp/4pn2/8/2pPP3/2N2N2/PPQ2PPP/R1B1KB1R b KQkq e3,c7c5
2r2rk1/p1q2pp1/1p1ppn1p/2p5/2PP4/B1P1PQ1P/P4PP1/R1R3K1 b - -,f8d8
3k4/1p2N3/3p4/2p5/2pq4/5P2/P3R2P/4R2K w - -,h1g2
rnbqk2r/1pp1bppp/p3pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,d5c4
8/5pk1/6p1/Q6p/4q2P/1P4P1/P4P1K/8 b - -,g7f8
r6r/p4ppp/4k3/3p4/1b6/4BP2/PP2KP1P/2R4R b - -,h8c8
r3r3/pp1n1kp1/2pbp3/3p1nBp/3P3P/2NP1N2/PP1KRPP1/R7 w - -,a1e1
r2qkb1r/1p3ppp/1np1p3/p2n3b/P2P4/1B3N1P/1PP1QPP1/RNB1K2R w KQkq -,g2g4
r2qbrk1/p1pn2pp/1p1p1pnb/3Pp3/2P1P1PP/1Q1B1P2/PP2NB2/R3K1NR b KQ -,d7c5
rn1q1rk1/pb1p2pp/1p6/3p1p2/1bP5/5N2/PPB2PPP/R1BQ1RK1 w - -,c4d5
8/Rp1kbn1p/1p2pp2/1P1p4/3P2P1/1P1NP3/2r1KP2/4B3 w - -,e2d1
1r6/4rp1k/1pBp3p/1P1P2p1/R2bPn2/4NP1P/1P4P1/R5K1 w - -,a4d4
rnbr2k1/1p2bp1p/1q3np1/pPNp4/B3P3/P5N1/1B2QPPP/2R2RK1 w - -,e4d5
2kr3r/2p4p/1pb2p2/p3p3/2q1P3/Q1N5/PPP2RPP/5RK1 w - -,a3e7
2r1r1k1/3nbppp/p2p4/qp1P4/8/NP3B2/PQP2PPP/R3R1K1 w - -,b3b4
2rr2k1/1b2qppp/p3pn2/1p2N3/P1BP4/1PR5/5PPP/3QR1K1 w - -,c4e6
8/5rk1/4K3/8/8/6Q1/8/8 b - -,g7f8
r4r2/pbqnppkp/6p1/2p5/2N1p3/1P2P3/P1PN1PPP/R1Q2RK1 w - -,c1b2
1r2rbk1/p1q2ppp/b2p4/n2Pp3/P1p1P3/2PnB1NP/B1QN1PP1/1R3RK1 w - -,g3e2
4r3/pp3kp1/1q2pp1p/3p4/2nP2P1/1PR4P/P1PbQP2/1K2R3 w - -,c3c4
7r/3k1p2/3p1Pp1/2r5/1p2b2p/1P1B4/P1P2R1P/3R2K1 b - -,h8e8
