8/p2Rrk1R/4p3/1p2P3/8/1P2q3/P5PK/8 b - -,f7g6
3r2k1/2q2pp1/p3p2p/2n1P3/1p3P2/6QP/PP4P1/1B3RK1 b - -,d8d5
r3k2r/p2qbp2/np2p1p1/2ppP2p/3P1Pn1/5N2/PPP1NBPP/R2Q1RK1 w kq c6,c2c3
2r1r1k1/1p3pb1/pnq3p1/P6p/4R3/1P4PP/3R1PBK/3Q4 w - -,e4e8
6k1/1R6/5pp1/1P2N2p/2P2P2/6nP/2r5/4K3 w - -,e5g6
rr4k1/2qn1pbp/2p1p1p1/p2nP3/7P/P4N2/1PB1QPP1/R1B1R1K1 w - -,h4h5
8/4Npk1/5n2/3pp2p/1p6/1P1PP1P1/r1P2R1P/7K b - -,a2a6
r3nrk1/pp2qppp/2bB4/2p2P2/4P3/2PQ2P1/P1P3BP/3R1RK1 b - -,e8d6
4k3/5p2/p3n1pp/1p1NP3/1P1p1P2/6KP/1P4P1/8 w - -,g3f3
2R5/8/8/8/2b5/K7/2k5/8 b - -,c2c3
r7/1p2ppkp/6p1/8/1n6/2N2P2/PP3KPP/R7 b - -,b4d3
2r1r1k1/pb1q1pb1/1pn1n3/4p2p/NP4p1/3PPNPP/5PB1/BQRR2K1 w - -,h3g4
rn1qkb1r/1b3p1p/pp1ppp2/8/2PN4/P1N5/1P2PPPP/R2QKB1R b KQkq -,f6f5
1n2rk2/3n1p2/p2p4/1p1P2p1/1P2Pp2/5P2/P1R4P/4NB1K b - -,d7e5
1rbk4/1p1pb3/q3pR2/1N2P1p1/2P1P1nr/6QP/PP4B1/R6K w - -,f6g6
8/p7/1pp1n2p/5k2/1P4P1/2P1K2P/P2N1P2/8 b - -,f5e5
2r3k1/1p3p2/p2Bpnp1/6qp/P3P3/1PN4P/1P2R3/4Q2K w - -,e1f2
2r2rk1/p1q1bppp/2ppbn2/4p3/2P5/1PN1P3/PBQ1BPPP/2R2RK1 b - -,c7b8
3r2k1/3r1pp1/1p2q2p/pb6/4PR2/P3Q1P1/1P4BP/5R1K w - -,f1e1
4rr2/pb3pkp/1p3Rp1/2p5/3p4/1P1P3P/P1PQ2P1/4R1K1 b - -,e8e1
r1bqk2r/pppn2bp/3p2p1/3Ppp1n/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w KQkq f6,d1d2
7r/4kpp1/1qrp1n2/p3pP1P/1p2P3/5B2/PPPRQ3/1K1R4 b - -,a5a4
5rk1/3n3p/b2P4/1p2p3/1Pp1BnPp/2B2P2/P2R4/4R2K b - -,f8f7
rn1q1rk1/pp2ppbp/4bnp1/2pP4/4P3/2N2N2/PP2QPPP/R1B1KB1R b KQ -,e6g4
r3k2r/pp2qpp1/2p1p1p1/4P3/1b2n1P1/4BQ2/PPP4P/R4RK1 w kq -,f3e4
r2q3r/p1n3pp/1pbB1pk1/2p5/4N3/3PP1P1/PP5P/R2Q1RK1 w - -,d1g4
2r3k1/6pp/4p3/2Ppq3/4r3/2RQ2PP/5P2/1R4K1 b - -,c8f8
r1b1r3/ppk3bp/2p2pp1/5n2/5P2/2P2NPP/PP1N1KB1/R3R3 b - -,c8e6
6k1/R7/P4K2/1r5P/8/8/8/8 b - -,b5b6
r1q2rk1/p2n1ppp/1p2P3/2b1P1Bb/4N3/1Q5P/PP3PP1/2R1KB1R b K -,f7e6
6r1/8/1kp1P3/p2q4/Pb1N4/2pQP2P/6P1/2R3K1 w - -,d3e2
8/2p2pk1/2r5/6p1/2p2PP1/4P3/4K3/2R5 b - f3,c4c3
r2q1rk1/1ppb2pp/p1n1p3/1P1p1p2/2PPn3/P1BBPN2/2Q2PPP/R3K2R b KQ -,c6e7
8/1p6/1P5p/8/3nk2P/4N3/4p1K1/8 w - -,g2f2
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,f8e7:f8c5:b7b5:d7d6:f8d6:h7h6
r1b2b1r/pp1nk1p1/2p1pnBp/q7/3P4/5N2/PPPBQPPP/R3K2R b KQ -,a5b5
2N5/3Q3p/p1p1rppk/2P5/P4P2/6P1/5PKP/1q6 b - -,e6e1
r1bqnrk1/p5bp/3p1np1/2pPpp2/P1P1P3/2N1BP2/3NB1PP/R2Q1RK1 b - -,f6h5
r1b2rk1/1p1p4/2pPp2p/2P2pp1/pq1Pn3/P4N1P/4PPP1/R3KB1R w KQ -,a3b4
r1q2r1k/6bp/1pbN1np1/4p3/nPP1P3/4B1NP/2Q2P2/2R1KB1R b K -,c8c7
3r4/1rnk2p1/1p1p1p2/2p1pn1p/P1P4P/1PN1B1P1/1R2PK2/3R4 b - -,c7a6
8/8/4k1p1/7p/4KB1P/2b5/5P2/8 b - -,c3f6
1r6/1r3pkp/4p1p1/1PQ1P3/2B2PPP/4K3/8/8 b - -,h7h6
r1b1r1k1/1p1n1pb1/pq4p1/3PpP1p/P1B3n1/2N3N1/1P4PP/R1BQ1R1K w - -,d1e2
5rk1/4qpbp/2p1b1p1/pp6/8/PrNQP3/1P1R1PPP/2RB2K1 b - -,e6c4
3r2k1/2R2pb1/6pp/Q1B5/N3q1P1/7n/4PK2/8 w - -,f2g3
r1b1kb1r/ppq2pp1/2n5/2p1p3/3pP2N/1P1P1QP1/PBPN2BP/R4nK1 w kq -,a1f1
1k1r4/1p3p2/1qp2n2/p4N1p/PbR5/6P1/1P2PPB1/2Q3K1 b - -,b4d2
4r1k1/6np/1Q4q1/pP3p2/P1P5/5p2/3P1PPP/6RK w - -,b6g6
3r2k1/5qn1/1p1pn1p1/3bp3/1PP1P1Pp/3Q1P2/1B2B3/3R2K1 w - -,d3d5
2b2bk1/2q5/1p4p1/p2pQ2p/P2N3P/1P4P1/5B1K/8 w - -,e5e8
r1bqk1nr/1ppp1ppp/2n5/p7/1bP5/1N6/PP1BPPPP/RN1QKB1R w KQkq a6,e2e3
5q2/1p6/2k3r1/p2pP3/P1pPn3/2P5/1PR3PQ/5K2 w - -,f1g1
r1bqnrk1/1p2ppb1/p1n3pp/2pNP3/2P5/5N1P/PP1BBPP1/R2Q1RK1 b - -,e8c7
3rb3/8/3pk1p1/1p5p/1B2PK1P/P2R1P2/8/8 b - -,d6d5
4k1r1/3q1pP1/p3p3/8/Q1p4R/6P1/5P2/b4K2 w - -,a4a1
2k2bnr/p4pp1/1p6/n7/1PPp1P2/6rN/1B1NK3/R6R w - -,b4a5
4k2r/1q2bpp1/2n1p2p/2p1P3/1PQ4P/r1n2NB1/5PP1/1BR2RK1 b k -,c3b1
2br4/3r1pk1/1Np1p2p/p3b3/2B1P3/1P4P1/P1R2P2/5R1K b - -,d7d4
r3r3/1pp3kp/3p2p1/n1nR4/p1P1pB1P/P1P1P3/4BPP1/4R1K1 b - -,h7h6
b2r2k1/p3pp1p/3p2pB/4n3/4n2P/5B2/PP2NbP1/2RK3R w - -,c1c7
8/3b4/3P4/1p1kn3/1P6/P4p2/3Q1Pr1/7K b - -,d5e4
3r4/1p3pk1/2p1bnp1/6N1/pq2P3/1P5P/PQ4B1/2R1R1K1 b - -,d8d2
r4rk1/pp3pb1/1np2qpp/3Pp3/4P3/1BN2b1P/PP3PP1/2RQ1RK1 w - -,d1f3
4k2r/2r1pp1p/BPp3p1/2Pnb3/3n4/7P/1B3PP1/R3K2R w KQk -,b6c7
3k3r/pp2b3/1q2p2p/3pP1pB/2r5/8/PP3PPP/RQ3RK1 w - -,b1g6
2rb1rk1/1q4p1/p1b1p2p/1pP1pp1n/1P2P3/PNNBQPP1/6KP/2R2R2 w - -,e3e2
8/4pp2/7k/4P1pp/5P2/6K1/7P/8 w - -,f4f5
r1q1r1k1/2p2pbp/npbpn1p1/pN1N4/2P1PP2/4B1PP/PPQ3BK/3RR3 w - -,a2a3
8/5pk1/3B1b2/6pp/3PR3/4PK1P/3r2P1/8 b - -,g7g6
r5k1/1p1b4/p2N1np1/P1pP1p2/3b4/R1N4P/1P4P1/5R1K w - -,a3b3
r3R1k1/pp1n1pp1/2p5/3p2bp/3P4/5PB1/PPP3PP/3N1RK1 b - -,a8e8
8/8/kP2pr2/P3R3/4KP2/8/8/8 b - -,f6h6
6k1/5pp1/3p3p/1p1P4/pP1QPn2/P6P/6P1/2q2NK1 w - -,d4f2
6k1/p4ppp/1n2q3/2pr4/4n3/4PN1P/PBQ2PP1/2R3K1 b - -,h7h6
8/2R5/p2Pbk2/2K2p2/5p2/7P/4N1r1/8 w - -,e2f4
1r6/5ppk/2q1p1bp/P2pP3/2rP4/2B2R2/R2Q3P/6K1 w - -,a2a3
8/3r3k/6pp/5p2/3NbPP1/2P1R3/3RK2P/1r6 w - -,d2d1
q3r1k1/5pb1/2n1n1pp/1pp1p3/8/2PPNQ1P/1P3PP1/2B1RBK1 b - -,f7f5
4r3/6pp/2k5/3R4/1pP5/3p4/PP4PP/6K1 b - -,e8e1
rnb1kbnr/pppp1p1p/8/4q3/2B2p2/5Q2/PPPP2PP/RNB2RK1 w kq -,c4f7
6k1/1p1r1pp1/2p1p2p/2n5/1PPP4/8/qB2RPPP/3Q2K1 b - -,c5a4
r1br4/bp2kppp/p1n1p3/8/4n3/1N2PN2/PP2BPPP/2RRB1K1 b - -,d8d1
3r1rk1/6pp/1q2p3/1pp2pb1/2P5/1P1P1QP1/3N1P1P/R4RK1 w - -,f3e2
3r1rk1/1p2qppp/p7/Q3nB2/8/PP2P2P/5PP1/R2R2K1 b - -,e5c6
4n1k1/pb3p2/2q1p1p1/2pr2b1/4NQ2/1P1N1P2/P1P3PP/3R2K1 w - -,e4g5
