8/2pR4/2Nb1k2/1K6/1P6/8/2r5/8 w - -,d7h7
8/8/4p3/7p/3KPk1P/8/8/8 w - -,e4e5
2r3k1/pp2bpp1/4p2p/1P1b3n/P2BN1qP/2P1Q3/2B2PP1/3R2K1 w - -,g2g3
r1bqkb1r/pp1ppppp/1nn5/4P3/2p5/1BP2N2/PP1P1PPP/RNBQK2R w KQkq -,b3c2
8/3k2p1/p1rn1p1p/3p1P1P/3R2P1/P2KP3/3B4/8 b - -,c6c5
3R4/8/2k1p3/3n1p2/5P2/6P1/6K1/r7 b - -,a1a3
rnbqk1nr/ppp2ppp/3bp3/3p4/3P4/4P1B1/PPP2PPP/RN1QKBNR b KQkq -,d6g3
5k2/p3ppb1/6p1/2p1n3/1p3Q1R/3P2P1/qPP2P2/2KN4 w - -,h4h7
8/6p1/p1B5/2K1k3/PP4p1/3b4/5PP1/8 b - a3,d3f1
r1bqkb1r/1pp2ppp/2n1pn2/p2p4/4P3/2PP1N2/PP1N1PPP/R1BQKB1R w KQkq a6,f1e2:a2a4
rnb1k2r/pp2ppbp/6p1/2p5/3P1B2/1PP1P3/5PPP/R3KBNR b KQkq -,c5d4
4bk2/6p1/p4p2/2p4P/P2rR1P1/2K5/3N4/8 b - -,d4a4
7r/2p5/1pB3k1/2nPp1p1/4P3/2P2P1p/P3KP2/7R w - -,h1h2
r1b1k1nr/2qnppbp/p5p1/p7/2N5/2P1BN2/1P2BPPP/R2QK2R b KQkq -,g8h6
6k1/2q1pp1p/rp4p1/3p4/3P4/PRP5/1Q3PPP/6K1 w - -,h2h3
8/8/1p1R1k2/7P/8/6P1/1r6/6K1 b - -,f6g5
r2qkb1r/pp2pp1p/2n2np1/3p4/3P4/N1PQ1N1P/PP3PP1/R1B1K2R b KQkq -,f8g7
3r4/pb2nk2/1p2ppp1/1B1n4/3P4/P3B3/1P1N1PPP/2R3K1 b - -,e7f5
k2r4/ppb3P1/2p4q/5Q2/8/3B4/2P1N1KP/8 w - -,f5f7
3r4/p4kpp/4N3/4pP2/2R5/1P6/P5PP/1K4b1 b - -,d8d2
6k1/R4pp1/8/4p2p/6PP/2r2P1K/8/8 w - -,h3g2
8/p4p2/1p4k1/7p/r6P/6K1/P1R2P2/8 w - -,c2d2
r1b2rk1/5p1p/p4Bp1/1pb1p3/3pP3/1P1P2N1/PP4PP/R4RK1 w - -,f6e5
r1b1k2r/pp1n1pbp/2p2np1/8/1qN1pP2/2PP3P/PP2N1B1/R1BQK2R b KQkq -,b4c5
1q3rk1/1p2bp1p/pN1r2p1/n2Ppb2/BP6/4BQ2/P4PPP/R2R2K1 b - b3,d6b6
r4rk1/1p3pbp/p1nppnp1/q5B1/P1P1P3/1PN2P2/4N1PP/R2Q1RK1 w - -,g5h4
3bk3/8/4K3/5P2/8/2B5/8/8 b - -,d8g5
r3r1k1/1p2qp2/1npb2p1/p4b1p/3Pp3/PPN2PP1/3R2BP/2BQR1K1 w - -,c3e4
6rk/1b1q3p/pp2p3/2b1Pp2/2Pp1P2/3B2R1/PB2QK1P/8 w - -,e2h5
r2qk2r/pbpn1pbp/1p1ppnp1/8/3PPP2/2NBBN2/PPP3PP/R2Q1R1K b kq -,a7a6
6k1/pp1q1rbp/2n5/2P1pp1N/1P2n3/2P3PP/2Q1N1B1/2B1K2R b - -,e4f6
2b1rr1k/1p4pp/pqn1p3/3pN3/Q2Pn3/P2BB2P/2R2PP1/4R1K1 b - -,b6d8
1r2r3/2pbqpkp/p1n3p1/2Pp1p2/1p1P4/4PNPP/PP1Q1PB1/2RR2K1 w - -,f3e1
5nk1/7p/4p1p1/2p3P1/2Nq4/R7/K4P2/1Q6 w - -,b1c2
8/8/1p6/1P2k1p1/3b1p2/R4P2/4B3/1r2K3 w - -,e1d2
r4rk1/1p1Bb1pp/4p3/p2p4/Q2P2Pn/P1N1P2K/5q1P/R7 w - -,d7e6
qr4k1/3nppb1/r2p2pp/2pP4/N3P3/4B1PP/PP1NQPK1/RR6 b - -,a6a4
2n2rk1/1p1q1p2/3p1bpp/QPpPp3/2N1P3/3P2P1/5PBP/1R4K1 b - -,f6d8
3n1k2/6p1/5p2/pB2p1p1/P1P5/5PP1/6KP/8 w - -,g2f2
2rqr1k1/p2n1ppp/8/2pP3n/N1bb4/4B1P1/P1Q2PBP/1R1R2K1 w - -,c2c4
r3kn1r/ppp3pp/4bp2/4p3/1PB1P3/2P5/P1KN1PPP/3R3R b kq -,e8c8
6k1/4p2p/1r2P3/p1N1p3/3b4/1P4PP/P3K1P1/2R5 w - a6,c1c4
2kr3r/pp6/4R2p/1q1pP1p1/2pPbPP1/P1P2n1Q/R1PB4/3K1B2 w - -,d1c1
8/7k/3p2p1/5qQ1/8/8/2p3K1/8 w - -,g5e7
5rk1/1p2ppbp/pQ2n1p1/4B3/6P1/qPP1PN1P/5P2/3R2K1 b - -,a3b2
r3kb1r/pp3ppp/2q5/7R/b1p3Q1/2P1PNP1/PP3PP1/R3K1N1 w Qkq -,g1e2
b3r1k1/5ppp/np1rp3/p2P4/3P2N1/P5P1/1R2PPBP/R5K1 b - -,a8d5
r3r1k1/ppnb1ppp/q4n2/2p5/2PpP3/2NQ1PP1/PP4BP/R1BR2K1 w - -,c3d5
8/p4p2/2p3kp/8/2B2R2/2P1K1Nq/PP3P2/8 b - -,f7f6
2k5/1p2Q1P1/1q4p1/2pP3p/2P5/8/1B4PP/r5K1 w - -,b2a1
2r3k1/3b1pp1/4p2p/3pP3/3P3P/4BNP1/5P2/5BK1 b - -,c8a8
r3k2r/p1q2pp1/3bpn1p/2n5/Np6/4P1P1/PPQ1BP1P/R1B2RK1 w kq -,c1d2
r3k2r/3ppp1p/p5pQ/qp2P3/3R4/P1P5/1PB2PbP/2K3R1 b kq -,g2c6
r2qk2r/1p2ppb1/p1npb3/6p1/4P1np/1NN2P2/PPPQ2PP/2KRBB1R b kq -,g4e5
3r3k/5p2/6pp/8/5NP1/1P1pKP1P/P1rR4/8 b - -,c2d2
r7/8/4k3/1R3p1p/p6P/P3PK2/5P2/8 w - -,f3f4
8/3k1p2/3q2p1/3P3p/3QK2P/6P1/5P2/8 w - -,d4c3
6k1/3q1p1p/p7/1p1Pb3/4Qp2/4pP2/PP2N1PP/6K1 b - -,d7c7
3r1bk1/p4pp1/1p4np/2p3r1/P7/3qNQP1/R3RPKP/2B5 w - -,g2f1
r2qkb1r/pp1n1ppp/2p1pn2/5b2/2QP4/5NP1/PP2PPBP/RNB2RK1 b kq -,d8b6:f8e7:f8d6
2r2rk1/2pqn1pp/pp6/n2p1p2/P2P1P2/B1PP4/4N1PP/1R1Q1RK1 w - -,g1h1
r3r1k1/1pp2pp1/1bqp1n1p/p3pP2/P3P3/2PB1Q1P/1P3P2/R1B2RK1 w - -,c3c4
4rb1r/pp1k1ppp/2pn2q1/3p1b1Q/1P1P4/2NBB3/P1P2PPP/3RR1K1 w - -,h5e2
r2q1rk1/pb2ppbp/np4p1/1B1P4/4PB2/4QN2/5PPP/1R2R1K1 b - -,a6c5
2r5/p5k1/4p2p/1npbN3/5PPP/1P6/P4K2/1BR5 b - -,b5d6
r2qk2r/pp3pbp/2np1np1/2p1p3/2P3b1/1P1P1NPP/PB2PPB1/RN1Q1RK1 b kq -,g4f5
5rk1/2pqppb1/pr4p1/3P3p/6R1/Q1N1PP1P/1P2K3/3R4 w - h6,g4g3
2rr4/5kbp/p2ppnp1/1p2p2P/2n1P1P1/1NP2P2/PP2B3/1KBR3R b - -,d6d5
3r1rk1/1n3pB1/pp1P2p1/2p1pq1p/2P4P/1P3P2/P2Q2B1/3RK2R b K -,g8g7
r6k/ppq2pbp/2n3p1/4p3/2P5/1QP3P1/PB3P1P/3BK2R w K -,d1f3
r3k2r/pp1nbppp/2q1p3/8/3P1N2/1QnB1PP1/PP5P/1R3RK1 w kq -,b2c3
5k2/2p2p2/1p2n2N/p1p1P2P/PbP3P1/1P6/1B2KP2/8 w - -,e2e3
r1bqkbnr/pp2pp1p/2n3p1/2ppP3/5P2/5NP1/PPPP3P/RNBQKB1R b KQkq -,f8g7
1r4k1/1q2p1b1/3p1np1/Q3p1P1/4P3/P1N1BP2/1r1R4/K6R b - -,b2d2
r5k1/pp3r1p/2nR4/4p3/3P2P1/3PB3/P4PK1/1R6 w - -,d4d5
r1b1nrk1/3nqppp/pp1p4/2pPp3/P3P3/2N5/1PPN1PPP/R2QRBK1 b - -,g7g6
r4b1k/pb1n1q1p/2p2p2/2p1pP2/N1PpR2N/1P1P2QP/P2B2P1/6K1 b - -,f8d6
r4r1k/pb4pp/8/1p1P4/3R1pP1/1P6/P3pPBP/2R3K1 w - -,g2f3
6k1/p5bp/2pNr1p1/P1P2p2/r2p1P1P/3R1KP1/4P3/3R4 w - -,d6b7
5r2/7p/3p2k1/p1p1p3/P4p2/2PPP2P/5RP1/1K6 w - -,b1c2
5r1k/ppp4p/3p2b1/3P4/2P5/2P3RP/PR2B2r/4K3 b - -,f8f2
r6k/1p5p/4brp1/B1b5/4Pp2/P4PP1/6BP/3RR1K1 w - -,g1h1
r1q1kb1r/pppn1ppp/4pn2/3P3b/4P2N/6P1/PPQN1PBP/R1B2RK1 b kq -,f8c5
r4rk1/pp2ppbp/1qnp1np1/3b4/4P3/6P1/PPP1NPBP/1RBQ1RK1 w - -,e4d5
3r4/8/1pp1R2k/p1p2rpp/3q4/1P1P4/P1PQ1PP1/2R3K1 b - -,f5f6
