8/7p/6B1/1p4PP/pPkp4/Pb3K2/8/8 b - -,c4c3
8/5k2/8/5PB1/6KP/5n2/8/8 b - -,f3e5
4r3/5pkn/p2p2p1/2pPp2n/1rP1P2P/q1N1NP2/P1RQ4/4K1R1 w - -,e3f5
r2q1rk1/5ppp/b3pn2/p2p4/Pb6/2N3P1/1PPB1PBP/R2QR1K1 b - a3,a8b8
2b5/8/n1p2k2/2N1p1p1/P1N1PpP1/3P1P2/2P5/7K w - -,c5a6
rn1q1rk1/ppp2pp1/3b1n1p/8/2BP3B/5Q1P/PP3PP1/RN3RK1 b - -,b8c6
r1b1kbnr/1pp2ppp/p1pq4/4p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,c8e6
3r3k/1pp3pp/5pb1/pq6/5QP1/3P3P/RB1N1P2/6K1 b - -,d8d3
6k1/5p2/7q/8/8/B7/6PK/R2R4 w - -,h2g1
rnbqk1nr/5ppp/4p3/pp6/2PP4/4PN2/3N1PPP/R2QKB1R b KQkq -,b5b4
r1b2rk1/pp3ppp/2n1pn2/q1b5/2Pp1B2/1NN1P3/PPQ2PPP/3RKB1R b K -,a5b6
rnbqkbnr/pp2p1pp/8/3p1p2/8/3P1N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3
8/1kn1b3/pp2p1p1/5p1p/P1BP1P2/2B3P1/KP5P/8 w - -,a2b1
r2qk2r/pp1n1ppp/2p1p3/2b5/4PB2/5QPP/PPP2PB1/R4RK1 b kq -,e6e5
r1br2n1/1k1nppb1/pp4p1/2pN2P1/4P3/4BP2/PPP5/2KR1BNR w - -,h1h7
8/5ppk/7p/8/4R3/4P1PP/5P2/q5K1 w - -,g1h2
r6r/p2p1ppp/1p1kqn2/8/2Q2P2/4bB2/P1P4P/4RK1R w - -,c4b4
r4rk1/3bpp1p/p7/2pPP1B1/P6Q/2q4P/6PK/1R3B2 b - -,c3e5
r3k2r/1bq2ppp/p1n1pn2/1pb3B1/3N4/1BN1Q3/PPP2PPP/2KR3R w kq -,e3e6
8/1p4pp/2bk1p2/p3p3/3pPP2/PBnP2P1/1R1K3P/8 b - -,b7b5
r3rnk1/p2qb1pp/2p1pp2/1Ppp4/3P1P2/2NB2P1/P1Q2P1P/R3R1K1 w - -,b5c6
2r2b2/p1r2k2/1p3n2/3p3p/3P1P2/P1N1PKPP/1P6/R4R2 b - -,b6b5
r1b2rk1/3pqppp/4p3/3pP3/3N4/1P4P1/P1RQ1P1P/2R3K1 b - -,f7f6
2r3k1/5p1p/5qp1/3B4/4Q3/p2RP1P1/Pb3PKP/8 b - -,c8c2
r1q3k1/1p2prbp/1n2n1p1/pNp5/P1P1QP2/1PNRB3/6PP/3R2K1 b - -,c8c6
8/8/7K/7P/6r1/8/R4p1k/8 b - -,h2g1
rnbq1rk1/ppp3bp/3p4/3Pp1pn/2P1Pp2/2N2P2/PP1Q1BPP/2KR1BNR w - -,f1d3
8/8/4bk2/R3p3/3r3p/4N3/4K1P1/8 w - -,e2f3
5r2/7R/1p2k2p/2p5/2P1N1P1/4b3/P1K4P/8 w - -,c2d3
5rk1/5ppp/1p3n1r/8/1p3P2/P4K2/6PP/2RR1N2 w - -,a3b4
r1b2rk1/1pp1qpp1/pnn1p2p/3pP2P/P2P4/2N2N2/1PPQ1PP1/R3KB1R w KQ -,f1d3
r1b2rk1/3nqppp/ppnp4/2pQ4/P3P3/2N2N2/1PP1BPPP/R3R1K1 b - -,d7b8
2r2rk1/1pq1bpp1/p2pn2p/3Qp3/P3P3/N3B3/1PP2PPP/R4RK1 b - -,e7g5
2rR4/p1P1nk2/6p1/3N3p/7P/1P6/P2Kp3/8 w - -,d5e7
rnb1kb1r/ppq2ppp/2p2n2/3pp3/4P3/3P1NP1/PPPN1P1P/R1BQKB1R w KQkq -,f1g2
r1b2qk1/p1P1rnbp/3Q1p2/1B4p1/2p1P3/2N1B2P/1P2RPP1/R5K1 w - -,b5c4
r2qr1k1/3b2bp/pn1p2p1/3Ppp1n/1P2P3/1NN1BP2/3Q2PP/3RKB1R b K -,b6a4
2R5/p4k1p/1p2bb2/5p2/P7/4B3/4BPPP/6K1 b - -,e6c8
5q1k/4b1pp/p2p4/1pnQp3/4P3/6BP/2P1B1PK/8 w - -,h2g1
6k1/1pp5/p1n1p2p/P5p1/1P2P1P1/1Nb1r2P/6K1/3RB3 w - -,e1c3
8/pp3kp1/3Bp2p/3p2n1/3P2P1/1P2PP2/4r3/5K2 w - -,f1e2
rn1q1rk1/1p2bppp/3pbn2/2N1p1P1/4P3/2N1BQ1P/PKP2P2/3R1B1R b - -,f6d7
6k1/1b2qpp1/pb2p2p/2p5/Pn3P2/1P2P2P/1B1NQ1P1/1B4K1 b - f3,b6c7
7r/1b3p2/p2k1N1p/1p1P1P2/3KR1PP/1B6/PP6/2r5 w - -,e4e5:f6e8
3k4/5R2/3N1p2/2n1pP2/1P2P3/8/3r4/1K6 w - -,f7f6
8/4kppp/2n1p3/3pPP2/r5P1/p4B2/1B3K1P/3R4 w - -,b2a1
5rk1/p1p3pp/2ppb3/N3n1r1/1PP2P2/6Pq/P3B2P/1R1Q1R1K b - f3,e6f5
rn1q1rk1/pb1nbppp/1p2p3/2ppP3/8/3P1NP1/PPP2PBP/R1BQRNK1 b - -,b8c6
r1b2rk1/ppq1bppp/2n1pn2/2p5/2NP4/1P1BPN2/PB3PPP/R2Q1RK1 b - -,c6b4
6k1/5p1p/r7/p2R1p2/4PP2/Pr3R2/6PP/6K1 b - -,b3b1
r3k2r/4bppp/8/1qpp4/1n6/4P3/PP1BNPPP/RQ2K2R w KQkq -,a2a4
8/1pB3bp/p1b5/P4ppk/1PP2p2/3K1P1P/4N1P1/8 w - -,c7d6
1r6/3k1ppp/p1p5/3n4/8/5K1P/PP3PP1/R2R4 w - -,b2b3
1r3r1k/3q2pp/2np4/p2Np1b1/R7/1PPQN3/5PPP/5RK1 w - -,a4a3
r4rk1/2pnbppp/pp1qb3/2p5/P3P3/1N2BP2/1PPNQ1PP/R4RK1 w - -,d2c4
r1bqk1nr/p2n1pbp/2pp2p1/1p2p3/3PPP2/2NBB2P/PPP3P1/R2QK1NR w KQkq e6,f4e5
1r1r2k1/1p1nqppp/p1p5/P7/N1b1PP2/R3Q1P1/1P4BP/5RK1 w - -,f1e1
8/6R1/4p1p1/p1k2r1p/7P/1P4P1/1K3P2/8 b - -,f5f2
6r1/4R3/1k6/p7/5P2/P1p2KP1/8/8 w - -,f4f5
rn3rk1/pp3ppp/2p1p3/3q4/Pb1PB3/4PN2/1P2QPPP/R1B2RK1 b - -,d5e4
8/r5k1/pR5p/8/2b1B1P1/6K1/5P2/8 b - -,c4f7
r2q1rk1/1p2bppp/p1np1n2/4p2b/4P3/1BN1BN1P/PPP2PP1/R2Q1RK1 w - -,g2g4
r1b2rk1/ppq4p/5ppQ/4n3/3p1B1P/P2B4/1PP2PP1/R3R1K1 b - h3,c7f7
1R6/6k1/1P5p/8/6PP/4p3/1r6/4K3 w - -,b6b7
8/8/1R2p3/P2k1p2/5Pp1/1P2K1Pp/6r1/8 w - -,a5a6
3rr1k1/pb2bppp/1q1p1n2/2p5/4P3/2N1NP2/PPQ3PP/R1BR3K b - -,e7f8
rnbqk1nr/pp4pp/2pbp3/3p1p2/2PP1B2/5N2/PPQ1PPPP/RN2KB1R w KQkq -,e2e3
6k1/5pp1/p7/1p1qp1P1/1P2Nn1r/1PP1Q1RP/7K/8 w - -,e4f2
r3k2r/pp1n4/2pp1Rp1/P3p1P1/4P1K1/2NB4/1PP3P1/R7 w kq -,f6d6
q7/5pk1/5bp1/1Q5p/1P5P/P2N1KP1/5P2/8 w - -,f3e3
8/ppk4p/3b1p2/1B3P2/3KRn1P/BP6/P6r/8 b - -,h2h4
2rr2k1/4bp2/4b3/2Np1pp1/1P1P4/4B1P1/5PK1/1RR5 w - -,b1a1
3r2k1/6pp/p2r1p2/1pRP1q2/8/1P3P1P/P2Q2P1/3R2K1 w - -,d2d4
n3r1k1/3q2p1/2p3Qn/2Pp1r1p/pP3P2/B6P/P5B1/3R1RK1 w - -,b4b5
r1bq1rk1/1p3pbp/p1np1np1/2p1p3/1PP5/P1N2NP1/3PPPBP/1RBQ1RK1 w - e6,d2d3
4R3/p4rk1/5q1p/2p3p1/8/1P4P1/P4P2/4Q1K1 w - -,e8e5
2rnr3/2p1bpk1/1p2N1pp/p1p1P3/P1P5/1P3N1P/1B1RKPP1/3R4 b - -,d8e6
r1b2rk1/p3npbp/q1n1p1p1/1pp1N3/5P2/2NP1QPP/PPPB2B1/R4RK1 b - -,c6e5
r1bqkb1r/pp1p1ppp/4p1n1/2p5/3nP3/2NB1N2/PPPP1PPP/R1BQ1RK1 w kq -,f3d4
r4rk1/pp1nppbp/2np2p1/q7/2P1PPb1/2NBBN2/PP3QPP/2R2RK1 b - -,g4f3
5rk1/pp4b1/3p1q1p/3N1p2/2Pn4/6P1/PP4BP/R2Q2K1 b - -,f6e5
2r3k1/r2Rppbp/q1p3p1/p7/Q3N3/PP6/2P2PPP/3R2K1 b - -,a7d7
