8/5pp1/K5k1/1N1n2P1/1P6/8/8/8 w - -,a6a5
8/p3ppk1/2q2bp1/2n5/2P2P1p/4P2P/P3Q1PK/3R4 w - -,e2c2
r3kb1r/ppq2ppp/2p1pn2/3pn3/6PP/1P2P2B/PBPPQP2/RN2K2R b KQkq -,e8c8
2rqrbk1/1bpn1ppp/p2p1n2/4P3/P3P3/2PB1N1P/2QN1PP1/R1B1R1K1 b - -,d7e5
8/5pk1/2r4p/3pQ3/4n1P1/7P/8/5K2 b - -,e4f6
8/p4pkp/2Q3p1/1p2r3/1qP2R1P/8/5PK1/8 w - -,c6f6
1r1q1rk1/3nbppp/4p3/2p4b/1nQPN3/1P3NP1/PB2PPBP/2RR2K1 b - -,d7b6
r2r2k1/p7/1p2pnp1/4bp2/PPP1p3/4B1PP/4BP2/2RR2K1 b - a3,g8f7
2r2rk1/p3qppp/1p3b2/1R2pb2/P1P5/4B1P1/1P2QPBP/R5K1 b - -,f5d7
4r1k1/3q1pp1/2pb4/3p4/N2P3p/4P1P1/2Q2P1P/2R3K1 w - -,c2c6
1r1q1rk1/1b2bppp/ppnppn2/8/2P1P3/2N1B3/PP1NBPPP/2RQ1RK1 w - -,a2a3
r1b1qrk1/1pp1b2p/3pnn2/1P2ppp1/2P2P2/2NPP1P1/4N1BP/1RBQK2R w K -,e1g1
r3r1k1/1pp1nppp/p1bp4/8/4PP2/2P1N3/PPB3PP/3RR1K1 w - -,g2g3
r3k2r/ppp1qppp/2nb1n2/1B1p4/3P4/1P2PQ1P/PBP3P1/RN2K2R w KQkq -,c2c4
4r1k1/pQ6/3r1pp1/q1p5/2P5/3BP3/P2P2P1/2K4R w - -,h1h7
r7/2p5/1q1p2k1/3P1p2/1P1NpPn1/2Q3Pp/r2R3P/5RK1 w - -,g1h1
2r1k2r/2q2p1p/p1nb2p1/3Bp3/PpNpP3/1P3P2/2PQ2PP/R3K2R w KQk -,d5c6
r1b2rk1/pp3p2/2p3q1/P3B3/7Q/8/1P3PPP/R4RK1 b - -,f7f6
b1r2k2/5pbp/p5p1/q2BP3/5P2/2NnP3/P2QN1PP/5RK1 b - -,a8d5
r2qkb1r/ppp2ppp/3p1n2/3Pn3/8/2N1BQ1P/PPP2PP1/R3KB1R w KQkq -,f3e2
r1bq1rk1/p1pp2pp/1p2p3/n4p2/2PPn3/1QP3P1/P2NPPBP/R1B2RK1 w - -,b3b4
8/6pk/3p4/2p1p2b/2P1Pq1p/3P3P/R4Q1K/8 w - -,h2g1
r1b2rk1/1p1n1pbp/p2p2p1/2pPn3/Pq2P3/2N1B1NP/1P2BPP1/R2Q1RK1 w - -,f2f4
r4rk1/pp2p1bp/1nn2pp1/4Pb2/5P2/2N2N2/PP2B1PP/R1BR2K1 w - -,e5f6
3r1rk1/3nb1pp/p1q5/4pp2/1pPp4/1P1P1PP1/PBR1QNKP/5R2 b - -,d8e8
4r3/1p6/p3pk2/5p2/2P2q1r/3PQ3/PP2R1B1/4K3 b - -,f4e3
8/8/2p1r1p1/2K4p/1P6/2P3k1/3R2P1/8 w - h6,c3c4
4qrk1/2p2pbp/bpn2np1/r3p3/p3P3/P4NP1/1PP2PBP/R1BQRNK1 b - -,e8e7
8/5k2/4pP2/3nP2p/3P1B2/2pK2P1/8/8 b - -,d5f4
1rnbq1r1/3bNppk/p3p2p/1p1pP3/1B1P4/1P1BP1Q1/P1R3PP/2R3K1 b - -,g7g6
rn3rk1/pp2ppbp/2p2np1/3pN3/2PP1Bb1/1PN1P3/1P3PPP/2R1KB1R b K -,g4e6
r1bqnrk1/pppnppbp/3p2p1/4P3/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 w - -,c1f4
2br4/5k2/p3pP1p/1p2Pnp1/4pP2/P3N3/1PPrNK1P/3R2R1 b - -,g5f4
r3k2r/1bpq1pb1/pp1ppnp1/6Bp/P2PP2P/2N2P2/BPP1Q1P1/1K1RR3 b kq -,b6b5
r2q1r1k/ppp1n1pp/1b1p1pb1/3P4/2B5/1Q2B1N1/PP2RPPP/4R1K1 b - -,f8e8
2qr2k1/1p3pnp/1P1p4/1Pr1p3/7P/3BQP2/6P1/R2R2K1 b - -,c8d7
5q1k/4R3/6p1/p5Qp/8/1P5P/r4PP1/6K1 w - -,g5e5
1k2Q3/p7/3p3p/2p5/1pP5/qPbN2P1/5P1P/6K1 b - -,b8c7
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/5NP1/PP1NPP1P/R1BQKB1R b KQkq -,b8c6
2r2rk1/2q1bppp/p7/1ppbp1Pn/4P3/3BBP2/PPP2Q1P/1K1R3R w - -,e4d5
2rr2k1/pp1bqpbp/2p1p1p1/4P3/2RP1P2/1P4P1/PB3QBP/2R3K1 b - -,h7h5
r2qk1nr/p2p1ppp/bp2p3/n1p1P3/Q1PP4/2P1BP1N/P4KPP/R4B1R b kq -,d8c7
r4rk1/p3ppbp/3p1np1/qp6/3BP3/1PN2P2/PP1Q2PP/1K1R3R b - -,b5b4:f8c8
r3kb1N/1bqp2pp/p3p3/3n4/2p1N3/8/PPP2PPP/R1BQR1K1 b q -,e8c8
r1q3k1/2p2r1n/p1Np1bn1/P2Pp2p/1PQ1Pp2/5P2/R2B3P/5RNK b - -,f7g7
r1b2rk1/p1qn1ppp/1p1p1n2/2pPp3/2P1P3/2PQ1N2/P3BPPP/R1B2RK1 w - -,h2h3
4rr1k/3qb1pp/3p4/1p1Bn1P1/4PB2/1P6/P2Q3P/R4RK1 w - -,d2e2
6r1/p2q1p1k/4p2B/1p3p2/3p3b/PP1P4/1Pr1R1P1/2Q3K1 w - -,e2c2
4r2k/1b3qb1/p2rP2p/1p6/2p4Q/8/PB4PP/1B1R3K w - -,h4h6
2k3rr/1q1nbp2/pp5p/2p1B2P/2Pp4/3P1pP1/PPNQ1P2/1R2R1K1 b - -,d7e5
r2r4/2pnp1bk/1p2qPpp/p7/P1NB1P2/1P2P1P1/4Q1KP/2RR4 b - -,e7f6
4r3/5k1p/3br1pP/1P1Q4/2P5/4B1P1/5PK1/8 w - -,c4c5
2rqkb1r/3n1ppp/p3p3/P2b2P1/N1pN4/2Q1BP2/1PP4P/2KR3R b k -,f8d6
8/8/5p2/2R3pk/r6p/7P/5PK1/8 w - -,c5b5
r1bq1rk1/pp1nbppp/4p3/3nP3/2pp4/2N2NP1/PP2QPBP/R1B2RK1 w - -,c3d5
3rrq2/ppp2ppk/2n2nb1/2b1pNB1/4P3/1BP3NP/PP2QP2/2KR3R w - -,d1g1
r1b2rk1/2qp1ppp/p1n1pn2/1p6/1b1NP1P1/2N1BP2/PPPQ3P/2KR1B1R w - b6,d4c6:c1b1:g4g5
r1b2k1r/1p1p1p1p/p1n2p2/3Np3/2P5/8/PP2PPPP/R3KB1R b KQ -,f8g7
4r1k1/2q3bp/4P1p1/1b2p3/2p4P/6P1/5nB1/1qNQR2K w - -,h1h2
r2qr1k1/pp3p1p/3np1pb/2pPB3/4P3/1QN5/PP2KPPP/R6R w - -,a1d1
5r2/N5kp/1p1Pp3/2r3Pb/1P6/3R1p1P/P2K1R2/8 b - -,c5c4
1rb2rk1/2q1bppp/ppnppn2/8/2P1P3/N1N1B3/PP2BPPP/2RQ1RK1 w - -,f2f3
r1bqkb1r/pp3ppp/1nn1p3/1B1pP3/3P3N/8/PP3PPP/RNBQK2R w KQkq -,h4f3
8/3r1kb1/p3q1p1/Q2b1p2/3PpP2/1p2P3/5P2/B3KBR1 b - -,e6c6
8/1B4p1/p2k3p/1p3p2/1Pn1p3/P1PKP3/6PP/8 w - -,d3e2
r5k1/5ppp/p1p1rq2/1pP5/1P6/P7/2Q2PPP/R4RK1 w - -,a1e1
r1bqkb1r/pp1ppp1p/2n2np1/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f8g7:d7d5
3r2k1/5p1p/1n2p1p1/1pq1P3/5P2/2P1N1PP/1PQ2K2/5B2 w - -,b2b4
r1b1k2r/p3q1b1/1p1pp1pp/2p2p2/2PP1P1P/2Q2NP1/PP2BP1R/2KR4 b kq -,c8b7
2b5/2p2pk1/1p3Rp1/2rP3p/1N5P/P4PP1/1P6/4R1K1 b - -,g7f6
rnbqkb1r/1pp2ppp/5n2/4p3/1pP5/1N1P4/PB2PPPP/RN1QKB1R b KQkq -,b8d7
2q1r1k1/1rpb1p1p/p2n2p1/1p1Pp2n/1Q2P3/1P3PP1/P3N1BP/1NRR2K1 b - -,c8b8
k6r/1bq2p2/p2ppNnp/1p2n2N/3QP1P1/1Pr4P/P1P1R1B1/1K1R4 b - -,h8d8
2Qb2kr/p5pp/1p1q4/8/2p5/6P1/PPP2P1P/4R1K1 w - -,e1e8
r2q1rk1/3nbppp/p4n2/1ppp2B1/Q2P4/2P2N2/PP1N1PPP/R4RK1 w - b6,a4c2
8/p2r3p/2pB2p1/2P3RP/1p1k2P1/5K2/2b2P2/8 w - -,f3e2
r2q1kBr/ppn3p1/2p2n1p/8/3P1Q2/6N1/PPP2PPP/R3R1K1 b - -,f8g8
6k1/3q2np/2p5/5r2/4p1Q1/P3B2P/1PP2PP1/1R4K1 b - -,d7e6
8/8/4pk2/2R3pp/b2P4/5KP1/8/8 w - -,f3e4
8/7p/pNn1kp2/P1P1p3/1p1r3P/3RK3/5PP1/8 b - -,d4d3
3r2k1/bP1PQpp1/6p1/8/8/6PK/2r4P/8 b - -,d8d7
r2qk2r/pb1n1ppp/1p1bpn2/2ppN3/2PP4/1P1BP3/PB1N1PPP/R2Q1RK1 b kq -,c5d4
3b4/3r3p/2k2pp1/p1p5/2K1PPP1/2B5/1P5P/R7 w - -,a1e1
r1b2r1k/pp2q1pp/2pb4/4p3/3PPpn1/2B2NP1/PP3PBP/R2QR1K1 b - -,c8e6
4k2r/pp2bppp/4p2n/1q1pP3/5Q2/1N6/PP4PP/RB4K1 w k -,g2g4
8/5k2/3p1b1p/6p1/R1p1P1P1/2PnBK1P/4B3/4r3 w - -,e3d2
8/5k2/3b2p1/1p1N3p/1P2R1P1/3P3r/3KP3/8 w - -,g4h5
