5rk1/1pR5/2b2KBp/7P/8/8/8/8 w - -,g6f7
r3k2r/pb3ppp/1q3n2/3p4/4p3/2N3P1/PP1QPPBP/R2R2K1 w kq -,e2e3
8/r4p1p/1N2p3/2Rb2Pk/P4K1P/4p3/6P1/8 w - -,f4e3
2r1kb1r/1p3ppp/pN2p1b1/2n1P3/4PB2/5P2/PP2B1PP/R3K2R b KQk -,c8c6
3rr1k1/pp2qppp/2pb1nb1/4p3/2P1P1P1/1P4NP/PBQ2PB1/3R1RK1 b - -,d6c5
8/7p/6p1/p1kR2P1/1p2PK2/P7/8/6r1 b - -,c5c4
8/p5kp/5pp1/8/P7/1P4P1/1r3P1P/5BK1 w - -,f1c4
8/r3R3/3P4/4n3/P3Pk2/2K5/8/8 b - -,a7a4
r1b1kb1r/pp2pppp/2np4/q2P4/4n3/5N2/PP2BPPP/RNBQK2R w KQkq -,b1c3
brr3k1/4pp2/pqnp1bpp/1N6/PP1P4/4PNPP/3Q1PB1/RR4K1 w - -,b5c3
r4k1r/1b1pn1p1/nq1b1p2/p2P3p/1p1NQ2B/1B6/PP3PPP/2R1R1K1 w - -,h4g3
1r2r2k/1P1n2bp/6p1/Q1p5/5q2/4N3/4PPBP/1R3RK1 w - -,a5b5
br6/5kpp/PR6/2B1p3/2P5/4K3/4P1B1/8 b - -,b8b6
rn1qr1k1/1p3ppp/2pbb3/p3p3/2P1P3/1P4P1/P3NPBP/R1BQ1RK1 w - a6,c1e3
rnb1kb1Q/pp2p3/2p3pB/q2pP2n/8/8/PPP2PPP/RN2K1NR w KQq -,b1d2
r7/2p4p/1p2k1p1/p3bp1P/8/P3P3/1PR1KP2/6R1 b - -,e6f7
1rbqk2r/pp2ppbp/2np2pn/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 w k -,d2d4
r2q2k1/bp4pp/p3b2r/5p2/4p3/PPN1n1P1/1B1QBP1P/2R2RK1 w - -,d2d8
r3k2r/1b2qppp/p3p3/1pppP3/5Pn1/1PNP4/1PP1N1PP/R2Q1RK1 w kq -,d1d2
r1bqkb1r/p4p2/2p3pp/n2np3/4N3/1P1B4/P1PP1PPP/RNBQ1RK1 b kq -,f7f5
r4rk1/4q1p1/pQpp3p/3b1p2/3P4/5N1P/PP1N1PP1/R1B3K1 w - -,b2b3
4r3/p5kp/2qr1pp1/1p2pPP1/1Pp2n2/2P2Q2/P5RP/2B2R1K w - -,f3c6
1r1r2k1/p3qppp/3bn3/8/3p4/1P1R1PP1/P3N1KP/Q1B2R2 b - -,e6c5
r2qk1nr/1p1bppbp/p1np2p1/2p5/4P3/2P2N1P/PP1P1PP1/RNBQRBK1 b kq -,e7e5
8/7p/3k2p1/3p2P1/3K3P/4Pb1B/8/8 b - -,f3h1
2r3k1/pp3ppp/4p3/3nPP2/1P1PQ1Pb/P2N4/2q4P/2B2RK1 b - -,c8c3
6R1/8/8/8/P1p5/2k5/1r6/1K6 w - -,b1c1
8/5k1p/2n5/p7/2pb1P2/5K2/3R3P/8 w - -,f3e4
r2Q1rk1/p4p1p/1p3pp1/8/2P5/4p2P/PP3PP1/R4RK1 b - -,a8d8
r2qk2r/pb1pbppp/1pn1pn2/6B1/3P4/2PB1N2/PP1N1PPP/R2QK2R w KQkq -,e1g1
3r3k/5Rpp/p1p1Q3/q3p3/P3P3/1P4NP/2P3P1/7K b - -,a5e1
r1bqkbnr/pp2pp1p/2n3p1/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR b KQkq -,f8g7:g8f6:g8h6
8/7R/1B2k1p1/P4p2/4n3/1r4PP/5P2/6K1 b - -,g6g5
3r1r2/1p1k3p/p2P1pp1/2n1p3/4P1PN/1bP1K2P/1P1RB3/5R2 b - g3,c5e6
2k1r1r1/pp1bp1b1/2pp2p1/1n1P2B1/NPP1P1n1/P5P1/R3N1B1/4KR2 b - c3,b5d4
4k3/p3r2p/8/1p3P2/3N4/P2P1bP1/1P3P1P/5RK1 b - -,f3g4
8/3k4/7R/3p4/3P2p1/1r3bBp/3K1P2/8 b - -,d7e8
1q4k1/3nppb1/1P4p1/3P3p/4P3/r3BP1P/3QB1P1/1R4K1 w - -,f3f4
2r5/1n4pk/Q3p2p/3qPp2/1P1P4/2p2PP1/2R3KP/R7 w - -,a1c1
4r1k1/5ppp/3Qb3/2r2qP1/1p6/1P6/1BP1R2P/1K1R4 b - -,f5g5
3r4/p6k/2n3pp/PpBb1pb1/1P6/N1P3p1/3R3P/3R2K1 w - -,d2d5
3rr1k1/p1bnqpp1/4pn1p/1Ppp4/2P5/3P1PP1/PB1N2BP/R2QR1K1 w - -,d1e2
r2r2k1/1p2qp2/2p1p1p1/p3Nn1p/Pn1P3P/1P2P1P1/3RQPB1/2R2K2 b - -,g8g7
r4rk1/pp3bp1/1bp5/3p2qp/1P1N1R2/4P3/PB1Q2B1/5RK1 b - -,b6c7
8/p4ppp/1rn1kn2/3P4/1p1P4/P1NK1P2/1R1B2PP/8 b - -,f6d5
8/1pp2k2/p2p1b2/8/6n1/2P2K2/PP6/7R b - -,g4e5
r3k2r/pp1n1pp1/2p1p2p/5b2/3Pn2b/1PN3P1/1P2PPBP/R1B1R1K1 w kq -,g3h4
4qrk1/1p4bp/3p4/rpnPp2Q/p3P3/8/PPBN1PP1/R3K2R b KQ -,e8h5
rn1q1rk1/1b2bppp/p2ppn2/1pp5/4P3/1P1P1NP1/PBP1NPBP/R2Q1RK1 b - -,d6d5
8/1p3p1k/p1p2p2/2P5/PP1n3P/6R1/8/5K2 w - -,f1f2
1rbn1k1r/4ppbp/p2p2p1/1ppP4/2N5/1PPBPNP1/1P3PP1/R3K2R w KQ b6,c4a5
r2qk2r/5pn1/2bp2p1/2p1p1P1/2P5/P1Q1PN1P/2B4K/2R2R2 b k -,g7e6
r3r1k1/q4pp1/5n2/p2p4/1p3Qp1/3B1P2/1PP4P/3RRK2 w - -,f3g4
8/2R2ppk/7p/8/3q4/6PP/5PK1/2N5 b - -,d4d5
8/p3R1p1/8/kp4p1/3P4/8/PP3PPK/3r4 b - -,d1d2
8/1PK5/8/8/8/3k4/8/1r6 b - -,d3c4
r2q1rk1/1pp1npb1/3p2p1/p4pNp/2PPn3/PP4PP/2Q1PPB1/R1BR2K1 b - -,e4g5
r2q1rk1/pb3ppp/1p2pn2/3N4/1b6/1N1Q2P1/PPPB1PBP/2KR3R b - -,b4d2
2nr1q1k/1p3rpp/p1pp2p1/4p1b1/1PP3P1/1Q1PP2P/PB3PB1/2R2RK1 w - -,c4c5
rr4k1/1n4pp/pn1p2q1/1ppPp1b1/4N1PP/1PP1B3/P1Q2P2/R2R2K1 w - -,h4g5
r4r2/pp2ppkp/3p1np1/3P1N2/q4P2/8/PPP1B1PP/R2Q1RK1 b - -,g6f5
R7/6r1/5k2/5p2/4p3/4P3/5K2/8 w - -,a8a6
1k1r4/pb1p2pP/1p2pp2/7n/P7/1P2P3/3NBP2/2RQK1q1 w - -,d2f1
5rk1/1b2bppp/p1r1pn2/8/Pq1Q4/4BN2/1P2BPPP/R4RK1 b - -,c6c2
2r4r/pp1pkppp/1qn1pn2/2b5/4P3/2N5/PPPQ1PPP/R1B1KB1R w KQ -,c3a4
1qr1r1k1/1b2bppp/1p1pp3/pP2n3/P1PRPn2/1NN4P/1B3PP1/1Q1R1BK1 w - -,c3e2
2rr2k1/p5p1/1p5p/2b2p2/7P/1P6/P2BnPKP/R2RN3 w - -,e1f3
5k2/7p/1B1ppnp1/P7/4p2P/1P6/5PP1/6K1 w - -,a5a6
6k1/2q1ppbp/1n1p2p1/1P1Pn3/2p1P3/r3B2P/4BPP1/2RQ1NK1 b - -,e5d7
6k1/1pr3pp/p4r2/2b5/4R3/2P1B3/PP3P1P/2K4R w - -,h1d1
8/p7/1p1P2k1/4R2p/4p3/5p2/PP5r/4K3 b - -,h2e2
6k1/1p1q2bp/1B4b1/5p1n/1P1pr3/5Q1R/6PP/3N1R1K b - -,h5f4
3rrnk1/pb2qpbp/1pp2np1/3p4/1P1P4/P1N1P1P1/1BQN1PBP/R3R1K1 b - -,f8e6
8/8/4K3/2R2p2/5P2/3k3r/8/8 w - -,c5e5
r2q1rk1/1ppb2bp/3p2p1/3Pp3/1PP1Pp2/p1N2P2/P3Q1PP/3R1RBK b - -,g6g5
8/3rk2p/PR1p4/3Rp3/2r1P1p1/2p2P2/2K3PP/8 w - -,d5a5
2qbr1k1/5ppp/pp6/3P4/P4Qn1/1P2B3/4N1PP/3R1BK1 b - -,g4e3
4r3/p5pp/1p1k1p2/3Pn3/3K4/P5B1/1P4PP/4R3 b - -,e8c8
r2q1rk1/2p1b1pp/p4n2/1p1p4/3Q1Bb1/2P2N2/PPB2PPP/R3R1K1 b - -,c7c5
7Q/8/8/6K1/4k1p1/8/5q2/8 b - -,f2f4
2r2k1r/2q3pp/b1N1p3/p3b3/Bp2P3/5P2/PpP2Q1P/1K1R3R w - -,f2c5
1rb2rk1/7p/1p1p4/p1pNqp2/2P2R2/QPn1P1P1/P5BP/4R1K1 b - -,c8b7
rn2kb1r/ppq1pppp/2p2n2/3p3b/2PP2PN/1Q5P/PP1NPP2/R1B1KB1R b KQkq g3,h5g6
