8/p7/1q3k2/5pp1/R7/5BP1/PP3PK1/8 b - -,g5g4
3r2k1/5p1p/4b1p1/1B6/R7/1p5P/1P3PP1/6K1 w - -,a4e4
1r2b2r/2q1n1k1/p1p1p1pp/PpQnN3/1P1P3P/3B4/3B1PP1/2R1K2R b K -,h8f8
4b1rk/4b2p/2p1p3/P1PpPp2/3N1P2/P2B3q/3Q3P/2R4K w - -,d3f1
r2qr1k1/p4ppp/2pnb3/n2p3N/3P4/P1PB1Q2/2P2PPP/1RB2RK1 b - -,d8h4
8/5pkp/1p3bp1/1N6/8/3QP2P/5PK1/2q5 b - -,c1b2:c1c6
1r1q1rk1/p1p2pp1/1b2b1np/8/3PB3/2P2N1P/PP3PP1/R1BQ1RK1 b - -,f8e8
r4r1k/1q1b1ppp/3p4/p2Np1b1/2B1P3/2P5/RP3PPP/3Q1RK1 b - -,f7f5
r4rk1/pp2p2p/2p1q1pP/4P3/2pP1RP1/2P5/P2Q2K1/5R2 b - -,b7b5
8/8/R7/4k1p1/1r5p/7P/5PK1/8 b - -,b4b3
8/2bb2k1/3n1ppp/1ppPp3/2p1P1PP/2P1N3/1P1N1P2/3B2K1 w - -,h4h5
r2qr1k1/p5bp/2p1pnp1/1p1b1p2/1N1P4/Q3P1B1/PP2BPPP/2RR2K1 b - -,g7f8
8/6k1/1R6/5p2/8/5P1P/2r3P1/6K1 w - -,g1h2
1r3rk1/p1p1q1b1/Pp1ppn1p/2Pb2p1/1P1PP3/5B1P/2QN2PB/R4RK1 b - -,f6e4
r1bqkb1r/1p3pp1/p1n1p3/2ppPn1p/5P2/2N2NP1/PPPP2BP/R1BQ1RK1 w kq h6,c3e2
r1q4r/pb1nkppp/4pn2/1NNp4/8/4B1P1/1PP1PPBP/R2Q1RK1 b - -,d7c5
1r4k1/2R2p2/1p2rPpp/1Pp1n3/2Pp4/3P1NP1/8/R5K1 w - -,f3e5
6r1/8/1p2kp2/p1b1p2p/P1N2p1P/1P2P1P1/4KP2/3R4 w - -,e3f4
r6k/6pp/4Bp2/p1qPn3/1np1P3/2Qb2P1/3N1R1P/4R1K1 w - -,g3g4
q1rr2k1/1b4p1/p3pn1p/1p6/7Q/P1NB4/1PPR2PP/5R1K w - -,f1f6
r2qk1nr/p2p1ppp/1pn5/2p5/4PPb1/P4N2/1PQB2PP/R3KB1R w KQkq -,e1c1
8/p4k2/b3p1p1/p2p1pP1/P2P1P2/1P3N1r/2P2K2/4R3 w - -,e1e3
8/5pkp/6p1/2KB4/8/R6P/6P1/5r2 b - -,f1e1
r3r1k1/1p3p1p/p5pP/5bP1/3RpP2/4Q1K1/Pq6/2n4R w - -,h1c1
r1k5/1Rb1n3/2n2pb1/6pp/P2p4/N2P2P1/3B1PBP/4NK2 w - -,b7b3
8/2p2p2/8/4pk2/1p1b4/3r2P1/PP3P2/2B1RK2 w - -,f1e2
4r3/1b3kp1/2prpp1p/1p6/1P1P2PP/P3RN2/5PK1/4R3 b - -,d6d5
8/6p1/p7/3N1k2/1P1K1P2/7r/8/8 w - -,d5c7
8/8/6R1/pb6/2p2k2/2K5/5p2/8 w - -,g6f6
8/4kp2/4p1pp/R3P3/2r2PKP/8/5P2/8 w - -,f2f3
3r2k1/5p2/4p1p1/2P5/4QP2/6Pq/2R1RK2/7r w - -,f2f3
1r3rk1/5p1p/p4Rp1/1b2p3/2pnP3/1P2B1P1/P5BP/2R4K w - -,b3c4
r2q1rk1/p3b1p1/2p1pn1B/3p4/8/2NB3Q/PPP2PPP/5RK1 b - -,g7h6
1r2b3/1p2k1p1/4p2p/2PpPp2/pP1N1P2/R1P5/5KPP/8 w - -,f2e3
1r1q1rk1/ppp1bpp1/2n2n1p/4p3/2N1P3/1QP2N2/PP3PPP/R1B1R1K1 b - -,e7d6
1rbq1r1k/1p2b1pp/2n1np2/p1p1p3/P1N5/2PPBNP1/1P3PBP/R2QR1K1 w - -,d1b3
2r2rk1/2BR1pbp/p4Np1/1pP1p3/8/2P3P1/PP2R3/1K6 b - -,g7f6
5rk1/2pq1rbp/3p2p1/R2Pp3/PP2P3/2N1B1Pb/4Q2K/4R3 b - -,f7f3
8/5k2/3b2p1/1p3r2/1P1R4/2NP4/3KP3/8 b - -,f7e6
rn1qk1r1/pp1b1p1p/4pn1Q/2p5/3Pp3/P1P3N1/2P2PPP/R1B1KB1R b KQq -,d7c6
3q1nk1/2p2rp1/1p1p1n1p/p2P1P2/3B1P2/2Pb1B1P/P5Q1/3RR1K1 b - -,d3f5
3rk2r/pn2pp1p/1pb3p1/2p5/2P2PP1/1NPBP1nP/P4K2/R1B1R3 w - -,f2g3
3r1r1k/1q4pp/p2b4/4pp2/1P2n3/PQN1PN2/1B3PPP/1R3RK1 b - -,e4f6
r4rk1/pp4pp/1npNpqb1/8/3RP3/5P2/PP1QB1PP/R5K1 b - -,a8d8
4b3/pp3kpp/8/2Q5/8/P7/1q2BPPP/6K1 w - -,e2c4
3q2k1/5pp1/8/ppp5/1n3B2/2Qb1B2/5PP1/6K1 b - -,c5c4
3r4/3P4/8/1Bp1kn1p/1p2p1pP/1P6/P4RK1/8 b - -,f5h4
3rr1k1/1pnbqp2/p2p4/2p3p1/4P1N1/2P2PP1/PPQR2BK/3R4 w - -,g4e3
r3kb1r/5ppp/p2p4/4p3/2Bnq3/2B5/PP3PPP/R2QR1K1 b kq -,e4c6
r2q1rk1/1p1nbppp/2npb3/p3p3/N1P1P3/1N2BP2/PP2B1PP/R2Q1RK1 b - -,d7c5
5bk1/pp3p2/3np3/3p4/3Pn1p1/4P1P1/PPB2P2/1N2BK2 w - -,f1e2
r1q1k2r/4bpp1/pp1pbn1p/4p3/P1B1P3/2NQ4/1PPN1PPP/R3K2R b KQkq -,e8g8
3rr3/pp1b2k1/1q5p/2p1p3/4Np1n/2PP4/PP1Q1P1P/1R2R1KB b - -,d7b5
6rk/pp6/2pBq2p/4P3/4npr1/1P3R2/PQR3PP/6K1 w - -,h2h3
8/6Rp/r7/8/2kp3P/p5P1/4KP2/8 w - -,g7c7
3r4/3pkp2/rn1Np2p/p3P3/1p2Pp2/8/PPPR3P/2KR4 w - -,d2f2
r1n1kb1r/pp1b1pp1/2p1p2p/q2pPP1P/2PP2PN/2N5/PPQ1B3/1K1R1R2 b kq -,f8e7
8/8/8/Rp4p1/1P2pk1p/Pr5P/5KP1/8 w - -,a5b5
r1bq1rk1/3nppbp/1pnp2p1/p7/P1P1P3/1NN1BP2/1P1QB1PP/R3K2R b KQ -,c8b7
r2q1rk1/p1Bnbpp1/1p2p2p/3b4/3p4/3BPN2/PP3PPP/2RQ1RK1 b - -,d8e8
r3q2k/pp1bb1p1/4pr1p/3pN3/n1pP3P/1nP1B2N/RPB2PP1/3Q1RK1 b - -,b7b5
r2q1rk1/pbpnbppp/1p1p4/3P4/4P3/P1N2Q2/1PB2PPP/R1B2RK1 w - -,f3h5
3r2k1/2q2pbp/6b1/P7/8/2P1R2P/4QPP1/R5K1 b - -,h7h5
6k1/1rpn2p1/2p1q2p/P3p3/2Q1P3/5PP1/P4B1P/2R3K1 b - -,e6c4
5rk1/1bqnbrpp/4p1n1/p2pP2N/1p1B2P1/1P3N1P/P1P1QRB1/4R1K1 b - -,d7c5
r2q1rk1/ppp1bppp/2n1b3/3n4/3P4/2NB1N1P/PP3PP1/R1BQR1K1 b - -,f8e8
8/8/1p4k1/3pQP2/p1qP4/4P2P/6PK/8 b - -,g6g5
8/p4bk1/2R2pp1/7p/7P/1P3P2/P5P1/3rB1K1 w - -,g1f2
r1rq2k1/1b1p1pp1/p1n1p2p/1p6/3P4/P3PN2/1P1QBPPP/R1R3K1 w - -,b2b4
2r1r1k1/pp1b1pq1/3ppnp1/4n3/3NP1P1/1BN5/PPPQ4/1K4RR w - -,g4g5
3r1r1k/1pp1q1bp/p1n1B1p1/P1n1pp2/8/2N1P2P/1PPN1PPB/R1QR2K1 b - -,e7e6
4k3/8/p3P3/5R1P/4NPn1/3K4/6r1/8 b - -,e8e7
5bk1/1r2nqp1/1p3p2/4pQ1P/8/6R1/5PP1/2B1R1K1 w - -,f5f3
8/8/8/8/1pk5/n4K2/8/2N5 b - -,a3c2
4k3/6n1/3Bp2N/4Ppp1/6P1/3K3P/8/6b1 b - -,g1h2
8/2r1q1pk/4p2p/2p1bp2/2Q5/P1N1P1P1/1P3P1P/3R2K1 w - -,c3b5
8/8/3pk3/5pp1/1pP4r/1P6/2K1R2P/8 b - -,e6f6
1B3r1k/6bp/p2Q2p1/2p5/2N1P2q/8/PP4PP/R3K2R w KQ -,d6g3
6r1/8/5r2/1PK1R1p1/4B1p1/8/2k3P1/8 b - -,c2d2
2r2rk1/4q1p1/1R6/P1p1p3/2P1bpP1/8/5Q1P/R2B2K1 b - -,e4a8
r6k/1Qp3pp/1b1p1rq1/pP6/P1B5/2P1P1P1/3N2P1/R4R1K b - -,g6h6
8/1R3p2/6p1/rp5p/k4K1P/P4P2/8/8 b - -,a4a3
3Q1k2/5p2/2b1q3/4B3/p7/P4P1P/6PK/8 b - -,c6e8
8/3q1k2/p1pPb1r1/6p1/P1p1Q3/2P4P/5PP1/3R2K1 w - -,e4f3
2r5/4rpkp/q2p1np1/p1pP2Q1/Pp2P3/1P3N1P/5PP1/1R2R1K1 w - -,f3h4
