8/8/p3k3/Pb2Bp2/1P1K2p1/4P1P1/8/8 w - -,e3e4
3r1rk1/p2qn1bp/6p1/QPp1p1B1/2Pp4/P2P2P1/4NP1P/1R3RK1 b - -,f8f5
7r/5Pk1/p3B1P1/4P3/1p3R1p/8/PP4b1/K7 b - -,h4h3
2r1k2r/ppqnbppp/2p1p3/P3P3/2pP1B2/6Q1/1P1N1PPP/R4RK1 b k -,g7g5
4r1k1/4q1bp/p2p2p1/3P4/2Q1PPP1/8/1P4K1/2BR4 b - -,e7e4
8/p7/1p3R2/1Pr5/1P1K2k1/8/5P2/8 b - -,c5b5
rn2k2r/1bqp1pp1/3bpB1p/p7/1p2PP2/1NPB4/PP2Q1PP/R2N1RK1 b kq -,g7f6
4r1k1/2p1r1qn/1p1p3p/p1nPpBp1/2P1P2P/P1B2QP1/1P3R2/5R1K b - -,g8h8
3rr3/pp4k1/2p2pp1/4n2p/N3PQ1P/1P4P1/P1q2P2/2R2BK1 b - -,c2a2
r1br2k1/4qpp1/p2Np2p/1pn1P1P1/1np4P/5N2/PP1QBP2/3R1RK1 b - -,b4d3
8/6b1/2B5/1pp4P/k4p1P/8/P1K5/8 b - -,a4b4
2r1kb2/5p2/pqbppPp1/3r4/2PN1P2/BQ5P/P7/1K1RR3 b - -,b6b3
rn1qkb1r/ppp1pppp/3p4/4P3/2B3b1/2P2N2/PPP2PPP/R1BQK2R b KQkq -,e7e6
3r2k1/pp1rb1p1/2n2n1p/5b1q/2Pp1B1P/PN3NP1/1P2PPB1/R2QR1K1 b - -,f6g4
r1bq1rk1/pp1nb1pp/2p1pn2/3p1p2/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 w - -,c1b2
6k1/1p4p1/p3b2p/2P2N2/1P6/q6P/2Q2PPK/8 w - -,f5d4
rn3rk1/pp2qppp/3p1n2/4pb2/2PP4/R4NP1/1P1NPPBP/3Q1RK1 w - -,c4c5
r1bqk2r/pp1nppbp/2p3p1/3n4/2BP4/5N2/PPP2PPP/RNBQR1K1 b kq -,e8g8
r1b1k2r/pp2ppb1/1n4p1/q1p1P2n/5P1p/2NBB2P/PPP1N1P1/R2Q1RK1 w kq -,d3b5
8/8/1pR5/p4rpp/P2k4/1P5P/5P2/5K2 b - -,b6b5
r7/5pk1/5Pp1/p2q3p/3p3P/1P4P1/P2Q1P2/3R2K1 b - -,g7f6
1r3r1k/7p/P4bp1/2Q5/8/5NP1/3RBPKP/q7 b - -,f8c8
r1bqkn1r/pp3ppp/3p1n2/2pPp3/2P1P3/2PB1P2/P3N1PP/R1BQK2R w KQkq -,e1g1
3k4/2pn2p1/4p2p/1P1pP2P/5PP1/3K4/B7/8 b - -,c7c5
6k1/4rqp1/7p/8/8/2Q2N1P/p5PK/B7 w - -,f3e5
r7/8/Pk2p1p1/1P1p4/8/2P2P2/7P/4R1K1 b - -,a8e8
1r4k1/4qppp/1rpb4/p2p1b2/P2Pn3/2NNP3/4BPPP/R1Q2RK1 w - -,c3e4
r1b2rk1/pp1nqppp/2pb1n2/4p3/2BPP3/2N2N2/PPQ2PPP/R1B2RK1 w - -,c1e3:h2h3
1r5r/p2kb1pp/4p3/3pP3/n1pP4/Pn2B3/RP2N1PP/1N1R2K1 b - -,b3a5
2r2rk1/pb3pp1/1ppq3p/4R3/2PPQ3/1P4P1/P5BP/5RK1 w - -,c4c5
r7/8/8/8/P5K1/3kp3/R7/8 w - -,g4f3
r1bqk2r/p2nbp2/2n1p3/1p1pP2p/2pP2p1/2P5/PP1N1PPP/RBBQNRK1 w kq b6,a2a3
2rq1rk1/1b1nbppp/1p3n2/pP1p1N2/8/P1NBP3/2Q2PPP/R1B2RK1 b - -,f8e8
r1bq1rk1/pp1n1pbp/n2p2p1/1BpP4/4PP2/2N2N2/PP4PP/R1BQ1R1K b - -,a6c7
2r5/4kp2/2b3p1/pp2p2p/8/P1P1NP2/1P1R1KPP/8 w - -,e3c2
8/5p2/5p1k/4rB1p/3p2P1/2b4P/5P2/2R3K1 w - -,g1g2
r1bqknnr/pp2bpp1/2ppp2p/7P/2PPPB2/2N2N2/PPQ1BPP1/R3K2R b KQkq -,f8h7
2R2R2/6p1/1p4rk/1P3p1p/4b1n1/6P1/4B3/4K3 w - -,f8h8
r2qrbk1/1b4pp/p2p1np1/2pP4/1pP1Pp2/3B3P/PP1NQ1PB/2R1R1K1 w - -,h2f4
r2q1rk1/pp1bppbp/1np2np1/4N3/3P4/1BP3NP/PP3PP1/R1BQ1RK1 b - -,a8c8
1kr4r/ppq1ppb1/3p4/2pP1Pp1/2P3Q1/P2NP1Pp/1P5P/1R3RK1 b - -,c7b6
5rk1/pp1n1pbp/1qp2np1/8/8/1BN2QBP/PP3PP1/3R2K1 w - -,c3e4
4r1k1/1p3ppp/pB6/4p3/PbP3P1/1P6/2bR1P1P/2R1K3 b - -,c2b3
r2qkb1r/pppnppp1/7p/3n1bB1/3PP3/5P2/PPP3PP/R2QKBNR w KQkq -,g5h4
1R6/3k1p2/2b3p1/3p1p1p/3P1P2/r2P1B1P/2K3P1/8 b - -,c6a4
rn2kb1r/ppp1q1pp/4Qp1n/7N/2P1p3/4P3/PB1P1PPP/RN2K2R w KQ -,e6c8
8/3b4/2Np1p2/p2P1P2/k6p/2b1K2P/8/1B6 w - -,b1c2
rn1q1rk1/pp3pbp/4pnp1/3p2B1/2PP4/5B2/PP3PPP/RN1QR1K1 w - -,c4d5
5k2/7p/1pN1rp2/p2p1b1p/3P1P1P/2R2P2/PP3K2/8 b - -,e6d6
3r1rk1/p2qn1bp/4b1p1/1Pp2p2/3pPP1N/P2P4/nP3QBP/R1B1NRK1 w - -,e4f5
r4r1k/2qn1ppp/b3p3/p2pP1P1/1p1p2N1/3P2P1/PPPQ1PB1/R3R1K1 w - -,a1c1
4rk2/p4p2/B1p2n1p/2Nb2p1/3p4/P4PP1/1P2R1P1/6K1 w - -,e2d2
1r3n2/2rkb3/2q1p1p1/p2pP3/P2P1P2/3NB2R/6RK/3Q4 b - -,c6c4
1r6/6kp/1PK5/6p1/8/8/R7/8 w - -,c6c7
5k2/pp1R2pp/8/5p2/3r3P/P7/1P3PP1/4R1K1 b - -,d4d7
8/5pkp/2b1pNp1/2Q1P1P1/1p1P3K/4nr2/1P5P/8 b - -,e3f5
1q1rrbk1/1p3bpp/pP1n1p2/P2Pp3/2N5/1Q1P2PP/1BR2PB1/2R3K1 w - -,c4e3
2kr1b1r/ppp3pp/2nqbp2/1B1p1p2/3P4/2N1PQ2/PPP1NPPP/R3K2R w KQ -,e2f4
3r4/8/8/2K3p1/1P4Pp/4R2P/6k1/8 b - -,d8c8
8/8/P4pk1/3Rp2p/2K1r3/6P1/8/8 w - -,c4b5
4k3/1p2bp1p/r3b1p1/3pPp2/3P1P2/2BK4/1PN3PP/1R6 b - -,a6a4
4k3/7p/3b2p1/3Pp3/P2pp3/4r1P1/2R2NKP/8 w - -,a4a5
6k1/p2R4/8/rp6/6PK/7P/8/8 w - b6,g4g5
5r2/8/3kPB2/R4Kp1/5b2/5P2/8/8 w - -,a5a6
2rr2k1/4bppp/1q2p3/3pB3/3P2P1/1p2Q2P/1Pb1PPB1/R1R3K1 w - -,a1a4
4r1k1/1p2q1b1/p3p3/3pPp1Q/3N1P2/4P2P/5P1K/R7 b - -,e7f7
7R/8/8/PK6/6k1/2P4p/8/1r6 w - -,b5c4:b5c5
6k1/R3pp2/6p1/5n1p/1r2N2P/5PP1/P3PK2/8 b - -,b4b2
4n1k1/4q2p/2p1p1p1/1pPpP3/pP1P2P1/P2B2KP/5Q2/8 w - -,f2f4
8/3r1pkp/6p1/2r5/3p4/1R1R1P2/5P2/6K1 w - -,b3b4
2rr2k1/1bqnbppp/pp1ppn2/8/2PNPP2/1PN1B1P1/P5BP/2RQR1K1 w - -,d1e2
5rk1/1q1n1ppp/pp2p3/4P3/8/1P4P1/PQ3PNP/2rR2K1 w - -,d1c1
1R6/4p3/3nkpp1/7p/2p1P2P/r4PP1/5K2/1R6 w - -,b8b6
8/8/4p3/1p1pPp2/2pP1P1k/2Pn1K2/2BB4/3n4 b - -,d1f2
6k1/3q1ppp/2bNp3/p3P3/Pp2P3/4Q2P/1P4PK/8 b - -,c6a4
1r1r2k1/p6p/6p1/4Q3/8/5B1P/q4PP1/3R2K1 w - -,f3d5
8/1R6/R2p1k2/PP2b3/K2n4/8/8/7r b - -,h1a1
2k3r1/1p1q4/p7/3p3p/P1n1p1rP/5QP1/5P2/R1B1R2K w - -,f3g2
q4rk1/1p1b1pbn/r2p2p1/2pPp3/p1P1P1P1/P1N2P2/1PBB3K/2RQ2R1 w - -,g1g3
r1b2rk1/5pbp/1qp1pnp1/p2p2B1/Q1P5/N5P1/PP2PPBP/1R3RK1 w - a6,a3c2
r3k2r/ppp1qp2/2n1pn2/3p4/3P2Pb/1P2PB2/PBPNQ1K1/R6R w kq -,h1h3
r1bq1rk1/pp1nppb1/3p1np1/2pP2Bp/2P1P2P/2N5/PP2BPP1/R2QK1NR w KQ -,f2f3
7k/4Q2p/8/2p5/3b1B2/5B1P/q5K1/8 w - -,e7e2
