R7/p2k2pp/5p2/8/1NP5/1PK5/6rP/8 b - -,f6f5
2r5/1bR4p/pn1pk1p1/1p2pp2/1P2P3/P2PNP2/3KN1PP/4R3 b - -,c8c7
r3k2r/q2nbpp1/p3p1p1/1p1nP3/2pPB3/5P2/PPQBN1PP/1K1R3R b kq -,d7b6
8/5k2/5p2/5r2/3BK3/6R1/8/8 b - -,f5f1
2bk4/r1p5/p2p1n1p/3Pb1pP/2R5/1P3B2/P2KN3/2R5 w - -,d2e1
rn2kb1r/pp3pp1/2n1b3/1q1PPpN1/3p3P/8/PP4B1/R1BQK2R w KQq -,d5e6
5rk1/p3b1pp/1p6/8/P2q1p2/1Q6/1P1B1PPP/R5K1 b - -,g8h8
r2qk2r/4bpp1/bn2p2p/2ppP2P/p4B2/PnPP1NP1/R1Q2PBN/4R1K1 b kq -,c5c4
2kr1b1r/ppqn1p2/2p1p3/5p1p/3P1P2/2NNQ3/PPP3PP/1K1R3R b - -,c8b8
8/7k/1R6/5p2/5K1P/5PP1/1pr5/8 w - -,f4f5
2r3k1/p1rqbp1p/1pn5/3pPbp1/1P1P1p2/P2N1P1P/1B1QN1P1/2R2RK1 b - -,c6d8
8/6QK/7P/8/8/k2q4/8/8 w - -,h7g8
6k1/p2qbp2/bp2p1pp/n1p1P3/P1P1NP2/3BP3/1B2Q1PP/6K1 w - -,e4c3
1rb1k2r/p4p1p/3pp2b/2pP1p1N/5P1P/1P2P2B/P6P/1RR3K1 b - f3,e8e7
3r2k1/1p3pp1/1b1p1nq1/1N1Pp3/1P2P2p/4NP2/3Q2PP/3R3K b - -,b6e3
4r2k/p4p1p/1p1b1p2/3p1p2/3P1PP1/P2bP2P/1P1N4/1K2R2R w - -,b1a2
rnbqk2r/ppp1ppbp/5np1/8/3PP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e8g8
8/1N1nk3/2p2pp1/5p2/p2Kp2P/6P1/P1P2P2/8 w - -,a2a3
8/Rr3p2/4p2p/1r2k1p1/1PR1P2P/1K4P1/8/8 w - -,a7a8
8/R7/8/2r5/pk6/8/3K4/8 w - -,a7b7
5r2/1p3r2/p3kppp/2p1p3/4P1PP/1P1P2K1/1PP2R2/5R2 w - -,f2f3
2rr3b/5k2/n2p1pp1/pbnNp3/4P1P1/4BN2/PPBR1P2/2K3R1 w - -,g1d1
2r1k1r1/4ppb1/p2pb1p1/qp4PB/3BPP2/2N5/PPPQ4/1K1R3R b - -,g7d4
r1b2bnr/ppk3pp/2p2p2/8/2B1PB2/2N5/PPP3PP/R3K2R b KQ -,f8d6
5k2/7p/6p1/1p3p2/1K6/6rP/3N2P1/3R4 w - -,d1g1
8/7k/4R3/5K1P/8/2b5/8/8 w - -,e6e2
3r1r2/p5p1/Bpb1k2p/n3p3/1N2P3/5P2/P5PP/3RR1K1 b - -,c6a4
7r/3b1k2/1qp1ppNb/1p5p/2pPP1PP/Q1P2P2/P7/KR5R b - -,f7g6
3rkb1r/1p4pp/p3p1b1/4P3/P4B2/2NB1P2/1P4PP/R3K2R b KQk -,d8d3
5rk1/p3npbp/bq2p1p1/2p5/1r1pPP2/1P1P1NP1/P4BBP/2RQ1RK1 w - -,f2e1
8/4k3/2P2p1p/3K1P1P/B5P1/6b1/3p4/8 b - -,g3f4
2kr3r/pbp1q1pp/Bpn1pb2/2Np4/3P4/2P2N2/PP2QPPP/2KR3R b - -,b6c5
3qr1k1/1bR1ppbp/pp1p1np1/3P4/7Q/1P2BNPB/P3PP1P/3R2K1 b - -,d8c7
2b5/2Pq1k2/8/4Q2P/3p1B2/8/6PK/8 b - -,d7g4
r3r1k1/pp1nbppb/1qp4p/5P2/3Pp1PP/PPN1P3/6B1/R1BQ1RK1 w - -,c3e4
8/7r/KP2k3/4p3/P7/3NP1Pp/1R6/5b2 w - -,b6b7
3R4/5p2/3P2p1/2K3k1/8/7r/8/8 b - -,h3d3
r1bqk2r/1p1nppbp/p2p1np1/8/3NP3/2N1BQ1P/PPP2PP1/R3KB1R w KQkq -,g2g4
2nq1r2/pb3pkp/1p2pnp1/4N3/2BP4/1P3N2/P2Q1PPP/3R2K1 b - -,c8e7
2r1qbk1/p1r5/2p1p3/4Pp1p/3R1BpP/1PQ5/P4PP1/4R1K1 w - -,e1d1
2r2r2/pp3pkp/6p1/8/6N1/8/P4PPP/4Q1K1 w - -,e1d2
r1b1r1k1/1pqn1ppp/2pp1n2/p1b5/2PNPB2/P1N2B2/1P3PPP/R2Q1RK1 w - -,d4b3
r1b1k2r/1p3ppp/1bn2n2/p2p4/3p1B2/1N1B4/PPP1NPPP/2KR3R w kq a6,d3b5
R7/8/6p1/1P2p2p/P2k3P/1r6/2K5/8 b - -,b3b4
r4r2/ppq3k1/7p/2NB1bp1/2Pp2n1/3P2P1/P3RP2/R1BQ2K1 b - -,c7c5
r1b2rk1/pp2ppbp/2np1np1/q7/2BNP3/2N1B3/PPP2PPP/R2QR1K1 w - -,f2f3
6k1/p2r2bp/5p2/R2npNp1/1P6/3P2P1/3B1P1P/6K1 w - -,a5d5
2r1kn1r/pp1b1pp1/2n5/1N1pPpp1/3P4/P2B3P/1P1N2P1/2R2RK1 w k -,b5d6
r1b1k2r/pp1n1ppp/1qnbp3/2pp2B1/3PP3/2PB1N2/PP1N1PPP/1R1QK2R b Kkq -,c5d4
1r2rn2/2q2kb1/3p1pp1/1n1P4/1p2PP2/1Pp2NN1/2P2B1R/R4QK1 b - -,c7d7
8/p1rp4/1rp2k1p/R1Np1ppP/1P3K2/P2B2P1/5P2/8 w - -,f4f3
1n1r2k1/1r2bppp/4p3/R1p1P3/1p3P2/2NPN1P1/1P5P/3R2K1 w - -,c3e4
2R5/3k2p1/1B2n2p/P6P/r7/2K3P1/8/8 w - -,c8c4
2rr2k1/1b3ppn/p3pb1p/1qn1B3/1P2P3/R4N1P/N1B1QPP1/4R1K1 b - b3,b5e2
r1b2rk1/1p1n1ppp/2pb1p2/p7/2PP4/1B3N2/PP3PPP/R1B1R1K1 b - c3,c6c5
K7/3k4/P7/8/8/8/2R5/r7 w - -,a6a7
r3r3/5kpQ/4q2p/p2p4/4pPN1/2P3R1/PP4PP/6K1 b - f3,e8g8
2kr2nr/ppp1bppp/2n5/3p4/3P1B2/2PB4/PP3PPP/RN2K2R w KQ -,e1g1
3r4/8/8/5R2/1nk5/5K2/3P4/8 w - -,f5f4
2rq1rk1/p3n1bp/1p1pp1p1/n1p2pN1/3PbP2/1P2B1P1/P1P1NRBP/R2Q2K1 b - -,e4c2
r1bqr1k1/ppp2pbp/2np1np1/3N4/2P5/1P1QN1P1/PB2PPBP/R4RK1 w - -,d5f6
r4rk1/1pqn1ppp/2p3N1/p3p3/PbBPP3/1Q2BP2/1P4PP/R4RK1 b - -,h7g6
r1bqk2r/1p3ppp/p1n2n2/2bp4/8/2N1PN2/PPQ1BPPP/R1B2RK1 b kq -,c8e6:d8e7
2rb4/1R3pk1/2p3p1/p1Pp3p/3Pq2P/P5P1/3B1P2/4Q1K1 b - -,d8f6
r1bq1rk1/pp1pppbp/5np1/8/4P3/1NN1B3/PPP2PPP/R2Q1RK1 b - -,d7d6
2r1rbk1/1q3pp1/pp1p3p/3Np3/PPP1P3/3Q1P2/6PP/R2R2K1 w - -,a4a5
r2qk2r/1pp1npp1/p1b1p2p/2P1P3/nP6/P2B1N2/3BQPPP/2R1R1K1 b kq -,a4b2
8/8/2pk2p1/p3ppNp/2P4P/6PR/1K6/3r4 w - -,g5f7
3r4/p1r2kpp/1p2pp2/3n4/3P1PP1/2PN3P/PP6/4RRK1 w - -,e1e2
8/8/3Q4/p2Ppk2/2P5/2K5/1P3q2/8 b - -,f2d4
8/3B1Q2/1pNqnp2/p2pk3/6b1/1P4P1/2P5/1K6 b - -,e5e4
4r1k1/5p1p/p2q2p1/1p1Pr3/3Rp3/1P2Q1P1/5P1P/3R2K1 w - -,b3b4
rn3rk1/ppq1ppbp/2pp1np1/8/2PP4/1QN1PB1P/PP1B1PP1/R3K2R b KQ -,e7e5
3r1rk1/1p2nppp/pq2p3/8/2P2P2/5QP1/PP1N3P/R2R2K1 w - -,f3f2
8/4nk2/6p1/pR4P1/4BPK1/4r3/8/8 w - -,e4c2
1r3rk1/pp2bpp1/2p1pn1p/3p1b2/3P4/1NP2NP1/PP2PPBP/2R2RK1 b - -,f6d7
8/8/1P1k4/3B2N1/4K3/4P1b1/8/3b4 b - -,d1c2
q5k1/1b6/8/1pb1p1p1/2p2nP1/2N2NQ1/1PP4P/4KR2 b - -,a8a1
r2qkb1r/p5pp/2pp1n2/1p3bB1/3Q4/1BN5/PPP2PPP/R3K2R b KQkq -,h7h6
4n2r/3r4/p2p1pk1/P1pPpN2/1pP1PPPP/1R6/6K1/5R2 b - -,e5f4
r1bq1rk1/4ppbp/pp3np1/6B1/P2P4/1Bn2N2/1P3PPP/R2QR1K1 w - -,b2c3
r2r2k1/1p2b2p/1np2p2/3p1bp1/p2P4/P1N1PNP1/1P3P1P/R3RBK1 w - g6,a1d1
6k1/8/7P/6K1/5P2/8/8/8 w - -,g5f6
8/4kp2/2R3p1/4P2p/5P1P/6PK/r7/8 b - -,a2f2
3r2k1/pp1r1pp1/2p4p/7q/8/PQ2P3/1P3PPP/2RR2K1 w - -,d1d7
4r1k1/5Rnp/1p4pB/1p1pP3/3P2P1/2P2P2/5R1P/6K1 b - -,g8f7
