8/8/1N5k/8/2R4P/4P1P1/2p1K3/1r6 w - -,c4c2
r1bq1rk1/pp1nppbp/2p2np1/4p3/3P4/2N2N2/PPP1BPPP/R1BQR1K1 w - -,d4e5
1Q6/2K5/8/3r1kp1/6p1/8/6P1/8 b - -,d5e5
r2qk1nr/pp3pbp/2n1p1p1/1B1p4/3P4/2N2Q1P/PPP2PP1/R1B2RK1 w kq -,f1e1
8/1B2pp2/8/2K1k1p1/8/8/2P4P/8 w - -,c2c4
r3r1k1/1bq2pbp/p5p1/2pnn3/PpN5/3B2NP/1PPB1PP1/R2Q1RK1 w - -,a1a2
3b4/3Pk3/7K/5BpP/6P1/8/8/8 w - -,h6g7
8/8/8/k7/7K/7P/8/8 b - -,a5b5
7r/1rpp4/4k1p1/2p3Pn/p1P2pN1/1PR1PP2/P3K3/6R1 b - -,a4b3
r3k1r1/1pp1bp2/8/p3p2p/1nPpP1n1/1P1P2PB/P1N2PK1/R1B2R2 w q -,c2b4
8/3r1pkp/6p1/3Nn3/1p2P1nP/1Pp2PP1/P5B1/3R2K1 b - -,g4e3
1k5r/8/PP6/2P5/5R2/3K4/8/8 b - -,b8a8
5r2/5kp1/3bp2p/3n1p2/2pP4/2B5/1P3PPP/R4NK1 b - -,d6b4
7k/6pp/3N1p2/8/8/6P1/5PKP/1r6 b - -,b1a1
r1b5/1p3rkp/2p2pp1/p3pP2/1q1pP1PP/3P4/PPPQN3/2K3RR w - -,c2c3
6N1/8/2p3p1/R7/P3pk2/1P3n2/2r5/5K2 w - -,a5a8
8/5Q1k/4p1p1/4P3/6P1/1p3bK1/1P6/7q b - -,h7h8
6k1/5p1p/2B3p1/2b5/1p6/2n1PNP1/3R1PKP/1q6 w - -,f3g5
r5k1/pp4pp/4p3/3pPpQ1/b1pP3P/P1P1B3/2n2PP1/2K5 b - -,c2e3
1k6/pbp1np2/1p2pNpb/4P3/1PP2P2/P4BP1/5BK1/8 b - -,b7f3
8/6pk/7p/3Bp3/1p2P2P/3q1RP1/6K1/8 b - -,d3e2
4Rrk1/p2q2bp/3p2p1/1p1P1n2/1Pp2B1P/5QP1/P1N2P2/1R4K1 b - -,d7e8
8/5kp1/p1b1p3/2B1P2p/5Pn1/1Np3P1/2P1r3/2R3K1 b - -,e2g2
3r2k1/5p2/6p1/1p4p1/1Pp1B1b1/6P1/8/2R2K2 b - -,d8d1
rn1qrbk1/1b3pp1/1p2pn1p/p1pP4/3P1B2/PPN2NP1/2Q1PPBP/R4RK1 b - -,e6d5
r3rnk1/ppn1q1b1/2ppbpp1/3P4/2P5/2N1BN1P/PP1QBKP1/R3R3 b - -,e6f7
rn1qk2r/pp2bp2/2p1pnpp/3pP3/3P3B/2N2B1P/PPP2PP1/R2QK2R b KQkq -,f6d7
2r2rk1/1q2bppp/p1bppn2/1p6/4PP2/P1N1BB2/1PP1Q1PP/2R2R1K w - -,e3d4
2r2rk1/3nqppp/1p2p3/pN2P3/7R/6P1/4PPKP/Q3R3 w - -,e1d1
3r2k1/2pq2pp/p3br2/1p1p2Q1/8/1BP5/PP3PPP/3RR1K1 b - -,c7c6
r1bqk2r/1p3pbp/pn1p1np1/2pPp3/P3P3/N1N5/1PP1BPPP/R1BQK2R b KQkq -,c8d7
r2k3r/pp2bp1p/4ppb1/1B1p4/3P4/4B3/PPP2PPP/1K1R3R w - -,h2h4
2r3k1/pp2qppp/4pb2/PQ1p4/8/1Pr1P2P/2P2PP1/1RR1N1K1 b - -,h7h6
rnb1k2r/pp2ppb1/2pp1np1/q5Pp/3PP3/2N1BP2/PPPQ3P/R3KBNR b KQkq -,f6d7
1r3rk1/1p3ppp/p2p2n1/3Np3/P1P1P3/3B3q/1P3P2/R2Q1RK1 w - -,f2f4
1r6/1r2k2p/pq1n1ppP/Rb1Pp3/2p1P3/2P2P2/2NQ2P1/R2B1K2 b - -,b7c7
4b1k1/R1R3p1/p6p/4r3/P6P/4N3/5PPK/1r6 b - -,h6h5
1r5k/6R1/2b1p2p/3pP2N/2nP3P/2P2N2/r5P1/6K1 w - -,g7c7
1r3rk1/pbqnppbp/2pp1np1/1p6/5P2/2PP1NP1/PPN1P1BP/R1B1QR1K w - -,e2e4
r2q2k1/2n1rpbp/1B1p2p1/pNP4n/4P3/5P2/PP3QPP/3RR1K1 b - -,c7b5
8/5pp1/4k2p/2K5/1p6/1P4P1/3R1P1P/1r6 w - -,c5b4
5r1k/6np/6p1/4Q3/2B2P1q/PP2P3/7P/5RK1 b - -,h4h3
7k/7q/p6B/Pp6/3bP3/7Q/2p3P1/7K b - -,d4g7
3rr2k/1qp2pbp/1p1pnnp1/pP2p3/P1P1N3/B1NPP3/4QPPP/2R1R1K1 b - -,b7a8
r2qnrk1/4ppbp/Bnpp2p1/p7/3PP3/2N1B2P/PPQN1PP1/R4RK1 b - -,a8a6
rn1q1rk1/1b1nbppp/p2pp3/6P1/N2NP3/4BP2/1PPQ3P/R3KB1R w KQ -,f1g2
r2r2k1/p5pp/1p2np2/8/4N3/2P3P1/PP5P/3R1RK1 b - -,g8f8
5k2/4q3/1n4p1/Q1b5/1p1p1Pp1/3P1B2/2P2BK1/8 w - -,f3g4
1r2r1k1/1bp2p2/3p2p1/pP2P2p/PbPp1P2/1N4PP/2B1RK2/3R4 b - -,d6e5
2r3k1/1p2b1pp/1Q6/2Pq4/4ppPP/1P6/P4BPK/4R3 w - -,e1d1
r1bqk1nr/pp2ppbp/2np2p1/8/2P5/6P1/PPN1PP1P/RNBQKB1R w KQkq -,f1g2:b1c3
8/8/1R6/pB6/Pkpr4/7K/7P/8 b - -,c4c3
r1bk4/pp1n1pp1/3N2r1/q2p4/P2Pp1p1/Q3P1P1/3N1P1P/R3K2R w KQ -,d6f7
2q2rk1/2r3pp/p3bp2/2b5/1pp1PP2/5N1P/PPP1Q1BK/R2R4 b - -,c7e7
rnbqk2r/ppp1bppp/4pn2/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3
2rq1r1k/pR6/2p1Q1p1/2P4p/3P3P/P7/2P2P2/1R4K1 w - -,e6g6
8/8/5k2/6P1/1p2RP1p/1Bb2K1P/P2r4/8 b - -,f6g6
8/1b6/1p1Bnk2/5p1p/B7/4KPP1/P7/8 w - -,f3f4
r1b1k2r/1p2bp2/p3pn2/2n3p1/1q2p1P1/1NN3BP/PPP1Q3/2KR1B1R w kq -,b3c5
8/nB3p1p/PR4p1/4k3/r7/7P/6P1/6K1 b - -,f7f5
2q5/p1r2bk1/3Rp1n1/3pPpPp/1QpP1P2/2P1NK1B/2P5/8 w - -,b4a5
1r6/8/1Pk3P1/3p4/3K4/1R6/8/8 w - -,b6b7
3rr1k1/1pq2pp1/2pbp2p/p7/P1PP4/1P1R1N1P/4QPP1/3R2K1 w - -,e2d2
7k/1q3pp1/p6p/1b1pPN2/1P2r3/R1P1Q2P/6PK/8 w - -,e3g3
2B2Q2/7p/3p2p1/2pNn1k1/3q4/8/1r3PPP/5RK1 w - -,h2h4
rn1q1rk1/pb1p1pbp/1p3np1/2pp4/2P4N/2N3P1/PPQ1PPBP/R1B2RK1 b - -,b8c6
r2qrbk1/1ppn1b2/p1n3pp/P4p2/3Pp3/Q1N1PP2/1P1BB1PP/3RNRK1 w - -,a3a4
8/7k/3Bp3/r3P2p/P1p1b1p1/2P1P3/6pP/R5K1 w - -,d6c7
k7/1R6/r7/1P6/8/8/6pK/8 w - -,b5a6
8/p1k4p/4p3/5p2/5P1P/2p1PNKB/P2r3P/8 b - -,d2d1
2r5/1p2kppp/p4n2/2b1p3/4P3/2P3PP/1P3PB1/2BR1K2 b - -,c5b6
2r2bk1/1R3ppp/8/6rn/3BP3/3p2PP/3N1P1K/R7 b - -,g5g6
8/1R6/8/6P1/r7/2k1K3/1p6/8 b - -,a4b4
r4rk1/1p1n1ppp/p2pp1n1/q7/2BP4/2P5/PPQ1NPPP/R4RK1 w - -,f2f4
8/4k3/bp3p2/3pn3/r4pPp/5P1P/P6R/R4K1B w - -,f1g1
3r2rk/pbnn2qp/1p1p1pp1/2pPp3/2P1P2N/1PR5/P2Q1PPP/1B2RNK1 b - -,b7c8
2r2rk1/p7/q3pp1p/2bp2p1/2P1n3/1P4BP/PQ2NPP1/R3R1K1 b - -,f6f5
3r4/pkq2ppp/2p1pn2/8/2P5/P1N2Q2/1P1r1PPP/3R1RK1 w - -,d1d2
r3n2k/p4r1p/5p2/2p2Np1/1p5P/1P6/PBP5/2KR3R b - h3,g5g4
r3k2r/1b1pbppp/p1q1pn2/3N4/Pp2P3/3B1Q2/1PP2PPP/R1B1R1K1 w kq -,d5e7
8/8/p7/2P1p3/1P1KNk1r/7P/6R1/2r5 w - -,d4d5
2r2rk1/1b3ppp/pq2p1n1/1p2P2Q/1PpN4/P5P1/5PBP/2RR2K1 b - -,b7g2
r1b1rbk1/1pq2pp1/2P2nnp/pN6/2P1p3/P1N1BP2/2Q3PP/2RR1BK1 b - -,c7c6
r3qrk1/np2b1p1/1n2p2p/3pPp2/pP1P1P2/P1N1BR1P/6PN/R2Q2K1 b - -,a7b5
1r6/2R1n3/p3k3/P3p3/6p1/6P1/1P1R4/3K4 w - -,c7a7
1R2r1k1/6p1/4n1p1/3B4/8/2b3B1/5P2/5K2 b - -,e8b8
8/p1R2k1p/4p3/6p1/4nrP1/1P5P/P5K1/5B2 b - -,f7f6
1bb1r1k1/1p3ppp/2p3r1/Q1P1p3/2B4q/1P2P1N1/P4PPP/R2R2K1 w - -,d1d2
