8/4kp1p/3R3P/1p2P3/2bB3r/2P1K3/8/8 b - -,e7e8
r1bq1rk1/pp6/3p3p/N2P2p1/1Q1PRp2/2P2NB1/5PPP/6K1 b - -,f4g3
r3kn1r/pp1bb1p1/2p1p1n1/3pPpNp/PqPP3P/1P1B1NP1/1B2QP2/R4K1R w kq -,e2c2
r2q1rk1/1b2bpp1/p2p1n1p/npp1p3/4P2B/2PP1N2/PPB2PPP/R2QRNK1 b - -,f8e8
8/2P5/7p/NK3np1/1P6/2k4P/8/8 b - -,f5d6
8/5pk1/6p1/8/R5K1/2Nr4/8/8 b - -,d3c3
r1b2rk1/1pp1q1bp/3p2p1/pNnPp3/1nP1P1P1/4B2P/PPB3N1/R2QK2R b KQ -,e7f7
2rq1r2/6kp/p4npb/1p1p4/1N1Np2Q/2P3P1/PP3PBP/5RK1 b - -,d8b6
2rq1r1k/5p1p/4pp2/1p1n4/6RP/PQ3N2/5PP1/4R1K1 b - -,d8a5
5rk1/1qbn1pp1/2p1pnbp/1pPp4/1P1P4/1Q1NPN1P/4BPP1/B3K2R w K -,e1g1
1R6/8/8/2kp4/3n4/2K5/2P5/8 b - -,d4c6
3r2k1/3P1pp1/7p/1p2Q3/8/qP1P3P/1R4PK/8 b - -,a3f8
3rnrk1/5pbp/p1qpp1p1/1P6/N3P3/1P3Q2/PB3PPP/3RR1K1 b - -,a6b5
rnbq1rk1/p3ppbp/1ppp1np1/8/P2PP3/2N3PP/1PP1NP2/R1BQKB1R w KQ -,f1g2
8/1k6/1R6/2P1Bp2/4bP2/r7/3K4/8 b - -,b7a7
8/5p1k/2P2P2/5N1p/5br1/R2K4/8/8 b - -,h7g6
2rq1rk1/pb3pbp/1pn1p1p1/1B6/3P4/2P2NB1/P3QPPP/1R2R1K1 w - -,b1c1
r4rk1/pbqnbppp/1p1p4/2pP4/2P2B2/3Q1NP1/P3PPBP/R4RK1 w - -,f3d2
r1b1k2r/pppn2pp/3bpq2/3p4/1n1P4/3BNN2/PPP2PPP/R1BQ1RK1 b kq -,b4d3
1r2rk2/5p1p/2N1p1p1/p2p4/3B4/P1qB1PPP/6K1/R7 w - -,d4c3
R6r/3n2bp/1p2kpp1/4p3/8/1P3N2/1P3PPP/2B2K2 w - -,a8h8
8/b7/8/1k1K2p1/1P1p4/1B1N3P/5P2/8 w - -,b3c4
r1b1nrk1/pp3ppp/3bp3/2q1N3/5B2/2P3P1/P3QPBP/R4RK1 w - -,c3c4
1q6/r4kpp/1ppPrn2/2P2QN1/1P6/8/5PPP/5RK1 b - -,f7f8
5bk1/1bP2p1p/p5p1/4p3/8/5P2/P3B1PP/3R3K b - -,f8e7
8/8/3r4/8/1P2k1p1/1KP2R2/6P1/8 w - -,f3f2
r1r4k/p2Q2pp/1b1B2q1/1P3p2/4p3/1B3P2/P6P/3R1R1K w - -,f3e4
1r4k1/2p1q1bp/r1npp1p1/2n1P3/3N1PP1/pPB1Q3/P5BP/1KR4R b - -,c6d4
r4nk1/1p2b1p1/1qn1p2p/p2pP3/3P3P/PP1bBN2/5RP1/RQ4K1 w - -,b1d3
5R2/8/8/5n2/5k2/8/1r6/4K3 b - -,b2a2
3r1k1r/1B3pp1/p4n2/1q6/3b1Bbp/1Q6/PP4PP/2R1R2K w - -,b3a3
4brn1/4q2k/3p1ppb/1p1Pp2p/1Pp1PP1N/2P1B1QP/1nB1N1P1/R6K b - -,b2a4
3r4/Q4pkp/1p1q2pN/3pp1P1/8/8/5PKP/1B6 b - -,d8d7
r4rk1/pp2nppp/2bqpn2/6N1/3P4/3BB3/PPQ2PPP/R4RK1 b - -,h7h6
r1bqk2r/pp1p1ppp/2n2n2/4N3/1bPPp3/P1N5/1P3PPP/R1BQKB1R b KQkq -,b4c3
r2qrbk1/pp1b1ppp/3p1nn1/2pPp3/2P5/1PN1P1PP/PB1QNPBK/R2R4 w - -,d1f1
2rqr1k1/1b1n1pbp/pp1ppnp1/1P6/2PNP3/2N1BP2/P2QB1PP/1RR3K1 b - -,a6a5
r2qk2r/ppp1nppp/2nb4/1N1p4/3P2b1/3B1N2/PPP2PPP/R1BQ1RK1 b kq -,a7a6
3k4/3P4/r3K1p1/6Pp/7P/8/p7/R7 w - -,e6f7
3r4/1pnr1kpp/p1p2p2/7P/3p2P1/5NK1/PP1R1P2/3R4 w - -,d2d4
8/1p2rp1p/p1bk1np1/P2p1p2/3P1P2/1PP1NBP1/3K3P/3R4 w - -,d1e1
r2qkb1r/pp3ppp/2b1p3/3NP3/8/3B4/PP3PPP/R1BQR1K1 b kq -,d8d5
8/pb4kp/1p2R1p1/8/8/1P3P1P/P2rBNPK/2r5 b - -,c1c2
8/4k3/2K3p1/3PPpNp/5P2/7P/3b4/8 b - -,d2a5
4r3/pp3kpp/2p1r3/1P1p1p2/P2P4/2P2nP1/4R2P/2B1R2K w - -,e2e6
1r1qrbk1/3b1ppp/3p1nn1/1ppP4/2P2P2/1PNB3P/2QBN1P1/4RRK1 w - -,e2g3
3r2k1/5pp1/3q3p/3P4/1pQ5/1P1R2PP/5P2/5K2 w - -,f1g2
r1b2rk1/pp3pp1/2p3qp/4p3/4Pn1N/1PPB3P/P1Q2PP1/3R1RK1 b - -,f4h3
r6r/p2kbnQp/n1p1b3/3p1p2/1p1P1B2/3BPP1P/qPP5/1NKR2NR w - -,g7g2
8/5kpp/3Rp3/p4p2/P4P2/1r2P3/5P1P/6K1 w - -,d6a6
1r1qr1k1/3nppb1/b2p2pp/n1pP4/Qp2P2B/P1P2N1P/BP1N1PP1/2R1R1K1 b - -,b4b3
r1b2rk1/ppp2ppp/2p2n2/8/3qP3/2bB4/PPP2PPP/R1BQ1RK1 w - -,b2c3
8/8/8/kr3Rp1/3R2P1/1P6/5K2/1r6 w - -,b3b4
4k3/p1r2pp1/1pp5/3pP3/6P1/2n1PK2/PPR2P1r/2R5 w - -,c2c3
4k3/8/4Rp2/n7/8/1r3N2/5P1P/6K1 b - -,e8f7
r5k1/4b1p1/1q2p2p/1p1p4/1P2p3/1Q2P1P1/4BPKP/2R5 b - -,g8h7
r1bq1r1k/2nn2bp/p2p4/3PppN1/NP6/1Q6/R4PPP/2B1RBK1 b - -,a8b8
8/2k5/3r2p1/2r1p2p/P3R3/1BP5/2P3PP/2K5 w - h6,b3c4
r3k2r/1q3pp1/1N1Qpn1p/8/6P1/1P3p2/2P4P/2KR1R2 b - -,a8b8
6k1/5pbp/1n1pp1p1/2p5/r1P1PPP1/1P5P/2RN2K1/2B5 b - -,a4a1
4B3/2r2pk1/1p3b2/p5pp/Pr2R3/6PP/4RPK1/8 w - -,e8b5
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2N2P2/PPP1P1PP/R1BQKBNR w KQkq -,c1g5
r6r/2p1k1p1/p1nbpn1p/1p2p3/4P3/2NNBP2/PPP3PP/2KR3R w - b6,a2a3
r2qk2r/1bpnpp1p/p2p2pb/1p1Pn3/3BP3/P1N2N2/1PP1BPPP/R2QK2R w KQkq -,e1g1
r1bq1rk1/ppp2pbp/6p1/3pP3/3PnP2/6P1/PP4BP/RNBQ1RK1 w - -,b1c3
2Q2bk1/5p1p/6p1/1P6/2Q2P2/6PP/3q1rBK/8 w - -,c8b7
2kr3r/1p1bnp2/p3p2p/qn1pP2P/2pP3N/P1P1B3/2PQBP2/R3K1R1 b Q -,d8g8
r2qkbnr/pp1npppp/2pp4/7b/3PP1P1/2N2N1P/PPP2P2/R1BQKB1R b KQkq g3,h5g6
3r4/7p/1p2kp2/8/P2pPK2/1P6/3R3P/8 b - a3,d8d7
r1b1k2r/p3ppbp/1qpp1np1/8/4P3/1BN2P2/PPP3PP/R1BQK2R w KQkq -,d1e2
4rrk1/1ppb2pp/p1n1p3/1B1n4/3PN1p1/P1P5/1P1B1P1P/2K1RR2 w - -,b5a4
r1r3k1/2q2p2/3pp1p1/n1n4p/1NpNP2P/2QP2P1/5PK1/1RR5 w - -,d4b5
6k1/4n1b1/2np2pp/p1p1p3/4P1P1/2PPB1NP/P1R2KB1/1r6 b - -,g8h7
3r1rk1/pp3pbp/6p1/1q6/1Pp1b3/P3R3/3N1PPP/2BQ1RK1 b - -,c4c3
8/4bp2/7p/3k3P/5PP1/1n6/4KN2/8 w - -,e2f3
r2r2k1/pbpnqpbp/1p1ppnp1/8/2PP1B2/2N1PN1P/PPQ1BPP1/R2R2K1 w - -,f4h2
3q2k1/1b4r1/1p2p2p/p2pPn2/P3nQ2/BP1B3P/2P4N/3R1K2 b - -,f5g3
r1b2rk1/p3q1bp/1p3pp1/2p2pB1/7Q/1PNP1N2/1PP3PP/R4RK1 b - -,f6g5
r2q1rk1/1pp1ppbp/p1np2p1/8/2PPb3/5NPP/PP2PPB1/R1BQR1K1 w - -,e2e3
4r3/3Rr1k1/4P1pp/6b1/8/P4RPB/6KP/8 w - -,a3a4
r2qk2r/ppp1bppp/2np1nb1/4p3/2B1P1P1/2NPBN1P/PPPQ1P2/R3K2R b KQkq -,d8d7
rqb2rk1/1p1nppbp/p4np1/8/Q2N4/2P1BN2/PP2BPPP/R4RK1 b - -,b7b5
r3kn2/pbp4p/1p2p1r1/3PQ1B1/3P4/2P2BR1/P4P1q/R3K3 b Qq -,f8d7
r3r1k1/pbq2ppp/1p2pn2/4n3/2PP4/3BQ3/PB3PPP/R3R1K1 w - -,d4e5
r2q1rk1/p2b1pb1/1p1p2np/2pPp1p1/1P2P3/PN1P2P1/5PBP/1RBQ1RK1 w - -,c1d2
r1b1kb1r/p3pppp/2pq4/3p4/4n3/4BN2/PPP2PPP/RN1Q1RK1 w kq -,h2h3
3r4/Qp3p2/2q1k2p/4Pp2/8/2P2RP1/P4P2/6K1 w - -,a7e3
