1r6/R5p1/2KP1kp1/4p3/8/1p5P/P5P1/8 w - -,a2b3
3r2k1/Q4pp1/4p2p/4P3/8/1qN2nP1/RP3P1P/7K b - -,b3c4
4r3/5pk1/1qn1b1p1/1p2n1Q1/1Pp5/P1N5/4B1PP/2R1K2R w K -,c3e4
r4rk1/1p3ppn/2p4p/p4Q1P/3P1NP1/2P2P2/qP6/2KR3R w - a6,h1e1
8/2p3pR/8/2B1r1p1/pP2p1k1/P1P2n2/5P2/3K4 w - -,h7g7
r1b1k2r/pp3pbp/6p1/2p1P3/4P1n1/2P5/PP1N2PP/R1BBK2R w KQkq -,d1g4
r4rk1/p2b1pbp/2p1p1p1/q2pP3/3Pn3/1Q2BN2/PP3PPP/R2N1RK1 w - -,d1c3
r6k/6q1/3p2np/3P2p1/1p2Pp2/1PnQ1P2/r2R2NP/4RN1K w - -,d2a2
4r1k1/pp4bp/2p1q1p1/2p2p2/2P3n1/1PN2BP1/P1Q1PP1P/3R2K1 b - -,g4e5
r2qk2r/ppp2p2/3pb2p/2b1p1p1/4Pn2/3PNN1P/PPP2PPB/R2QK2R w KQkq -,d3d4
r6r/1b1q2k1/2n1p1p1/p1pp2Bp/1p5P/2PPP1PB/PP2Q3/R4RK1 b - -,h8f8
r5k1/p1rN2pp/1p1b4/1B1b3n/P2P4/2P1R1PP/1P3P2/R5K1 b - -,a8d8
4q3/2p1rpk1/3prnp1/2p4p/1P2PP1P/3Q1BP1/4R1K1/4R3 w - -,b4c5
r3rbk1/5pp1/3p1nnp/qppP4/4P1B1/1PQ3BP/3N1PP1/4RR1K w - -,c3c2
r1rn2k1/4q1b1/p3p1B1/1p1pP1NQ/2nP4/P5P1/1P3PK1/R6R b - -,a8a7
6k1/5pnp/p2b2p1/1p6/1PrN4/P3R2P/2P1R1K1/8 w - -,d4f3
r5k1/3b2pp/p2pr3/8/4pP2/2P3P1/P5BP/1R1R3K b - -,d7c6
r4rk1/1b3pb1/p1qppnpp/2p5/P3PPP1/1PNB3P/2PBQ3/R4RK1 w - -,a1e1
r2q1rk1/1b1nbppp/4pn2/ppPp2B1/8/2P1PNP1/PP1NQPBP/R4RK1 b - -,d7c5
7r/ppkb4/5pB1/6pp/2pP4/2n3PP/P4KP1/2R3N1 b - -,c3d5
3r4/4kp1r/2q1p2p/p1p3pQ/1pP5/P3R1P1/1PP2P1P/3R2K1 w - -,d1d8
r1bqk2r/3pppbp/p1p2np1/2p5/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,c1e3
2r1r3/3R1pk1/p3pp1p/1pb5/n7/2P1NN2/PP3PPP/1R4K1 w - -,f3d4
3rk2r/ppqn2p1/2pbp1Q1/6P1/2PP3P/4B3/PP2KP2/R6R b k -,e8f8
3q2k1/3Pbppp/p2p1n2/4p3/Nr2P3/8/4BPPP/2BQ1RK1 b - -,f6e4
8/p4pk1/3rnbp1/4p2p/qP2Q2P/P1RPP1P1/5P2/3R2K1 w - -,d1c1
3rn1k1/1q1r1pb1/p5pp/1p2p3/6QP/P1P1B2N/1P3PP1/R3R1K1 w - -,h4h5
nr3rk1/2qbppbp/p2p1np1/1PpP4/P7/1P1NP1P1/1B1QNPBP/2R2RK1 b - -,a6b5
8/p3kn2/1pp2pp1/7p/1P2PP1P/3KN1P1/P7/8 w - -,a2a4
r2qr1k1/pp3pbp/2n2np1/1QBp1P2/8/2N5/PPPN2PP/3R1RK1 b - -,d8c7
8/pp4p1/4p1k1/3pP1P1/6pP/8/PPb3K1/5N2 b - -,d5d4
r2r1q2/1pbb1p1k/2p1p1pp/p3P3/2P2B1P/P3Q1P1/1PB2P2/3RR1K1 w - -,h4h5
2r1r3/3Rb1k1/2n1P2p/1p3p2/5N2/P5P1/5BKP/R7 w - -,a1c1
3rk2b/2R2p2/3r1pbp/4p2N/6P1/6N1/1PP4P/1K1R4 w - -,d1d6
q5k1/r7/np3Q1p/p1pR4/2p5/P7/1P3PPP/4R1K1 b - -,g8h7
1rbq1rk1/4ppb1/1n1p2p1/1BpPn1Np/4PP2/1PN3BP/2PQ2P1/R3R1K1 b - f3,e5d7
r7/2p1kp1p/4b2R/1p2r1p1/4P3/1PPB3P/P5P1/5RK1 w - -,d3b1
r4rk1/pp2ppbp/1n4p1/8/3qP3/2N2BP1/PP2QP1P/R2R2K1 b - -,d4e5
r5k1/2pb1ppp/pp3n2/3Pb3/2PN4/2N4P/P4PP1/3R1BK1 w - -,f1e2
r3rbk1/1p3pp1/2p1bq1p/N4p2/3P4/P1QBP3/1P3PPP/2R2RK1 b - -,e6d5
8/8/6k1/5pp1/1p6/1P2KN1p/2r5/7R w - -,h1h3
1r6/6k1/3b4/3P1p1p/5P2/p4KPP/B1R2P2/8 w - -,c2c6
7b/7P/8/8/1ppk1p2/5B2/P2K4/8 w - -,f3g2
r6r/pp1bkppp/2n1pn2/1Nb5/2B5/4PN2/PP1B1PPP/R2R2K1 w - -,a1c1
2kr1b1r/pp3pp1/2n1b2p/3p3q/3P1Q2/1BP2N2/PP4PP/R1B2K1R w - -,f4g3
3R1rk1/pp2bpp1/2b2n1p/1n6/4p3/2N1B1PP/PP2PPB1/2R1N1K1 b - -,f8d8
2kr3r/1p1bnpq1/pn2p1p1/3pP1Np/2pP1PP1/2N4P/PPP2Q2/1K1R1BR1 w - -,f2d2
1rbrn1k1/2qp1ppp/p1n1p3/6P1/1p2P3/1NP1BP2/P1P2Q1P/1K1R1B1R w - -,c3c4
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PPP3/1PN2NP1/PBQ2PBP/R4RK1 b - e3,f6e4
r1bq1rk1/ppp2pbp/2np1np1/4p3/4P3/2PP1NP1/PP3PBP/RNBQ1RK1 w - -,b1d2
r4b1r/1kp1nppp/1pp1N3/p3P3/P5P1/3R3P/1PP2P2/1NBR2K1 b - -,f7e6
8/1q5k/8/4QPpp/8/1p3P1P/1P4K1/8 b - -,b7d7
8/8/2p3k1/4R1B1/2pK1P2/2Pb4/8/3r4 w - -,e5e6
r2r2k1/p1q1npbp/1p4p1/2pPp3/4P3/2P2PB1/P2QBP1P/3R1RK1 b - -,e7c8
2r1rnk1/1p2bppp/pq1p4/3Pn2P/3N2P1/6B1/PPPQ4/1K1R1B1R w - -,g4g5
r4rk1/2pb1qpp/1p1p1n2/3P1p2/1PPBpP2/2Q1P2P/4B1PK/R5R1 b - -,f7e7
r5k1/pR1Rnpp1/5b1p/8/P7/1P2P1P1/5PKP/8 b - -,g8f8
k2rr3/pq4p1/1np1p1Qp/7P/6n1/6P1/PP1BNP2/2KR4 w - -,g6g4
8/4Q1pk/3p2Np/2pP1P2/P2n2P1/7P/6q1/3K4 b - -,g2h3
1r3rk1/2p1qp1p/p2p1npb/8/3P1P2/2PB1R1P/P1P1N1Q1/R4K2 b - -,d6d5
rnb1k2r/pp3pb1/2pppq1p/1B4p1/3PP3/2N5/PPPQ1PPP/2KR2NR w kq -,b5e2
4r3/6kp/pn2q1p1/1n1p4/2p3N1/7P/1P1Q1PP1/1B1R2K1 b - -,g7h8
5k2/3r4/2p3PK/ppp5/P1P1R3/6P1/1P6/8 w - -,c4b5
r3qr2/ppp2nbk/3pb1pp/PP2pp1n/4P3/B1PP1NP1/1Q1N1PBP/R3R1K1 b - -,e8d7
r2qr1k1/ppp2pbp/3p2p1/2n5/b1P1P3/1N4PP/PPQB1PB1/R3R1K1 w - -,d2c3
r3r2k/4bp1p/p1qpp3/2p1nPP1/P3N3/1P6/1BP3QP/R4R1K b - -,e7g5
r4rk1/pb1pbppp/1qn1pn2/2p5/2P2B2/2N1PN1P/PPQ1BPP1/3RK2R b K -,d7d5
q4rk1/pbr1bppp/1pn1pn2/3p4/2PP4/1P1BQN2/PB1N1PPP/2RR2K1 b - -,f8c8
4r1q1/2kbbR1R/1r1p1p2/p1pPp3/PpP1P1P1/1P1B1QN1/5PK1/8 w - -,f7e7
4r1k1/2p3pp/1p1q4/5Q2/2b1p3/4B3/PP4PP/5RKR w - -,f1e1
r6k/3bRBpp/5n2/1p6/8/2N2P2/1P4PP/6K1 b - -,g7g6
r4rk1/4qppp/p3pn2/1pb3B1/4b3/5NP1/PP2PPBP/R2Q1RK1 w - -,f3e5
r7/pp3k1Q/3p1p2/q1p5/2P1p3/P1P5/6PP/R5K1 b - -,f7e6
1rb2rk1/5pbp/p2q4/4npP1/pP1N4/4B1Q1/P3B2P/R4RK1 w - -,a2a3
1rb1k2r/3n1ppp/pqn1p3/1p1pP3/1P3P2/P4N2/R1P1NQPP/4KB1R b Kk -,b6f2
r4rk1/pp4pp/2b1pq2/2P1np2/1PN1p3/P3P3/2Q1BPPP/R4RK1 w - -,c4e5
1r1rb1k1/1nq1bppp/p3p3/1p3P2/3NB1P1/1PP1B2P/P4Q2/2R2R1K b - -,e6e5
4r1rk/1p3qp1/pbbB4/3pn2p/1PP1p3/P3N2P/3QBPP1/4RRK1 b - c3,e5c4
8/6k1/2B3p1/3p3p/1P6/r3rN1P/6PK/8 b - -,e3d3
r1b2rk1/1pp3pp/1pnp4/1B2p3/1P2PBqN/2P3P1/P1Q2P1P/R3R1K1 b - -,e5f4
r1b1r2k/Bpp2pp1/p4q1p/n3p2P/4P3/1BP2NQ1/PP3PP1/3RR1K1 b - -,a8a7
