8/1Q3pk1/P6p/4p1p1/3q4/6PP/5P2/2K5 b - -,d4f2
5Q2/1pp4k/p1np2p1/3P4/6q1/4B3/PPP2PP1/2K5 b - -,c6e5
r1b2rk1/ppq2pbp/2pp2p1/P6n/4P3/2N1BB1P/1PP2PP1/R2Q1RK1 b - -,f7f5
1bb5/4kp2/1P1p1n2/3Pp3/2N1Pn2/1BP3NP/r4PP1/1R4K1 b - -,a2a6
1r1r3k/pp1q2bp/3n2p1/3p1p2/2P2P2/B3P3/P2Q2BP/2R1R1K1 w - -,d2d5
8/6pk/PR3p1p/4p3/r7/6P1/4PPKP/8 w - -,f2f3
r1bq1rk1/pp2bp1p/2n1p1p1/3n4/3P4/2N2Q2/PPB1NPPP/R1B2RK1 b - -,e7f6
3r2k1/3r1p1p/1p3ppb/1N6/Pp6/1B5P/1P3PP1/3R1RK1 w - -,d1d7
8/2R3kp/4p3/3p1p2/1P2nP2/P3R3/1q2N1PP/6K1 b - -,g7g6
1r5r/2p3k1/1n1b1ppp/4p3/p3P1bB/2P1RN2/BPK2PPP/3R4 w - -,h2h3
5rk1/pp1qbpp1/7p/3p4/3B4/2N5/PPP2PPP/R3R1K1 b - -,f8c8
8/8/3k4/1K6/8/3N4/3n4/1r6 w - -,d3b4
r2q1rk1/1bp2ppp/1pn1p3/2Pp4/Pb1PnB2/1Q3NP1/P3PPBP/RN3RK1 w - -,a2a3
r2qr1k1/1p1n1pbp/2p1pnp1/4N3/p1PPb3/1P3NPP/PB3PB1/R2QR1K1 b - -,e4f3
1rrb2k1/1q1b1ppp/2np1n2/1p2P3/p3P3/P2BBN1P/1P1NQPP1/2R1R1K1 b - -,d6e5
2R2bk1/1p3ppp/2b1p2B/3p4/1q5P/3P2Q1/5PP1/6K1 b - -,g8h8
r2r4/1b2kpp1/pb2p2p/1p2P3/3nBB2/2N5/PP3PPP/2RR1K2 b - -,a8b8
r2q1rk1/1p1bbppp/p1nppn2/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 b - -,a8b8
5rkb/1q2pp1n/3p2p1/Rp6/1Pp3P1/4nP1Q/8/5R1K w - -,f1e1
r2q1rk1/pb2bppp/1pn1p3/8/P1BP4/4BN2/2P1QPPP/1R3RK1 b - -,a8c8
8/8/3qk2p/PQ1p4/2p3p1/6P1/5PBP/6K1 w - -,a5a6
r1bq1rk1/pp2bppp/2n2B2/2p5/3p4/2NP2P1/PPP1NPBP/R2Q1RK1 b - -,e7f6
5k2/5p1p/3R2p1/1b4P1/p7/4N1K1/1r3P2/8 w - -,d6d8
r1bqk2r/pp2ppbp/2n3p1/3p4/2PP1B2/4PN2/P4PPP/R2QKB1R w KQkq -,c4d5
r1bq1rk1/pp3ppp/2n2n2/2bpp3/4P3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,e4d5
4r3/8/p5R1/1p1p3P/3kn1P1/P2B4/1PP3K1/8 b - -,e8f8
8/3k4/8/1K2p3/P4p1P/5P2/1P1n1B2/8 b - h3,d2f3
8/4kp1p/pp1p4/8/5P2/2P2KPB/PP5P/6b1 b - -,a6a5
r2qr1k1/1p3ppn/2p2n1p/1p1ppP2/4P3/2PPB1PP/PPQN4/R3R1K1 b - -,b7b6
8/5pk1/p2p2p1/P2P3p/4K1PP/5P2/8/8 b - -,g7h6
2r1k2r/1p2bppp/3pp3/pP4P1/4PP1P/2B5/1PP5/2KR3R b k -,c8c5
8/6b1/5k1p/4p2P/4Kp2/5N2/8/8 b - -,f6e6
rq3rk1/1p1nbppb/4pn1p/p1p5/2P1p3/PPBP1NP1/2QN1PBP/R4RK1 w - -,d3e4
3q1rk1/3bppbp/1r1p1np1/2pP4/2P5/2B1P1PP/N3QPB1/RR4K1 b - -,b6b1
2qr1rk1/ppp1bppp/4p3/2n1Pb2/2P2P2/P1N1B3/QP2B1PP/R4RK1 b - -,a7a5
8/kp5r/p7/3R4/4QP2/5KP1/8/5q2 w - -,f3e3
r3r1k1/1bp1q1pp/1p1b1p2/1P1p4/3Pn3/3BPN2/1BQ2PPP/1R3RK1 w - -,b1a1
8/3q2k1/5bp1/3b1p1p/1p3P1P/3QP1P1/5K2/2NB4 b - -,d7c6
4k1r1/4rb1R/p5P1/1p3P2/8/4Bq2/PPP2R1P/7K w - -,f2f3
5k2/3N1p2/6p1/8/1Pb4p/4P2P/5KP1/8 b - -,f8e7
2r2rk1/p1qn1pbp/2pp1np1/4p3/Q1PP4/2N1PB1P/P4PP1/R1B2RK1 w - -,a1b1
rnbqk1nr/ppp1ppbp/3p2p1/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,b8d7:g8f6:e7e5:b8c6:c7c6:c7c5:g8h6
5rk1/5pp1/1pR3p1/pn6/3P4/4n3/PP2N1PP/5RK1 b - -,e3f1
8/8/8/K4pQ1/P5p1/1p3k2/8/8 b - -,f5f4
6n1/5pp1/3k4/6p1/3P2P1/2K4P/5PB1/8 w - -,c3d3
8/3b3p/1R6/4np1k/8/5PK1/7P/8 b - -,e5d3
1r4k1/6pp/1n1bN3/3p1p2/2bP4/4B1P1/r4PBP/1RR3K1 w - -,e3f4
6r1/P2k4/R2P4/8/4P3/6K1/8/8 w - -,g3f4
r1b2rk1/p3qpbp/2p1p1p1/2N5/2BP4/4P3/PP3QPP/R4RK1 b - -,a8b8
6k1/2Q2p1p/6p1/5n2/3q4/7K/6B1/8 w - -,c7c8
8/6p1/2kr1Rp1/pp6/2p1R1PP/P7/1PK5/8 b - -,d6f6
8/2p2k1p/p7/1p3n2/1P3r2/P5P1/5P2/R4K2 w - -,g3f4
4r2k/p5b1/6p1/1P1b1p1p/q7/3Q1P2/2RB1N1P/6K1 w - -,c2c7
r2q1rk1/ppp1ppbp/1n3np1/8/3PP1b1/2NQ1N2/PP2BPPP/R1B1K2R w KQ -,c1e3
rnbqkbnr/pp4pp/4p3/3p1p2/8/2NP1N2/PP2PPPP/R1BQKB1R w KQkq -,c1f4
r1b1kb1r/1pqn1ppp/pn1pp3/6P1/3NPP2/2N1BQ2/PPP4P/2KR1B1R b kq -,b6c4
r4rk1/1b1nbpp1/pq1ppn1p/2p5/2P4B/2NQPN2/PP3PPP/1BR2RK1 w - -,b2b3
r7/6pp/8/pKP1k3/8/4p1PP/1p6/1R6 b - -,a5a4
r2q1rk1/pp1nppbp/5np1/3pP3/5P2/1QN1B3/PP2BP1P/R3K2R b KQ -,f6e4
1r2k3/5p1p/ppR3p1/P7/6P1/1N5P/1b3P2/5K2 b - -,e8d7
r6r/4kppp/p1p1n3/1p1bP3/8/8/PPB2PPP/R1BR2K1 w - -,c1e3
rn2kb1r/1bq1pp1p/p2p1np1/8/1p1NPPP1/3B1Q2/PPPBN2P/R3K2R b KQkq -,b8d7
r2r2k1/pp1nppbp/2p3p1/q3P2n/3P2b1/2NQBN2/PP2BPPP/3RK2R w K -,d3e4
r4r1k/bp2Np1p/p1ppqp2/4p2P/4P1N1/1PPP1Q2/1P3PP1/R3K2R b KQ -,e6e7
2q1rrk1/3bbppn/ppNp3p/2pP4/4PB2/P5PP/1PQ2PBK/R2R4 b - -,d7c6
r4rk1/1q3pb1/6pp/Rp1nN3/2pP2P1/2P2QBP/1P6/R5K1 b - -,a8a5
2r3k1/1p1n1p1p/1qr1pnp1/pN1p4/P2PP3/1P1B3P/2R1QPP1/2R3K1 b - -,d5e4
2rq2k1/1br2pbp/1p2nnp1/pP1p4/3P4/PB1Q4/1B2NPPP/R2R1NK1 b - -,f6e4
rnb1k2r/pppnqppp/4p3/3pP3/3P4/2N5/PPPQ1PPP/R3KBNR b KQkq -,a7a6
8/8/8/8/4k3/1R3p2/r6P/6K1 w - -,h2h4
3rr1k1/pb1q1ppp/4p3/2pn4/8/BP1BPQ2/P4PPP/2RR2K1 b - -,d5c3
6k1/1pp3r1/3p4/1p3KP1/1P2P3/2P5/P7/7R w - -,g5g6
8/p5r1/2p4R/2k1p3/2p2n2/P4P2/1PBK4/8 w - -,h6h2
2kr1b1r/pp3ppp/2n2n2/2pqp3/Q5b1/N1PP1N2/PP2BPPP/R1B1K2R w KQ e6,a3c4
2r2r1k/pp4p1/2n1b1Bp/8/3p1B2/1P6/P4PPP/3R1RK1 w - -,g2g3
2rr2k1/pb3ppp/1p2pq2/3pN3/2PP4/PP1R4/4QPPP/2R3K1 b - -,d5c4
2nrrn1k/pp2q1pp/2p1bp2/3p4/3P1PP1/2NBPN1P/PPQ5/4R1RK b - -,c8d6
3q1r2/2p3k1/P1p3pp/2R1pr2/1PRnN2P/6P1/Q4PK1/8 w - -,a6a7
2brk2r/4bp1p/1q1p1np1/p3p3/1P2PP2/3B1Q2/PP1B1NPP/4RRK1 b k -,a5b4
r1bq1rk1/2p1npbp/p1np2p1/1p6/3PP3/1B3N1P/PP3PP1/RNBQR1K1 b - -,c6a5
8/p1b4p/4k3/1p2pp2/1P6/P2KPP1P/3B4/8 w - -,d2e1
r7/2R5/3p1k2/1P2n2p/4Ppp1/2p2P2/2B1K1P1/8 b - -,a8b8
8/1B2k3/Pp2r1p1/5p1p/7P/r2P1KP1/4P3/1R6 w - -,b1c1
8/8/8/8/1b3kP1/1P2p3/4B3/5K2 w - -,e2d1
