8/4N3/3p2pb/3P4/5k2/8/4K3/8 b - -,g6g5
8/8/5k2/4pn2/5pRp/5P2/5NPK/5r2 w - -,f2e4
2r1rbk1/1pqn1ppp/p2p1n2/P4b2/4PRP1/2N1B3/1PPQB2P/R5K1 w - -,e4f5
6k1/pp3pp1/4bn1p/8/3P4/P4P2/3RB2q/4KR2 w - -,e2d3
6R1/p2r4/1p3rk1/2p5/2B4R/2P3P1/PP3nK1/8 b - -,d7g7
5rk1/3Q2p1/p3p1qp/8/6PP/4B3/PPK2P2/4R3 w - -,d7d3
rn1qkb1r/pp3ppb/2p1pn1p/3p4/4P3/3P2P1/PPPNQPBP/RNB2RK1 b kq -,f8e7
5k2/R4p2/7p/6p1/1P1N1r2/P1P2P2/4K2n/8 b - -,h6h5
8/5p2/2N1k3/7p/2b2Pp1/4K3/7P/8 w - h6,c6d4
5rk1/p3n1b1/2B1b2p/2p1P1p1/2p5/2P1B1P1/1r5P/R3RNK1 w - -,c6g2
r1bq1rk1/1pp2ppp/p1n5/2b5/2N1P3/1Q1P1N2/PP2B1nP/R1BK3R w - -,c4e5
rn3rk1/pp2ppbp/6p1/2p5/3PP1b1/q1P2N2/P2BBPPP/1R1Q1RK1 b - -,c5d4
3r1k2/p4p1p/4pn2/5p2/8/2P2PN1/PP3KPP/4R3 b - -,f6d5
3rn1k1/ppqrbpp1/1np1p1p1/8/3P4/1P3NPP/PBP1QPB1/3RR1K1 b - -,e7f6
6k1/5pp1/1p2p1b1/2n1N2p/p3PP1P/P1Q3P1/1P4BK/3q4 w - -,c3b4
r4rk1/p4ppp/2pbb3/3p3Q/3P4/q1N1B3/P3RPPP/2R3K1 w - -,e2c2
2kr4/pp4qp/2p3p1/5r2/1P1p2Q1/P2P3P/2P3P1/R4RK1 b - -,h7h5
3r2k1/1b4p1/p1q4p/4pp2/P7/2NPQPP1/1P4KP/4R3 w - -,h2h4
1k4r1/pp2n2p/2n2pr1/3p3N/q1pPpB2/P1P4R/2P2PPP/R2Q2K1 b - -,b8a8
2rq1rk1/pb1n1pbp/1pn1p1p1/2ppP3/3P4/2P1BN2/PPB2PPP/R2QRNK1 w - -,a2a3
r4r2/pb1qppbk/1pnp1npp/2p5/2P1P3/P1NP1NP1/1P1B1PBP/1RQ2RK1 b - e3,f6g4
4rrk1/1b1n2pp/p1p1p3/1p3p2/3PP2q/1Q2BP2/PP2B1P1/R4RK1 w - -,e3f2
2rr2k1/pbq1bppp/1pp1p3/4P3/2P1Q3/1P1R2P1/PB3PBP/3R2K1 w - -,h2h4
4rr2/2q3bk/2np2pp/3Ppp2/1p5N/1Pn1BPP1/3RP2P/2Q1RN1K b - -,c6e7
6k1/p2n1pbp/1p2p1p1/4B3/1P2P3/PN3PP1/2r4P/5RK1 w - -,e5g7
8/8/4r1pp/2nk1p2/R4PP1/5K1P/8/8 w - -,a4a8
3rr1k1/bp4p1/p5p1/1P1qp3/P1n1N3/2P5/6QP/R1B2R1K w - -,c1g5
4n3/1p6/2p5/1p3kpp/3P4/PP1K2P1/5P2/2B5 w - -,f2f3
3rr1k1/1pqn1pp1/p1p1pnp1/8/P1PP1bP1/1PB2N1P/1Q3PB1/3RR1K1 b - -,c7b8
8/5pkp/1n4p1/pr2p3/4P2P/1P1R1P2/1r2N1P1/R4K2 b - -,b2b3
8/3Rkp2/6p1/4Pp1p/2rP1P2/2P5/2b3PP/R5K1 b - -,e7d7
8/p5k1/1p1P2p1/1nq1p2r/2N1p3/1KP5/6P1/2QR4 b - -,a7a5
2r2rk1/pp3pp1/4p1p1/2bn3q/P7/1Q2PnPP/1P2BPK1/R1NRB3 b - -,f3e1
k7/6N1/8/3p2p1/3nn1K1/1P6/8/8 b - -,d4b3
r7/4Pk2/6p1/5p2/1B3P2/6KP/8/8 w - -,g3h4
1r2q3/p2p3k/n2P4/1pp1pQ2/8/6P1/P5KP/4R3 b - -,e8g6
r1b2r1k/pp2Np1p/1q2n1p1/1N6/2B2b2/2Q4P/PPR2PP1/3R2K1 b - -,f7f6
6k1/5p2/3q1np1/3P4/p1P2P1Q/3B4/7P/7K b - c3,a4a3
r1bqk2r/pp2npbp/2n1p1p1/1N1p4/4P3/2P1B1P1/PP3PBP/R2QK1NR w KQkq -,e4d5
4r3/q4kp1/pp2bn1p/3nB3/3P4/P4P2/1P2Q1PP/2RR2K1 w - -,d1e1
8/3k1p2/3q2p1/3P3p/4K2P/2Q3P1/5P2/8 b - -,f7f6
8/3k4/3R4/4Bp2/2P1bP2/5r2/3K4/8 b - -,d7c8
1rbq1rk1/4npbp/p1n1p1p1/1Ppp4/4PP2/2NP1NP1/1PPB2BP/1R1Q1RK1 b - -,a6b5
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP2P1/PPP1NPBP/R1BQK2R w KQkq -,e1g1:f2f4:h2h3
3r2k1/pp1q1pbp/2n4r/2B5/2Npn1Pp/1P1N4/P3PP1K/2RQ1R2 b - -,h4h3
3r2k1/p4pp1/4p2p/2R1P3/Pp3P2/1P4P1/7P/6K1 w - -,c5b5
rr4k1/2n1qp1p/3p2p1/1ppPb3/8/2N1P1P1/1PQ2PBP/RR4K1 b - -,b5b4
4rk2/pp2q1pp/2p5/2Pp1p2/1Pr2P2/PQR1PR1P/6PK/8 b - -,c4e4
2Rn2k1/q2rbp1p/pp1p2p1/3P4/PP1P3Q/3B1N1P/5PP1/6K1 w - -,f3g5
r1b2r2/pp3Bkp/2p3p1/2b1p3/4P3/1QP2RnP/PP1q1PPK/4R3 w - -,e1d1
2R5/5p1k/q5pp/p1Q5/P7/6PP/1P3PK1/3r4 w - -,c5c4
rq3rk1/pp1bbppp/2n5/1N2p3/8/2P2Q2/PPNn1PPP/2KR1B1R w - -,d1d2
r1b1r1k1/1pqn1pbp/2pp2p1/p1n5/2PNP3/2N1B1PP/PPQ1RPB1/3R2K1 w - -,b2b3
2r5/1p1R1pk1/p5p1/5pQP/P1P2P2/1q5P/6K1/8 b - -,b3c2
1r3rk1/p5pp/Q3b3/2b1Np2/5P2/3B4/PBP1NqPP/R2K3n b - -,b8b6
8/7R/4k3/3p4/3r4/5K2/5B2/8 b - -,d4e4
r2qk1nr/pppn1ppp/3p4/3Pp3/2P1P3/2N2B2/PP3PPP/R1bQK2R w KQkq -,a1c1
6k1/1q2bppp/p1r1p3/1p1pP3/3B1P2/P1RQ4/1PP3PP/7K w - -,h1g1
3r4/6R1/8/8/8/2K2p2/5k2/8 w - -,g7g6
r2q1rk1/4bppp/1p6/p1n1p3/PpQ5/3P1NP1/1P2PPKP/R1B2R2 b - -,d8e8
5nr1/1R4pk/p1pn3p/4p3/P7/3P2P1/3R1P1P/6K1 w - -,b7b6
r5k1/1p2rpbp/1q1p1np1/p2P4/1P1pPP2/3B1Q1P/P2B1P2/1R3RK1 b - b3,a5a4
4Q1K1/8/8/1p6/k1q5/8/8/8 w - -,g8h7
4rrk1/pp2qppp/2bb1n2/2pp4/8/2PPPQ1P/PPNBB1P1/2KR3R b - -,b7b5
r2q1rk1/pp3p2/2p2bpP/2N1n3/5Bp1/8/PPPQ1P2/2KR3R b - -,d8d2
3b4/p7/2K1k3/2p1p1p1/5p2/1P3BP1/P4P1P/8 b - -,e6f5
3n4/p1kP1p2/7p/2PPr3/3R4/5PPK/7P/8 w - -,c5c6
8/8/1p1p1k1p/p6P/2Pp1P2/1PbB2P1/P3K3/8 b - -,c3b4
r1br2k1/pp2p3/2n3pR/5p2/2pP1B2/2P5/P3QPq1/1BR1K3 w - -,e2c4
1k1b4/1p3p2/p2p1p2/3N1b2/qP4r1/5Q2/1PP4P/1K1R4 w - -,f3f5
4r1k1/5pp1/p1q1p3/1b4bp/1P2P3/P2p2R1/3N1PPP/1B1Q2K1 b - -,g5d2
r5k1/1R3pp1/4pb2/7p/8/P7/2N2PPP/5K2 b - -,a8c8
8/5p2/2b1k1p1/3N2Pp/3K1P2/2P3P1/8/8 w - -,c3c4
rr4k1/2p3bp/2nppqp1/2n1P3/1p3PP1/pPP1Q3/P2BN2P/1KR2B1R b - -,f6e7
r3k2r/1bq1bpp1/p3p3/3pP2p/5R2/1P1B4/PBP1Q1PP/R6K w kq -,a1f1
8/3r1pk1/4p1p1/4P1P1/2R1KP2/8/8/8 w - -,c4b4
1rbn4/pp2kp1p/4p2b/5p2/5P2/1NN3P1/PPP3BP/2K4R w - -,c1b1
2qr2k1/1p3p1p/1r4p1/pPn5/2Q1PP2/1P2R1PP/1R6/5B1K b - -,b6d6
r3kbnr/1bqp1ppp/p1n1p3/1pp5/4PP2/2NP2PN/PPP3BP/R1BQ1RK1 b kq f3,e8c8
8/5pk1/7p/p2p2p1/P1pP2P1/7P/KPQ2P2/4q3 w - -,c2f5
8/8/7r/1k6/PP6/1KR5/8/8 b - -,b5b6
8/8/3r4/pp3k2/6p1/P1P3P1/1P3R1P/2K5 b - -,f5g5
