8/8/1b1p1k2/6pp/3NP3/3K1PPP/8/8 b - -,d6d5
2qr4/pb3pk1/1p3N1p/2p4R/P1P1p3/4P3/4Q1PP/2R3K1 w - -,c1f1
8/8/p1pr4/P3k3/1PR5/4KP2/8/8 w - -,f3f4
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP4/1P2PN2/P2B1PPP/RN1QKB1R w KQkq -,f1d3
r1bqk2r/2p1npbp/p5p1/1p1n2B1/3P4/5N2/PPB2PPP/RN1Q1RK1 w kq -,b1c3
r1bqkbnr/pp2pppp/2p2n2/8/4N3/3B1Q2/PPP1NPPP/R1B1K2R w KQkq -,c1f4
r3k1r1/2q1bp1p/p1n1N3/2ppP1pB/1P5n/2P4P/P2Q1PPB/R3R1K1 b q -,c7d7
3rrnk1/1bq1ppbp/1p2n1p1/pNp1P2P/P7/1P2QNP1/1BP2PB1/R3R1K1 b - -,c7b8
8/3k3B/8/4b1p1/2R5/2p1r3/5K2/8 b - -,e5f4
8/2p5/3k4/5p2/2K2P1P/3N2n1/8/8 b - -,g3h5
rn3rk1/2q1bppp/3p1n2/p3p3/Pp2P3/1P3B2/1P1BNPPP/R2QR1K1 w - -,a1c1
r1r3k1/1q2bpp1/n1N1pnp1/pP6/2PP1B2/P4Q1P/5PP1/R4RK1 w - -,c6e7
r3kb1r/pp1b1ppp/1qn1p1n1/3pP3/8/2P2NB1/PP2BPPP/RN1Q1RK1 w kq -,b1d2
r1br4/p1p1kp1p/2p3p1/1pN1P3/8/1B2nP2/PPP4P/3RK1R1 w - -,d1d8
r1br2k1/pp2bpp1/2n4p/q3P3/3p1P1P/P4N2/1P1NPPB1/R2QK2R w KQ -,b2b4
r1bq1rk1/ppb2ppp/2n1pn2/2pp4/4P3/3P1NP1/PPPNQPBP/R1B1R1K1 b - -,d5e4:f8e8
r1br2k1/1p2qp1p/2p1nnp1/p1b1p3/4P2N/2P1B1P1/PP3PBP/1R1QRNK1 w - -,d1c2
rnbq1rk1/pp2ppbp/6p1/3p4/3Pn3/1QN2NP1/PP2PPBP/R1B2RK1 b - -,e4c3:b8c6
2rr2k1/p4ppp/1p2b3/q2p4/1N1Pn3/1QP1R1P1/P4PBP/2R3K1 b - -,h7h6
8/5kp1/7p/4PP1P/2R1K3/7r/8/8 w - -,c4c7
1r4k1/pb2RRp1/7p/1pp4P/3p2P1/3P3K/PP4r1/8 b - -,b7d5
6k1/4rp1p/p7/2P3P1/3P4/4p1KR/3r4/R7 b - -,d2d4
3r1rk1/pb4pp/1p1Pp2q/2p1Ppb1/2P1p3/1P2P1Q1/P3B1PP/2BR1RK1 b - -,d8d7
b1rr2k1/4qppp/p2pp3/n7/2PRPP2/P2n1B2/2Q1N1PP/1R5K w - -,c2d3
1r6/3b2kn/pr1p1n1p/2pPpPp1/2P1P1P1/RPNN1K2/7R/3B4 b - -,f6g8
2b5/5k2/p7/1p6/4p1p1/1PR3P1/PK3P1r/8 w - -,c3c8
r2qk2r/1b1pbppp/p3p3/8/B2pn3/3QB3/PPP1NPPP/R4RK1 w kq -,e3d4
2r2rk1/4q2p/3p2p1/p2Pn3/2BQ4/2R5/PP3RP1/6K1 w - -,f2f8
3r1rk1/pp1nbpp1/1qp1pn1p/7P/2PP4/3Q1NN1/PP1B1PP1/1K1RR3 w - -,g3e4
2r3k1/p2R4/1b3p2/N7/1p2rP1B/2n3PP/PR6/5K2 w - -,a5b3
8/4k1p1/7p/5R1P/r4PK1/6P1/8/8 b - -,e7e6
8/8/1p6/p1pBk3/P1K5/5P1P/8/4b3 b - -,e1h4
rnbq1rk1/pp2bppp/2p2n2/3p4/3P4/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
8/7p/5ppk/p1p1n2n/Pq2Pp2/1B3P2/2Q3PP/2R4K b - -,b4a3
rnbq1rk1/pp1p1ppp/4pn2/8/2Pp4/5NP1/PP1QPPBP/RN2K2R w KQ -,f3d4
8/5p2/3k1Pp1/6P1/5PK1/1r5R/7p/8 w - -,h3h2
1r4k1/5p1p/4p1p1/8/P4P2/1PQ1P2P/5P1K/3q2R1 b - -,d1b3
4n2k/2qr1p1p/3b2p1/p2Pp1P1/4B3/4B2P/1rP2RQ1/R6K w - -,e4d3
8/p4pk1/1pp3p1/8/2Pqn1Pp/1P1r1R1P/P5B1/4Q1K1 w - -,g1h2
2r3k1/p2q1pb1/1prnpnp1/3p4/N2P4/1P1QP1P1/P1R2PB1/2R1B1K1 w - -,a4b2
rnb1k2r/pp1pp1bp/2p2np1/5p2/3P4/1qP3PN/PP1NPPBP/R1B1K2R w KQkq -,a2b3
8/1p1k2p1/p3bb2/4p3/4P3/4B3/PPP5/2K2B2 b - -,f6h4
3r1rk1/pbpnqpb1/1p1pp1p1/7p/2PPPP1P/2N1N1P1/PP1Q2B1/3RR1K1 b - f3,c7c5
3q2k1/1p1nrpbp/p2p1np1/2pP4/P1P2P2/1PNB1Q1P/3B2P1/5RK1 w - -,g1h1
1r6/p3k2p/1p2p1p1/2P5/5P2/4K3/P5PP/1R6 w - -,a2a4
3n4/p3k2p/1n1b4/1Rp1pPp1/P1PpP3/6PP/4B1K1/8 w - -,g2f3
2k1rb1r/ppp3p1/2npP2p/7N/8/2P5/PP1N1PPP/R4RK1 w - -,a1e1
8/2p5/4kb1p/2p5/2P2KP1/1P3N2/8/8 b - -,f6e7
8/8/4b3/2b4p/5p1k/5B1P/3R1NK1/8 w - -,d2d8
r1bq1rk1/1pn1ppbp/p1n3p1/3pP3/2BP4/2N2N1P/PP2QPP1/R1BR2K1 w - -,c4b3
r4rk1/pbq2pbp/1pnnp1p1/2p3N1/5PP1/1BPP1N2/PP5P/R1B1QRK1 b - -,h7h6
r1n2rk1/p3ppbp/Qpp2p2/5q2/2PP2P1/4B3/PP3P1P/2KR1B1R b - g3,f5g4
r2qkbnr/pp1npppp/2pp4/7b/3PP3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,g2g4
2r5/6pp/p2bk3/1p1nPp2/8/PP2P1P1/1BNRK2P/8 b - -,d6e5
2r3k1/5ppp/p3nq2/1p1pN3/3P4/P4QP1/1P3P1P/4R1K1 w - -,f3d5
rq2kb1r/1b1n1ppp/p3pn2/1pp5/3P4/2NBPN2/PP2QPPP/R1BR2K1 w kq -,d4c5:a2a3
r3r1k1/pb2qppp/8/2p5/2P5/4BQ2/PP2BPPP/R5K1 w - -,f3f4
6k1/8/3K2p1/5rP1/1R3P2/8/8/8 b - -,g8g7
5R2/r7/3pp3/p3k1p1/1p4P1/1P2KP2/P3P3/8 w - -,f8g8
6RR/3r1q2/p1p1p1kp/P1P1Pp1n/7Q/7P/6PK/3r4 b - -,f7g8
8/4b3/3pk1p1/8/1p4K1/1P1P1N2/8/8 w - -,f3d4
r3kbnr/1pp2ppp/p1np1q2/4p3/B3P1b1/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,g4f3
4kb2/1p6/p1pn2pp/4p3/P1P1Pp2/3KBP1P/BP4P1/8 w - -,e3f2
r3k2r/2qnbp1p/pp3p2/2pb4/7B/3B1N2/PP3PPP/2RQ1RK1 b kq -,d7e5
r1br1nk1/ppq2nbp/2p2pp1/4p2P/P1N1P3/1P3NP1/1BPQ1PB1/R4RK1 w - -,d2e2
4R3/8/2r2k1p/p4ppP/8/2bN2P1/8/3K4 b - -,c3d4
rnb2rk1/pp3pbp/1qpp1np1/8/2PPp3/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f3g5
6k1/8/3p3p/p1nPp3/1pr3P1/1P3PK1/P7/5B2 w - -,b3c4
8/6p1/2k1Kp1p/1r5P/4R1P1/4P3/5P2/8 b - -,c6c7
r1br2k1/pp2qppp/4pn2/8/N2bP3/P5P1/1PQ2PBP/R1B2RK1 w - -,a4c3
2rr2k1/5ppp/p1q1b3/2b1p3/8/1P2NP2/P2BQ1PP/R4R1K b - -,c6d6
8/6b1/3P1p1k/4nKP1/R2B4/8/PP2r2P/8 b - -,f6g5
6k1/5pp1/4n1p1/8/1bB5/5NP1/5P1P/6K1 w - -,c4e6
r7/3k1n2/p1p1rpp1/Bp1p4/3P1PNp/PP1RPPnP/5K2/2R5 b - -,f7d6
r3r2k/1p2qpb1/3p2pp/p1pP3n/2PpPP2/7B/PP1B1PQP/4R1RK b - -,e7h4
1r2n1k1/1r1q2pp/2bp1b2/p1p1pPB1/2P1P3/3P1N2/1P2QNRP/4R2K w - -,g5c1
8/4k3/7b/8/7R/3KpB2/1r6/8 b - -,b2d2
2r1r1k1/1b1q1ppp/p4b2/1p1pnP2/3N1B2/1PN5/1P3QPP/R2R2K1 w - -,h2h3
8/5p2/1p1k4/p1pN4/2P1K3/1P1P4/Pb6/8 b - -,d6c6
8/p2q2pk/4R2p/2p2pbP/3r4/PQ6/1P6/1K4R1 b - -,c5c4
rq1r2k1/pb1nbp1p/1p2p1p1/3nP3/4N3/P2B1N2/1P1B1PPP/2RQR1K1 w - -,e4g5
8/p1nk4/4p3/1p1pPq2/n1pP2p1/P1P3Q1/1P2KP2/R1B1N2r w - -,g3f4
8/5k1p/p3R2P/1bB1p3/8/2P3P1/6PK/5r2 w - -,e6e5
