8/3r1k2/3n4/2K2P2/8/3R4/8/8 b - -,d6e4
3r2k1/1p3pb1/4p1p1/p6p/4NP1P/PP4P1/2R4K/8 b - -,e6e5
r2q1rk1/1b2npbp/p1n1p1p1/1p6/2p1PP2/4BNP1/PPP1N1BP/1R1Q1RK1 w - -,c2c3
r5k1/1p3ppp/4r3/p1Q5/P4BP1/1P3Pbq/1P1R4/5RK1 w - -,c5c7
rnbq1rk1/4ppbp/pp1p1np1/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1RK1 b - f3,c8b7
r2q1r2/pppb3k/3p1bpn/3Pp2p/4P2P/2N2P2/PPPQ1BR1/2KB3R b - -,d8e7
n3kb1r/3n1ppp/8/p2qp3/P1Q5/N2P1PPb/1P2P2P/R1BR2K1 b k -,f8c5
5rk1/3n4/Rp2p1p1/2p2r1p/2P1N3/7P/1P3Pp1/4R1K1 w - -,e1d1
6r1/5pk1/8/6q1/7P/6P1/5P2/R5K1 w - -,h4g5
r1nq1rk1/1p1nbppp/3p4/p2Pp3/P1P5/1N2B3/1P1QBPPP/R4R1K b - -,b7b6
r1b1rnk1/5pp1/2p2q1p/p7/P2PN1n1/3BPNP1/1RQ2PP1/5RK1 b - -,f6e7
2r2rk1/p3q1bp/2p1ppp1/2NpPn2/3P4/4BQ1P/PP3PP1/R2R2K1 w - -,e5f6
2b3k1/4prbp/p2n1np1/1q1Pp3/Nrp3P1/5P2/PPBBN2Q/2KR3R w - -,d2b4
rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq c3,c7c6
1b3r2/pp1q2k1/2p3p1/3p4/3P1pP1/2PB1Q2/PP3P2/3R1K2 b - -,f8h8
8/4r3/2R5/1P1p3p/3k4/p7/P2K1PPP/8 b - -,e7f7
5r2/7R/2N1nk2/2n3pB/P4p2/8/5pPP/5K2 w - -,f1f2
r4rk1/p1Q3b1/5q1p/2PR1p2/p1n2Pp1/6P1/P3PN1P/2B2RK1 b - -,f8f7
r2qk2r/1p1bnpbp/p1npp1p1/1Bp5/4PP2/2NP1N2/PPP3PP/R1B1QR1K w kq -,b5c6
3r2k1/pp4bp/4bpp1/2pNq3/2P1P3/1P3B2/P3Q2P/5RK1 b - -,d8e8
5k2/8/8/6p1/2b1N1Pp/5PPK/1r6/R7 b - -,h4g3
2b1r1k1/2n2pbp/p2p2p1/2p1q3/Pp2P3/3B1P1P/1P1Q1NPK/R3R3 w - -,f3f4
r2qr1k1/pb2bppp/np2pn2/2pp4/2P5/PPN1PNP1/1B1PQPBP/R4RK1 b - -,f6e4
8/3r2p1/3Bp1k1/1p1bP1pp/pP2R3/P4PP1/8/6K1 w - -,e4e3
r1bq1rk1/pp3ppp/2nbp3/2pn4/3P4/5NP1/PPP2PBP/RNBQ1RK1 w - -,d4c5
r3r1k1/p1b2ppp/2P2q2/3Qpn2/1B6/P4P1P/2P2P2/3RKB1R b K -,e5e4
r1b2rk1/ppq2pbp/2n3p1/2p1p2n/P3P3/2PB1N1P/1PQ2PP1/RNB1R1K1 b - -,c6a5
1r6/1b1k1ppp/p1nbp3/3p4/1NpPn3/2P1PN2/4BPPP/R3B1K1 b - -,c6b4
r4rk1/p2q1ppp/5n2/1p1p4/3NpP2/1PBnP2P/P2PQ1P1/R4RK1 w - b6,a1b1
r4rk1/pp3ppp/1bp3n1/4P1B1/3PP3/1BP2N2/P2QNqRP/7K b - -,f2f3
1k6/1pp1r1pp/p1np1pb1/5q2/8/1PP2P1P/PKP2BP1/2QR1B2 w - -,d1d2
r3k2r/pp1nbpp1/2p1p2p/8/1q1PbBP1/5N1P/PPPQBP2/1K1R3R w kq -,d2b4
5k2/1p3q2/p1pPp3/4Pr1n/7R/7Q/PP3P1K/6R1 b - -,f5e5
r2r3k/pb4p1/1p1b2qp/3N1p2/3n4/3BPN2/P1Q2PPP/1R3RK1 w - -,e3d4
r4rk1/3q1pb1/bpn3pp/p1pnp3/P4P2/2PP2P1/1P2NNBP/R1BQ1RK1 w - -,d1b3
rnbqr1k1/ppp1bppp/5n2/3p4/3P4/2N1B1P1/PPP1QPBP/R3K1NR b KQ -,b7b6
8/2b5/6k1/1pNb3p/1PpPpp2/2Q1P3/3K1PP1/1qN5 w - -,d2d1
r1r3k1/p1qb1p2/1p2p1p1/3pP2p/3B3P/1P1P2P1/P1P1QPB1/2R3K1 b - -,b6b5
2kr3r/1b2qppp/pp6/2pPn3/2Q5/5NP1/PP3PBP/R2R2K1 w - -,f3e5
r2q1rk1/1p3ppp/p1b5/3p2n1/3Q4/1P2PB2/PB3PPP/2R2RK1 b - -,g5f3
r5k1/1p1n1r1p/pn3p2/2pp1b2/5P2/BP2PN2/P3B1PP/R2R2K1 w - -,a1c1
8/1p6/p4p2/P1p2k1p/2Pp4/1P1K2P1/7P/8 w - -,b3b4
rq5k/1p1r2bp/2bp2p1/p3pn2/2P1B3/1P2BP2/P2RN1PP/3RQ1K1 w - -,e3f2
r2r4/5pbk/3pnnpp/2p5/Pq2P3/1bN1BN1P/1P1RBPP1/R1Q3K1 w - -,e4e5
r7/pp6/4k2p/5p1P/2N1pb2/2P4R/PP2KP2/8 w - -,h3h1
r5k1/1p1r1pp1/2p1n2p/p3Pb2/P2p1n2/1P3P1P/BBP2RPK/4R1N1 w - -,f2d2
2R4k/R7/3b4/3p4/4p1KP/1P2Pr2/P4P2/8 b - -,d6f8
4rbk1/1bq3p1/p2pBn2/1p4N1/2n1Pp2/P1NQ4/1PP5/R1B1K3 b Q -,e8e6
2r5/5p1k/1PP3p1/P4q2/7p/K1QR4/8/8 w - -,d3d4
2r1rb1k/1q3p2/p2p1Npp/1p2nB2/5R1P/6Q1/PPP3P1/1K3R2 w - -,f5e4
4r3/2R5/4p1kp/3r1p2/1B1Pn1p1/P5P1/6KP/5R2 w - -,c7c4
r1b2rk1/3n1ppp/p3p3/2Nn4/1P6/8/P2B2PP/2R1KB1R b K b3,d7c5
1r4k1/2qbbppp/1rnp4/2p1p3/2P1P2P/1PB3P1/1R1QNPB1/1R4K1 w - -,c3a5
r1br2k1/1pp2p1p/6p1/1P6/4P3/2b2NP1/4PPBP/1R2K2R w K -,e1f1
2b3k1/6pp/p4p2/1p1p4/1B6/1P4bP/6P1/2R3K1 b - -,c8d7
8/4Np1k/1p6/p3b3/P1P4P/7P/4Kp2/8 w - -,e2f2
6k1/1p3pp1/7p/2n5/2P2PP1/pP6/P6P/1KnB4 w - -,b1c1
1rbqr1k1/5nbp/2p1p1p1/p1BpP3/6P1/3NQN1P/P1P2R2/5R1K w - -,f3d4
1r6/6k1/p1Q3p1/4q2p/3bNp2/3P3P/1PR3P1/7K b - -,g7h6
3r2k1/5pp1/5q1p/1Q3N2/4nR1P/6P1/P5K1/8 b - -,e4c3
r4b1k/2qb1ppp/3p4/1pnPpNP1/2p1P2N/1nP1B2P/rPB2P1K/1R1Q2R1 b - -,b3a1
8/5pk1/8/4q2p/PQ4n1/3P4/3K4/8 b - -,e5e3
r7/8/7P/5K2/8/5k2/8/8 b - -,a8a6
8/8/4k3/6p1/2P1K1Pp/7P/8/8 w - -,c4c5
1r1qkb1r/1b1npp1p/p2p1np1/1p2P1B1/3N4/2N3P1/PPP2PBP/R2QR1K1 b k -,d6e5
r2r2k1/p3bppp/2b5/R1pp4/4n3/1PN1B1P1/1P2PPBP/3R2K1 w - -,c3e4
r1b1k2r/pp1n1ppp/4p3/3pP3/1n1P4/8/PP1NNPPP/RB3RK1 b kq -,b7b6
8/6qk/bPPp1n2/3Pp2p/4P3/4QP1P/6p1/3BK1N1 w - -,d1e2
1brrnnk1/pp2qpp1/2p3p1/P7/2B1P3/1QN1B1PP/1P3P2/R2R2K1 b - -,f8e6
3rb1n1/1pq1Bpk1/p3p1p1/3rN2p/3P3Q/3R4/PP3PPP/1B2R1K1 b - -,c7e7
r4rk1/1bq1bppp/p1n1p3/1pp4Q/4PP2/P1NB4/1PPB2PP/4RRK1 w - -,e4e5
8/8/8/8/8/6K1/4k3/5N2 b - -,e2f1
1r3rk1/3q2bp/3p1pp1/1p1Pp3/1R6/3P2P1/3BPP1P/3Q1RK1 w - -,d1b3
8/5pk1/7p/1R6/8/7P/1P1p1PPK/4r3 w - -,b5d5
r1br2k1/pp2b1pp/n1p5/4p3/2P1N3/1P4P1/P4PBP/R1B2RK1 b - -,a6b4
r1bqkb1r/p4ppp/2p2n2/4p3/3pP3/3B4/PPP1NPPP/R1BQ1RK1 w kq -,h2h3
3r2k1/1bN2ppp/8/8/3Pp3/4P1Pq/P3QP1P/2R3K1 w - -,e2c2
3r2k1/3r4/4b3/1pb3B1/p1n3N1/P5PB/1P1pPP2/N1R1R1K1 w - -,g4f6
8/1pr1rp2/p5pk/7p/P1PR3P/8/1P1RBKP1/8 b - -,h6g7
8/3Q1pkp/1p3qp1/2p1p3/P1B2b2/2P2P1P/2P2P2/5K2 b - -,e5e4
8/p7/1p1B4/5pKp/6b1/P4kP1/5P2/8 w - -,d6b8
rnbqk2r/ppp1bpp1/3ppn1p/8/2PPP3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,b7b6
