4r3/4P3/7p/5pk1/6p1/8/K6P/4R3 b - -,g5f6
r4rk1/ppq1bppp/2n1p3/2ppP2b/P2P4/2P2N1P/2P1BPP1/1RBQ1RK1 w - -,c1a3
8/8/2p1k3/5p1p/3Bb1pP/2P3P1/2r2P1K/4R3 w - -,h2g1
1rb2rk1/p2n3p/4pbp1/2pp4/5P2/2P1B3/PP1RN1PP/1K3B1R w - -,h2h4
8/8/4bk2/8/R4K2/5P2/8/1r6 b - -,b1b3
8/3k2B1/2p3p1/1p1K1p1p/1P5P/P5P1/5P2/5b2 w - -,d5e5
1Q6/p7/1p3qpk/2p4b/2PpB3/P2P4/5K2/8 w - -,f2g2
8/7k/4r1p1/pp3p1p/5P2/2P5/PPK5/5R2 b - -,e6e2
3rr1k1/6bp/pnq1Pnp1/2pp1p2/2N2B2/1PN2QP1/P3PPKP/1R2R3 w - -,c4a5
2r3k1/1p1q1ppp/p2bbn2/B2p4/3N4/4PB1P/PPQ2PP1/2R3K1 w - -,c2c8
1qr3k1/1b1n1ppp/4p3/p1rn2b1/1pNN4/1P2P1P1/PBR2PBP/1QR3K1 w - -,f2f4
6k1/1b3pp1/1p4p1/p2p4/8/1P2rPN1/P5PP/R6K b - -,e3c3
8/6k1/5p1p/5p2/3R4/1P4PP/1r3PK1/8 w - -,b3b4
r2r2k1/pp1qbpp1/1np1pnp1/8/2PP1B2/2NQ3P/PP2BPP1/R2R2K1 b - -,d7e8
r3r1k1/1ppq1pbp/3p1np1/p2P1b2/Pn1N1B2/2N3P1/1PPQ1PBP/2R1R1K1 b - -,f5h3
r6r/1pBn1pk1/1p2bbp1/1N1p3p/3P4/PPR4P/4BPP1/3R2K1 b - -,f6e7
r2qkb1r/p2bpp1p/2p2np1/8/3Q4/8/PPP2PPP/RNB1KB1R w KQkq -,b1c3
2q1r1k1/1p3pbp/p2p2p1/1b1P4/4P1n1/PQ4P1/3NNPBP/5RK1 w - -,f1c1
r1bb1rk1/2q2ppp/p2pn3/1p1N1N2/4P2P/5Q2/PPP5/1K1R1B1R b - -,c7a7
r2qr1k1/1bp2ppp/p3n3/1p2p3/4P3/2P3NP/PPB1QPP1/3RR1K1 b - -,d8f6
r1bq2k1/3n2bp/1p1p2r1/pN1Pp3/4npP1/1P6/PNQ1BBPP/1R3RK1 b - -,e4f2
5bk1/5p2/1PQ5/5p2/8/3bp2P/6PK/8 w - -,b6b7
r2qkb1r/1b1n1ppp/p1p1pn2/8/1p1PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,e4e5
r3r3/1p3pk1/1qp2np1/p6p/3P4/5QP1/PP3P1P/1BRR2K1 w - -,d1d2
3r2nr/6pp/2kb4/3R4/5B2/1P6/PKP2P1P/6R1 w - -,d5d6
8/2p4R/3b1k2/p2r1p2/2R3p1/1P2P3/2K2P2/8 w - -,h7h1
6k1/8/6p1/2p2p2/P1N2R2/6KP/2q3B1/8 w - -,a4a5
8/5pk1/2R4p/5P1P/r3K1P1/8/8/8 w - -,e4f3
r2qk2r/1p1bbp2/p1npp3/4n1p1/4P3/2N2N2/PPPQBBPP/2KR3R w kq -,c3a4
r1b1k2r/1pqnbpp1/p2ppn1p/8/4PP1B/1NN5/PPP1Q1PP/2KR1B1R w kq -,g2g3
2Q1nbk1/5bpp/6q1/1B2P3/3p4/8/PP4PP/5R1K w - -,f1f7
8/1p3k1p/3R2p1/2P2p2/2K5/2P2P2/7P/r7 b - -,f7e8
r1b1r1k1/ppq2ppp/2n5/3pn1B1/8/1NP2PQ1/PP2B1PP/R4RK1 b - -,c8f5
r3r1k1/pp3pb1/4b2p/2p1N3/2PQ4/2N5/PP2B1PP/R3K2R b KQ -,c5d4
6R1/8/8/7k/5pp1/r7/5K1P/8 w - -,g8h8
8/8/3K1pk1/6p1/4r1P1/R7/8/8 b - -,e4g4
1r6/1pR1np2/p2k2p1/3p4/3PP2P/5K2/PP3N2/8 w - -,c7c1
rn1qk2r/pb2ppbp/1p1p1np1/2p5/4PP2/3P1NP1/PPP3BP/RNBQ1RK1 w kq -,h2h3
r2qr1k1/pp1b1pbp/6p1/n1QPp3/1B2B3/2PN1PP1/P6P/R2R2K1 b - -,f7f5
1r3rk1/p4ppp/bp2pn2/1q6/1Q1P4/5N2/PP3PPP/1BR2RK1 w - -,b4d2
rnb2rk1/pp3pbp/1qpP2p1/3P4/2P1P1n1/2NB1N2/PP4PP/R1BQ1R1K b - -,g4f2
8/2K5/4r1p1/P6P/7k/1R5P/8/8 b - -,g6h5
8/p5pk/5p1p/p7/1P6/3R1P2/6KP/r7 w - -,b4b5
8/4p3/6p1/4k3/6r1/2RKB3/8/8 w - -,c3c5
1r5k/6bP/3p4/2p5/pr6/1P2BK2/P4P2/2R4R w - -,e3d2
3qr3/r1pn1k2/1p1p1pp1/1PnN3p/2P1PP1P/2Q1R1PB/7K/4R3 w - -,e1e2
r4Bn1/pqp2k1p/2p1bpp1/4p3/2P1P3/QP3N1P/P2RNPP1/6K1 b - -,a8f8
r5k1/1p1rppbp/p5p1/q1P5/2b1P3/1NP1B3/PQ3PPP/R1R3K1 b - -,a5b5
r1b2rk1/1p1n1ppp/2qB4/8/2N1n3/3Q4/P4PPP/R3R1K1 b - -,e4d6
2n1rqk1/pp1r1p2/4b1p1/3pP2p/1PpP1QPP/P3N3/5P1N/R3R1K1 b - g3,c8e7
r3k1r1/1pp1n1Qp/p1p2p2/q4P2/1b3P2/2N1B3/PPP3PP/2KR3R w q -,g7f6
2r1k1r1/Q1pq2b1/3p3p/3Np2n/2Pn1p1N/3b2P1/PP3PB1/R1BR2K1 b - -,d4e2
rnbqk2r/1p3pb1/p7/4p1Pp/3p4/6N1/PPPB1P1P/R2QKB1R b KQkq -,d8d5
2r1r2k/1p1bn1pp/p4p2/2bpn3/3N4/1qP3B1/PP2BPPP/3RRNK1 w - -,a2b3
r4r1k/pR3n1p/3p3b/1N6/3PN3/4P3/PP4P1/5RK1 b - -,h6e3
r2q1rk1/5p1p/4bnp1/p1p4P/1pp1PP2/5BN1/PPPQ2P1/R3K2R b KQ -,d8d2
4k3/ppq2p2/1bp3r1/4p2p/1PN1P1n1/2P2QP1/P2R1PB1/6K1 w - -,c4b6
2r3k1/1b1nbppp/p2p4/4pPP1/1r2P2P/1P5R/q1P1QBB1/1NKR4 b - -,d7c5
8/5p1p/P1N4P/1n1k2P1/3p1K2/1P6/5P2/8 w - -,a6a7
rr3bk1/4pp2/7p/p1B1Pp2/1p1P4/1Pn4P/3N1PPK/R3R3 w - -,e5e6
rn2k2r/2pqbppp/1p2p3/p2pP3/3P4/3QRN2/PPP2PPP/R1B3K1 w kq -,c1d2
r2q1rk1/ppp2ppp/2nbpn2/3p4/5P2/1P2P3/PBPPN1PP/RN1Q1RK1 b - -,f8e8
r2r2k1/ppq1ppb1/4b1pp/2p5/P1N1Pn2/1PP2N1P/2Q2PP1/R1B1R1K1 w - -,c1f4
r7/1b4k1/6p1/1P6/p1P1p2Q/4q2P/3RB1PK/1Nn5 b - -,c1e2
r3nr1k/p1q4p/bp1p1pp1/n1pPp3/2P1PP2/2PBB1N1/P3Q1PP/R4RK1 b - -,e5f4
4k2r/1p1rbp1p/p5pB/P1p1pP2/2R1Bn1P/2PP4/1P3P2/4K1R1 w k -,h6g7
1n1r1rk1/p3qpbp/1p2b1p1/2p1p3/P1n1P3/1PP1BP2/2QN2PP/R1N2RK1 w - -,d2c4
r2q1rk1/1p1n1ppp/2pb1n2/p2p4/5P2/1PN1PB2/PB1P2PP/R2Q1RK1 w - -,d1c2
r2qk2r/2p2bpp/p1nb1p2/1p2p3/2pPP3/1PP1BN1P/P1QN1PP1/R4RK1 b kq -,c4b3
8/8/8/1R5p/p2pk3/1Pr3P1/P2K3P/8 w - -,b5h5
r1bq1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/1PN1PN2/P2BBPPP/R2QK2R b KQ -,d8e7
rnbq1rk1/pp2p1bp/3p1np1/2pP1p2/5N1P/2N3P1/PPP1PPB1/R1BQK2R b KQ h3,b8a6
r4rk1/2p1bppp/p3b3/1pn1P3/8/5N2/PP3PPP/R1BBR1K1 b - -,c5d3
r3k2r/ppqbppbp/2n3p1/2p4P/3P4/2PBPN2/P4PP1/1RBQK2R b Kkq -,a8d8
8/8/5p2/R2bk1p1/7p/7P/5KP1/8 b - -,e5d6
2r3k1/p3rbp1/Qp2Nn1p/2Pq1P2/1P1p2P1/P2B1R1P/4R1K1/8 b - -,c8e8
8/1pR5/pPk5/3r4/2p2KP1/2p5/8/8 b - -,c6b6
r2qkb1r/pp3p1p/2n1pnp1/3p4/3P2P1/2NBPQ2/PP1B1P1P/R3K2R b KQkq -,a8c8
8/6kp/p5p1/2q3n1/4R3/P4PP1/1Q1R2KP/2r5 b - -,c1c3
3r4/1p3k2/8/8/p3B3/P1B5/1P6/K3R3 b - -,b7b6
r6r/1p3k2/p2ppn1b/2q4p/3NP3/3Q2PB/PPP4P/2KN3R w - -,c1b1
8/8/8/7k/4R2p/7P/r5P1/5K2 b - -,h5g5
1k1r2r1/1pp4p/p1b5/P1q1p3/2P4P/3P2P1/1P2nB2/R2Q1RK1 w - -,d1e2
