8/8/R7/6k1/pK6/1r6/1n6/8 w - -,b4c5
5k2/p6p/1r1pq1pb/2p1r3/8/1P1BPQP1/P4P1P/2RR2K1 b - -,f8g7
6R1/p2r4/1p3P2/3N2b1/4P2k/P5pp/1P6/6K1 w - -,a3a4
2r1r1k1/pp2bppp/6n1/3Q4/8/5NBP/PqP2PP1/R3R1K1 w - -,a1b1
2q5/3b1k1p/4p2p/pPQpP1bN/P2P2B1/6P1/6KP/8 w - -,h5f4
rnbq1rk1/1p2bppp/2p2n2/4p3/p1PPP3/P2B1N2/3N1PPP/R1BQK2R w KQ -,d1c2
r4rk1/p4qpp/1p2bn2/5p2/3PpB2/P5P1/PQ3PBP/1R3RK1 w - -,f1c1
r3rbk1/1b3pp1/p1p3qp/1p1Pp3/4N3/1PPPN3/1P3PPP/R2QR1K1 w - -,d5c6
r1b2rk1/ppq1nppp/2n1p3/2p5/2BP4/P1P1PN2/4QPPP/R1B2RK1 b - -,e6e5
rr4k1/p4n1p/2pp1bp1/2p1p3/1qb1P3/1P2BNNP/P1QR1PP1/2R3K1 b - -,c4e6
8/p2K4/5Br1/7R/4k3/8/PP5P/8 b - -,g6f6
5rk1/pp1q3p/5Rp1/4R3/3P3Q/2r1N3/P5PP/6K1 b - -,c3c1
2b1r1k1/1p2r2n/p2q3p/P1pP1pp1/2B1P2n/R1Q1NP1P/6P1/4RNK1 w - -,a3b3
r1b2rk1/pp4pp/2p1P2q/2bppP2/P5P1/7P/1PP1K3/R2NQB1R w - -,e1d2
1k6/1b5p/p5p1/1p1p4/1P1N1K2/2P2R1P/6P1/r7 w - -,f4e5
rn1q1rk1/p1p1ppbp/bp3np1/3p4/1P1P4/4PN2/PBPNBPPP/R2QK2R w KQ -,b4b5
5r2/1p1bk1p1/p3p2p/3p4/3P1P1P/3BK3/PP4P1/5R2 w - -,f1c1
6k1/pp2qpb1/4p2p/3pP1p1/3P2P1/1P1Q3P/P1r1NP2/6K1 w - -,d3c2
8/8/1P6/5K1p/1r5P/4k1P1/4p3/R7 w - -,f5g6
8/p2k1p2/1p1p4/5P2/P2r4/5P1P/1PBn2K1/6R1 w - -,g1d1
4r3/1p1Rrpk1/2p2bp1/p4q2/1PB5/P2RPP2/4KP2/3Q4 w - -,b4a5
rn1q1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2B1P/PP3PP1/R1BQK2R b KQ -,b8a6
1r5r/3qbpk1/b1p1p1p1/pnPpP2p/1p1P3P/4RNPN/PPBQ1P2/R5K1 w - -,a1e1
8/pR6/4k3/3n1p1p/r3P3/P2K4/6PP/2B5 b - -,f5e4
1r1q1rk1/5ppp/p1npb2b/3Np3/1pP1P2P/1P4PB/P1N2P2/R2Q1K1R b - -,a6a5:b8b7
r1bqkb1r/ppp1n1pp/3p1n2/3Ppp2/2P5/4P1P1/PP3PBP/RNBQK1NR w KQkq -,b1c3
5rk1/ppr1bppp/4B3/8/3pN3/6PP/PPP2P2/2R2RK1 b - -,f7e6
r4k1r/1pp2p2/pb1p4/5P1p/3P1ppP/1BP5/PP3PK1/R3RN2 w - -,e1e4
r1b2rk1/1pq1bppp/p2ppn2/8/P2QP3/1PN3P1/1BP2PBP/R4RK1 b - a3,b7b6
r3r1k1/1b3p1p/pq2n1p1/2p1b3/P1B5/1P2B2P/3RNPP1/2Q1R1K1 w - -,e1d1
r7/1p3pkp/4bqp1/3p4/1Q6/1N6/PPr2PPP/R3R1K1 w - -,e1f1
rn1qk2r/pp2bppp/4pn2/2pb4/8/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,e2e4
3r2r1/ppk2p1p/1npRp3/4P3/2P2P1q/1B2Q3/PP3P1P/1K5R w - -,c4c5
8/6k1/Rp5p/6p1/8/6KP/P1r2PP1/8 w - -,g3f3
5R2/6p1/8/3rp3/1B4k1/8/2K5/8 w - -,b4d2
3r1kbQ/q7/5p2/P7/8/3p1BP1/2r2PK1/7R w - -,h8f6
7R/4pk2/3p2p1/3P3p/4PK1P/7r/8/8 w - -,f4g5
Q7/pp3k1p/3pN3/2pP1P2/6n1/6KR/PP4P1/2q5 b - -,c1e3
8/1R2nk2/1R2pbp1/1p2p2p/4P2P/p5P1/1r3PK1/8 w - h6,b6a6
r1b1k2r/1pq1bppp/p1nppn2/8/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R b kq g3,h7h6
r3kb1r/pp1b1ppp/1n2pn2/q2p4/3P1B2/P3PN2/1PQN1PPP/R3KB1R w KQkq -,a1c1
8/p5k1/3R4/p4Bp1/r2P2P1/6K1/6P1/7n w - -,g3h2
r4rk1/1p3ppp/1bp1nq2/p2p4/3P4/PP3NP1/3QPPNP/R3R1K1 w - -,e1d1
r2qk2r/3bbppp/p2p1n2/4p3/1p2P1P1/4BP2/PPPQN2P/2KR1B1R b kq -,d8a5
5bk1/pp6/5R1N/7p/7P/1P1r4/P5PK/8 b - -,g8g7
1r1q1rk1/2p2pp1/p1npbn1p/2bNp3/P3P3/2PP1N1P/B4PP1/R1BQ1RK1 b - -,e6d5
kr1r4/pn1q4/4p2p/p2pPp2/b1p3pP/B1P3P1/2P1KPNR/R1Q4B b - -,d5d4
r3r1k1/1bp1q1pp/p2b1p1n/2pp4/5P2/1P1P1RN1/PBPQN1PP/R5K1 w - -,f3f1
2k1rr2/p1pp2bp/b1p3p1/3nP1q1/2P5/1P4PB/PB1NQ2P/2KRR3 b - -,d5e7
1rr2bk1/2q2ppp/p2p4/1bnPp3/1RN1P3/B1P4P/P1B1QPP1/R5K1 w - -,a1b1
6k1/p6p/1p4p1/1P2bb2/3p4/P7/3B4/5RK1 b - -,h7h5
8/1n1kb2p/4p3/1Pp1PP2/2N1K3/7P/3B4/8 b - -,e6f5
8/8/4b3/4N3/6k1/4b3/7K/8 b - -,g4f4
5rk1/2R5/6q1/p2PQ3/1b2PPp1/1P1N2pr/6K1/7R b - -,b4d6
8/6QP/5p2/7k/2P5/pPK5/8/q7 w - -,c3b4
1rb1kb1r/2q2ppp/p1pppn2/4P3/8/2N3P1/PPP2PBP/R1BQR1K1 b k -,d6e5
r4rk1/pb1nqpp1/7p/2p5/3p4/Q3PN2/PP2BPPP/2RR2K1 b - -,f8e8
1r5k/2p5/2p2b1p/p1Bb1Bp1/6P1/1P5P/P7/4R1K1 b - -,h8g7
2r3k1/5p2/4p3/1p5q/6q1/4PN2/4KP2/3RN3 b - -,g4c4
3r2k1/4ppb1/7p/1qnrP1pP/pR4N1/2B1QP1K/1P4P1/R7 b - -,b5d7
2kr3r/pppqbppp/2np4/8/6bP/2P1BN2/PPPQBPP1/2KR3R b - -,c8b8
r5k1/p1r3pp/2pqb3/b2pN3/4p3/PP2P3/1BQ2PPP/R1R3K1 w - -,c2c5
8/5p2/3kn2p/3p2p1/1P4P1/2p1K3/P1B2P1P/8 w - -,e3d3
r2qkb1r/1p1b1ppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 b kq f3,f8e7
5k2/3rpr1p/2p3p1/pbPPR2P/1p1Q4/1P6/P4PP1/6K1 w - -,e5e6
r1b1qrk1/pp2p1b1/n1pp1npp/5p2/1PPP4/B1N2NP1/P3PPBP/R2Q1RK1 b - -,a6c7
3r3k/5pb1/p4q1p/1p3p2/2pr1P2/7P/PPR1B3/1K2Q1R1 w - -,e2h5
R7/2p2k1p/4bP2/2K2pP1/5P1P/2Pr4/8/4B3 b - -,d3e3
5rk1/p2n1pp1/4p3/3pP1NP/1Qbq1PN1/6P1/6BK/8 b - f3,d4d1
r4rk1/p1p1npbp/2pp2p1/5P2/4P1bq/2PBQ3/PP4PP/RNB2RK1 b - -,g6f5
3r2k1/2R4p/1p1P1p2/r3p1p1/p3N3/P7/1b4KP/3R4 w - -,e4f6
r2q1rk1/pp1nppbp/2pp1np1/3P4/4P3/2N1BBPP/PPP1QP2/R4RK1 b - -,c6d5
4k3/3b4/1pq5/2p4p/4p1nP/2B2P2/1P2PNR1/R3K3 w Q -,f2e4
8/3k4/8/8/P1P5/5bP1/1r5R/6K1 b - -,f3e2:b2b1
r7/pp3k1p/3p1rp1/2n1pb2/2P5/1P4P1/P3NPBP/4RRK1 w - -,e1d1
r1bqr1k1/pp1nbppp/2p1p3/3p4/2PP4/1PB1PNP1/P4PBP/R2Q1RK1 b - -,e7d6
r3r1k1/p2p1pb1/np4p1/1N5p/1P6/P3BqP1/3Q1P1P/2RR2K1 b - -,e8e5
3k4/R7/p6p/3B4/r3P3/4K1PP/8/8 b - -,a4a3
7k/8/7P/8/2r5/4KP2/2p3P1/2R5 b - -,c4c6
r1rq2k1/5pbp/2b1p1p1/1pNp4/1QnP4/3BP2P/4NPP1/R4RK1 b - -,g7f8
8/3r3p/1p6/p7/5P2/kP6/P3R2P/4K3 b - -,d7f7
1q5k/5pr1/B4n1r/2pbb1p1/6P1/5P2/PPR1NKQ1/3RN3 w - -,e1d3
3r4/2R5/8/8/8/2p5/1k2K3/8 w - -,c7c6
1r6/R4p1p/4b1p1/1P2p1k1/1KB1P3/8/6PP/8 b - -,e6c4
