8/6K1/4kP2/6P1/8/8/8/5r2 b - -,f1f2
r2q1rk1/pp3pp1/2pbp2p/8/2PPn1b1/5NP1/PPQ2PBP/R4RK1 w - -,c2e4
7k/1p2q2p/p1pp2p1/3np1Q1/4P3/1P1PN3/1PP3PP/6K1 w - -,g5e7
8/5k2/7R/2K3P1/4b2P/8/8/3r4 b - -,f7e7
r1bqr1k1/pp1n1pbp/2pp1np1/3Pp3/2P1P3/1PN2NP1/P4PBP/R1BQ1RK1 b - -,c6d5
r1br2k1/pp1n1ppp/2pb1n2/8/1qPP4/1QN2NP1/PB3PBP/3R1RK1 b - -,d7f8
r2qrk2/1p3pp1/4pbp1/p2P4/2p5/4N1PR/PP1Q1PK1/5R2 b - -,a8a6
r2q1rk1/pp1bb1pp/4pP2/3p4/1n1Pn3/1BN2N1P/PP3PP1/R1BQ1RK1 b - -,e4f6
r1bqr1k1/1pp2ppp/2n1pn2/p7/2pP4/P4NP1/1PQNPPBP/R4RK1 w - -,c2c4
2rr2k1/3n3p/1q2bpp1/p1p5/3pP2Q/1P4P1/P1RN1P1P/2R2BK1 b - -,g8g7
2rq1rk1/pb2ppb1/1pn3p1/2p4p/2BPP2P/2P1B3/P2QNPP1/2RR2K1 b - -,c5d4
rnbqk2r/pp2bpp1/3ppn1p/8/3NP1P1/2N1B3/PPP2P1P/R2QKBR1 b Qkq -,b8c6:a7a6
1r4k1/4pp1p/6p1/1p3b2/1P1r4/6PP/1R2PPB1/5RK1 b - -,b8d8
r1r3k1/pp2bppp/4pn2/nN1pN3/5B2/4P3/PPP2PPP/R1R3K1 b - -,a7a6
8/p7/3rp1n1/1k4p1/1p2K1P1/1P1N4/P2R4/8 w - -,d2c2
4r1k1/7p/pp1p1ppb/8/PP2qn2/5N2/3R1PPP/BQ4K1 w - -,b1b3
r2rb1k1/1pq2pbp/p1n1p1p1/8/4PP2/1NN1B3/PPP1Q1PP/3R1R1K w - -,d1d8
1r3k2/3qp2p/3p1pP1/2pPP3/p1P2P2/4Q1P1/P3R1K1/8 b - -,h7g6
3r1rk1/pbq1n1bp/1p1pp1p1/n1p2p2/2PPPP2/1P2B1P1/P2QNNBP/2RR2K1 b - -,f5e4
r1bq1rk1/pp1n1pp1/4p2p/2ppP1b1/5B2/2PBP2Q/PP1N1PPP/R3K2R w KQ -,f4g5
8/1R4p1/5p2/5P1k/5K2/8/8/6r1 b - -,g1f1
6k1/1p1qnpb1/1Q4pp/1P1p3n/4p3/B2P1NP1/4PP1P/2N3K1 w - -,f3d2
r1bqr3/ppn1p1b1/2p3pk/N7/4PQ1P/3P1NP1/P4PB1/5RK1 b - -,h6h7
r4rk1/pbq1bpp1/1p2p2p/4P3/2PB4/1PNR3Q/P4PPP/R5K1 b - -,f8d8
6k1/5p2/8/8/8/B3q3/6PK/R2R4 b - -,e3h6
7k/p3Nppp/1n2p3/2p5/6r1/7P/PP3PP1/2R3K1 b - -,g4c4
rn1qk2r/pbpnbppp/4p3/1p1pP3/8/3P1NP1/PPP2PBP/RNBQ1RK1 w kq -,f1e1:h2h4
8/1kr5/8/1P3P2/1Qb4K/8/8/8 b - -,b7b6
r1b1r1k1/pp1nqpbp/2pp1np1/4p3/2PP4/2N1PNB1/PPQ1BPPP/3RR1K1 b - -,h7h6
r4rk1/ppp1ppbp/2n5/4P1pn/5Pb1/2NBBNP1/PPP1K2P/R6R b - -,g8h8
8/6k1/1R4P1/1p1P4/4K3/8/8/2r5 w - -,d5d6
1B5k/p2r2bp/6p1/2q1p3/2nN2P1/2P4P/P3QP2/4R1K1 w - -,d4e6
4r1k1/5pbp/2PQ2p1/8/2bpN3/4qPP1/4P1BP/4RK2 b - -,d4d3
r2q1r2/pp3k2/3p1pnB/2pPp2R/2PnP1B1/1P3QP1/P4PK1/R7 w - -,g4e6
3rr3/pp1k1p1p/2p5/3p1p1b/3P1P2/3R2P1/PPP3NP/2K1R3 w - -,d3e3
r1b2rk1/pp2qppp/4p3/P1pn4/2NP3P/2P1P1P1/3Q2B1/R4RK1 w - -,e3e4
8/1p1k1pBr/p3p2P/1b2P3/2p5/P6R/3K4/8 b - -,b5c6
8/7p/4bk2/8/2P5/1P4K1/8/8 b - -,f6g5
r1b1kb1r/pp3ppp/2p5/2n5/4PP2/2N3P1/PPPB4/2KR1B1R w kq -,f1g2
2r3k1/1p4r1/p2Q4/P1PP2p1/4p3/qN3pP1/2P2R1P/6K1 b - -,c8e8
8/8/1r6/1P1kp3/4Rp2/8/4K3/8 w - -,e4b4
1r2r1k1/1q1b1pbp/p5p1/1p1Pp3/P1p1P1B1/2P3BP/2Q2PP1/1R1R2K1 b - -,d7g4
r2q1rk1/1p4bp/3p3n/p1nPpPp1/P7/2N3BP/1P1NQPP1/R3K2R w KQ -,c3e4
4nrk1/p6p/3p1pp1/1ppP4/2r1PP1q/2P1Q1NP/P3RP1K/2R5 w - -,e2b2
r1b1k2r/3q1pp1/p6p/4b3/2p1P3/PPp2Q1P/2B2PP1/RN2R1K1 w kq -,b3c4
N7/pp3Bbk/7p/2P1p3/4Pp1q/4BR2/PP4b1/R5K1 w - -,g1g2
r2q1rk1/p5pp/1pnP1p2/5n2/1pP2B2/5bP1/P4PBP/R2QR1K1 w - -,d1f3
3rr2k/2R3pp/1p3p2/8/5P2/1P3RP1/P2P3P/7K b - -,d8d2
r3r1k1/pp2q1pp/2p2p2/3p4/3Pn3/P2QP1PP/1P1N1P2/2R2RK1 w - -,d2e4
2Rr4/3Pb2k/5pp1/pB2p2p/P3P3/5PP1/3Q2KP/q7 b - -,a1d4
4kb1r/7r/2q1pp2/1p1p1p2/2n2P1p/2PBP2R/1PQ2BPP/R5K1 b - -,f8c5
8/8/5pk1/6p1/pB5p/P5Pb/r4P1P/2R3K1 b - -,h3e6
2R5/bp3rk1/p3p2p/P2pP1p1/1P1P4/3N2Pb/5B1P/6K1 w - -,d3c5
rn3rk1/1pq1bppp/p2pbn2/P3p3/4P3/2NQBN2/1PP2PPP/R3KB1R w KQ -,f3g5
r5k1/1pr1pp1p/2np2pb/p7/P1P1PP2/1PBR2PB/3Nn2P/5RK1 w - -,g1f2
4Q3/p1q1rpk1/6pP/3P4/P1pR4/6P1/5PK1/8 b - -,g7h7
r7/1p3pk1/p1pp2n1/5bR1/2P2q2/1PN5/PK2Q3/6R1 b - -,a6a5
r2r1k2/1p3ppp/p7/4p3/1n6/2N3P1/PP2PPKP/2RR4 w - -,a2a3
r5k1/2R1bp1p/6p1/6Pn/3BN2P/8/5K2/8 b - -,g8f8
8/p3k3/2p5/3p4/1P4p1/2P3K1/P7/8 b - -,e7d6
8/8/5p2/2r5/1r4P1/kp4K1/6R1/7R b - -,b3b2
6k1/p1r2p1p/6p1/R7/8/1B1n3P/P4PP1/6K1 w - -,g1f1
r4rk1/ppp2ppp/2n5/1N1Q4/5q2/2P5/PP3PPP/2KR3R w - -,c1b1
3rr1k1/2q2ppp/1pp2n2/p3N3/2P5/1PR3N1/P1Q2PPP/3R2K1 b - -,e8e5
8/kp6/p2K1Q2/6P1/5P2/3p4/7q/8 w - -,f6d4
4kb1r/p2r2p1/4b1Np/3p4/3pp3/6PP/PP2PPBK/R2R4 b k -,h8g8
1r1R2k1/p4ppp/1qb1p3/4P3/5P2/1BN3P1/PPPQ3P/1K6 b - -,b8d8
r4rk1/1b4bp/pq4p1/3p1p2/2pP4/4B2P/PP2BPP1/2RQ1RK1 w - f6,d1d2
R6k/4pr1p/3p1PBQ/2pb2pP/8/5qP1/1P2RP1K/8 b - -,d5a8
r1bq1k1r/pp3ppp/1n3b2/2p5/Q1B5/2P2N2/P4PPP/R1B1R1K1 w - -,a4a3
5nk1/pp3nbp/2p1bpp1/2q1p2P/P3P2N/1P1QNBP1/1BP2P2/6K1 b - -,g7h6
1r3k2/2q1bpp1/p3pn1p/2p5/2P5/1PB2QP1/P2R1PBP/6K1 w - -,f3c6
6k1/5pbp/p2Bpnp1/1p6/3P4/4P1PP/P4PK1/2N5 b - -,f6e4
2rq2k1/1pn2rbp/1B2b1p1/3pp3/1P2p3/P2P2P1/2Q1NPBP/2R2RK1 b - -,e4d3
r5k1/2r2p1p/b3p1p1/P2p4/8/5BP1/4PP1P/R1R3K1 b - -,a6c4
2r1kb2/3Bqp2/pn6/4P1p1/1p1N1r2/1P6/P1P3Q1/2KR1R2 b - -,b6d7
2r3r1/1p3p2/p1n1k1p1/3p3p/5PP1/1PbPPK2/P3R3/1BB4R b - -,h5g4
rn1qr1k1/pb1p2bp/1p3pp1/2pPP1B1/6n1/2N2NP1/PP3PBP/R2Q1RK1 w - -,e5f6
r1bq1rk1/ppp2ppp/2n5/2b1P3/8/2pP1N2/P1P1B1PP/R1BQ1R1K w - -,d1e1
8/8/r3K3/3R1Pk1/8/8/8/8 w - -,e6e5
1r4k1/7p/8/PbP2pp1/1P6/3p1P2/3Np1PP/1R2K3 w - -,b1b2
