8/p7/1p4p1/4kp2/PPP5/4K3/8/8 b - -,g6g5
1qR3k1/1n3ppp/1B1p4/1b1Pp3/1P4P1/6NP/1P1b1PB1/Q5K1 b - -,b8c8
1R6/5pk1/5p1p/7P/5P2/6P1/1p2PK2/1r6 w - -,f4f5
r2qrbk1/pp1b3p/2pnnpp1/3p4/1Q1P4/3BBN1P/PPP1NPP1/R3R1K1 w - -,b4b3
6r1/4R3/8/3k2K1/5P2/8/8/8 w - -,g5h6
r3k1nr/pp1b1ppp/2n1p3/3pP3/q1pP4/P1P4N/2PBBPPP/RQ3RK1 b kq -,e8c8
8/2b5/1kp5/p1N5/2K5/8/8/8 b - -,c7d6
r3k2r/1bqn1ppp/p3pn2/1pb5/8/P1NBPN2/1P2QPPP/R1B2RK1 w kq -,h2h3
8/8/2k1n3/3R4/2K5/8/8/8 w - -,d5d1
r4rk1/p3nppp/q1n1p3/1p1pP1Q1/P2P4/2N5/1P2NPPP/R2R2K1 b - a3,b5b4
1k6/1Bp4r/3p4/1P2p3/Q1P4b/2RKP2p/P4q2/8 b - -,f2f1
r1b2rk1/pp2ppbp/2np1np1/q7/3NP3/1BN1BP2/PPP3PP/R2QK2R w KQ -,d1d2
r4rk1/pb2ppB1/n2p1np1/q1p4p/1p1PP3/5P2/PPPQ1NPP/1KNR1B1R b - -,g8g7
2nrrb2/1pp2bpp/p1k2p2/2p5/2P1PP2/1PN1BNP1/P4K1P/3R1R2 w - -,e4e5
rn1qk2r/1bppbppp/pp2pn2/1P6/P1P5/4PN2/1B1P1PPP/RN1QKB1R b KQkq a3,e8g8
1r5k/1q5p/3pp3/1Bp1n2P/P4r2/6R1/1P2Q1P1/4K2R b K a3,f4e4
8/6k1/3K3p/3N1pp1/5PRP/7r/8/8 w - f6,g4g1
r4rk1/pp1n3p/2nNp1pb/q2pP3/3B2P1/3Q1B1P/PPP5/R4RK1 w - -,f3g2
r2qk2r/2p1npp1/p2p1n1p/1pbP4/3N4/1BP5/PP3PPP/R1BQ1RK1 b kq -,d8d7
3r4/1p6/7p/2P1k1p1/8/P4P2/3p2KP/3R4 b - -,d8d3
1q4k1/1p1Q1pp1/p3n1b1/P1B4p/1P2p3/6P1/4PP1P/3R2K1 w - -,d1d6
r5k1/pb2qp1p/1pp3p1/4B3/4B3/2P3P1/P2Q1P1P/4R1K1 b - -,e7e5
rn1qr1k1/1b3nbp/pp3pp1/3pP3/P7/5NPP/NPP2PB1/R1BQR1K1 b - -,f7e5
8/1kp5/6pp/7n/3P4/Q1P3rP/1P3p2/7K w - -,a3b4
r1q2r2/ppp1n1kp/2np2P1/8/2B1Ppb1/P1N2N2/1PPQ1PP1/2KR3R b - -,e7g6
rn2kb1r/1bq2ppp/p2ppP2/6B1/3N1P2/2p4Q/PPP3PP/2KR1B1R b kq -,c3b2
8/1p6/2b5/2P5/8/2K5/p5k1/3R4 w - -,c3b2
2r3k1/1R3pp1/p2Rb3/2r1Pp2/P1p2P2/2p3K1/2P4P/8 b - -,c5d5
4k3/4b2p/1P3p2/3R4/2K4P/4B1P1/8/1r6 b - -,b1b4
r4rk1/pp2ppbp/2b5/1Nn4p/P4P2/2N5/1PPB2PP/R3K2R w KQ -,d2e3
5rk1/rb1nbppp/1q2pn2/pp4B1/1P2P3/P1N2N2/2B2PPP/2RQ1RK1 b - -,a5b4
rn2k2r/ppq2pp1/2pbbn1p/3p4/3P4/2PBBN2/PPQN1PPP/R3K2R w KQkq -,e1c1
r1b2r1k/4Npbp/p2p2p1/q1p1n1B1/PpB1P3/6P1/1PP2P1P/1RQ2RK1 w - -,c4d5
8/8/PbkP1p2/5p1p/5B2/3K3P/2p3P1/8 w - -,d3c2
6k1/1p1q1p1p/p7/3Pbp2/4p3/1Q6/PP2NPPP/6K1 b - -,f5f4
2rrn1k1/2qbb3/p1p1p1pp/1p2Pp2/3PNPP1/1Q2BN1P/PP6/2RR2K1 w - f6,e4c5
r7/P6p/1k6/8/2pp1P2/8/4K1P1/R7 b - -,b6c5
r1b2bk1/2q3p1/rn1p1n1p/1p1PpB2/1Bp5/P1P1NN1P/3Q1PP1/R3R1K1 w - -,f5g6
r1bqkb1r/p4ppp/2p1pn2/2pp4/4PP2/2NP4/PPP3PP/R1BQK1NR w KQkq -,g1f3
4k3/pr4pp/3Bp3/2R1Pp2/1P5P/5KP1/r4P2/8 b - -,a2a3
6k1/1p1nq1pp/2p5/p1Np4/3Pp3/4P3/PP3rPP/1RR3K1 w - -,g1f2
5r2/1pp3kp/n2r2p1/p1Q2p2/3Np3/PP1nP1P1/5PBP/1R1R2K1 b - -,d3c5
5r2/1r1qppk1/5np1/2p4p/1pN5/1P1PQ1PP/2P2P2/R4RK1 w - -,g1g2
r1b1k2r/2qp1pp1/p3p3/1pB4p/4PPn1/2NB4/PPP3PP/R2Q1R1K b kq -,c7c5
r3k2r/ppq1ppbp/2np1np1/1N6/2P1P3/2N4P/PP2QPP1/R1B1K2R b KQkq -,c7d8
6R1/3k4/1p2p1bp/p2n3q/3Q3P/P5P1/1P3P2/6K1 b - -,h5f5
2rq1rk1/pb3ppp/1p2p3/3p2n1/2PP1n2/PP3B2/3Q1PPP/B2RNRK1 b - -,d8f6
3krb1r/p1p2pp1/1pnp2b1/6P1/2PP3p/1P2P2B/P2N1P1P/R1B2RK1 b - -,h8h5
1r4k1/2pn1ppp/Q1B4q/4p3/1pPp4/P2P2Pb/3NPP1P/R5K1 w - -,d2e4
8/4k1p1/2p5/1p2pK1p/1P2P2P/P5P1/8/8 w - -,f5e5
5rk1/4ppnp/3p2p1/1r6/4P1n1/1P6/2RR1PPP/1B3NK1 w - -,d2d3
1q1r1rk1/ppbb2pp/4pp2/4n2Q/4PB2/P1N3P1/1PR2PBP/3R2K1 w - -,g2h3
8/5p1p/8/4k1p1/1p2P3/2bK1P1P/4N3/8 b - -,f7f5
2rq2k1/1br4p/pp2pbp1/5p2/P1NPp3/1P2P1P1/2R2P1P/1QR2BK1 w - -,c4d2
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,f8g7:c8g4
2r2b1k/pp2r3/1np3pp/2N1ppP1/2P1P2P/1P2B3/P4P2/2KR3R w - f6,g5f6
3r4/4kpp1/4b2p/q2pP1P1/3R1Q2/2P5/2RKB2P/r7 b - -,a1a2
2qb1rk1/3b1pp1/3p4/2pPp3/NpP1PnPp/1P1B1P2/2Q4K/1R3R2 w - -,a4b2
8/3k3p/2p3p1/1pR5/1P4P1/7P/r1P2PK1/8 b - -,h7h6
r2qk2r/pp2bppp/1nbPp3/3n4/3PN3/1B3N2/PP2QPPP/R1BR2K1 b kq -,e7d6
r1bqr1k1/pp1n1ppp/3b1n2/3p4/3P3Q/2N1PN2/PPB3PP/R1B2RK1 b - -,h7h6
r3k2r/pp1qbppp/1np1p1b1/4P3/P2P4/2B5/1P1NBPPP/R2Q1RK1 w kq -,e2f3
4rnk1/5ppp/rqn1p3/2ppP1BQ/p6P/2P5/PP3PPN/R3R1K1 w - -,h2g4
2br2k1/1p2q1p1/1p2pnnp/1Pp2p2/2P2P2/P3P1NP/1BQ1B1P1/3R2K1 b - -,d8d1
2b5/1p3pn1/1k4pp/pP1p4/7P/1NKBPP2/1P4P1/8 w - -,c3d4
6k1/2r3pp/4pp2/6P1/NP3P2/3R2K1/7P/6b1 w - -,b4b5
2k5/8/8/2p5/6PP/3nB3/r7/5K2 b - g3,c8d7
4k1r1/p2n3p/1rpqppp1/3n2B1/3P4/1B3Q2/PP1R1PPP/2R3K1 w - -,g5e3
rnb2rk1/p3qppp/2pb4/8/Np1Qn3/1B2B3/PPP2PPP/R3K1NR w KQ -,f2f3
8/1p3kpp/5p2/1pB2P2/rP4P1/1b1rP1KP/1R6/2R5 w - -,c1b1
8/2B5/5k1p/P6P/6P1/r2p4/3K4/8 w - -,c7f4
8/8/6p1/1p3b2/p1k2P2/P4rP1/1Pn1R3/2K3R1 w - -,g3g4
rn1qkb1r/pp3ppp/1n2p1b1/4N3/2Pp2P1/2N1B2P/PP3P2/R2QKB1R w KQkq -,d1d4
8/5R2/p2p2p1/P2Pp1k1/5rP1/1PP5/3K1p2/8 w - -,f7f4
2kr3r/ppbq1ppp/2p5/2p2PQ1/3p4/3P3P/PPP1NPP1/3R1RK1 b - -,d8e8
r2qb3/ppn1r1pk/2p4p/2PpNp1R/5P2/3Q4/PP3P1P/3B2RK b - -,e8d7
r1bq1rk1/pp2ppbp/2n3p1/8/3P4/2N1PN2/PP2B1PP/R2Q1RK1 b - -,g7h6
r1bqr1k1/1ppp1ppp/p1n2n2/2b5/2PP4/2N3P1/PP2NPBP/R1BQ1RK1 b - -,c5a7
8/8/3kpp2/1p1n2pp/1P1P4/5K1P/3B1PP1/8 b - -,d5b6
r1bqk2r/1pp2ppp/p1n1pn2/P7/1bpPP3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,c1g5
2r1rbk1/1bq4p/p4pn1/1p3N1N/4p3/1P2Q2P/P4PP1/3RR1K1 w - -,h5f6
2r1r1k1/1p3pbp/pB1pp1p1/8/2P1P3/PP4PP/n4P2/2RR1BK1 w - -,c1c2
1r2k1r1/2qb1p2/4p2p/pp1pPn2/1P3P2/PNP5/3QB2P/R4K1R w - -,b3c5
1q1r1rk1/pb2bppp/1pp1p3/3NP3/QP1P4/P4N2/4BPPP/2RR2K1 b - -,d8d5
