3k4/6p1/4p3/4Pp2/1R6/8/PPr3PP/6K1 b - -,c2c5
r3k2r/ppqbn2p/2nbpp2/3p4/1P1P2P1/1NPB1N2/P4PP1/R1BQR1K1 b kq -,e6e5
4rk2/pp2q1pp/2p5/2Pp1p2/1P2rP2/PQ2PR1P/3R2PK/8 w - -,d2d3
2rq1rk1/pp3ppp/2n5/2np4/6b1/P3PN2/1P2BPPP/R1BQ1RK1 w - -,b2b4
4R3/8/4P2p/3p1k2/2p1b2P/2P5/2P3r1/2KB4 b - -,f5f6
1r6/3R1pk1/6p1/2p1p1bp/4Pn2/2PP1Q1P/3N1P1K/4rN2 b - -,b8b2
8/2P5/1N6/p7/5p2/4kBp1/2r5/6K1 b - -,e3f3
r1b1r3/1pp2Qpk/6n1/p5q1/2N1P3/1NP3p1/PP2B3/4RRK1 b - -,g5h4
2r2r1k/pp1qppbp/2p2n2/N4p2/PP1P4/4P3/2Q2PPP/2RRB1K1 b - -,g7h6
8/2p2k1p/1p1b1pp1/1P1p4/3P2b1/2B1P1P1/3KBP1P/8 b - -,g4e2
r1bq1rk1/ppnnb2p/3p2p1/3P1pP1/4pP2/P1N1P3/1P2N1BP/R1BQ1RK1 b - -,f8f7
5k2/p1p2p2/2pp2b1/5r2/2P5/3P2R1/P5PP/4B1K1 b - -,f5e5
2R5/1p4kp/2p3p1/2b3P1/4rP2/6PK/6N1/8 w - -,g3g4
r2qrbk1/1bp2pp1/p2p1nnp/1p1Pp3/4P3/1BP3NP/PP3PPN/R1BQR1K1 b - -,b7c8
6k1/p3p2p/6p1/1N1bQ3/1P2n2P/P3P3/4B1PK/2q5 b - -,e4f6
6k1/rq1rpp1p/5npB/2pP4/P2b2P1/2N3QP/1P2RP2/3R2K1 b - a3,f6d5
4rrk1/p1p5/3b2p1/3P3p/2PB2BP/6P1/P4P2/4RRK1 b - -,h5g4
8/8/8/1P5R/3k4/7P/1r1n1PPK/8 b - -,d2f1
r7/1qb2pk1/p1n1p1p1/2P1p2p/RPQ1P2P/1N3PP1/2N2K2/8 w - -,b3c1
8/1b6/1p1k1p1p/p3p1pP/6P1/bPBBPP2/P3K3/8 b - -,b7c6
1R6/5pk1/4pnp1/2qPQ2p/7P/6P1/5P2/6K1 w - -,b8d8
r2n1r1k/pp3qb1/2ppb2p/1P1N1p2/2PPpP2/4P1N1/P2Q2BP/1RR3K1 w - -,d5b4
1rb2rk1/2qp2pp/4pb2/p1p2p2/2P2P2/P3Q1P1/1PR1N1BP/1K1R4 b - -,d7d6
1r1q2k1/5p2/4r1pp/Pp6/1Q1p4/3P1BP1/4PP1P/4R1K1 b - -,d8d6
2rr2k1/np4pb/q3p2p/3p4/pP1P1PPb/P3PN2/1B1QR1B1/R5K1 b - -,c8c2
r1b1n3/1pp1r1k1/p1n1p1Bb/3pP3/3P3N/2P4P/PP3PP1/R4RK1 w - -,f2f4
1br1r1k1/1p1bqppp/2n2n2/PN1p1N2/5P2/P2BPQ2/1B4PP/4RRK1 b - -,d7f5
1r4k1/2q2pp1/p1r1p2p/1pnbP3/2p5/1P2PP2/PQR1B1PP/2R1B1K1 w - -,e3e4
8/8/4K1p1/2B4p/4n2P/5kP1/8/8 w - -,c5e7
8/8/5Kp1/5p1p/5P1P/6P1/kp6/8 b - -,b2b1q
5rk1/p4q1p/1pnQ4/4r1PP/2P2p2/1P6/P4NK1/3R3R b - -,e5g5
5bk1/p2q1pp1/Q1p5/2p1Pb2/2P2r1p/KPB1R2P/P5B1/8 w - -,g2c6
2kr3r/1p3p2/2p1p3/B2nq2P/P7/1R6/1PPQ1PP1/2KR4 b - -,d5b6
8/1k2b3/pp2p1p1/3n1p1p/P2P1P2/1K4P1/1P1BB2P/8 w - -,e2c4
5k2/R6p/8/1p3N2/1b2K3/4P1P1/5r1P/8 b - -,b4c3
rn3rk1/p3bpp1/4bn1p/q1pp4/7B/2NBPN2/PPQ2PPP/3R1RK1 b - -,b8c6
r4rk1/ppp5/3p2q1/3Pb2p/2P1PPbR/6Q1/PP2N1B1/R3K3 b Q f3,e5b2
8/8/8/8/5p2/7k/8/5K2 w - -,f1f2
8/1r2k3/2bbp3/3p1p2/2pP1P2/2N1P1K1/RP2B3/8 b - -,e7d7
r4bk1/1p4pp/1np5/p5N1/P1B1P3/2N3qb/1PP1Q1P1/3R2K1 b - -,g8h8
r4rk1/p3Rppp/1p6/2p5/8/5P2/PPP3P1/2KR4 w - -,d1d7
4r3/pp6/3b1k2/3Ppp1p/1Pr5/P4KP1/1B2R2P/4R3 b - -,b7b6
3rk2r/pp1nbpp1/1qp1pn1p/5b2/2PP4/3N1NP1/PP3PBP/R1BQ1RK1 w k -,c1e3
3k4/5p1n/5N1P/4KN2/8/8/8/8 w - -,f6h7
3r3k/pppnr1p1/3q1b1p/7R/3P4/2PQBP2/P1B2PRP/7K b - -,d7f8
1r1q1rk1/2nnppbp/p2p2p1/1ppP4/P3P3/2N3BP/1PP2PP1/R2QRBK1 w - -,a4b5
3k4/1n6/1p2B2p/p5pP/2P1KbP1/8/P3R3/8 b - -,d8e7
r2b1rk1/2q2bpp/p2p1p1B/1p2nN1n/4P2Q/P1NB4/1PP3PP/R4R1K w - -,c3d5
r1bq1rk1/ppp1n1bp/3p4/3PPp2/2P1n3/2NN4/PP2B1PP/R1BQ1RK1 w - -,e5e6
rnbqk2r/p3ppbp/3p1np1/2pP4/P1B1P3/5P2/1P2N1PP/RNBQK2R b KQkq -,c8a6
r4rk1/pp2B1b1/3pP1p1/3q1p2/2p5/2PP2P1/PP1Q4/2KR3R w - -,e7f8
8/k5n1/P3p3/K3P3/5P1p/4N2P/8/8 b - -,g7e8
1k2r3/pb1nb3/1p2p2p/3p1q2/1P3P2/2P1B1P1/P2NQ3/R3R1K1 w - -,e3d4
rnbqk1nr/ppp1ppbp/6p1/3p4/8/1PN1P3/PBPP1PPP/R2QKBNR b KQkq -,g8f6
2r3k1/p5p1/1p3P1p/5n2/3Bp3/P6P/1P2P3/3R2K1 w - -,d4c3
8/p3k3/1b5p/1P4p1/r7/3B2P1/P3KP1P/3R4 w - -,d1d2
rn1q1rk1/pb4b1/1p2ppp1/2pp1n1p/4PP2/2PP1N1N/PPQ1B1PP/R1B2RK1 b - -,f5e7
bk1r2qr/p2p2pp/1pnNp3/2pnP3/8/3B4/PPP1QPPP/R1B2RK1 w - -,c1d2
r2q1rk1/pb1pbppp/1pn1pn2/8/3p1B2/2PBPN1P/PP1N1PP1/R2Q1RK1 w - -,e3d4
3q1rk1/1p1bppbp/3p2p1/p3n3/3NP1P1/1B2QPR1/PPP5/R3K3 w Q a6,a2a4
8/1p3pk1/p3p1pp/3pP2P/1P1n1PP1/P7/2R5/1rB4K w - -,c2c7
8/2k2p1p/2P5/4P3/1KR5/8/8/5r2 b - -,f1f5
6k1/p4ppp/1p5q/1Q1N4/4PP2/Pn3P2/R5P1/2r3K1 w - -,g1f2
2kr1q1r/pp1b3p/2pb1pp1/8/3P3Q/1B2B3/P1P2PPP/R4RK1 b - -,g6g5
2Q5/8/4p1pk/3b3p/8/1P6/PKB5/5q2 b - -,f1f6
r6r/1p1b1kp1/2pq1p2/3p4/p2P4/P1Q1PPN1/1P3KP1/3R3R w - -,c3c2
rn1qk2r/pbppnpbp/1p2p3/7p/4P3/5NP1/PPPPQPB1/RNB1K2R w KQkq -,d2d3
r5k1/1pr2pbp/p3p1q1/2P1n1p1/4P3/N3B2P/PR3PP1/1R1Q2K1 w - -,b2b7
r3r3/1p3kpp/pBbR1p2/8/5PP1/4R3/1P1K3P/8 w - -,h2h4
2r3k1/p1rq1pp1/4b2p/1p1pPpbP/1PnP1P2/P2QN1P1/6N1/R3BRK1 b - f3,g5e7
r1bqk2r/pp3ppp/2n1pn2/3p4/1bPP4/2NB1N2/PP3PPP/R1BQK2R w KQkq d6,c4d5
3r1rk1/1p3ppp/p1n1b3/4p1b1/4P3/2N1N3/PPP2PPP/R3KB1R w KQ -,e3d5
4r1k1/ppp2p2/3p1p1p/4rb2/P1B5/2R4P/1PP2PP1/2R3K1 b - -,e5e1
3rr1k1/1p3pbp/pqn2np1/2p1p1B1/4P3/1PP2N1P/P1BQ1PP1/3RR1K1 w - -,d2e3
2b2r2/6kp/pRp2pp1/2N5/P1N2P1n/3PP3/5K1P/8 b - -,g6g5
3R4/2r2ppk/4p2p/p7/6n1/P3P1PP/5PB1/2B1b1K1 w - -,d8d1
3rrbk1/2q2ppp/1pp2n2/p1n1pNB1/4P3/2P3NP/PPQ2PP1/R3RbK1 w - -,e1f1
1rb2rk1/7p/p2p2pb/2pPp3/1PP1B3/3N2Pq/R4P2/1R2Q1K1 b - -,h3g4
1r4k1/4bppp/2Bp4/1n1Pp1P1/1P6/2PN1P2/1K5P/6R1 b - -,b5c7
3q1r1k/4b1pp/2n1pn2/1rpP2B1/7N/6P1/1P3PBP/2RQ1RK1 b - -,e6d5
8/k7/1p2p3/p5p1/P1QPnq2/8/6P1/5NK1 b - -,g5g4
r1bqkb1r/pp3ppp/2n1pn2/2pp4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,g7g6:f8e7:a8b8
2rb2k1/pp3pp1/2n4P/2pq1P2/3prP2/3B2RP/PPP5/R2Q2K1 b - -,d5f5
2r5/pb3pk1/1p3qpp/3p4/3Nn3/3BP2P/PP2QPP1/2R3K1 w - -,c1c8
r1b1r1k1/ppq2ppp/4p1n1/3pP1N1/1B6/P7/1P2QPPP/3RR1K1 w - -,b4d6
3rr2k/ppq1nQb1/2n4p/P4Np1/4p3/2P2NP1/1P3P1P/R1B1R1K1 b - -,e7d5
r1bqk1nr/pp1p1pbp/2n1p1p1/8/3pPP2/P1N2N2/1PP3PP/R1BQKB1R w KQkq -,c3b5
r4rk1/pp3pp1/1qn4p/2p1P2Q/3pPB2/2P5/bP1N1PPP/1R3RK1 w - -,b1a1
4rrk1/p1p2p1p/1q4p1/1Q6/2P5/P5P1/5P1P/4RRK1 b - -,a7a6
rr4k1/3nppbp/b2p2p1/1npP4/N3P3/qP3NP1/P1QB1PBP/1R1R2K1 b - -,b5d4
8/3N4/p1r1pk2/5rp1/1PP5/1K2R2P/8/8 b - -,f6e7
