8/8/pk2p2p/5ppP/1PK5/5P2/6P1/8 b - -,b6c6
rnbqk2r/pppp2bp/5np1/5pB1/2PPp3/2N3P1/PP2PP1P/R2QKBNR b KQkq -,c7c6
8/ppr3k1/6rp/3R4/1P6/8/PKPR4/8 b - -,g7h7
8/p1r2pk1/6p1/2N2n1p/1P6/2P4P/1K2R1P1/8 b - -,h5h4
rn1qk2r/pbppb1pp/1p2pn2/5p2/2PP4/P1N1PN2/1PQ2PPP/R1B1KB1R b KQkq -,e8g8
r1b2rk1/1pqpppbp/2n2np1/p7/P7/2NN2P1/1PP1PPBP/R1BQ1RK1 w - -,h2h3
b3qbk1/6pp/p4n2/3pN3/1P1N4/2P2QB1/7P/7K w - -,h1g1
rnbqk1nr/pp3ppp/4p3/bN1pP3/3P4/Pp6/2P2PPP/R1BQKBNR w KQkq -,c2c3
1nr2r2/4k3/p3pp1p/1p6/B2PP3/4K3/P5PP/2R2R2 w - -,a4b3
3bn3/2qn1k2/p2p1p1p/p1PPp1pP/2P1P1P1/1r1NBP2/3NK3/1Q6 w - -,b1b3
r3kb1r/pp3ppp/1qn1pn2/1B1p1b2/3P1B2/1QP2N2/PP1N1PPP/R3K2R b KQkq -,f8e7
2rq1rk1/pb4pp/1p2pnp1/2pp2P1/3P1P1Q/PP1BP3/1BP4P/R4RK1 b - -,f6e4
3rr1k1/3q1pbp/p2Pp1p1/Np1n4/2p5/2P2QB1/PP3PPP/3RR1K1 b - -,d8c8
2r3k1/5p1p/p3pp2/1p6/2b5/8/2PR3P/R4K2 w - -,f1f2
r5k1/1p4pp/4Q1p1/1PqpP3/Pp6/8/5PPP/5RK1 b - -,g8f8
rnbq1rk1/pp1pppbp/5np1/3P4/2P5/2N2N2/PP2BPPP/R1BQK2R w KQ -,e1g1
2k3rr/1p3p2/p1b1p3/3n2N1/1P1qB3/P7/2P3PP/2Q1RR1K b - -,d4e5
5r1k/1p6/4R2p/2b3q1/p2p4/Pn1Q2P1/1P4P1/1R5K w - -,b1e1
1r1r2k1/5ppp/8/3b4/3PR3/1P4P1/3N1P1P/4R1K1 w - -,e4e3
rnbqk2r/4ppbp/3p1np1/p2P4/1pP1P3/5N1P/1PQ2PP1/RNB1KB1R w KQkq -,c4c5
8/ppR2pkp/6p1/3b1r2/3P4/PPK5/7r/4R3 b - -,h2h3
r1b2rk1/1p2ppbp/p1q2np1/1Nn5/Q7/2P1BN2/PP2BPPP/R2R2K1 w - -,a4a3
5r2/p1r1pk1p/4bpp1/2q5/4Q3/2P3P1/P3PPBP/R4RK1 w - -,f1c1
r2rn1k1/p4pp1/2Rbp1bp/1N1p4/1P2P3/P2P2P1/1B1N1PBP/6K1 b - -,a7a6
1r2k2r/3bnpb1/1qnpp1p1/2p3Pp/pp2P2P/3PB1N1/PPPQ1PB1/R2N1RK1 w k -,a1b1
rq4k1/p4p1p/b1rNp1pB/2nBP3/Pp6/6Q1/1P3PPP/R3R1K1 b - -,e6d5
8/1r6/8/8/8/5k1K/6N1/8 w - -,g2h4
1qb1r1k1/5pbp/p2p2p1/3P4/1rp1NP2/4B2P/RPQ1N1P1/5R1K b - -,c8f5
3R4/8/2p3p1/1p1k2r1/4p3/2P2Pp1/PP4K1/8 b - -,d5c5
2rqnrk1/3b1pbp/3p2p1/ppnPp1PP/4P3/1PN1BB2/P3NP2/R2QK2R w KQ -,e2g3
1rr3k1/3bppbp/p1np1np1/8/P2NP2P/NB2BP2/1PPR2P1/1K5R w - -,a3c4
r2q1rk1/4bppp/1n6/p2bN3/PppP4/6P1/1PQB1PBP/R2R2K1 w - -,e5c6
3Nr3/4P3/3P1k1n/8/p2K1P2/B7/8/8 w - -,d4d5
8/R4ppp/1R2nk2/4p3/4P3/4K1P1/7r/8 w - -,b6b7
5k2/p4p2/B3pBpp/2b5/8/7P/1P2KPP1/8 b - -,g6g5
r6r/1p3kpp/2p2n2/8/2Pq4/2Np4/PP1Q1PPP/R3R1K1 w - -,d2e3
2rq1rk1/pppb3p/4p1p1/n2pbpP1/3P4/1PPN2P1/P2QPPB1/R3K2R w KQ -,d3e5
2r3k1/5ppp/1B1Rp3/p3n3/2b5/P7/2B2PPP/6K1 b - -,c4d5
2b2rk1/p1N1ppbp/1p4p1/4P3/6P1/1P1Q2BP/P2R1P1K/1q6 b - -,b1a1
2r3k1/8/p7/2p3P1/b2NpB2/6P1/3RK2P/8 b - -,c5d4
4nrk1/1r3pb1/1qNp1np1/1p1P2Bp/1Pp1PQ2/7P/2P1NRP1/5RK1 b - -,g8h7
5k1r/6p1/bPN3p1/3p4/4r3/4B3/P4PpP/R1R3K1 w - -,c6b8
2r2rk1/1p3p2/p1qpb1pb/PP2p2p/4P2P/R2B2P1/N1P1QPK1/1R6 b - -,a6b5
r5k1/ppp2ppp/5n2/4q3/8/P4N2/1PP2PPP/3R2K1 w - -,f3e5
3rr3/1p4bk/4qppp/p2p4/3Pn2B/2PQ1B1P/PP2R1P1/5RK1 w - -,f1e1
1b2r3/1P1R1p2/4pk1p/1B4p1/4P3/5PP1/5K1P/8 w - -,b5c6
8/p5p1/1pk2p1p/8/2P5/P1K1PR2/6PP/3r4 b - -,d1d7:d1d6
5rk1/p5pp/2pN2n1/2p1p3/2P5/3P2Pb/Pr2QP1P/R1b1R1K1 w - -,a1c1
8/5p2/3k2pp/1R1p4/3Pn3/1P2K1P1/7P/8 b - -,d6c6
8/1b6/1p3p1p/pBk1p1pP/6P1/bPB1PP2/P3K3/8 w - -,b5d3
3rb1k1/6p1/p1p2p1p/4pP2/P3P1PP/1Pp2K2/3b1N2/2N2R2 b - -,c6c5
8/8/3pk3/2p2p1p/5K2/1P4PP/P7/8 w - -,a2a4
r4rk1/1pq3bp/2p1bnp1/1Pp1pp2/2P5/3PP1P1/4NPBP/1RBQ1RK1 w - -,d1c2
3r2k1/ppq1Bppp/2p3b1/4P3/2nP4/1Q2P2P/PP3RP1/5RK1 b - -,c7e7
rnb1k2r/1p1p1ppp/p3pn2/q7/2PNP3/2P2Q2/P4PPP/R1B1KB1R w KQkq -,d4b3
r2q1rk1/ppp2ppp/1bn1b3/3pP3/3Pn3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c3a4
r2q1rk1/4bppp/b3p3/p2pP1B1/6NP/1n1P1NP1/nPR1QPB1/3R2K1 b - -,e7g5
8/5p2/3p1k2/2pP2p1/BpP1Pp2/rP1K1Pn1/1R6/8 b - -,a3a1
1rbqnrk1/p2pppbp/2p3p1/8/3PP3/2N2N2/PP3PPP/1RBQR1K1 b - -,d8a5
1r2nnk1/2q2pp1/2p1p2p/1rPp4/3P1PPb/2B1P2P/2QN2K1/R4RN1 b - -,h4d8
8/1k1rbp1r/4b3/3p3p/1ppNqBpP/2P3P1/1PPK1Q2/3RR3 b - -,e4g6
6k1/p2r1pp1/1pp2n1p/5N2/P7/2P2PP1/5P1P/1R4K1 b - a3,g8h7
4n3/8/4k3/1p3p2/2p1P1P1/2K2P2/8/8 w - -,e4f5
8/4rpk1/6p1/4r2p/3Rp2P/4P1K1/5PP1/R7 b - -,e5e6
5rk1/4R3/3p2pb/p2P4/3Bp3/P7/6K1/8 b - -,f8f5
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq e6,f1b5:c2c3:d2d4:b1c3:f1c4
r1b2k1r/1p4pp/p3p1B1/3N4/8/5R2/PqP2PPP/R5K1 b - -,b2f6
r3r1k1/1pqb1pbp/p2p1np1/2p1n3/2P1P3/2N3PP/PPN1QPB1/R1BR2K1 w - -,f2f4
8/1p3p1p/p1k2K2/2pNr3/P1P3P1/3r2bP/8/3R3R b - -,d3f3
1k6/1p3p2/2p2n1N/p6p/rb6/5BP1/1PR1PPK1/8 w - -,h6f7
3b4/5p2/1kn1p1p1/3pP2p/Bp3P1P/3N2P1/P4K2/8 w - -,f2e3
rn1qk3/pb1p1p1r/1p2pnpp/3P4/2PQP3/5N2/P3BPPP/R1B2RK1 b q -,d7d6
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP1B2/1Q3N2/PP1NPPPP/R3KB1R b KQkq -,d8b6
8/5k2/p7/1p2Pp2/1P1B1K2/P1P5/r7/8 w - -,f4f5
8/8/8/5k1p/4pq2/8/2Q5/7K b - -,f4f3
r2qk1nr/pp1n1ppp/2pbp3/3p4/3P4/BP1PPN2/P4PPP/RN1Q1RK1 b kq -,d6a3
1r3rk1/p3p2p/1pnpP1p1/2p5/2P2P2/1PN1R2P/P5P1/5RK1 b - -,c6d4
2kr3r/1q1pb3/pp2p3/3P1pB1/2P5/1PN2NP1/P4K2/R3Q3 b - -,e7g5
3r2k1/5pbp/6p1/p7/1pB5/1Pn1BP2/P4P1P/5RK1 b - -,g7d4
1rbqnrk1/1p1n1pbp/p2p2p1/2pP4/P3P3/2N1BPN1/1P2B1PP/R2Q1RK1 b - -,b8a8
5rk1/p2b3p/4p1p1/2q5/2p2r2/P1P1R3/B1P1Q1PP/4R2K w - -,h2h3
3r4/p1pk1r2/Bp2q3/n2p1pp1/P2P2b1/B1P1P1Pp/2P2Q1P/4RRK1 b - -,c7c6
