4k3/2R5/pp1K4/8/4r2P/8/6P1/8 b - -,e4h4
3R4/p5kp/2r3p1/8/2P2P2/6P1/P6P/6K1 b - -,c6a6
6k1/6pp/4p3/3P1p2/5n2/8/1pBK4/2r5 b - -,f4d5
5rk1/ppqrbpp1/1np1pnp1/8/3P4/1P4PP/PBP1QPB1/1N1RR1K1 b - -,f8d8
3r3r/p1k1pp2/1n1p1b2/2pPqN1p/4P1p1/3BQ1P1/P4PPK/1RR5 b - -,h5h4
r5k1/p1p1qpb1/1n2r1pp/Q2pp3/8/1P1P2NP/PBP1RPP1/4R1K1 w - -,a5d2
2r2rk1/1n4bp/pnq3p1/1p2pP2/1Pp5/2P1B2P/P1Q2PPN/3RRBK1 b - -,g6f5
3r1rk1/p4ppp/1p2b3/3p4/5N2/2P3P1/PP3P1P/3R1RK1 w - -,f1e1
2kr1b1r/ppnq1ppp/2n1p3/2ppP3/3P4/1P3N2/PBPNQPPP/R4RK1 b - -,f8e7
2r1r1k1/1p5p/p2ppp1b/P3n2B/3RPN2/2P3q1/QP2K3/2B2R2 b - -,g8h8
2rr4/pp2k1pp/4pp2/P1n1Pb2/3B4/2P5/B3KPPP/R1R5 w - -,f2f4
2rR4/pb2kppp/2B1pn2/8/Nrp5/6P1/PP2PP1P/3R2K1 w - -,d1d7
6r1/2p2r1k/ppRb3p/4Bp1n/1P3PpN/P2PP3/2R2K1P/8 b - -,d6e5
2rqk2r/pp1bbppp/4pn2/n2p4/3P1B2/2NBPN1P/PPQ2PP1/R3K2R b KQk -,e8g8:b7b5:a7a6
1rbq1r2/p3ppkp/np4p1/2n5/N7/1P3NP1/P3PPBP/2RQ1RK1 w - -,a4c5
r1bqkb1r/pp2pppp/2np1n2/2p5/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -,d2d3
8/R4p1p/5k2/4r3/p6P/5B2/5K2/8 w - -,a7a4
8/2n2p2/p2k2pp/1p2p3/PPb1P1P1/2NBKPP1/8/8 b - -,c4d3
r7/5pp1/2k4p/2Pp4/p2P3P/1rNK2P1/3B1P2/R7 b - h3,h6h5
3r2k1/1pn2p1p/p1p3p1/2p5/PqPbPN1P/1P4PB/2Q2P2/3R1K2 b - -,c7e8
r1br2k1/4npp1/p2p3p/1pn4P/2qNP3/5QN1/3R1PP1/1B1R2K1 b - -,c5e6
4rr1k/7p/p2Rq3/1p2N1p1/4bP2/P1P3QP/1P1R2K1/8 w - -,g2g1
1rbq1rk1/1ppnn1b1/p2p2pp/3Ppp2/PPP5/B1N2NP1/4PPBP/2RQ1RK1 w - f6,c4c5
r4rk1/2R3pp/p2p1q2/3Ppp2/P7/1P1bQP2/6PP/2R3K1 w - -,e3d3
6k1/2q2p1p/1p2p1p1/pB6/P2Q2P1/1bP5/1P3PP1/6K1 b - -,e6e5
3rr1k1/ppp2ppp/8/2P1N1b1/1Q1P3q/P6b/1P2BPP1/3RR1K1 w - -,g2h3
r5k1/p6p/1p2p1p1/1n1qBr2/3P2Q1/2P5/PP5P/R4RK1 b - -,a8f8
8/4kp2/5p2/6b1/3p2Pp/1Br2R1P/5P2/5K2 w - -,f1e2
2r2rk1/1b4pp/1p2pp2/p7/2qN3B/P1nQPR2/6PP/3R2K1 w - -,d3c4
6k1/3n2p1/3p3p/q2Pp3/p1P1P3/6P1/5QKP/5R2 b - -,d7f6
6k1/r4p1p/P7/4n1p1/8/4PKPP/8/2R5 w - -,f3e4
r2k3r/1b6/p3R1p1/1p1p4/2nN4/8/PPP3PP/5RK1 w - -,f1f7
4r1k1/p6p/2pp2p1/4q3/2P5/1PN3P1/P2Q1PK1/8 w - -,g2f1
5b1k/4q3/p7/1p1p3p/2bpNp2/P3rP1B/1P1Q2PP/2R4K w - -,d2d4
1rr3k1/p1q1bp1p/3p2p1/1pnP2P1/5Q2/8/PPP1BP1P/1K1RN2R b - -,e7f8
5r2/3B1P2/p1P5/1p5p/3P2pk/1P4P1/P4R2/6K1 b - -,h4g3
r4r1k/4p1n1/pq5p/1ppPnp2/P1P2N1b/5B1P/1PQ4B/3R2RK w - -,c2e2
r1bqkbnr/pp3ppp/2np4/2p5/4Pp2/1PN5/PBPP2PP/R2QKBNR w KQkq -,g1f3
2r1r3/p7/3B1P2/2P4R/8/2K2k2/P3p3/8 w - -,h5h3
r3kbnr/1pp3pp/p1q1pp2/3p4/5Pb1/1P2PN2/PBPP2PP/RN1Q1RK1 w kq -,d2d4
r1bqkb1r/3p1ppp/pPn5/2pQ4/8/8/PP2PPPP/R1B1KBNR w KQkq -,g1f3:c1g5:e2e4
2r5/p5kp/1b4p1/3NpP2/1P6/2PP4/4KPPP/2B5 b - -,g6f5
r4r1k/p4ppB/1p2pb2/7b/1PP5/P3B1R1/2Q2P1q/2R1K3 w - -,c2e4
rnbqk2r/ppp1p1bp/3p1np1/5p2/3P1N2/6P1/PPP1PPBP/RNBQ1RK1 b kq -,c7c6
r1bq3r/p2n1kb1/2p1pnpp/1p1p1p2/3P1BPP/2NBPP1N/PPP3Q1/R3K2R b KQ -,f6h7
2kr2r1/ppqb1p2/2n1p2P/4Pn2/3p1P2/P1pQ4/2P1N1P1/1RB1KB1R b K -,g8g6
r2n1r1k/1ppbbqp1/5p1p/4pP2/2Np4/3P2P1/1R1NP1BP/1Q3RK1 b - -,a8c8
8/4R3/8/3k2pK/4p3/P5rP/8/8 w - -,a3a4
8/3k4/3p1b2/p2p4/P2P2Kp/1P5P/4N3/8 b - -,d7e7
rnbqkb1r/pp2pppp/2pp1n2/8/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq f3,c8g4:d8a5
rnbqk1nr/ppp2pbp/3p2p1/4p3/4P3/3P2P1/PPPN1PBP/R1BQK1NR b KQkq -,c7c6
1b6/3k3p/6p1/1P6/2PPK1P1/7P/8/8 b - -,b8h2
r4r1k/1bp1q1pp/pn6/1p6/1P1P1b2/PBN1p3/1BR2PPP/3QR1K1 w - -,f2e3
r4rk1/2qnppb1/1p3n1p/2p3p1/2NPb3/1P3NP1/1B1QPPBP/R1R3K1 w - -,h2h4
5nk1/pp6/5p2/1P2pP2/P2p3P/3P4/6N1/6K1 b - -,f8d7
r1b2rk1/pp1n1pbp/q1pp1np1/4p3/2PPP3/1QN2NP1/PP1B1PBP/R4RK1 w - e6,f1d1
2rqN1k1/p4pbp/1p4p1/8/3p4/3P2P1/P3PPBP/1QR3K1 b - -,d8e8
8/p3k3/bp3ppp/4P3/3K1P1P/1B4P1/P7/8 b - h3,a6c8
2r2rk1/1p2bppp/pqnpb3/3B4/8/PP3NP1/1B2PP1P/2RQ1RK1 w - -,d1d3
4k3/1pp4p/p4P2/5p2/8/6P1/PPP4P/3K4 b - -,e8f7
r1bqr1k1/pp1nppb1/6pp/3pP3/8/1Q4P1/PP1NPPBP/R1B1R1K1 w - -,g2d5
2r1nrk1/5p2/3p2p1/p1QP2Pp/1p5P/1P6/PKP4R/2NR4 b - -,c8c5
2q4r/r1pb1k2/3p1p2/2nNpnpp/2P4P/P2PP1P1/2Q1NPB1/2R2RK1 w - -,h4g5
r1b2rk1/1pqnppbp/p1pp1np1/8/3PP3/2N1B1PP/PPP1NPB1/R2Q1RK1 w - -,a2a4
8/5k1p/2b2p2/3p2p1/1B1R1PPP/2P5/r7/6K1 w - g6,h4g5
r2qkbnr/ppp2ppp/2n5/4P3/1PPp2b1/P4N2/4PPPP/RNBQKB1R b KQkq b3,g4f3:f7f6
5rk1/1p1qp1b1/p2p1r1p/2pPnp1n/P1P5/2N1P2P/1PQN1RPB/R5K1 w - -,a1f1
r7/4bk2/pp3ppp/2pr4/4n1PN/P1B1PP2/1PK4P/3R4 w - -,d1d5
1R2R3/p2r2pk/2p1B1n1/7p/6b1/P1B5/1PP2r2/1K6 b - -,g4e6
r5k1/1pn2pbp/1pp3p1/4N3/3P4/P3B1P1/1P3PKP/2R5 b - -,c7d5
r1b2qk1/7p/p4pp1/2Pp4/Pp1QpP2/1P2n2P/4B1P1/R4RK1 w - -,d4e3
2r1r3/1p3kpp/p1p1p3/5R2/1nBP3P/4PKP1/1P3P2/3R4 b - -,f7e7
r7/1p2Nkb1/2pn1r2/p2p4/3P1B2/4PP2/PP4K1/R6R w - -,f4d6
6Nk/6R1/8/4Bp2/p7/q4BP1/6K1/8 w - -,g7g4
7k/2n1rr1p/p1q1pp1B/1pN4p/1n1P1P2/5QR1/PP4P1/4R1K1 w - -,f3h5
1n1q1rk1/1p2bppp/3pbn2/4p3/P3P3/p3BP2/P1PQ2PP/1KNR1B1R b - -,d6d5
r5k1/1br2p2/1p2n1p1/pP2PpPp/2pP4/P5P1/R2B3P/1R1N2K1 b - -,e6d4
r4r2/p1k1b1pp/2p1b3/4p1p1/2P1N3/3BP3/PP4PP/2KR1R2 w - -,c1c2
rn1q1rk1/pp3ppp/2p5/b2pP2b/2P1n3/3BBN1P/PP3PP1/RN1Q1RK1 w - -,d1c2
2kr1b1r/pp3ppp/1nn1b3/q2p2N1/2pP4/P1P5/BP1NQPPP/R1B1K2R w KQ -,g5e6
4k3/2b5/1p3p2/2pP4/P1N1P3/4K3/8/8 w - -,e3f3
8/k7/3N4/1BK5/P7/8/r7/8 w - -,c5b4
r4rk1/1p3pbp/p2p1np1/3P2B1/bq2P3/3Q3P/1PB1NPP1/1R3RK1 w - -,c2a4
r1bq1rk1/1p1nppbp/p2p1np1/2p5/2PP4/2N1PNP1/PP3PBP/R1BQR1K1 b - -,a8b8
