7k/5K1P/6B1/5N2/1p6/1P6/3b4/8 b - -,d2c3
6k1/r4q1p/2Bbp3/3p2p1/P1pPn1Qr/4P2N/5PP1/2R2RK1 w - -,h3g5
r1b1k2r/pp1qbppp/2nppn2/2p5/4P3/2PP1N1P/PP2BPP1/RNBQ1RK1 w kq -,c1e3
8/5p2/4n1k1/6pp/1b2R3/6PP/5PK1/8 b - -,b4c3
r1bqkbnr/ppp1pppp/2n5/8/Q1P5/4PN2/P2P2PP/RNB1KB1R w KQkq -,d2d4
2r1qr1k/3n1p1p/bp2pNpQ/p2pP2P/P2P4/1N4R1/1Pn2PP1/RB4K1 b - -,d7f6
3r3k/6p1/1P4p1/8/2Nb4/5B2/PPn3PP/5R1K w - -,f1d1
rn2kb1r/ppqbpp1p/5np1/3P4/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq -,d1b3
8/3r2p1/4pk1p/p3p2P/Pb2K3/3BP1P1/5P2/3R4 b - -,d7d5
5rk1/pb2R1p1/7p/8/q1p5/P3Q3/1P3PrP/R4K2 b - -,a4c6
2rq1rk1/p4ppp/2p1p3/3pNb1n/3P1B2/Q3P3/PP3PPP/R3K2R w KQ -,a1c1
8/7p/6p1/1Pk5/5K2/3B2P1/2P3r1/8 b - -,g2g1
r4rk1/4ppb1/p1b3pp/3n2B1/p2P4/6P1/1P2PPBP/3Q1RK1 w - -,g5d2
6k1/5p2/6pb/p2Nq3/2P5/1PK4p/P4Q2/3R4 w - -,c3d3
1rbq2k1/5pbp/p3nnp1/2pp4/2P2P2/2NB1N1P/PP1Q1BP1/1R4K1 w - -,c4d5
3r1rk1/pQ4pp/1p6/2b2p2/4n3/1Pn1PN2/PB3PPP/2R3K1 w - -,g1f1
8/8/6r1/2B2p2/k1K5/8/8/1R6 b - -,g6g4
3r3k/4Nbb1/7p/ppR1p3/4P3/1P4N1/P2r1P2/5RK1 w - -,c5b5
8/p2r2k1/R5p1/3Np2p/2P4P/1P4P1/PK1n4/8 w - -,d5c3
6rk/5qp1/7p/8/P4Q2/6RP/6NK/8 b - -,f7e6
1k6/2p5/4p3/4P3/p1p3RP/8/1r2r1P1/R5K1 w - -,a1a4
2r3k1/pp3ppp/1q2p3/3pPn2/3P1P2/1P3N1P/PBr3P1/1Q1R2K1 w - -,f3e1
2kr3r/p1qbb1p1/2p1ppn1/2ppP2p/N1P4P/3PBN2/PP2QPP1/1K2R2R b - -,c7a5
8/8/8/8/8/4r1pp/1R2k3/6K1 b - -,e2d1
2r1nrk1/2qbb1pp/p1n1pP2/1ppp4/5PPP/3PBNN1/PPP3B1/R2Q1RK1 b - -,e8f6
r4rk1/3nqppp/p3pn2/7b/P7/2p1BN1P/1P2BPP1/R2Q1RK1 w - -,b2c3
r3k2r/ppp2ppp/4b3/3qP3/4NQ2/3P4/P1P3PP/R4R1K w kq -,f4g5
r3kb1r/p1n2ppp/qp2p3/4P3/1npP4/2N1BN2/PPQ2PPP/3R1RK1 w kq -,c2e2
3q1rk1/2n1bp2/r5p1/1p1pPp2/N2P1P1p/1P1Q4/5BPP/2R2RK1 w - -,a4c3
r1bq1rk1/pp2npb1/2npp1pp/2p3B1/2P1P3/2NP1NP1/PP3PBP/R2Q1RK1 w - -,g5e3
r1b1kb1r/pp3ppp/2n2n2/2pqp3/8/2P2N1P/PP1PBPP1/RNBQK2R w KQkq e6,d2d3
rnbq1rk1/ppp2ppp/5n2/3p4/1b1P4/2NB1Q2/PPP1NPPP/R1B1K2R b KQ -,c8g4
r1b1q1k1/1p4np/p2p2p1/2pPrp2/2P1P3/1PN3P1/P4QBP/4RR1K b - -,e8e7
8/3B4/8/p4pk1/P5pb/8/6K1/8 w - -,g2f1
8/8/8/1k1K4/4N3/8/2R5/4r3 b - -,e1d1
8/2P2p1k/3p1P1p/1prPp3/4P1bp/3Pq3/Q4R2/5B1K b - -,c5c7
r2qr1k1/1b1nppb1/pp1p2pp/2p5/P2PPP2/2N1BN2/1PPQ2PP/3R1RK1 b - -,d7f6
r4r1k/pR3nbp/3p4/1N6/3PpP1q/Q7/PP1N1PPK/5R2 w - -,h2g1
8/8/1k4pp/p7/1r5P/2K3p1/4RP2/8 w - -,f2g3
6k1/4p3/3p1pp1/3P3p/1B2P3/P4PbP/5rP1/2R3K1 b - -,f2a2
4r1k1/1pp1qpbp/n1Pp2p1/3Pp3/1P2P1b1/2N1B3/1Q1N1PPP/5RK1 b - -,e8b8
4k3/4n1B1/6pp/8/4K1P1/1pR4P/7r/8 b - -,e8f7
r2q1rk1/pp4bp/n1p2pp1/8/2N4Q/4B3/PPP2PPP/R4RK1 w - -,a1d1
b2q1rk1/p4ppp/3b4/1rp5/1p2P3/1P1P1NP1/5P1P/R1BQ1RK1 b - -,b5b7
6k1/Q4p2/3Pp3/6P1/2b1q3/8/P2B4/2K5 b - -,e4c6
1b1rr1k1/p2q1pp1/1p2p2p/2p5/2QP4/P3PPP1/1P1N1K1P/2R2R2 w - -,d2b3
6k1/2p1Qp2/4p2p/4P1p1/3P4/3K1q2/8/8 w - -,d3d2
r1b2r1k/1p1n1pbp/pq1np1p1/2pP4/2P5/2N2N1P/PP1Q1PPB/2R1RBK1 w - -,c3a4
2r5/ppr3pp/3kP3/3p1P2/3R2P1/8/P1PK3P/7R w - -,h1c1
r2qkb1r/pp1npppp/2p2nb1/8/2BP4/4NN2/PPPB1PPP/R2QK2R w KQkq -,c4b3
7r/5R1P/p1p1r3/7P/3P4/1P1k4/P2B4/3K4 b - -,e6e8
r2q1rk1/1Q2ppbp/p1n2np1/3p4/3P1B2/2N1P3/PP3PPP/R3KB1R b KQ -,d8e8
8/8/2K4k/5p2/1p6/3N4/8/8 b - -,h6g5
r3k2r/1bqnbppp/p2ppn2/1p6/3NPP2/P1NBB3/1PP1Q1PP/R4R1K b kq -,e8g8
4rr2/1p2pkbp/3p2p1/4n3/2PB4/1PN5/1P2RPPP/3R2K1 b - -,g6g5
r1bq1rk1/1pnpppbp/p5p1/8/2PP4/1PN3P1/PB3PBP/R2Q1RK1 b - -,d7d6
r7/3n1pkp/3nr1p1/p2p2P1/2pP1P2/P1q1P1NQ/4R2P/4R1K1 w - -,h3g2
rn1qkb1r/pb1p1ppp/1p3n2/2pP4/8/5NP1/PP2PPBP/RNBQK2R b KQkq -,g7g6:b7d5
r1b5/1p2kp2/3rn1pp/pp6/2P5/4QN2/P1B3PP/6K1 w - -,e3h6
r1b2n1r/p2n1kb1/2p3pp/3p1B2/qp1P1B1P/4PP1N/PPP3Q1/2K3RR w - -,f5g6
6k1/3nbppp/1p2p3/p2pP2P/P2P2P1/1P3N2/5P2/2B3K1 w - -,g1f1
r3kb2/1pQqp1p1/p4p2/7r/3P3p/2P4P/P4PPB/R4RK1 w q -,c7d7
rn1q1rk1/ppp1ppbp/6p1/3p1b2/1PPPn3/4PN2/PB1N1PPP/R2QKB1R w KQ -,d1b3
rn2k1nr/pp3ppp/2pq4/3p1b2/3P4/2N1P3/PP2NPPP/R2QKB1R b KQkq -,g8f6
1R6/6k1/4p3/4P1pp/7P/4K1P1/1p5r/8 w - -,h4g5
3r4/p1QP2k1/1pn2p2/2p3p1/8/2P1qB1P/6K1/5R2 b - -,e3d2
1r3rk1/ppn1b1p1/2ppPn1p/2P2p1q/8/1QN2PP1/PP4BP/R1B1R1K1 b - -,d6d5
1r3k2/r3pp1p/n2p2p1/b1pPP3/P1B2P2/1P1N1K2/4R1PP/3R4 b - -,a6c7
5bk1/pp5p/2p3p1/3P4/1n2N1P1/5QP1/P1q3KP/1R6 w - -,g2h3
rn1qk1nr/1b1pbppp/p3p3/1pp5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 b kq -,d7d5
1r3rk1/3q1pbp/3p2p1/pb1Pp3/np6/4B1PP/PPP2P1K/1R1QRBN1 w - -,d1d2
r1bq1rk1/1p2n1b1/p2ppnpp/2p5/2P5/2N2NP1/PPQBPPBP/R4RK1 w - -,a1d1
r2qr1k1/pp1n1ppp/2pb1n2/3p2B1/3P2b1/2PB1N2/PPQN1PPP/R4RK1 b - -,d8c7
rq3rk1/1p1n1pp1/p1pb1n1p/3pp3/2PP4/1P1BPN1P/PBQ2PP1/R4RK1 w - -,c4d5
6k1/1b3ppp/3r4/4N3/6P1/P3K3/1PP4P/8 w - -,c2c4
rn1qk2r/pb2bppp/1p2pn2/2p5/3pPP2/3P1N2/PPP1B1PP/RNBQ1RK1 w kq -,a2a4
2r3k1/pb3p1p/1p1rpqp1/4N3/3n4/PB2Q2P/1P3PP1/2R1R1K1 w - -,c1c8
r2q1rk1/pp2ppbp/2b3p1/2ppN3/5P2/3PP3/PPP3PP/R1B1QRK1 b - -,d8d6
4r1k1/p2q1ppp/1p3n2/n1pP4/5P2/P5P1/1BQ2PBP/3R2K1 b - -,d7b5
2q2b1r/4kp2/p2Rb2p/4Q1p1/6P1/2P1B2P/PP3P2/2K5 b - -,f7f6
rn1q1rk1/1ppbppb1/1n4pp/pB1P4/P3P2P/1QN1B3/1P3PPN/R3K2R b KQ -,b8a6
2r3k1/1p3p1p/1n1b2p1/p1p5/P3p3/1b5P/3BBPP1/2R2RK1 w - -,c1b1
8/3R1p2/5k2/3p2pp/2K1Pb2/7P/6P1/8 w - -,e4d5
4r1rk/1R3Q2/p2p4/4b3/P4nq1/6N1/1P3BP1/4R1K1 b - -,g4h4
