4k3/6pp/2NPK3/8/8/1r5P/p5P1/8 b - -,b3e3
2b1r1k1/Q1p1rpp1/2pp2n1/p3q2p/4P3/1PN3RP/P1P1BPP1/3R2K1 w - -,a7e3
r1b2rk1/ppq3bp/4p3/1P1ppp2/8/1QP1BN1P/P2N2P1/R4R1K b - -,f5f4
r6r/1npkbp2/p5p1/1p1pP3/3P1PP1/4BN2/PP6/R2R2K1 w - -,a1c1
r1b3k1/p4ppp/1pp2q2/4r3/1nB2N2/PP2PQ1P/5PP1/R4RK1 b - -,b4d5
8/8/1k3p2/3Rnprp/P7/4p1P1/P3P1BP/6K1 w - -,d5d6
6bk/1p1q3p/p4n2/2P2NQ1/8/7P/PP4PK/8 b - -,d7f7
q7/5pkn/3Pp1p1/4P2p/3R4/1B3Q2/Pr3PK1/8 b - -,a8d8
2kr1b1r/pp3pp1/2p1p3/3q1b1p/3PNP2/P1P3N1/1P2QPPP/R3K2R w KQ h6,e1g1
4rr1k/p4qp1/1pb2n1p/2p5/3p1P1P/P2P2PB/1P1Q3N/R3R1K1 w - -,e1e8
r2q1r2/pp2ppbk/1np1bnpp/6N1/3PP2P/2N1B3/PP1Q1PP1/2KR1B1R b - -,h6g5
rnbq1rk1/pp2b1pp/2pp1n2/4pp2/2P5/2NP1NP1/PP2PPBP/1RBQK2R w K -,b2b4
5k2/1p1R1p2/2n2rpp/8/1P4P1/7P/P4R1K/4r3 w - -,f2f6
4r1k1/1pp2rp1/2n1bbq1/p3p2p/2P1Pp2/1P3NP1/PB1RQPBP/3R2K1 w - h6,g1h1
r2r4/pq2ppkp/np4p1/3p4/2P5/1P2QNP1/P3PP1P/R4RK1 w - d6,a1c1
8/5kp1/B3p3/7p/P5n1/1P4P1/3r1P2/5RK1 w - -,b3b4
8/5b2/2pk1p2/p1p2B1p/1p2PP1P/P1P5/1P1K4/8 w - -,f5h7
r3kbr1/1bqn4/p2pp2p/6p1/1ppP2PP/2P1PN2/PP1NQ3/1BKR2R1 w q -,d2c4
R3n3/2r1k3/2Pp3p/p2P1pp1/2P1pP2/4K3/6PP/3B4 b - -,e8f6
1nr3k1/1b3p1n/1pr1pq1p/p2p4/3P2NP/P3N1P1/1P1Q2B1/R3R1K1 b - -,f6g7
r2qkr2/5p1p/p1Q5/2ppP3/2p1P3/1P2P2P/P4KP1/n4B1R b q -,e8e7
2r3k1/5p1p/4p1p1/8/4qP2/p2p2PP/P2R1Q2/6K1 b - -,c8c1
4rnk1/pb1qbppp/1p6/3pP3/3P1B2/6P1/P2N1PBP/1Q2R1K1 b - -,e8c8
2r5/pb4k1/4p2p/1np1N3/5PPP/8/PP3K2/1BR5 b - -,b7d5
6k1/1p3pp1/2b4p/2B5/p4PP1/1RP4P/7K/r7 w - -,b3a3
4r1k1/3q2pp/1p3r2/2p5/3p1p2/3P2P1/PR2PPQP/2R3K1 b - -,e8e5
r2k1q1r/pppb3p/2n1p3/3p1pbQ/3P4/2PB2N1/PP3PPP/R3R1K1 w - -,h5g5
3r4/2Q2pkp/pp1P1qp1/2p5/Pr6/5B1b/1P3PP1/R4RK1 w - -,g2h3
5r1k/1q4bp/p2p4/3N2p1/1PPp4/5PP1/4Q1KP/5R2 w - -,f1e1
2r3k1/5p1p/p5p1/1p6/5QP1/q6P/2P3RK/8 b - -,a3c5
1r6/p3kppp/5b2/2pp4/1PN5/2PK4/P4PPP/4R3 b - -,e7d7
4k3/3n3p/1pN1p1p1/1nb2p2/1P3P2/3KP2P/1B3PB1/8 b - -,c5d6
8/2k2p1p/3pp1p1/1R6/1P2P3/5P1P/1r4P1/5K2 b - -,b2a2
8/1p2r1kp/p1p3p1/P3N1b1/1P1P4/2P2K1P/4RP2/8 b - -,g5f6
3q4/1p2rpbk/p2p2pn/3P3p/4B1n1/2P2NQ1/PP2R1PP/3R3K w - -,d1e1
r5k1/pp2ppb1/1q5p/3p1p2/3PnP2/3QPN1N/PPr3PP/2R3K1 w - -,c1c2
4r3/6kp/pQ4p1/1p6/5P2/P3n2P/1PB1q1P1/5RK1 w - -,b6b7
rn1qkbnr/pp2pppp/2p5/3p4/3PP1b1/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,g8f6:d5e4:e7e6
r1bq1rk1/1p1nppbp/p1np2p1/8/3P4/2N1BN1P/PPP1BPP1/R2QK2R w KQ -,d1d2
8/p7/6k1/2p1p3/2P1P1p1/2RP1r2/P3K3/8 b - -,f3f6
1q1r2k1/1b2bpp1/p3p2p/1p4n1/2prP1P1/P3R2P/1PQ1NPBN/4R1K1 w - -,e2d4
R5k1/8/5p2/4n3/4RNp1/6P1/1r1r1PK1/8 b - -,g8h7
2r2b2/2q2p1k/pp1p2p1/2rQp1Pp/2P1P2P/1P3P2/P4NK1/2RR4 w - -,d5d2
rn1qkb1r/pp2pppp/2p2n2/5b2/3P1B2/2N5/PPPQ1PPP/R3KBNR w KQkq -,e1c1
8/1kp5/pp1b2p1/3PrqP1/1PP1pQ1R/5p2/P4P2/1R3K2 b - -,e4e3
6r1/8/1p1p2k1/p2P2P1/P4K1R/1bN5/8/8 b - -,g8f8
r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,d4c5:a2a3:b2b3
5Q2/q4b1k/7p/p4p2/4p3/4N1P1/5P1P/2n3K1 w - -,e3f5
rnbqkb1r/pp1n1ppp/2p5/4p1P1/3pP2P/3P4/PPP1QP2/RNB1KBNR b KQkq h3,c6c5
8/8/2kbr1p1/2p3B1/2Pp2P1/1P1K1R2/2P5/8 b - -,d6e5
3r2k1/R4pp1/1pb1p3/4q1p1/2P5/5PP1/P3B2P/2Q2K2 w - -,f1f2
5rk1/5pb1/1R4p1/1p2p3/2b1N3/7P/5PP1/1R4K1 b - -,c4d3
2rq1rk1/1p1bppbp/p2p1np1/n7/4P3/P1PBBN1P/1PQ2PP1/RN3RK1 w - -,b1d2
8/2p2k2/p2q1p2/Q2p2pp/3P4/1P3P1P/P4PK1/8 w - -,a5c3
5k2/R7/7N/p5P1/6P1/4b3/7K/8 b - -,e3a7
6k1/6b1/7p/1P3ppq/2R1P3/4BP2/2P3Q1/r5K1 w - -,g1f2
2b5/5pk1/3q2p1/1Q2p3/1p2PbN1/1P3PN1/P5KP/8 w - -,g4f2
2r2rk1/Qp2pp1p/6p1/1q1P1n2/8/6P1/PP3PBP/R3R1K1 w - -,a7a3
r2q1rk1/1p1bppbp/2np1np1/p7/P2NP3/2N1B3/1PP1BPPP/R2Q1RK1 w - -,d4b5
6rk/3nb3/3p3p/4q3/1p6/1N4PQ/r4P1B/2RR2K1 b - -,e5f6
r1r3k1/PR1n1p2/2p1q1p1/2B5/1Q1P2Pp/4P2P/5PB1/6K1 w - -,g2f1
8/1p6/8/4k1p1/2P3B1/1p1bp2P/PK2N3/8 w - -,a2b3
4k3/R1p5/8/1P1nBp2/8/1r4P1/5PK1/8 b - -,b3b5
3r4/3N1pk1/4n1p1/2p5/Pp2P3/1P2KP2/2P1B3/8 w - -,d7b6
2rq1rk1/pp2pp1p/2n1b1p1/3p4/1PPb4/PQ6/1B1NBPPP/2R2RK1 b - -,d5c4
8/6bk/6p1/2PKPn2/7p/3P4/2r5/3R4 w - -,d1h1
r1b1k2r/1pq1bp2/p2pp2p/4n1P1/3NPQnB/2N5/PPP1B2P/2KR3R b kq -,c7c5
8/7k/R6p/1p5p/1P6/4PbP1/2r5/5K2 w - -,a6f6
2k4r/1p3pp1/p4b2/2PK1P2/P4P1p/7R/5B2/8 w - -,c5c6
8/8/5k1p/2n5/4BPP1/4K2P/8/8 b - -,c5e6
r4rk1/1bqp2p1/1p2p2p/1Pn2p2/PR5B/5P2/2B1Q1PP/5R1K b - a3,e6e5
2r1r1k1/2q1bpp1/ppbppB1p/8/2P1P3/1PNQ4/P1B2PPP/3RR1K1 b - -,e7f6
2rr2k1/p4pp1/2pqp1bp/1p6/2PP4/B1P3P1/PR3PBP/4R1K1 w - -,a3d6
4r2k/1p4p1/2b4p/8/P3BP1P/1r6/4R2K/4R3 b - -,c6a4
4r1k1/1bpq1ppp/p4b2/1p1n4/3P4/1BP4P/PP1B1PP1/RN1Q2K1 w - -,b1a3
2r5/4b3/4p2p/3kP1p1/pp1P3P/4B1P1/1KR2P2/8 b - -,a4a3
2r1n2k/6p1/pp1p3p/3n4/P1N5/3P2P1/1P1B1P1P/4R1K1 b - -,e8f6
1k4rr/pb2p1b1/1qppNpn1/1p1P2pp/4P3/1BP3P1/PP1NQRPP/5RK1 w - -,d5c6
r3k2r/ppp2p1p/q3p3/3n1p1Q/3P3P/2P3P1/P1P1NP2/1R2R1K1 w kq -,c3c4
r2q1r1k/pppnbppp/2np2b1/4p3/1PB1P1P1/2PP1N1P/P2N1P2/R1BQR1K1 w - -,d2f1
rnb1kb1r/1p3ppp/p3pn2/2Pq4/8/2P5/PP1N1PPP/R1BQKBNR w KQkq -,b2b4
r2qkb1r/1b1p1pp1/p3pn1p/1pp5/4P2B/1PNP1N2/1PP2PPP/R2Q1RK1 b kq -,g7g5
