8/8/8/5ppp/P1Bp1k2/1P3P1P/3b1K2/8 w - -,c4f7
1r1q1rk1/2nbppbp/3p2p1/pppNn3/2P1P3/PP1PB1P1/3QNPBP/1R3RK1 w - -,f2f3
r3nrk1/p2p2pp/1p2pp2/2p1P3/2qP1P2/P1P1QbP1/3BN2P/R5K1 w - -,e3f3
2r3k1/5pp1/2prp2p/p3b3/PpP1B3/1P4P1/2R2P1P/1R4K1 b - -,c6c5
r1br2k1/ppq1ppbp/n5p1/P1pp4/3P4/2P2NP1/1P1NPPBP/R2QR1K1 w - -,e2e3
7k/2q1bp1p/4p2P/5p1B/2pP1P1K/2P1Q1R1/1r4r1/5R2 w - -,g3g5
8/1p6/1p1np3/3pk1p1/6P1/1P2KP2/P3B2r/R7 b - -,d5d4
1r2k2n/4B3/p3p3/1pPp3q/7p/2N3bP/PPP3Q1/3R1R1K b - -,e8e7
2r2rk1/pp2qpp1/2n1p3/2Qn4/3P2bp/PP1B4/1B1N1PPP/2R1R1K1 w - -,h2h3
r4rk1/3n1ppp/6b1/pp1pP3/3P3b/2N1B2P/1P1N1PP1/R4RK1 b - -,g6d3
8/1b2r2k/p5pp/2qPp3/2p1P3/2Q5/P3NPP1/2R3K1 b - -,e7f7
8/8/5p2/p2N4/3Q2b1/KP3q2/8/4k3 w - -,d5e3
r1bq1rnk/ppp4p/3p1np1/3PpPQ1/4P3/2N2N1P/PPP2P2/R3KBR1 b Q -,g6f5
8/8/p6r/6p1/R5P1/P2K1k2/8/8 w - -,d3d2
2kr2r1/1b3p1Q/pn2q3/1pppP3/3P1B1P/1P4P1/P5BK/R4R2 b - -,b6d7
rn1qk1nr/pp1bppbp/6p1/1B1p4/3P4/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,g8f6
2r3k1/5pp1/pp1bpn2/3p3p/1PqP4/P2NPPP1/4Q2P/2B2RK1 w - -,c1b2
r4rk1/p2nb1pp/1qp1p1b1/1p6/3P1BP1/4N3/PPP4P/R2QNRK1 w - -,e1g2
4k3/p6R/8/3P1pn1/8/r5P1/5K1P/8 w - -,h7b7
1n6/2qrbpk1/pp1pp1p1/5r1p/PNPR3P/1P3QP1/4PPB1/3R2K1 w - -,d4f4
1r3rk1/1p1qppbp/p1np1np1/2p5/2P1P3/2NPBN1P/PP3PP1/R2QR1K1 w - -,d3d4
2kr1b1r/ppq2pp1/2p1pnp1/6B1/3P3P/2N5/PPP1QPP1/2KR3R b - h3,d8d7
8/pp3R2/b1P5/6pk/P2Br3/2P5/6P1/7K b - -,b7c6
r1bqk2r/pppnbpp1/4pn1p/3p4/3P3B/3BPN2/PPPN1PPP/R2QK2R b KQkq -,e8g8
2r2rk1/pp2ppbp/2np1np1/8/1P1P1B2/2P2N1P/1P2BPP1/R3K2R b KQ -,a7a6
r1bq1rk1/pppn1pbp/3p1np1/4p3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,a2a4
r7/5kp1/p6p/1b1p1r2/1PpB4/2P1R2P/R4PP1/6K1 b - -,g7g6
8/8/2k5/p7/PpK5/4P3/8/8 b - -,c6d6
r1bqr1k1/p1p2pb1/1p3npp/8/3Pp3/1QP1P1P1/PP1N2NP/R1B2RK1 b - -,g6g5
1rbq1rk1/1p1pnpbp/p1n1p1pB/2p5/2P5/2NP1NP1/PP2PPBP/R1Q2RK1 b - -,e7f5
2kr3r/pp3p2/1npPp1p1/4Q2p/1q3P1P/2RR4/PPP3P1/2K2B2 b - -,b6d7
2rqr1k1/5ppp/pp6/3pP1b1/P1PPp3/BP6/4Q1PP/R4RK1 w - -,a3d6
r1bq1rk1/pp3pp1/1bpp1nnp/4p3/4P3/1BPP1NNP/PPQ2PP1/R1B1K2R w KQ -,c1d2
3r1b2/p2r3k/1p1pp3/5p2/PBP1Q3/1P1R2P1/5P2/3R2K1 b - -,f5e4
r1bq1rk1/1p2bppp/p1p2nn1/6N1/2PPN3/1P4P1/PBQ3BP/4RRK1 w - -,c2d2
8/1p6/p7/7P/P1kr4/7K/3p2P1/3R4 w - -,g2g4
8/1p4b1/p3k3/6Pp/8/1P5P/P4BP1/5K2 w - -,h3h4
r1bq1rk1/3np1bp/p5p1/2pPpp2/1p2nPP1/3QBN1P/PPP1N3/2KR1B1R w - -,g4f5
4r3/2p2kp1/p2b2p1/1p4B1/3PR1P1/7r/PP3P2/2R3K1 w - -,e4e8
rnbqk2r/4bppp/p2ppn2/1p6/3NP3/1BN2P2/PPP3PP/R1BQ1RK1 b kq -,e8g8
3qrbk1/3b1pp1/7p/np1PpB1N/8/p3r2P/P5PN/1R1Q1RK1 b - -,d7f5
rn3rk1/pbq2pbp/1p2p1p1/2p5/3PP3/2P1BN2/P2QBPPP/2R2RK1 w - -,d4d5
r3brk1/pp4pp/3bp3/3pNp2/3P3q/1BNQ1PnP/PP4P1/R3R1K1 w - -,a1d1
r3kb1r/1p2pp2/1pn3bp/3p2p1/2pP4/2P1PNB1/PP2BPPP/R4RK1 w kq -,f3d2
r3r1k1/2p2ppp/p1bb1n2/2N3B1/1p1P4/1B6/PP3PPP/R3R1K1 w - -,g5f6
7r/5Pk1/6P1/p3P3/1p3R2/PP5b/8/K7 b - -,h8f8
3r4/5kr1/1pp1n1pR/4PpP1/1p1p1P2/8/PPP1N3/2K4R w - -,h6h8
2bn4/1p2k1p1/p5p1/3B1p2/2PN4/1P5P/P3KPP1/8 w - -,c4c5
r1r5/p4ppk/1q2pn1p/8/1B5Q/P3P1R1/1P5P/3RK3 w - -,h4f4
8/5k1K/3pnP2/7P/4p3/4P3/1B6/8 b - -,e6g5
6k1/q1rb2bp/1QnN2p1/2P3N1/p2p1P2/3r2P1/6BP/R4RK1 w - -,a1a4
r3r1k1/3bpp1p/2p3p1/p1Pq4/1p1PN3/1P5P/P3QPP1/3RR1K1 w - -,e2d2
8/5pk1/3R3p/8/1r3PP1/5PK1/8/8 w - -,f4f5
2rq1rk1/pp1b2pp/2nbpn2/3p4/3P4/P2B1NN1/1P1B1PPP/2RQR1K1 w - -,b2b4
r1bqk2r/pp2pp1p/3p1np1/2pPn3/2P1P3/2PBB3/P4PPP/R2QK1NR w KQkq -,h2h3
8/6p1/7p/p1n2k2/PpB1pP2/1P2P1KP/6P1/8 b - -,g7g5
r3r3/2p2ppp/1ppn1k2/8/8/1BPb1P2/PP1N1KPP/R3R3 b - -,e8e1
1r4k1/pp2pp1p/3pbbp1/8/4P1PP/Q4P2/qPP1B3/2KR3R b - -,a2a3
r4rk1/1bqnbppp/p3p3/1pnBP3/3N4/2N5/PPP1QBPP/R4R1K w - -,d5b7
4qrk1/r5b1/p3Pp2/2pN1P2/5R2/3n2P1/PP2R1QP/6K1 b - -,d3f4
rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq c6,e2e3:c1g5:d4d5:g1f3
rnb2rk1/1pqpbppp/p3pn2/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 w - -,f2f4
5r2/pQ3pk1/3qp1p1/4R3/P2P3p/4P1P1/5PKP/8 b - -,h4g3
2r3r1/pb1qppbk/1p4pp/2p5/3pPP1P/1P1P1NQ1/PBP3P1/4RRK1 b - -,f7f6
4r1k1/1pq2pbp/p2p1np1/3Pr3/NQP5/5B1P/P4PP1/1R3RK1 w - -,f1c1
3k3r/B1rp2pp/8/4bp2/2B5/PP4P1/5P1P/4RK2 b - -,e5c3
6k1/p1p4p/1p2prp1/2n5/1PPq1P2/3r4/P2NQ1PP/3R1R1K b - -,d3e3
3R4/1b3pkp/pn2p3/4P1P1/3bp1P1/1P6/P1r3BP/5Q1K w - -,f1f6
r2q1rk1/1p3pb1/2ppbnpp/4p1B1/p1P1P3/PnNP2P1/1PN2PBP/1R1Q1RK1 w - -,g5f6
r3r1k1/p4p1p/1p1p1q2/2p5/2PPP1p1/2NQRbP1/PP3P1P/R5K1 w - c6,c3d5
r2q1rk1/pbpp2pp/1pn1pn2/2b5/2P1P3/2N3P1/PP2NPBP/R1BQ1RK1 w - -,c3a4
2rqrbk1/pppb1p1p/3n2p1/3Pp3/8/1PN1P1P1/PB1Q1PBP/2R2RK1 w - -,f1d1
6k1/7p/5B2/3p1p2/2pP4/2P4P/1b3PPK/r2N4 w - -,d1b2
1rq1r1k1/3npp1p/1pbp2p1/p7/P1P1P3/1P2Q1PP/4NP2/2RR1BK1 w - -,e2d4
r5k1/1pp2p1p/2npbq2/2n2P2/2P5/rP4P1/2BQNR1P/1R1N2K1 b - -,e6d7
2r5/pp2kppp/8/8/3p4/P4P2/1PPRKP1P/8 b - -,e7e6
2b2rk1/p1q3pp/1p2p3/2P1Rp2/1P1r1P2/P7/3NQ1PP/5R1K w - -,d2b3
rn1qk2r/pbppb1pp/1p2pn2/5p2/2PP4/4PNB1/PPQN1PPP/R3KB1R w KQkq -,d4d5
r7/2q3k1/3p1bP1/p2Pp3/np5p/3B4/PPP1Q3/1K1R1R2 b - -,e5e4
1rr3k1/5p2/4p1p1/p1qpn2p/P6P/1P2R3/RQP2PP1/6K1 w - -,e3e5
5n2/2Q5/p4qp1/1p2N2k/3p1P1p/7P/1P4P1/6K1 w - -,e5g4
krq5/1p3rb1/pPp5/2Pp1n2/PN1p3p/1R1QP1pP/1B4P1/1R4K1 w - -,b2d4
rnb4r/p3k1pp/1pp1p3/3p1p2/2PP3P/2qBP3/P2N1PP1/RQ1R2K1 w - -,c4d5
r1b2n1r/1p3nkp/2p2pp1/p3p3/P3P1P1/2R1B1NP/1PPN1K2/3R4 b - -,c8e6
3r4/1p4kp/4b1p1/2Q1P3/4B3/7P/Pq4P1/4R1K1 b - -,d8d7
