8/4k1p1/4p2p/Pp2P3/3P1RKP/r7/8/8 b - -,a3a5
3b1rk1/pp1q2p1/2p4p/3pB3/P2P4/2P4P/1Q2RPP1/6K1 b - -,a7a5
5Q2/3b2P1/8/1p2k3/p5r1/PP6/K1P5/8 b - -,a4b3
r3q2k/1pp3bp/3p4/p1nPpr2/2P3B1/P1Q1B2P/1P3P2/2KR2R1 b - -,f5f6
4rr1k/1ppn3p/3p2b1/1P6/2BPqB1P/Q3P3/P4P2/2K1N1R1 b - -,e4b1
r1bq1rk1/1p1nppbp/2p2np1/p7/8/2N3P1/PPPPNPBP/1RBQ1RK1 w - a6,a2a3
8/5pk1/7R/6Pp/2P2p2/8/5K2/2r5 w - -,f2f3
rnb2rk1/1p2p1bp/q2p2p1/8/p2PB3/5NP1/P2BPP1P/1R1Q1RK1 b - -,b8c6
2B5/p3k3/1p3p2/2pKn1p1/2P3P1/P7/1P3P2/8 b - -,e5d3
r7/4p1k1/2qp1p2/8/P3P2R/1Q4P1/5P1K/8 b - -,a8h8
5k2/1P1b2p1/3N4/3P1p1p/1PQK4/5P2/8/2q5 b - -,c1g1
rnbqk1nr/ppp1p1b1/6pp/3p1p2/3P1B1P/2N5/PPPQPPP1/R3KBNR b KQkq -,a7a6
8/8/8/4k1P1/1R4n1/3B4/1p1KP3/7r w - -,b4g4
8/2Rb2rp/1p3k2/P2P4/4BP1P/4K3/8/8 b - -,b6a5
5rk1/r2n1ppp/pp6/4pN2/2P5/bP2B1P1/P3PP1P/3R1RK1 b - -,g7g6
2r2rk1/p3b1pp/2b1pn2/P2pBP2/2pP4/1pP1PP1P/1P1N4/RB3RK1 b - -,f6d7
2k5/5p2/2P3p1/8/3K4/7P/5P2/4n3 b - -,f7f6
r3k2r/pp5p/2bqpp1P/3p4/8/3B2P1/PP3P2/2RQ1RK1 w kq -,d1h5
r3r1k1/1b3ppp/2q2b2/p1p1p3/2PpP2P/1P1N2P1/P1B1QP2/4RRK1 b - h3,g7g6
r2q1rk1/pppn1pp1/2b1pn1p/8/1b1P4/P1NQ1NP1/1P2PPBP/R1BR2K1 b - -,b4c3
K7/p7/8/1R6/r7/4k3/PP6/8 b - -,a4a2
rn1qk2r/pb2ppbp/1p1p1np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQR1K1 w kq -,e2e4
5rk1/p4r1p/1p1q2p1/n2Pp3/2p1P3/b1P2PBb/P2RQ2P/1RNB2K1 w - -,e2e1
rn1kbb1r/ppp3p1/5p1p/3P4/2B1N3/8/PPP3PP/2KR2NR b - -,e8g6
r1b2rk1/pp3pb1/8/4pp1p/2R1pB2/6P1/PP2PPBP/3R2K1 w - -,f4e3
6k1/1p3p1p/8/3BP1p1/6P1/B2p3P/Pn6/2b3K1 b - -,d3d2
2r2rk1/5pp1/p5p1/3p4/1p1N4/1PPRQPbP/P3R1Pq/5K2 w - -,e3g1
5k2/p1r1Q2p/2b5/1p3P1N/3p4/P2P2P1/1P3P1P/5RK1 b - -,c7e7
5b2/5k2/p5np/2pKPN2/1rP5/6B1/7R/8 b - -,b4b3
4kb2/1r6/4pp1p/2p4R/2p1PP2/2P5/RP2KP2/8 b - -,e8f7
r2qk1nr/pppn2pp/3bbp2/3pp3/1P3P2/P3PN2/1BPP2PP/RN1QKB1R w KQkq -,g2g3
1r6/r2nk2p/2R2pp1/1p1Rp3/pP2P3/P4P2/2P3PP/2K2N2 b - -,d7f8
2rb4/1p4k1/p1pBp3/P1PpP2R/1P2pPp1/4P1P1/6K1/8 w - -,f4f5
r4rk1/2q4p/1ppnbppb/p1p1p3/P3P3/1PBPN3/2PNQPPP/R4RK1 b - -,b6b5
r1bqr1k1/5ppp/p2p1b2/npnP4/2pNP3/P3B1N1/1PB2PPP/1R1QR1K1 b - -,g7g6
8/8/6R1/8/5r2/7p/4K3/7k w - -,g6h6
8/p7/k3p3/1n3p2/5P2/6K1/4B3/8 w - -,e2c4
2r2b2/1p1n1k2/p1p2ppp/P2p4/1P1P4/2PN1PB1/3K2PP/1R6 b - -,c8e8
8/3r1k1p/1p3pp1/pqnp4/8/BPQ1PPP1/P2R2KP/8 w - -,a3b2
r1bq1rk1/1p4bp/p1n3p1/2Pn1p2/4p3/2P2N1P/PPN2PP1/R1BQRBK1 b - -,g8h8
5rk1/1q4pp/1p3b2/1n2pp2/R2p4/PN1P1PP1/1Q1N2KP/8 b - -,b5c3
r1bqk1nr/pppn1pbp/3pp1p1/8/3PP3/1B3N2/PPP2PPP/RNBQ1RK1 b kq -,g8e7
1r4k1/1r1bppb1/p2p2p1/2pP3n/Pqp1P3/2NnNPPP/RP1QBB1K/4R3 w - -,e2d3
r1b2rk1/pp1n1pbp/4p1p1/2q2n2/2B5/2P2N2/PP1NQPPP/R1B2RK1 w - -,d2e4
r1bq1rk1/6bp/n1p2pp1/1p1n4/p2PN2Q/2P2N2/PPB3PP/R1B2RK1 b - -,a8a7
5rk1/ppB2pp1/2n1p2p/2Nn1b2/8/5PP1/PP2R1BP/6K1 w - -,c7e5
8/5k2/p3r3/2R1P1p1/6P1/1P2n3/P4K1N/8 b - -,e6h6
5rk1/5ppp/8/r7/1p1N1q2/8/1P2Q1PP/R2R2K1 b - -,a5a1
rn1qk2r/pbp1bppp/1p2pn2/3p4/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 w kq -,c1b2
rn1qkb1r/1b1p1p1p/4pp2/1pp5/3PP3/5N2/1PPN1PPP/R2QKB1R w KQkq -,a1a8
8/8/3r2p1/3k1p2/R4P1K/8/8/8 b - -,d5c5
r1b1kbnr/ppp3pp/2p5/4N3/3Pp2q/8/PPP1QPPP/RNB1K2R b KQkq -,g8f6
4r1k1/pp3ppp/1bp2n2/3n4/Nq1P1P2/1B3QPP/PP6/2BR1K2 w - -,a4b6
2r2rk1/1p3ppp/1n2p3/p3P3/b1B2B2/P1R2P2/2PK2PP/7R w - -,c4b3
r2q1rk1/p2p1p1R/bpn1p1p1/4P1P1/2PP4/3B2N1/P4PP1/R2QK3 b Q -,d7d5
r1qr2k1/3n1p1p/1p4pb/pPp1P3/5P2/P2P1B1P/3QNP2/2R2RK1 b - -,d7e5
8/8/1r4k1/R7/6P1/7K/8/8 b - g3,g6h6
3r1r2/pp4kp/3p2p1/4p3/2Pn4/1P2NP2/P2R2PP/3R2K1 b - -,a7a6
r4rk1/pp3p1p/4b1p1/3NP3/3pP3/1P1P4/6PP/B3R2K w - -,a1d4
3r1rk1/ppnqpp1p/1np3p1/8/2NPP3/1P4P1/1Q3PBP/3RR1K1 w - -,d4d5
r1br2k1/pp3qp1/2n4p/3p4/5P2/1QNB4/PP4PP/R4RK1 w - -,a1e1
1r4k1/p6p/2PNp1p1/2n5/5b2/BP6/P5PP/2KR4 w - -,c1b1
r5k1/p1p1r2p/1p1b2p1/3P1p2/2PB2n1/1PN1PRP1/P5P1/3R2K1 b - -,a8e8
r2qk2r/1p2n1pp/p1n2p2/b2p4/2pP2b1/P1N1PN2/1P1BBPPP/R2Q1RK1 w kq -,h2h3
1k6/p4p1p/K3p3/1P1p2p1/P7/2P1P3/5PPP/8 b - a3,e6e5
1rq2r2/p1p1npkp/3pb1p1/2p2P2/4P3/PBNQ4/1PP3PP/4RRK1 b - -,g6f5
rn1qkbnr/pp2pppp/2pp4/8/3PP1b1/5N2/PPP1BPPP/RNBQK2R b KQkq -,d8c7
r2r2k1/pp1R1R1p/6pB/8/8/7P/PP3PP1/6K1 b - -,d8d7
8/5ppk/7p/2n5/8/pP3PP1/R1K4P/1n6 b - -,b1d2
5rk1/pp3qp1/4p3/3p1r2/1nPPp1Q1/1P2B2P/P2R1P2/5RK1 b - -,f5f3
1rbq1k1r/5p2/pn1p1bn1/2pPpNp1/2P1P2p/2NBB1PP/1PKQ1P2/R6R w - -,d2e2
rr1b4/3Pk2p/2R1ppp1/pp6/3R2P1/1P5P/1P2BP2/6K1 b - -,b8b6
2kr3r/pbqnb2p/1pn2p2/3p1B1P/1PpPp2N/P1P5/1B1N1PP1/2RQR1K1 w - -,d2f1
2r1k3/2q2pp1/1Q2p1p1/p2P3r/4P3/2B2PP1/1Pn3K1/R4B2 w k -,b6c7
5Qbk/8/2BBp2p/4Pp2/5p2/8/4q3/6K1 b - -,e2e1
r4r2/1p3pk1/p4np1/3Pp1R1/4p2P/7B/PPP2P2/2KR4 b - -,f8h8
3rrb2/Bpk2ppp/2p2n2/8/2N2Pb1/2P3P1/PP3RBP/R5K1 b - -,f6d7
rnb1k1nr/1pqp1pbp/p3p1p1/8/3NP3/2NB4/PPP2PPP/R1BQ1RK1 w kq -,c1e3
8/1pk2p2/2P2p2/RP5p/4p2P/1r4P1/4KP2/8 b - -,b7c6
1rr3k1/4qpbp/3pn1p1/6P1/QpP1P2P/P2p2RB/1P1N1P2/1KR5 b - -,b4a3
8/pR6/2B1P2p/kp6/2pPPQKp/2q5/P6P/8 b - -,c3d4
3rb3/4kpr1/3pp3/p5q1/B4RPp/2P2Q2/PP6/1K3R2 w - -,b1a1
6k1/p3r1pp/1pPnpp2/8/P2P1N1P/6P1/5P2/R5K1 b - -,g8f7
r7/3k1P2/8/1K6/8/8/1p6/5R2 w - -,b5c4
6k1/p3qpb1/2p4p/1p6/3QP1np/2NB3P/PP3PP1/6K1 w - -,e4e5
