8/6r1/6Pp/p1k4P/Kp3R2/8/PP6/8 w - -,f4f7
1r2qrk1/pp1bppbp/3p2p1/PN1P4/1pP1PPn1/1N1B4/1PQ3PP/R4R1K w - -,c2e2
2r2rk1/p2n1ppp/1p2p3/4n3/1P2P3/P1R1NP2/1B2K1PP/7R b - -,c8c3
3r1rk1/5ppp/p2N4/1p2P3/2pq4/1P1n4/P3Q1PP/3R1R1K w - -,b3c4
5r2/p1R3b1/4p1k1/2Nb1np1/8/P2N4/1P3PBP/6K1 w - -,c7a7
4nk2/4R1bp/p2p1np1/2pP1p2/2P2P2/1PN3P1/2BB3P/7K b - -,f8e7
r2q1rk1/1p2bppp/pn1pbn2/4p3/P3PP2/2N3PP/1PP1N1B1/R1BQ1RK1 b - f3,e6c4
4k2r/6p1/B1p5/4Pp1p/6b1/5pP1/1PP2K2/7R b k -,e8e7
r1bqk2r/pp2bppp/2n1pn2/2pp4/4P3/2NP1NP1/PPP1QP1P/R1B1KB1R w KQkq -,f1g2
5rk1/1bq1brpp/4p1n1/p1npP2N/1p1B2P1/1P5P/P1PNQRB1/4R1K1 b - -,b7a6
8/8/3k2pp/n3p3/4P3/1p1N2PP/3N1K2/n7 w - -,f2e2
1qrr2k1/1p3p1p/p3Rp2/8/P1B5/1P3Q1P/2P2PPb/3R3K b - -,d8d1
1r1r3k/1p4pp/pR1Pbp2/2P5/q3B3/6Q1/P4P1P/1R4K1 w - -,b6b7
2rr3k/7p/p4np1/2pBRp2/2P2P1q/3R1Q2/PP5P/7K w - -,d3d2
r4rk1/pb1nqpp1/1pp1p2p/3N4/3P4/3BPN2/PP3PPP/2RQ1RK1 b - -,e6d5
2r2r1k/1p2qpp1/3p4/p1n1pPb1/P3P3/1bN1BB2/1P1R3Q/R6K b - -,h8g8
r1b2rk1/1pq2ppp/2pb1n2/p1n5/3N4/P1N1P2P/BP2QPP1/R1BR2K1 b - -,a5a4
2rqn1k1/3r1pp1/ppbpp2p/8/2P1PQ2/PP3PP1/1B1R2BP/2R3K1 b - -,d8g5
5rrk/1p2q3/4Rn1b/p2p4/2PN4/1P3BR1/P1Q4P/7K b - -,e7f7
r4nk1/6p1/2p1p3/1p1r3p/8/2B1R1PP/1P3P2/4R1K1 w - b6,g1g2
8/8/1R5K/5k1P/8/8/7r/8 b - -,h2h1
q3k2r/rb1nbppp/pp6/2p5/7N/2Q3P1/PP3PBP/R1BR2K1 b k -,d7f6
8/8/7P/3k2p1/R1N5/Pr6/8/1bK5 w - -,c4d2
2r2rk1/1p2bpp1/p2p1n1p/4p3/P1q1P3/2N1BP2/1PPRQ1PP/5RK1 w - -,e2c4
1R1b1rk1/5rnp/p2p3q/P1pPp2n/2P2p2/3B1PPb/2QB2NP/4RNK1 w - -,g3g4
r1b2rk1/p2q1pb1/2pp1n2/2p1pPB1/4P3/2NP4/PPP3PP/R3QR1K w - -,e1h4
8/5pk1/3B1n1p/1B6/5PPP/5K2/1b6/8 b - -,b2c3
1r3rk1/pppqbppp/6n1/4n3/1PPp2b1/P4NP1/3NPPBP/R1BQ1RK1 w - -,c1b2
2r5/3r1k2/p3ppp1/bp5p/3P1P2/P1P1N1P1/b2BRK1P/R7 b - -,a2c4
3r2k1/2p2pp1/2nr3p/pp2p3/4P3/1PP1P3/1P2K1PP/R2R1N2 w - -,f1g3
r2r2k1/pb1n1pb1/1ppq2pp/3p4/1P1P4/3BPN2/P1Q1NPPP/1RR3K1 w - -,e2g3
2r5/2r1kp2/4p1p1/3pP2p/1P5P/1P3PP1/NR1R4/3K1b2 b - -,f1h3
r1bqk2r/pp2b1pp/1nn1p3/3pPp2/3P1P2/5N1N/PP4PP/R1BQKBR1 w Qkq -,a2a3
2r2qk1/p2b3r/1p1p1p2/n1pPpPp1/2P3Pp/R1PB1P1P/PR3B1K/4Q3 w - -,b2e2
6k1/1p1q1pp1/pnr1p2p/3pPbb1/3P1N2/PB2B2P/1P3PP1/2RQ2K1 w - -,c1c6
r5k1/p4pp1/2R1p1bp/3n4/2BP4/N1n1P2P/Pr1N1PPK/2R5 w - -,c4d5
rn1k2nr/pp2pp1p/6p1/2p5/2P1P3/2P2P2/P4P1P/R1B1KB1R w KQ -,c1e3
r1b2rk1/p1pnqppp/1p2pn2/3p4/2PP4/P4NP1/1P1NPPBP/2RQ1RK1 b - -,c8b7
Q6k/p5p1/P6p/1p6/1q5P/1P4P1/5P2/6K1 b - -,h8h7
6k1/2n1p1b1/p2p2p1/1p1Pn1P1/3N2r1/PP2B3/2P1K1B1/3R4 w - -,g2h3
rn3N2/1n3pkp/1R2p1p1/1b6/4P3/5N2/PP3PPP/R5K1 b - -,b5c6
8/pr4pp/4kp2/8/7R/4K2P/P4PP1/8 b - -,g7g6
2b2rk1/p4pbp/1p4p1/1P2n3/4N2B/1B2P3/P4PPP/3r1RK1 w - -,f1d1
r3k2r/1p2bppp/p2p1n2/1q1P4/5B2/2P5/PP2Q1PP/2NRK2R b Kkq -,b5e2
5r2/8/1k1Q4/8/1p6/6PP/R6K/2q5 b - -,b6b5
5rkr/p4bpp/4Q3/3p2P1/7P/3BP3/6K1/8 w - -,e6d7
rnk1q2r/pb4np/1pp5/3p2B1/4NQ2/4P2P/PPP2P2/2KR4 w - -,e4d6
r2qr1k1/3b1pbp/4p1p1/p7/4B3/BPp2Q2/P1P2PPP/R3R1K1 b - -,a8b8
7r/2r2pk1/p1pbq1p1/Pp1p3p/1P1P4/4P1P1/2R1QP1P/1RN3K1 w - -,e2f3
r2qr1k1/p4pp1/1pn2n2/2pp4/3P3p/P1PQPP2/1B4PP/4RRKN b - -,f6h5
2b1kb1r/1p2pppp/1pn2n2/r2p4/2pP1B2/2P1PN2/PPN2PPP/R3KB1R b KQk -,c8f5
r3k2r/pp1n4/3ppq1p/bPpP1pp1/8/P2BPNP1/1PQ2PP1/2KR3R b kq -,e6d5
8/8/3r1k2/6p1/1R4Kp/8/8/8 w - -,b4a4
2rqr1k1/1b1n1ppp/ppp2n2/3p4/1P1P4/4PNP1/PQRN1PBP/2R3K1 b - -,e8e7
rnb1k2r/ppp2p1p/5pp1/q7/1b6/1PN1P3/P2P1PPP/2RQKBNR b Kkq -,c8f5
2krr3/ppp2ppp/8/8/1b6/2P1BP1P/P3KP2/R6R b - -,b4c3
1r3r1k/pQ3p1p/3p2p1/3Pb2P/2q5/1NP5/PP4R1/1K4R1 w - -,b7a7
1k1r3r/1p2R2p/p1p2P2/7P/3pNPB1/8/qPPB4/2K4R w - -,c1d1
1rr2bk1/4qp1p/np1p2p1/pQnPp3/P3P3/N1N1BPPP/1P3RK1/3R4 w - -,b5e2
1rb1r1k1/2qn1pb1/pppp1np1/4p2p/P1PPP3/1P1B1NNP/1BQ2PP1/3RR1K1 b - -,c8b7
r1b2rk1/1p2qpbp/p1p1pnp1/3nB3/3P4/P3PN2/BPQ2PPP/1NR2RK1 b - -,f6d7
5rk1/p3npb1/3N2p1/2r1p1p1/6q1/1Q3NP1/4PP1P/3R1RK1 w - -,h2h3
2rq1rk1/pp2bppp/2n1pn2/3p4/8/P1NP2P1/1P2PPBP/R1BQ1RK1 w - -,c1d2
2b5/8/2p4p/2Np1k2/1PpP4/5PKP/8/8 b - -,c4c3
4r3/2pq1kpn/rp1p1p2/3P4/P1P1Pp2/R3N1Pp/R7/3Q2K1 w - -,g3f4
r7/2k3p1/2p2p2/N1Pb3p/1P3p2/2P2P2/5KPP/3R4 w - -,h2h4
r4qk1/4p1rp/p1bP2p1/1p4Qn/8/2NB1P2/PPP3P1/2KR3R b - -,e7d6
Q7/3b1kpp/1p1Pp3/p6q/Pp1P4/1P1BP3/7P/6K1 w - -,a8d8
8/1p2k3/p1b1pp2/3r4/3P1KP1/P7/1PR5/4N3 w - -,f4e3
6rk/4n1b1/p2N1nq1/3Pp2p/4Ppb1/1Q3B2/PP4PP/2R1BR1K w - -,e1h4
8/5pk1/p2R3p/2PP4/6rn/8/PP5K/8 b - -,a6a5
8/7R/8/6P1/k1p2B2/1n1p1P2/2r5/5K2 b - -,d3d2
r4rk1/pp1b1ppp/2n2n2/1B6/8/4BN2/PP3PPP/R4RK1 w - -,f1d1
3r4/4kp2/1Qpq1p2/1p2p3/4P2p/1bP4P/1P2BPP1/R6K w - -,b6e3
2k4r/8/1pb1p3/p1p1b2p/P1P1P1p1/R1BP4/4B1PP/6K1 b - -,e5c3
2b1rqk1/5p2/pn1p1bpp/2pP4/2P2P2/2NBr1NP/1PQ3PK/R4R2 w - -,g3e4
5rk1/1p2q2p/2n5/5pNP/p3p3/r2B4/bQP2PP1/K3R2R b - -,a2c4
r1b2rk1/pp3p1p/3R2p1/4p3/1P6/P5P1/5PBP/2R4K w - -,c1c7
r3rnk1/pp3pp1/2pbbq1p/3p4/3P2P1/3BPN1P/PP2NPK1/2RQ3R b - -,f8g6
r1b1r3/pp4bk/7p/4p2B/2PpnP1B/8/PP4PP/R3K2R w KQ -,h5e8
2k1r2r/1pp3p1/p1np2q1/5p1p/2P1bP1B/1PP4P/PK1Q2P1/3RRB2 w - -,e1e3
8/8/8/5pk1/1p4pN/1P2K3/2r5/7R b - -,c2c3
2r2rk1/pp1qn1bp/4bpp1/3p4/3P1B2/2PB1N2/PP3QPP/R4RK1 b - -,e6f5
r1b1rbk1/p1q2ppp/2p2n2/1pp1n3/4P3/2N2NPP/PPQ2PB1/R1BR2K1 w - -,f3e5
