8/8/8/8/1PNn1p2/2nN2k1/4p3/2K5 w - -,c4e5
r1bqr3/1p3pkp/2np2p1/2p2p2/2P2P2/pP2P3/P2PB1PP/R2QNRK1 w - -,e1c2
4r1k1/8/2p5/2PpB1p1/1P1P2P1/5R2/1r5P/6K1 w - -,f3f5
r5k1/1bppb1pp/np2p2r/p2P1p1q/2P5/2N2NP1/PPQ1PPBP/3R1RK1 w - -,h2h3
8/5p1k/6p1/1p2p3/4Qn1q/2P1R2p/1P3K2/8 w - -,f2f1
r2r2k1/1p1n1pp1/p1q1pb1p/3p4/3P4/1QPbRNP1/PP1N1P1P/4R1K1 w - -,e3d3
1rr1bk2/4bppp/p2ppn2/8/2pBP3/P4P2/NPP1B1PP/1K1R3R w - -,b1c1
8/5k1p/2p5/2p2p2/2P4P/1q6/6P1/2Q3K1 b - -,b3g3
1rbr4/p3pkbp/1p4p1/2p1B3/P7/2P2B1P/1P3PP1/R3R1K1 b - -,g7e5
7r/1b2kp2/2p2p1p/2q1pP1N/1pP1P1P1/1Bb3KP/R7/3Q4 b - -,h8d8
8/4k3/3p2pp/p3p3/b1PpP3/Pn1P1NPP/3K4/5B2 w - -,d2c2
8/1p3pkp/2bR4/5P2/2P5/1r6/4BKPP/8 w - -,h2h4
r1b1r1k1/pp3ppp/2p2q2/2n5/2PR4/P1Q1B3/1P2BPPP/2K4R w - -,h1d1
rr4k1/3n2p1/4pq1p/p1pp4/Q7/1P2P3/P3BPPP/R4RK1 b - -,a8a7
5rk1/ppr1nppp/4p1b1/q2nN3/1bBP2P1/2N1B2P/PP1Q1P2/2RR2K1 w - -,e5g6
8/7p/6p1/P4p2/2kprP2/2p2KPP/2R5/8 w - -,a5a6
8/4k3/3Q4/8/7P/3B4/7K/8 b - -,e7d6
r5k1/p3Rp2/Pp5p/3p1B2/5p2/5P1P/1b3P2/5K2 w - -,e7d7
r3k2r/ppqn1p1p/2pbp1p1/8/2BPn3/1Q2PN1P/PP1B1PP1/2R2RK1 w kq -,d2c3
4k3/6pp/1K6/2P5/6P1/3R3P/r7/8 b - -,a2b2
2k3r1/ppp1qp2/1n2p1p1/3pP1Pb/3P1P2/1P5R/P1P4N/1KQN4 w - -,d1e3
R7/4k3/2p1P1KP/8/8/1p4P1/p4r2/8 w - -,h6h7
2k4r/p1p1pp1p/2prb1p1/8/8/1PP3P1/P3PPBP/R3K2R w KQ -,a1d1
r1bqr1k1/p5pp/2pbppn1/2pp4/2P1PP2/3P2PN/PP2Q2P/RNB2RK1 b - -,d8e7
r1b1kb1r/ppqn1p1p/4p1p1/2p1P3/Q6P/2P2N2/P2P1PP1/R1B1KB1R w KQkq -,a1b1
r2q1rk1/1p2nppp/p1npb3/2p1p3/P1B1P3/2NPN3/1PPQ1PPP/2R2RK1 b - -,e7g6
r5k1/7p/pR1Brbp1/2P5/P3p3/6P1/4R2P/6K1 w - -,d6c7
2r3k1/ppr2ppp/1qn1p3/2RpPn2/1P1P4/P2Q1N2/4NPPP/5RK1 w - -,e2c3
2rb2k1/5p2/np2r2P/3b2p1/1N1Pp3/P3P1B1/1R3PBP/3R2K1 b - -,a6b4
2kr1b1r/p1p3pp/2p1bn2/q7/2P5/2N5/PP2QPPP/R1B2RK1 w - -,e2e6
1r1qr1k1/p1n2pb1/3p2p1/1pnP3p/P1p1PP2/2NbBB2/1P3NPP/2RQR1K1 b - -,b5b4
r3kb1r/ppq2p1p/2n1pn2/5p2/2pP4/5N1P/PP2QPP1/RNB2RK1 w kq -,e2c4
r1q1k2r/pbpnbppp/1p2pn2/8/4N3/3P2P1/PPPN1PBP/R1BQ1RK1 w kq -,f1e1:e4f6
r1bq1rk1/1p2ppbp/p4np1/8/2Pp4/P1N3P1/1PQ1PPBP/R1B2RK1 w - -,f1d1
3r1r1k/pp1qbpnp/2p1p1p1/8/PnBPP3/4BPNQ/1P3P1P/2R3RK w - -,g3e2
r1b1k2r/pppp1ppp/2n3q1/8/4P3/2P1b3/PP1NQPPP/R3KB1R w KQkq -,e2e3
1r4k1/b4pp1/p1Q2n1p/B1p5/1P6/P2qP1PP/5PB1/4R1K1 w - -,c6c7
r3k3/1pBn1p1p/2p3p1/4P3/2b1BP2/p1P3P1/P2R3P/6K1 w - -,c7d6
1r3rk1/5ppp/p3pn2/1pn5/3N4/P1N3P1/1P2PPbP/2R1R1K1 w - -,g1g2
2r2bk1/5ppp/q3pn2/4n3/Np3B2/1P4P1/4PPKP/3Q1R2 w - -,f4e5
1r2r3/p4k1p/2pb1pp1/p2p1p2/Nq1P4/1P1RPQ1P/P1P2PP1/K6R b - -,e8e4
2r1k2r/p2qn1b1/1p6/4Ppp1/1P1n1P2/3PB3/1Q3RB1/1R1N2K1 b k -,c8d8
7k/5pp1/p5qp/3p4/2bP1B2/2P2PP1/P6P/3Q2K1 w - -,a2a3
r4r2/pp2qpkp/2ppn1p1/5P2/2P1P3/2NR3Q/PP4PP/5RK1 b - -,e6g5
3r4/7p/4kp2/p1p1p3/b7/3P2P1/PP1RK2P/n3N3 b - -,d8b8
1r1qr1k1/1b3pbp/p5p1/4p1n1/P2p4/2P1NN2/1P2B1PP/R2RQ2K w - -,e3c4
r3rbk1/3b1p1p/2Np2p1/p2Pn3/2q5/4B1PP/3QPPB1/R4RK1 w - -,f1c1
7k/1br4p/p4ppb/1p1p4/3P3P/P2QPBP1/1P3K2/2qNR3 w - -,g3g4
4b3/8/2k3p1/p3Np1p/1pPK3P/5P2/PP4P1/8 b - -,c6c7
1rn2rk1/3b1pb1/3p2p1/4P1Bp/3P3P/p5P1/Bp3P1K/3Q1R2 b - -,d6e5
8/5k2/5p1n/3N1P2/4K3/6P1/8/8 w - -,e4f4
r6r/1p1nq1bk/pP1p1p1p/2pPpPp1/4P2P/2BP2P1/P2N2K1/1R1Q1R2 b - h3,h7g8
8/p4kp1/1p2p2p/2r2p1P/5P2/P1P3P1/1P2K3/7R b - -,e6e5
rnbq1rk1/pp2ppbp/2p2np1/8/2BP4/5NN1/PPP2PPP/R1BQK2R w KQ -,e1g1
r1bq1rn1/2p2pbk/p2p2pp/2PPp3/2p1P1P1/2N1BPN1/PP1Q3P/R3K2R b KQ -,d6c5
8/8/p4k2/1p2ppp1/8/1Pb1PN1P/P4P2/5K2 w - -,e3e4
1R6/8/4r3/8/3K2k1/5p2/8/8 w - -,d4d3
1r5k/p5bp/3Q4/q4p2/2r3n1/2N3P1/PP5P/R1B2R1K b - -,b8e8
r1bq1rk1/ppp1npbp/2n1p1p1/3p4/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b - -,b7b6
8/6k1/6p1/6P1/4K3/5R2/8/4b3 w - -,f3e3
rn3rk1/ppq1bppp/2pp1n2/4P3/P1B1P1b1/2N2N2/1PP1QPPP/R1B2RK1 b - -,d6e5
r3k2r/pbqnbppp/1pn1p3/2ppP3/8/P2P1NP1/1PPNQPBP/R1B1R1K1 b kq -,h7h6
rnb1kb1r/1pqp1pp1/p3pn2/7p/3NP3/2NB3P/PPP2PP1/R1BQ1RK1 b kq -,f6g4
1r1r3k/2nq2pp/1p1b1p2/1Pp1p3/4P3/2BP2P1/1QN2P1P/1R1R2K1 b - -,d7g4
r1bqk1nr/1pp2pbp/3p2p1/p1nPp3/2P1P3/2N5/PPB2PPP/R1BQK1NR w KQkq a6,c1e3
r2q1rk1/pp3ppp/2pbpn2/5bB1/2BP4/2P2N2/PP2QPPP/R4RK1 b - -,h7h6
r1b2rk1/pp1pp1bp/nq1n2p1/2pP1P2/2P5/2NB1P2/PP4PP/R1BQK1NR b KQ -,g6f5
4qr1k/p5p1/2p1b2p/1pPnP3/4Q2P/P2N1rP1/1P1B1P2/R4RK1 b - -,e8h5
r7/4pk2/6p1/2R1Pp1p/p1P2P1P/P7/1PK3P1/8 b - -,a8d8
1r2n3/6k1/5n2/pP1p1BN1/3P4/4P3/5PK1/2R5 b - -,b8b5
5R2/8/7p/5p1k/2p2r1p/2P4K/1P4P1/8 w - -,f8c8
r1r3k1/2qnppbp/p5p1/2pp4/P4P2/2nBBN1P/3N1QP1/R4RK1 w - -,f4f5
8/8/1r6/1p4P1/2k4p/8/4K3/1R6 b - -,b6g6
r6r/4kp1p/pnp1pp2/8/P2R4/1NP3P1/R3PP1P/6K1 w - -,b3c5
2r1k2r/p2qppbp/1p1p2p1/4P3/PPNp1P2/3P4/2PQ2PP/R4RK1 b k -,e8g8
7r/2bk1p2/1p1p3r/p1pPq1p1/P1P1PpP1/2P2P2/1RKQ1R2/5B2 w - -,c2b1
2r1r1k1/p3bppp/1p2b3/nB6/3P4/PqP2N2/3B1PPP/RQ3RK1 b - -,e8d8
r3r1k1/5ppp/8/p2pP2Q/1q1BnR2/6P1/P5KP/3R4 b - -,g7g6
2rr2k1/pb3p2/1p2p1p1/7p/3NnP2/BP2P3/P5PP/R1R3K1 w - h6,a3e7
r1b1k2r/ppq2pbp/2p1n1p1/2p1p3/P1N1P3/3P1NPP/1PP1QP2/R1B2RK1 b kq -,e8g8
5r2/pp6/2p1k1rp/2Pn4/8/1B2R3/P1P4P/3R3K b - -,e6f7
8/1k6/2r2pp1/7p/1P2P2P/3RNP2/2P2KP1/1r6 w - -,c2c3
r3r1k1/3p1p1p/6p1/2pP4/P7/1PNnPK2/3N2PP/4R3 w - -,e1d1
r3q1k1/2Q3pp/2pp4/2p1p3/2P5/3P2P1/P1P3PP/5RK1 b - -,a8a2
5k2/p2nppb1/5np1/qpp5/7R/2NPQ1PB/PPP2P2/2K5 b - -,b5b4
r1bqkb1r/pp2pppp/2n5/2pn4/8/1P3NP1/PB1PPP1P/RN1QKB1R b KQkq -,f7f6
