6k1/2p2pp1/8/2R1P3/P5r1/8/2b2B1K/8 b - -,c2a4
7r/1bknQ1pp/3N1P2/q5B1/8/3K4/1PP3PP/r2R3R b - -,a5d5
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NP3/2NBBP2/PPP3PP/R2QK2R w KQkq -,d1d2
r1bq3r/p4pk1/1n1p2p1/1QpP2Pp/2N5/2P1P2P/P4P2/3RKB1R w K -,h3h4
7r/1pk4p/p3ppb1/4P1p1/3P3P/5B2/PP2K3/7R b - -,f6e5
8/5q1k/p5b1/1p5p/3BpQ1P/1PP5/P5P1/6K1 w - -,f4b8
r4rk1/p1p3pp/1pbp4/3nq3/2BQ1p2/2B1P3/PP3PPP/2KR3R w - -,d4e5
8/1N6/p4k2/P2Pp1p1/4K1P1/2b4P/8/8 w - -,e4d3
1rb2r2/5nkn/pq1p2p1/2pP4/4NP1p/2N4P/RP1QB1P1/5RK1 b - -,f7h6
3q1rk1/3p1p1p/4n1p1/rb2R3/1pN5/6Q1/PPP3PP/5R1K w - -,c4a5
r1bq1rk1/ppp2pbp/1n4p1/3NP3/5P2/6P1/PP4BP/R1BQ1RK1 b - -,b6d5
r1bq1rk1/pppn1pbp/3p1np1/8/2PBP3/2N5/PP1QBPPP/R3K1NR w KQ -,e1c1
3b4/1b1k1ppp/p7/4p1P1/pP2P2P/P2P1N2/1K3B2/8 b - -,d7e6
8/6pp/5k2/2b5/3NK3/5PP1/7P/8 b - -,g7g6
4Q3/K7/8/5k1p/7q/8/8/8 w - -,e8f7
8/R2k1p2/3p4/1P1p4/P2P4/2P3K1/8/r7 b - -,d7c8
r1b1k2r/p1qnpp1p/2pp2pb/1p6/3PP3/2PB1NP1/PPQN1P1P/2KR3R w kq -,f3h4
8/6p1/5p1p/1kn1pP2/1p2P3/1P2K1PP/2N5/8 w - -,c2a1
8/5p2/5k2/1pp3p1/8/2P5/1P2KPP1/8 b - -,f6e5
6k1/1p1q1pp1/5n1p/2B5/p5b1/P2p2P1/1P1N1PBP/2R3K1 w - -,c1c4
5rk1/p1p2q2/2pp1r2/1b3Pp1/3B2P1/4Q2P/PPP4K/8 b - -,f6f5
5n1k/p3R3/2r5/8/2p5/8/P5PP/4R2K b - -,c4c3
r5k1/1N4pp/1n2bp2/pn2p3/8/3PP1P1/3N1PBP/2R2K2 w - -,c1c6
8/8/4kpR1/6Pp/2p3b1/4K3/1P6/8 b - -,e6f5
8/2R2p2/p7/1p2P3/1k3P2/1P6/P1P4r/2K5 w - -,c1b2
2b2r2/p1n3k1/1pP5/6pp/2B1Pp2/P2R3P/5P1B/6K1 w - -,d3d6
r1bq3r/p2nbkpp/2pp1n2/1p2p3/3PP3/2N1BN2/PPPQ1PPP/R3K2R w KQ -,f3g5
5k2/2R5/1n1r1p2/4p3/4P1P1/4NP2/8/5K2 b - -,b6a4
4r2k/8/2nBb2P/pp1pPp2/7P/2P1P3/P2Q1K2/6R1 b - -,b5b4
3R4/p1r2kpp/1p3p2/3P4/8/1P1bPNKP/5PP1/8 w - -,d5d6
r4rk1/pp1qnb1p/2pp1b2/3P1p2/2P1p3/4B1P1/PP1QNPBP/2RR2K1 w - -,d5c6
5b2/pp1k2pp/2p2p2/4p3/PP3n2/2B1NP2/5PKP/8 w - -,g2f1
r4rk1/pp2bppp/2n1bn2/3p4/6q1/PNN1B1P1/1P2PPBP/R2Q1RK1 w - -,b3d4
2r5/2P2k1p/4N3/p2P3p/P3K3/5P2/1P5R/6r1 w - -,h2h5
k1r5/1b3p2/p2ppNnp/1p2n2N/3RP1P1/1Pr4P/P1P1R1B1/K7 b - -,c3c2
r7/4p2p/1nk3p1/8/1R2P2P/p1KR2P1/P7/8 b - -,a8f8
r1b2rk1/2q1bppp/p2pp3/1p4P1/4PP1P/2N1Qn2/PPPB4/1K1R1B1R b - -,f3d2
8/8/5n2/5k2/1r6/5NP1/4R1K1/8 b - -,b4a4
r4k1r/pb3pp1/1pqbp2p/2p5/1nPP2Q1/1P3NP1/PB2BP1P/R4RK1 b - -,h6h5
1r6/5pk1/6p1/p1bB3p/P7/5NP1/5nKP/3R4 w - -,d1d2
r2qr1k1/ppp1ppbp/3p1np1/n2P4/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 b - -,c7c5
8/1k6/1p4R1/3K4/8/8/8/2r5 w - -,g6g2
r4rk1/1pq1npp1/2p4p/2b1p3/p1B1P3/P1P2NP1/1P2QPP1/3RK2R b K -,b7b5
r1b2rk1/p3qpp1/2pp3p/4nR2/1RP1P3/2PBB3/P2Q2PP/6K1 w - -,f5h5
1r6/1bq1n1bk/pp3rpp/2p1Np2/P1P2P2/2BPR3/1PQ3BP/5RK1 w - -,f1e1
3r2k1/1p1r1ppp/p4b2/8/n7/B1P2P2/PP1NKP1P/R2R4 b - -,f6e7
2rq1r1k/pp2pp2/2np3p/6RP/3PPQ2/2N1B3/1P6/3RK3 b - -,h6g5
rnb2rk1/1pq2ppp/p3pn2/3p4/2PNP3/2P1BP2/P3B1PP/R2Q1RK1 b - -,d5e4
r5k1/4pp2/p2p2p1/1p2bb2/4qN2/2P2Q2/PP2N1PP/3R3K b - -,e4f3
3rr1k1/1p3p1p/q1ppb1p1/8/1PP1P3/2Q3P1/3R1P1P/1R3BK1 b - -,a6b6
6k1/p4p1p/3p2p1/P1pPb3/1r4n1/2N1q1PP/1PQR4/R6K b - -,e3f3
rnb1kb1r/pp1ppp1p/5np1/q1P5/8/5N2/PPPNPPPP/R1BQKB1R w KQkq -,a2a3:e2e4
r2r2k1/4nppp/b2pp3/p7/2PP4/2NB1P2/3K2PP/RR6 w - -,a1a5
2kr1b1r/1ppq1ppp/1pn5/3NP3/8/1Q3N2/PP3PPP/2RR2K1 b - -,d7e8
3R4/kp3pr1/8/P6p/8/8/1R2KrP1/3n4 w - -,e2d1
r2r2k1/p1q2ppp/2p2nb1/2B1p3/4P3/1PPB1R2/P1Q3PP/4R2K b - -,d8d7
4rk1r/ppqn2p1/3b2p1/3p2B1/3Ppp2/2P5/PP2QPPP/2RR1NK1 b - -,f4f3
rnbq1rk1/1p2ppb1/p2p1npp/2pP4/P1P4B/2N1PN2/1P3PPP/R2QKB1R b KQ a3,e7e5
8/p5p1/7p/2pPk3/4p3/1P5P/P4rPK/2R5 w - -,c1c5
1r1qr1k1/p2n1ppp/2pbp3/2pp4/5P2/1P1P1QP1/PBPNRP1P/R5K1 b - -,d7b6
1k2r3/1p4pp/1p6/2b2p2/4b3/P1R1P2P/1PP2RP1/2K5 w - -,c1d2
6k1/5p1r/b2qp1p1/2p5/2P2PP1/4Q2K/8/1R1R4 w - -,h3g3
8/8/p1p4p/2k2K2/8/r7/PR6/8 w - -,f5e4
3rr3/p5kp/6p1/4pb2/3nB3/2N3P1/PPP2R1P/2K1R3 w - -,c3d1
8/2r3p1/4B3/p4P2/P2bk2p/3R3P/4K3/8 b - -,d4b6
r1r3k1/ppnnppbp/q1pp2p1/8/2PP4/1PB1NNP1/P1QRPPKP/4R3 w - -,c2b2
6k1/p2n1qpp/1p1P4/1N4b1/P7/3Q4/1r5P/R6K w - -,a1f1
8/5k2/p2p2p1/7r/6K1/1p6/8/8 w - -,g4f4
r2qkb1r/1b1n1ppp/p3pn2/1pp5/8/1P1P1NP1/P1Q1PPBP/RNB2RK1 b kq -,f8e7
rq3rk1/3bn2p/3p1np1/pp1Ppp2/4P3/3NQP2/PP2B1PP/1KRN3R b - -,b5b4
r1b1rbk1/1p3ppp/2p2n2/p1n1q1N1/2P1pP2/BPN1P2P/P1Q1B1P1/R2R2K1 b - f3,e4f3
r1b1r1k1/pp2bppp/2p2n2/7q/3PPP2/2N2P2/PPNQ2BP/R4RK1 b - -,h5h6
r4rk1/5ppb/2p1n2p/p4N1P/1qB5/1P6/P4QP1/4RRK1 b - -,h7f5
r3k2r/2pn1ppp/1p1qpn2/5b2/p1PP4/2Q2N1P/PP1NBPP1/2KR3R w kq -,e2d3
r2q1rk1/p3ppbp/2pp2pn/4Pb2/1p1PNPP1/3BQN1P/PPP5/R4RK1 b - g3,f5e4
rn1q1rk1/ppp1bp1p/5np1/3p1bB1/3P4/2N1PN2/PPQ2PPP/R3KB1R w KQ -,c2b3
4b1rr/p7/2pkpp2/1p1n4/3P4/2P1NBP1/PP1K1P2/3R3R b - -,d5b6
8/8/1k1p4/1P6/2K5/8/8/8 b - -,d6d5
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,c5d4:b8c6
r2q1rk1/1p2ppb1/p1bp2pB/7n/4P2P/2N2P2/PPPQ4/2KR1B1R b - -,b7b5
2k4r/Bp1r1np1/bR1p2q1/3Q1p2/5P2/3PPNPp/P1P4P/5RK1 b - -,d7c7
r1b1k2r/ppppqppp/2n2n2/2b5/2P1p2N/2NP2P1/PP2PPBP/R1BQK2R b KQkq -,e4d3
r2q1rk1/pb3pbp/1pn1pnp1/1N1p4/2P1P3/2N1BP2/PP1QB1PP/R3K2R w KQ d6,c4d5
8/6pp/2p1k3/p2r4/P4R2/6K1/5P1P/8 w - -,f4f8
r5k1/1pp2pb1/2n4p/p4P2/2P4q/P2pB2P/1P2rPB1/1R1Q1RK1 b - -,a8e8
6k1/4R2p/p1p3p1/2N3P1/2N2P2/7P/P4K2/2r4b b - -,c1c4
