8/4k3/2K1p3/4p2p/4P2P/5P2/8/8 b - -,e7f7
r6k/ppB1p1bp/2p1b3/2n2ppB/4p1P1/2N5/PPPr1P1P/1R2R1K1 b - -,d2c2
r4rk1/ppqnbppp/2p1pn2/5b2/2PP4/P4NP1/1P2NPBP/R1BQ1RK1 w - -,c1g5
r3k2r/ppqbbnp1/2n1P2p/2p2p2/P1Np1P2/1PP2N2/3PQ1PP/R1B2RK1 b kq -,d7e6
1r3n2/2r3kp/4B1p1/4P3/3RNP2/3K4/6PP/8 w - -,e6d5
rnbqk2r/pp2bppp/2pp1n2/8/3NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq -,c8e6
4r1k1/pp1q4/2nr2p1/4ppQ1/7B/2PB4/PP1N1P2/R5K1 b - -,d6d3
8/8/1K6/r7/8/5k2/p7/R7 b - -,a5a8
r4r1k/1bb1q1pp/p3P3/2ppp1P1/5nQ1/N1P3NP/PP6/1BKR1R2 b - -,f4e6
r3k2r/ppnqnpbp/2pp2p1/5p2/3PP1P1/P1NBBQ1P/1PP5/R3K2R w KQkq -,g4f5
rn3r2/1R3pkp/4pp2/8/p1pP1P2/2P5/4PPBP/5RK1 b - -,a4a3
5rk1/pp4b1/2n2q1r/4p1p1/2P1Q3/P4PN1/1B1R2PP/R5K1 b - -,c6d4
r1r1n1k1/1p3p2/p3pqp1/2Pp3p/PP1P4/1QN3PP/5PB1/3R2K1 b - -,a8b8
r1b1k2Q/3n1p2/2p1p3/3pP1p1/8/1Nq5/P4PPP/R3R1K1 b q -,e8e7
r4r2/p2n1pkp/1p4p1/2pP4/3q4/1Q3B2/PP3PPP/3R1RK1 b - -,d4f6
r3r3/2p2pkp/1pp2np1/4R3/5P2/2N5/PPP3PP/2K1R3 b - -,e8e5
r1bq1rk1/1ppnbppp/3p1n2/p3p3/2PPP3/PP3N2/1BQNBPPP/R3K2R b KQ -,e5d4
rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq -,g8f6
r1rq2k1/5pbp/2pnp1p1/3p4/1PnP4/1NBBP2P/2Q2PP1/1RR3K1 w - -,c2e2
4r3/3p2kp/p1bB1p2/4p3/2P2rPP/1P2KP2/P4R2/3R4 w - -,g4g5
5k2/1R4p1/1p1P3p/8/bn6/5PP1/5KP1/8 b - -,b4d5
2rr2k1/p4ppp/qpnB1n2/8/3p4/QN4P1/PP3P1P/R4RK1 b - -,a6a3
r2qk2r/pp1b1pp1/3bpn1p/3p4/1n1P4/PP3N2/1BPNBPPP/R2Q1RK1 b kq -,b4c6
2brn3/1q3k1p/3p2p1/2p1P3/8/2P1Q2P/5PP1/3RR1K1 w - -,e5d6
N1b3k1/Qp1qb1pp/3p4/8/4P3/2N2r2/PPP2P1K/R1B4R w - -,h2g2
rnbq1rk1/pp2pnbp/2p2pp1/3p4/3PP3/2N1BN1P/PPPQBPP1/R4RK1 b - -,b7b6
r2q1r1k/pp4bp/1npp1np1/4pb2/2PP4/1PN1B1PP/P2QNPB1/R4RK1 b - -,d8e7
8/4kpp1/bp4p1/p2R4/4N3/1P3P2/P1r3PP/6K1 b - -,f7f5
1Q6/6k1/5qp1/4p3/3bB3/5PP1/1p4K1/8 b - -,f6b6
8/p4pk1/1p6/5Pp1/6P1/2P2K2/PP1R4/6r1 b - -,g1f1
r4rk1/q2nppbp/b2p2p1/2pP4/4P1n1/1PN2NP1/P1QB1PBP/1R3RK1 w - -,f1d1
2kr1b1r/pp3p2/1qP1n3/1N2nN2/P7/8/2Q1PRB1/R5K1 w - -,a1b1
2B1n3/p3r2p/1p3k2/4b1p1/2P1R1P1/8/P5KP/5R2 b - -,e5f4
1r2nk2/5pp1/2R5/3Np2p/2p1P2P/6P1/5PK1/8 b - -,e8f6
8/8/3pk1K1/5R1P/4P3/8/8/6r1 w - -,f5g5
2r2rk1/1pqn1pbp/p1b1p1p1/4P1N1/1P5P/P2B4/1B2QPP1/R3R1K1 b - -,f8d8
r4rk1/1pq1ppbp/3p1np1/p2P4/3B4/1B3P2/PPPQ2PP/R3K2R w KQ a6,a2a4
8/2k5/1p1rpp2/p7/2Pp1PP1/1P1R1Kp1/P3r3/8 w - -,f3e2
1r1q1r2/3b1pkp/p1pp2p1/n3p3/Pp2P3/3PPQ1P/BPPN2P1/R4RK1 w - -,f3g3
5rk1/2q1b2p/3pp1p1/4p1Pn/pp2P2P/3RQP2/P1P5/1KN4R b - -,h5f4
6k1/2p3rp/1p1n4/p1pPp2p/P1P1P2P/1PNR2P1/7N/2b2K2 b - -,c1b2
1r3r2/p3k1pp/8/2NR1p2/4bP2/8/PP4PP/4R1K1 b - -,b8b2
1kq2r2/1p1rpp2/p4p2/2pP1PbB/1P1R3p/P2Q4/K1R3PP/8 w - -,b4c5
r2q3r/4p1k1/ppp1bpp1/2p1P2p/6nP/2QPNN2/PPP2PP1/R3K2R w KQ -,e5f6
r4r2/pp5p/4k3/2p1Pp2/4n3/4B3/PP5P/3RR1K1 b - -,b7b6
r1bqk1nr/1ppp1ppp/pbn5/8/4P3/1NN5/PPP2PPP/R1BQKB1R w KQkq -,c3d5
r1b1k2r/1p2ppb1/p2p1npp/q7/P2N4/2N1B2P/1PPQBPP1/R4RK1 b kq -,c8d7
r2qkb1r/1p1n1ppp/p1p1pn2/3p4/2PP2b1/1P2PN2/PB2BPPP/RN1Q1RK1 b kq -,f8d6
2br4/5pkp/pp3b2/8/1P1n2P1/P1p5/7P/2Q1R1K1 w - -,c1f4
3r2k1/B2n1pp1/2B5/bP1p4/4p3/6P1/P4PK1/1R6 w - -,c6d5
2bq1rk1/2r5/2p5/1p4pp/pPpPB1P1/P3P1QP/5P2/R1R3K1 b - -,h5h4
2rr2k1/pb1n1pb1/2p3pp/P3p3/NqB1P3/5N2/1PQ2PPP/2RR2K1 b - -,c6c5
7Q/1K6/4p1k1/8/4Nn2/P7/6P1/8 w - -,h8f6
5k2/6p1/4pp1p/p2p4/P1pP4/1r2PP1P/R1NK2P1/6r1 b - -,g1g2
6k1/5p2/7B/1p6/b3P3/P5PP/5r2/1K6 b - -,a4c2
r1k4r/ppp2ppp/2p1b3/4P3/6P1/4RN1P/PPP2P2/R5K1 b - -,c8d7
5n1k/4q1bp/2p3p1/p1Pp4/P1n2B2/6PP/4NPB1/1Q4K1 w - -,g2d5
3rkbnr/pp1q1ppp/2n1p3/8/Q2p4/2P1BN2/PP3PPP/RN3RK1 w k -,f3d4
5r2/6kp/3p2p1/3Bpnq1/P1P5/6Pb/4NQ1P/1R4K1 w - -,f2a7
6k1/p6p/8/3Ppp1r/3P4/1P3K1P/P7/3R4 b - -,e5e4
3r2k1/2q2p1p/pb4p1/1b1Pp3/8/2PN1B2/1PQ3PP/4R2K b - -,g8g7
8/3p4/3Kb2k/p5R1/3R4/1p6/8/8 b - -,h6g5
r1b1k2r/pp3p2/2n4p/q1P3p1/1b1p4/2NBP1P1/PPQ2PP1/2R1K1NR w Kkq -,e3d4
8/8/p7/1p2bk1p/1P3p2/3K3P/3B2P1/8 b - -,e5f6
r2q1rk1/p1p1n1pp/1p1p1n2/3Pp3/2P5/2NBPQ2/PP3P1P/2KR2R1 b - -,d8d7
3r4/ppp1k2p/2p1b1p1/8/4P2P/2N1KPR1/PPP5/8 b - h3,e7f6
2r4k/6p1/5b1p/p2p4/P3p3/1PP1BrP1/2KNR2P/8 w - -,d2f3
2rq1rk1/p3bppp/1pp5/2nP4/4N3/PQ3N2/1P3PPP/1K1RR3 w - -,e4c5
5b2/1R3pk1/p5p1/4p2p/r5P1/1NP4P/1P3PK1/8 w - -,g4g5
r1br2k1/4qppp/p1nbpn2/1p6/1Pp5/P3PN2/1BQN1PPP/1BR1K2R w K b6,d2e4
3r2k1/4ppPp/6p1/2pP4/p7/4B1P1/P4PBP/1bN1qQK1 b - -,e1f1
8/2k2p2/8/5PP1/3n4/1n5R/5K1P/8 b - -,c7d6
r3kbnr/pp1b1ppp/2n1p3/2pq4/3P4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,c1e3
4r1k1/7n/3R2p1/3P3p/4p1r1/7N/1P2R1P1/7K w - -,h3f2
r2r1bk1/qb1n1pp1/p1n5/1ppNP1N1/5B2/P6P/1P3PP1/R1Q1R1K1 w - -,e5e6
1r3rk1/p1p2p2/1p1p3p/5p2/1PP2P2/P4K2/4PP1P/2R2R2 w - -,c1d1
r5k1/1p3ppp/3q4/p1ppr3/2P3R1/1P2P3/PQ3PPP/1R4K1 b - -,g7g6
