8/1p6/4k3/1PP4p/5K2/1b6/N7/8 b - -,b3a2
8/5pk1/5p2/1Q4n1/8/1P4P1/2qb1PB1/5RK1 w - -,b5c4
2r2rk1/Qp1qb1pp/p2p4/B2Ppp2/1PP1n3/5N2/P4PPP/2RR2K1 w - f6,a7e3
1r2nrk1/1p1nqppp/p2p4/3Pp3/4P3/3Q1NNP/PP3PP1/2R2RK1 b - -,g7g6
r4rk1/p2n1ppp/1p2p3/1P1p4/3Pn3/3Q1NP1/q3PPBP/R1R3K1 b - -,a2b2
r6r/pp2nkbp/2p2qp1/3pn3/4PBQP/P1N5/1PP2P2/2KR1B1R b - -,a8d8
2r1r1k1/1pq2pb1/p3p1pp/PP1pP3/3NnP2/2PQ4/1B4PP/R4R1K b - -,c7c4
4R1r1/2p1n3/p1P1kp2/2P1p2p/4P2N/2K4P/P7/8 w - -,e8g8
8/3k3r/1R1pp3/p7/P1rP2Rp/7P/6P1/6K1 w - -,b6a6
1rqb3k/3b1rnp/p1pp1pp1/1p1Pp3/2P1P1PP/1P1BQN2/P2N1P1K/1R4R1 w - -,c4b5
8/p4k1p/1q1p2pP/1p1b1p2/1P1N4/6K1/3Q4/8 b - -,d5e4
8/4k3/p4n1p/3p4/1P6/P1P2P1P/6P1/6K1 w - -,g1f2
r2qk2r/ppp1npp1/2n1pb1p/3p4/2PP2b1/4PNPP/PP1N1PB1/R1BQ1RK1 b kq -,g4f5
6k1/p3rp2/6p1/8/7p/1P1RPQ1P/2P3PK/4q3 w - -,c2c4
r1bq2rk/7p/p2p4/1p1Pp2n/4PpP1/3N4/PP2NQPP/2R2R1K b - -,h5f6
3r2k1/p4p2/1p3npN/4p3/2q4P/2P2P2/PPQ3P1/1K2R3 b - -,g8g7
2r2kr1/pp1bn1b1/3qp3/3p2B1/5PQ1/1N1B4/PP5P/R3R2K w - -,e1e2
8/p3k3/3n3p/3Bp1pP/2p3P1/P1P1K3/1P6/8 w - -,d5g8
3r2k1/1p2p2p/pq2prp1/2pPQ3/8/3RB1PB/PP2P2P/6K1 b - -,b6a5
2rqk2r/5ppp/p3bb2/1pnN1B2/8/4P2P/PPQ1NPP1/R2R2K1 b k -,e8g8
3r3k/pp5p/2pPp3/7b/2NPB3/1P3pbP/P7/5R1K b - -,g3d6
2r2rk1/pp3pp1/2bnq2p/2Rp4/3P4/3QPB2/PP1N2PP/4R1K1 b - -,b7b6
8/8/p7/4Nk1p/pP1Kb2b/P7/7B/8 w - -,e5c4
4Q1k1/5r2/7p/1p4pP/1P2P3/2p3P1/3q1PK1/8 b - -,g8g7
8/5pk1/4p3/1p2P1P1/7r/5K2/1R5P/8 b - -,b5b4
8/p5p1/4B3/1P2k1P1/3b4/3R4/P4P2/2r2K2 w - -,f1g2
8/8/6p1/3r1k1p/P3R2P/5PP1/4K3/8 b - -,d5c5
rr4k1/2p1qpp1/3bp2p/pP1b4/1n1P4/2Q2NP1/3BPPBP/1RR3K1 w - -,g2f1
3rk3/4q1p1/3npp2/1pNbp3/1Pn5/6N1/2P2QBP/2B3RK b - -,e7f7
r4rk1/pp1qnpb1/3pb1pp/P2Np3/2B1P3/2P1N3/1P3PPP/R2Q1RK1 w - -,d1a4
4rr1k/ppp3pp/1bnq4/3p4/P2P4/2PQBN1P/5PP1/R3R1K1 b - -,h8g8
8/8/r3p1R1/5p2/5P1b/3KP2k/8/8 w - -,d3e2
2r3k1/5p2/1p2p2p/1r2b1p1/4N3/2Bn4/5PPP/R1R2K2 w - -,c1c2
r4rk1/1p1n1ppp/p1n1p3/q2p4/N2P1B2/1P1QPP2/P5PP/2R1R1K1 w - -,e1e2
8/p2b2kp/2p2rp1/2P5/Q7/3q3P/P2r1PP1/3R1RK1 b - -,f6f2
8/p1r2pk1/1b4p1/1PnR3p/2P3P1/2K4P/4N3/8 b - -,h5g4
r1q2k1r/bpp1np2/3p1n1p/PB2p1pb/4P3/1QPP1NBP/5PP1/RN3RK1 w - -,b1d2
r1bqk2r/3nppb1/2pp1np1/p6p/Pp1PP2P/4BPN1/1PPQ2P1/R3KBNR w KQkq h6,g1h3
3r4/2r2k2/4p1p1/pp2Pn1p/3PKR1P/PBP5/2R5/8 w - -,f4f2
3q1rk1/1b1nbpp1/3p3p/p3p3/Pp1PP3/3BBN1P/1P1Q1PP1/2R3K1 b - -,e5d4
3q1rk1/r5pp/1p1pb2b/p1pNp3/P1PnPP2/1P1Q2P1/1B3RBP/5R1K b - -,a7f7
1r3b2/3b1qpk/p3p1Rp/3pPr1P/3P1PQ1/1P2B3/6R1/2N3K1 w - -,g4e2
rnbqkb1r/pp3p1p/2p2np1/3p4/3P1B2/2N2N2/PPQ1PPPP/R3KB1R b KQkq -,c8f5
1r4k1/2q1ppbp/3p2p1/p1pP4/4P3/2nQBNPP/P4PB1/6K1 w - -,e4e5
r2qkb1r/1b1n1ppp/4pn2/1pp5/8/5NP1/1PQPPPBP/RNB2RK1 w kq -,a1a8
r3r3/3q1pbk/p5pp/nP1P4/2p2B2/3B2P1/PPQ3KP/R3R3 w - -,d3e4
r1bqr1k1/pp2bppp/2p2n2/3p4/3PnB2/2NBP2P/PPQ1NPP1/R3K2R w KQ -,g2g4
6k1/3R4/r7/5PK1/8/8/8/8 w - -,d7c7
1r6/2k1K2p/2P3p1/p5P1/P1R2P2/8/8/8 w - -,c4c5
8/1N1b3p/8/3k1p2/5p2/8/4K2P/8 b - -,d7e6
6k1/nb1rr3/p3p1Qp/1p1p4/1P1N4/P2B4/5PPP/4R1K1 b - -,e7g7
3b1k2/r5p1/3p3p/2qNp1p1/2P1P1NP/1Q6/8/5B1K b - -,a7f7
1r3qk1/1b1N2p1/4p3/pp5P/2pQ1PP1/6K1/P2R4/4R3 b - -,f8a3
1r1q4/1p6/1N1p2pk/2pPp3/4PpB1/3P4/4KP2/1Q6 b - -,d8g5
r4rk1/ppq2pbp/2pp1np1/P3n3/4P3/2N1B2P/1PP1BPP1/R2Q1RK1 b - -,f8e8
8/8/7R/2bk2p1/1p6/4p3/1r6/3KB3 w - -,h6g6
r2q1rk1/p3ppbp/b1p1n1p1/3pP3/N2P4/5N2/PPQ2PPP/R1BR2K1 b - -,a6b5
r5k1/3b1pp1/2p4p/3pb1q1/P4N2/4P2P/1r1B1PP1/R2Q1RK1 b - -,d5d4
r2qkbnr/pppnpppp/8/3p4/6b1/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,g8f6:e7e6:e7e5:c7c6
2k5/8/2p4q/1pQpPp2/pPn2P2/P3P2P/4bBBK/8 b - -,h6e6
1r1r2k1/p1q1bppp/4p3/p1PnN3/2NP4/P5P1/5PKP/2RRQ3 b - -,a5a4
5rk1/pq2nbpp/1p6/3p1PP1/3PB3/P6P/1B1QNR2/6K1 b - -,d5e4
2r2rk1/2q1bppp/p1n1b3/4p3/1P2B3/N4Q2/PPNR1PPP/1K1R4 b - -,e7b4
4r1k1/2n5/3R4/7p/7N/3K1PP1/8/8 w - -,d6h6
2r1r1k1/ppb1qpp1/4bn1p/2P1p3/5P2/PP1B2NP/1BQ3P1/3RR1K1 w - -,f4e5
8/p1r1p3/8/PP2p1k1/2P1Pnp1/4R3/8/2K2B2 b - -,f4e6
2r2rk1/ppqbnpb1/3p2pp/2p1p3/4P3/1BPPNN1P/PP3PP1/R2QR1K1 w - -,h3h4
2r1kb1r/pp2pppp/1qn5/2pp1b2/3Pn2B/2P1PN2/PP2BPPP/RNQ1K2R w KQk -,e1g1
r7/P5Bp/4k1p1/R7/1n6/5P2/7P/7K w - -,g7d4
r2q1rk1/1pp2p2/p2p1bpp/P2Pp3/1P6/1BPP1Q1P/R4PP1/4R1K1 b - -,f6g7
3rr1k1/pp2qp2/2pnn1p1/6Np/3P3P/2QB4/PP3PP1/K1R4R w - -,g5f3
2r3k1/1b3p2/1p2r1pQ/p1ppP3/3P2n1/1P1B1NP1/P4PK1/2R1R3 b - -,g4h6
1q6/3bnkn1/1p3pp1/pN1p4/P2P1PP1/2P1NB2/1K2Q3/8 b - -,d7c6
6k1/p7/2K3p1/4pp1p/2P5/PP2r1P1/7P/1R6 w - f6,c4c5
3q3r/1pp2kp1/p2p1p2/3Pp3/PPP1PnP1/R3KP2/8/1R1Q1N1r b - -,f6f5
rn3rk1/pp2ppbp/5np1/2q5/4N1P1/1B2PN1P/PP3P2/R1BQ1RK1 b - -,f6e4
8/3R4/2P3k1/p5b1/2N1p1P1/1P5P/P3K3/2r5 b - -,c1c2
8/r3kp2/1R6/8/3PK1P1/8/8/8 b - -,a7a1
r3r1k1/3n1n1p/4qpp1/p7/N2pNP2/1P1Q4/P5PP/1RR4K w - -,e4g3
r1b2r1k/pp4pp/2nqp3/3p1p2/3P4/3BPPP1/PPQB3P/R4RK1 w - -,a1c1
2rr2k1/5p2/4p1p1/p1qpP1Np/PpP2PnP/1P3R2/4Q1P1/2R4K w - -,f3f1
8/3k4/p7/1p1p4/1P1K4/P5R1/7r/8 b - -,d7c6
