6R1/5p2/7k/p4p2/b7/4KPR1/1pr4P/8 b - -,f5f4:h6h7
8/7r/8/1p2p3/2k2p2/PpPn1P1p/1P3P1R/2BK4 b - -,h7d7
3R4/4pk1p/r4bp1/4p3/p1r5/2B5/PP3PPP/3R1K2 w - -,a2a3
8/5pk1/4p1p1/8/1pq2P1b/4P3/2B2P1P/1Q4K1 w - -,b1d1
q5k1/1bpp1p1p/1p2pp2/1Pn5/1QP5/3PPN2/r3BPPP/4R1K1 w - -,b4c3
r4rk1/3qnpb1/n1ppb1pp/1P2p3/1P2P3/2NP1NP1/1B2QPBP/3R1RK1 b - -,c6b5
r2qk2r/pp1nbppp/2p1pnb1/8/3P4/1P1B1NN1/PBP2PPP/R2Q1RK1 b kq -,e8g8
8/bB6/P1K5/6p1/5k1p/7P/6P1/8 w - -,c6c7
2R5/r2kpp1p/r2p2p1/1p6/1P2P3/P1R2P2/6PP/6K1 w - -,c8b8
4r1k1/6pp/3p4/1p6/1P1RPp2/7P/6PK/8 w - -,h2g1
4r3/5pk1/4p1p1/4P2p/R4P1K/6P1/7P/8 w - -,h4g5
r5r1/pb1pkpBp/np2pN2/3P4/1b6/1P4Q1/P1q1NPPP/R4RK1 w - -,f6g8
8/1k2ppb1/np4pp/pK6/3P4/2BNP3/5PPP/8 b - -,a6c7
r2r1nk1/pp3ppp/2pb4/8/2PP1p2/3B1P2/PP1B3P/2KRR3 w - -,d2c3
r3k2r/pp2ppnp/2p3p1/8/4PN2/1P3P2/P1P3PP/2KR1b1R w - -,h1f1
1r4k1/5p2/p3p1pp/R7/p1r5/6P1/P3BP2/6K1 b - -,c4c2
r3r3/p4Bbk/1pn3pp/5R2/8/P2PB3/5PPP/3b1RK1 w - -,f7e8
rn1qkb1r/5ppp/p1p1pnb1/1p1pN3/2PP2P1/1PN1P2P/P3BP2/R1BQK2R b KQkq -,f6d7:f8b4
rnbq1rk1/pp3ppp/2pb1n2/4p3/2B1P3/5N1P/PPPN1PP1/R1BQK2R w KQ -,a2a4
2r1b3/6kp/6p1/p1Ppq3/1p6/3B3P/PP3QP1/2R4K w - -,d3a6
6k1/4Qq2/1p1P2p1/p1p1p2p/P3P2P/1P4P1/6K1/8 w - -,e7e5
8/1R6/p3p1k1/1pBpPnp1/8/PP1K1P2/7r/8 b - -,h2h3
4r1k1/8/p3p1p1/1p1p2P1/8/PPN5/2K5/7R b - -,e8f8
7k/2pq1p2/3p1b1p/P2PpPp1/2Q1P1P1/Pr2B2P/8/6K1 w - -,c4b3
rr4k1/2qnppbp/b2p2p1/2pP4/6n1/2N2NP1/PPQ1PPBP/1RBR2K1 w - -,b2b3
3k4/pp3p2/2nnp1p1/3p2P1/3P1P2/2PB2P1/PP1Nq1K1/8 w - -,d3e2
6k1/1p5p/4p1p1/1B1n4/pP1b4/5PP1/P6P/2B4K w - -,b5a4
r3r1k1/1bq1b1pp/p1p2p2/PpPn4/1PnNN3/6P1/2QB1PBP/3RR1K1 w - -,g2f1
3q4/k1p1Rbr1/1pQ5/p2p4/P2P4/1P1B4/K1P5/8 b - -,d8e7
r1b2rk1/1pq3b1/p1npp1pp/2p1Pp2/P4P2/3PBNP1/1PP2QBP/1R3RK1 b - -,d6e5
3rr3/ppkn1pp1/2p1pn1p/7P/3P4/2PNPN2/PP4P1/2KR3R b - -,f6e4
8/8/1R1p1rk1/p2Pp3/P3Pp2/1P6/2P5/1K5R b - -,f4f3
6k1/1p3p2/5n1p/4q1p1/2PNb1P1/4Q2P/5PB1/6K1 b - -,e5f4
3r1k2/2p3bp/pp2npp1/4p3/PP5P/2P1PNB1/5PP1/R5K1 w - -,g1f1
rn1qkb1r/p4pp1/2p1p1p1/1p6/P1pPPB2/5P2/1P4PP/R2QKB1R b KQkq e3,f8b4
2qr1rk1/4ppbp/p5p1/1p2n3/2p1NB2/P3Q2P/1PP2PP1/3RR1K1 b - -,e5c6
r4rk1/1p2qnbp/p2p2p1/2p1nb2/8/1BP1B2P/PP1NNPP1/R2Q1RK1 w - -,e2f4
8/6k1/2P3p1/1Pp2r1p/1qB2b2/3Qp2P/6P1/1R5K b - -,b4d2
r1b2rk1/pp2bppp/1qn2n2/3p4/Q7/2N2NP1/PP2PPBP/R1BR2K1 b - -,f8d8
r4rk1/1q2bp1p/2bp1np1/p1p1p3/2PnP2N/1P1Q2P1/P1NB1PBP/RR4K1 w - -,b1e1
1r6/p1Qqn1bk/1p1pr1pp/1P2pp2/8/B2PN1P1/P3PPKP/2R2R2 b - -,b8b7
3r4/p4p2/1bB2kp1/1P1P3p/4R2P/5KP1/1P3P2/8 w - -,f3e2
3r4/2p2p2/5P1k/1p2P1Rp/p2p2pP/P1P3K1/8/8 w - -,c3d4
3q1rk1/1p3pbp/3p2p1/4n2r/Pp2P3/6B1/1P2BPPP/R2QR1K1 b - -,h5h6
2r4k/p4p1p/5p2/1p2pP2/4N2Q/P3B3/1PP4P/1K1q4 w - -,b1a2
r1b1k2r/pp2ppb1/3p4/q5Np/2PP2pP/1R2P1B1/3QnPP1/5RK1 w kq -,d2e2
r7/pp2Nkb1/2b4p/2p3p1/5q2/2P3Q1/PP4PP/4RBK1 w - -,g3f4
4r1k1/6p1/p7/6pP/1PpB4/2P2PK1/P7/8 b - -,e8e2
2r2rk1/5ppp/p2p1b2/1PpPn3/8/1P2P1PP/1B3P2/1R1R1BK1 b - -,a6b5
q2rr1k1/4npb1/p1b4p/1pNp2p1/1P1P2P1/P3B2P/5PB1/1Q1RR1K1 w - -,d1c1
2r2r2/pp2n2k/6pp/2p1b3/P7/5PR1/1PPBN2P/R6K w - -,g3h3
r4r2/3b1pkp/pqpp2p1/2n1p3/2P1P3/1P1B1P2/P1N1Q1PP/3R1K1R b - -,a6a5
r3r1k1/pp3p1p/6p1/3q4/3b4/6Q1/PPP1bPPP/R1B1RNK1 b - -,e2f1
7r/6kp/4Qp2/pq2p1b1/4n2P/6R1/1PP2PP1/1K5R w - -,h4g5
Rn1r1r2/1p1kq3/8/QPp4p/2N1p1pP/4P1B1/6P1/6K1 b - -,d7e6
r3rbk1/pp1q1pp1/2p2np1/3p4/3P4/BP2NP2/P1P2QPP/R3R1K1 w - -,a3f8
1r2bk2/1pr3p1/1R3p1p/p3p3/2P1B2P/PPK3R1/5PP1/8 b - -,e8f7
N1B5/pp2kn1p/n5pb/3P4/5p2/3P4/PP2P2P/4K2R b K -,f7d6
1r1q1rk1/2nbppbp/1p1p2p1/pP6/P1P1PPn1/2N1B3/2NQB1PP/1R3RK1 w - -,e2g4
4rrk1/3q1nbp/2pp2p1/p3pb1n/2P5/3PB1P1/P1NQNPBP/2R2RK1 b - -,e8a8
4r2k/8/2p3pb/1p6/3Pp1p1/2r3P1/6B1/R4N1K b - -,e4e3
8/3k2p1/2pb2p1/1p6/p2P2Pr/3KB3/PP3P2/6R1 b - -,h4h8
1r2r1k1/5qbp/3pNn2/4pP2/1p4P1/7P/6Q1/1R1R2BK b - -,d6d5
8/8/p3k3/2p1Bp2/2P2Ppb/P2K3p/5P1P/8 w - -,d3e2
8/1p4b1/pr1k2pp/4pp2/P1Bn4/1P3P2/6PP/1R1R1K2 b - -,e5e4
8/6k1/8/8/7R/5r1p/5N2/4K3 b - -,f3a3
8/3k1n1N/4p1p1/4P3/n1b2B2/7P/6P1/6K1 b - -,c4d3
r3rbk1/1b4pp/p4qp1/2pPB3/1pP2n2/3B3P/PP1NQ1P1/2R1R1K1 w - -,e5f6
6k1/p1p1R3/2p3r1/8/2b4P/2P3B1/P1P3PK/8 b - -,c4d5
8/8/1K4k1/5p1p/PR5P/8/5r2/8 b - -,f5f4
r5k1/2qb1rp1/pp5p/3p4/P5nQ/1P1B4/2PN2PP/R4R1K b - -,a8f8
r1b1r1k1/p1n2pbp/q1p2np1/1p2p3/2P1P3/P1N1BNPP/1P2QPB1/R2R2K1 w - -,c4b5
8/5ppp/8/2p1P3/2K2kP1/7P/p7/Rb6 w - -,c4c5
5rk1/pp4p1/3b3p/2pPpq2/2P1N3/3P4/PP2Q2P/R5K1 b - -,d6e7
3r2k1/p1q3bp/6p1/1pprpp2/2Nn4/PP1P1PP1/1BP3QP/4RRK1 w - -,c4e3
2r2rk1/1p4pp/p7/1b1pP3/p2BnpPP/5B2/1R2PP2/3R2K1 b - -,c8c6
8/3k4/2p3R1/2Bp2P1/2bP3P/4K1b1/1P6/8 b - -,g3h4
r3kb1r/2qb1pp1/p3pn1p/3p4/1pnNP1P1/3BBPN1/PPPQ3P/1K1R3R w kq -,d2e2
5bk1/r1nn1pp1/3p3p/Np2p3/1P3P2/P5PP/1B6/2R2BK1 b - -,e5f4
8/1P4k1/6pp/8/3p3P/3K2P1/Q2b1P2/4q3 b - -,e1f1
rnbqkb1r/p2p1ppp/4pn2/2pP2B1/2p1P3/5N2/PP3PPP/RN1QKB1R b KQkq e3,d8b6
