1k6/8/1K6/8/8/R7/7b/8 w - -,a3a1
b4r1k/2p3pp/3ppn2/bp4N1/2qPP3/3Q3P/1PB1RPP1/2B3K1 b - -,e6e5
2r2rk1/5p2/p2p2pp/1pnPp3/4P3/1P2bPPP/P2N2K1/2RR1B2 w - -,c1c2
rn1q1rk1/bppbn1pp/5p2/p1pPp3/N7/P3P1PP/1P2NPB1/R1BQ1RK1 w - -,d5d6
4r3/p7/2PK3R/8/5kP1/4p3/P7/8 w - -,c6c7
r2q1rk1/pb1n1ppp/1p1bp3/2pp4/2PPn3/1P1BPN2/PB2NPPP/2RQ1RK1 w - c6,c4d5
2r1k3/r5bp/3Bp1p1/2P2pN1/p2P4/Rb5P/5PP1/3R2K1 w - -,d1e1
r2q2nr/ppp2k1p/3p1pp1/5nP1/2P3Q1/4N3/PP3P2/R3KB1R w KQ -,e3f5
6k1/2p3p1/4p2p/1pPb1p2/2pK1P2/2P4P/2Q5/qN6 b - -,d5e4
r2q1rk1/1p1bppbp/p2p1np1/n1pP4/2P5/2NQ2P1/PPN1PPBP/1RB2RK1 b - -,b7b5
3r2k1/pp2qp1p/2p3pB/4b3/2n1P1b1/2N3P1/PPQ2PBP/5RK1 w - -,b2b3
rnbqk2r/pp2b1pp/2pp1n2/4Pp2/2P5/2N3PN/PP2PPBP/R1BQ1RK1 b kq -,d6e5
3Q1R2/kb4p1/p7/1r2P2r/2p5/8/NP6/1K6 w - -,d8d4
3r2k1/pp4pp/2p5/2Pp1p2/1P1QrP1q/P3PR1P/4R1PK/8 w - -,d4b2
1r3rk1/1p2pp1p/p2pbnp1/q7/2PQ4/P1N3P1/1P2PPBP/3R1RK1 w - -,c3d5
8/p1p1k3/1pn1bbpp/5p2/2P1pPP1/P3P2P/1P1NBK2/3N4 w - -,f2g3
r1bq1rk1/ppp1n2p/3p2pQ/3Ppp1n/4P1P1/2N2N1P/PPP2P2/R3KB1R b KQ -,h5f6
r3k2r/2q1bppp/p2pbn2/1p6/3pPB2/N2Q3P/PPB2PP1/3R1RK1 w kq -,d3d4
3r2k1/p1q2pp1/2pb3p/2n5/2P1b3/1P1N3P/PB3PP1/R2Q1BK1 w - -,d3c5
rn2k2r/pp1qppbp/3p1np1/2p5/3PPP2/2N2N2/PPP3PP/R1BQK2R w KQkq -,d4c5
1r4k1/5p1p/pq1p2p1/3P4/2p5/5bNP/P2KN2R/3R1B2 b - -,c4c3
8/p4pk1/1p2p1p1/1P1p4/Pb1P4/1B2P1P1/4KP1q/3Q4 b - -,b4d6
r4r1k/pp2n2p/2p5/3pNp2/3P4/1P2PR2/P3KP1P/6R1 w - -,f3g3
3r2k1/4r2p/pppNqpp1/2P5/PP2PP2/2Q3P1/7P/4R1K1 b - -,b6c5
r1bk1r2/pp4p1/2p1npB1/6q1/3P2p1/2NQP1P1/PP4PP/2R1KR2 b - -,c8d7
8/8/3kp3/5pn1/3P1K2/2P5/1P2B1r1/4R3 b - -,g5h3
rn3r1k/1pp1p1bp/pn1qb1p1/3P4/6P1/1QN1B2N/PP2BP1P/3RK2R b K -,e6g8
4n3/p3kp1p/1pb3p1/8/4B3/8/PP2KPPP/8 w - -,e4c6
4rrk1/pppbb1pp/2n2n1q/3Npp2/8/1P1PP1P1/PBPNQ1BP/4RRK1 b - -,e7c5
1r1q1rk1/p3bppp/b7/2p1p3/2P1P1P1/3P3P/P1Q1N1B1/R4RK1 b - -,e7g5
8/6b1/4R1pk/1r6/4R1KP/6P1/8/8 b - -,b5a5
r1b2rk1/pp3qbp/2pp2p1/5p2/2P5/P1N2BP1/1PQnPP1P/2RR2K1 w - -,c2d2
8/5pkp/5p2/8/4PPP1/4R2P/5K2/1r6 b - -,h7h6
8/1b6/8/3k1p2/p4p2/P1KN3P/6P1/8 w - -,d3f4
1b1rqrk1/1p4pp/p7/2n2p1b/1BNN1P2/P3P3/1P3QPP/R4RK1 b - -,c5e4
r4rk1/1ppqnppp/4p3/p1b5/P1N1P1n1/2P2N1P/1P2QPP1/R1B2RK1 b - -,g4f6
5r1k/6b1/2pq4/2Q1p2p/2P1Ppp1/1N1P1PP1/6KP/3R4 b - -,g4f3
r4rk1/p2qpb1p/Bp3p2/n2P2p1/3BP3/5P2/P3N1PP/QR4K1 b - -,a5b7
7Q/6k1/p1p5/1p6/1P1P1pp1/3K4/P5P1/8 b - -,g7h8
1Q6/5rpk/1p2p3/2b2n1p/P1P1bP2/8/6PP/3R3K w - -,b8e5
6k1/5pb1/PRp1p2p/6p1/2bP4/4B1P1/5P1P/6K1 b - -,c4d5
r4rk1/pp1b1p1p/8/7q/3NQ3/2P3p1/P4P1P/R4RK1 w - -,f2g3
6k1/5pp1/p1p4p/3q4/5R2/1PQ3P1/1KP1rP1P/8 w - -,f4d4:f4g4
2bq1rkn/p3p1b1/2ppP3/2p2pQ1/1r6/1PNP1N2/PBP3PP/R3R1K1 b - -,b4g4
rn1qk2r/p3nppp/Bpp1p3/3p4/3PPB2/P1Q2P2/1PP3PP/R3K1NR b KQkq -,b8a6
4k2r/5p2/pq2pp2/1p2n2p/1P3Qn1/P7/2P1N1PP/R1Br1R1K w k -,c1b2
8/2k3pp/1nP5/1P2r3/p4RPP/P4P2/8/6K1 b - -,e5e7
8/8/6p1/7p/4kP1P/5nP1/5NK1/8 b - -,e4e3
2r3k1/1pr2pn1/p2pp1p1/6qp/2PNP3/PPQ2P2/2R3PP/R6K b - -,b7b5
1r6/4kp2/p2pb3/1pr4p/1P1RB3/P5P1/2P4P/2K1R3 b - b3,c5e5
2r3k1/5p1p/2B1p1p1/P2bq3/8/2R3PP/5P2/2Q3K1 b - -,e5c7
8/3b4/6k1/1p3pp1/1Pp4p/2P1KN2/7P/8 b - -,f5f4
5q2/8/P1Q5/8/8/8/2pk2K1/8 w - -,c6d5
r4rk1/1p1bq2p/1Pnp2p1/p2Npp1n/2P1P3/P2N2PP/3Q1PB1/1R3RK1 b - -,e7g7
r2q1rk1/1b1nbppp/2p1pn2/p7/PpBP4/1P2PN2/1B3PPP/R1NQ1RK1 w - a6,c1d3
2rk4/6b1/p5p1/1pn1pp1p/1P6/4P1P1/P1K1BPP1/7R w - -,b4c5
8/6pp/2p2k2/p7/P2p4/1Pr2P1P/2PKR1P1/8 w - -,e2e4
r1b2rkb/ppp4p/3p4/3Ppp1P/2P4q/2NB1P2/PP1Q3P/R4RK1 w - -,g1h1
8/3kbp2/p7/3p2p1/1p1P2Pp/1P1K1P2/P2B2P1/8 w - -,d2e3
5n2/4pk2/3p2pB/3P3p/r1NQB3/6PP/q4PK1/8 b - -,a2c4
N1kb3r/pp1n1ppp/4b3/8/1P1NPBn1/2P5/P5PP/2K1RB2 w - -,d4c6
2rr2k1/1b1qppbp/p1n3p1/1p4R1/3PN3/B2BP2P/P3QPP1/3R2K1 b - -,g7d4
8/4b3/7k/6pP/6K1/p7/B7/8 b - -,h6g7
r3k1r1/pp2qp1p/1npbppbB/8/3P4/1BP2QNP/PP3PP1/R3K2R w KQq -,g3e4
8/5k2/p1p2p2/PrN2p1p/1n1P1K1P/1R2P1P1/8/8 b - -,f7g6
r2qkb1r/1bpn1ppp/p3pn2/8/Pp1P4/3BPN2/1P2QPPP/RNB2RK1 w kq -,e3e4
r5k1/3qppb1/7p/1p6/1Q3N1P/6P1/4PP2/2R3K1 w - -,c1c5
4b3/4k3/8/N1P2ppn/4p3/P3K3/4B3/8 b - -,h5g3
r6r/4pk2/2np4/pqn2PPp/1pb4P/4B3/PPPQ4/1K1R2NR w - -,d2g2
2rr2k1/pp3pbp/6p1/5b2/3q4/6B1/PP1QBPPP/R4RK1 w - -,d2d4
8/8/5K2/r7/1R2b3/4k3/8/8 w - -,f6e6
5r2/8/8/4p3/4P1R1/4k1P1/6K1/8 w - -,g4h4
8/p7/8/1ppPk3/2P1p3/1P3r2/P2KN3/8 w - -,c4b5
3r4/4Npk1/1p3np1/p6p/P1R4P/1P2Q1P1/5PK1/3q4 w - -,e3e5
4rbk1/1br2p2/p5pp/4P3/1p1BpP2/2P1R3/P2N2PP/4R2K w - -,d2b3
2kr1b1r/ppqN1p1p/2p5/5b2/P2Q1p2/2N3P1/1P2PPBP/R3K2R b KQ -,c7d7
r1bq1rk1/pp2bppp/4pn2/3nN3/3P4/P1N5/1P1BBPPP/R2Q1RK1 w - -,e2d3
8/7p/6p1/5pP1/p2Rp2P/P3P1K1/4k3/7r b - -,e2e3
