3R4/2k2p2/8/1pr5/8/P3Q3/KPq4P/8 w - -,e3e7
5nk1/pp2Rr1p/1q4p1/3Q4/3P4/r4B2/P4PPP/R5K1 b - -,b6f6
1r1r2k1/5pbp/q2p1np1/1bp1n3/1p2P3/1P2BPP1/P1R1NNBP/2QR2K1 w - -,e2f4
R7/5pk1/1B2n2p/P1p3p1/8/5PP1/1r5P/4K3 b - -,g7f6
r4rk1/1b2ppbp/pn4p1/1p1p4/1P2B3/RNP1P2P/1P1N1PPB/3R2K1 b - -,d5e4
rn2kb1r/1bqppp1p/p4np1/P1pP4/8/2N5/1P2PPPP/R1BQKBNR w KQkq -,e2e4
2r2b2/5p1k/p4Pqp/1p6/4pQ2/P3B2P/1P4P1/3R3K w - -,f4e5
4r1k1/1p3pp1/2pq2p1/p2r4/3Pp3/1P2P1PP/P1R2P2/4QBK1 w - -,e1c1
4r3/1p2Pk1p/p1b2Bp1/8/6P1/2N5/PP3P2/6K1 w - -,g4g5
r1bq1rk1/ppn2pbp/2p2pp1/3P4/3PPP2/2N2N2/PP1QB1PP/R3K2R b KQ -,c6d5
8/1p3r2/2p5/2P4p/P5p1/3k2P1/2R3K1/8 w - -,c2c1
r1bqkb1r/4pppp/p1p2N2/2p4n/3P1B2/5N2/PP1Q1PPP/2KR1B1R b kq -,e7f6
8/pp5p/2p2k2/1n3p2/1P1r4/1R3PP1/P3K2P/3N4 b - -,d4c4
1r1r2k1/1pq1bppp/pNn1p3/3P4/1PN5/P3Q3/5PPP/2RR2K1 b - -,e6d5
2rqr1k1/pp2ppbp/3P2p1/n5B1/Q7/5BP1/PP3P1P/R3R1K1 b - -,a5c6
4r1k1/p4pp1/2p2n1p/3p1b2/3P4/P5P1/1q3PBP/2RQB1K1 b - -,e8e6
1r2rbk1/1b1q1pp1/p2pnn1p/R3pN2/1PB1P3/1QNP3P/3B1PP1/4R1K1 b - -,h6h5
rn1qk2r/pp3ppp/2p1pn2/3p3b/3P1b2/4PN1P/PPPNBPP1/R2Q1RK1 w kq -,e3f4
r4rk1/1q2p2p/b2p1p2/2pPb2p/4P3/1PN3P1/PB1Q1PK1/R3R3 w - -,e1h1
1q5r/2n1bp1k/pN2p1pp/4P3/Pp2Q3/1P2B3/5PPP/2R3K1 b - -,h7g7
r1bqkb1r/pp3ppp/8/2p1n3/2PN4/P7/1P2PPPP/R1BQKB1R w KQkq c6,d4b5
r2qkb1r/p1p1p2p/5Bp1/1b6/2pP4/2P1P3/4NPP1/R2QKB1R b KQkq -,e7f6
2kr3r/1bpq1pb1/p2ppnp1/1p2P1Np/3P3P/2NBQP2/PPP3P1/1K1RR3 b - -,f6d5
r3k1nr/p1p1bppp/2pqb3/8/Q1B2B2/2Pp4/PP3PPP/RN2R1K1 b kq -,d6d7
r1bqk2r/pppp1ppp/2n5/4P3/1bP3n1/4PN2/PP1B1PPP/RN1QKB1R b KQkq -,d8e7
r1bqk2r/1p2b1pp/p1np1n2/4ppB1/4P3/N1NB4/PPP2PPP/R2QK2R w KQkq -,g5f6
1r5k/4pR2/2pq2p1/3p3p/1P1b4/P6Q/2P3PP/5K2 w - -,h3f3
r2q3k/1bpn1Qpp/pp1b1n2/8/P2P1P2/2N1P3/1P4PP/R1B2RK1 b - -,d8e8
8/pp2kppp/1n6/8/8/3K1NP1/PP3P1P/8 b - -,f7f6
8/2k5/4R3/3K1p2/4p3/5r2/8/8 b - -,c7d7
r3k2r/pp1qbpp1/4p2p/2PnN3/1P6/8/P2B1PPP/R2QK2R b KQkq -,d7c7
2kr3r/1pn2p1p/pqp3p1/2P1pb2/3P4/PP2QPP1/4N1BP/R3R1K1 b - -,c7d5
2R5/6r1/8/8/4p3/4k2K/3n4/8 b - -,e3e2
Q7/6bk/6pp/PP6/4p1qP/6P1/5RK1/8 b - -,e4e3
1r1r2k1/2q2ppB/p4n2/1pb5/3N4/1P2P1P1/P3Qn1P/R1BR2K1 b - -,f6h7
2r1qr2/1p2b1k1/p2pp1pp/4p3/4P1PP/1PN1Q2R/1PP2P2/1K1R4 b - -,e8c6
7r/1pk5/2p2p2/4r1b1/1PPNP1b1/3R3P/P1K5/3R4 w - -,h3g4
8/Q2n2k1/3q1p1p/3Pp1p1/2P1P3/4P2P/6PK/8 b - -,g7f8
r1b2r2/1p1nkpp1/1pp5/4pPNn/1PB1P3/P1N4P/1KP5/3R3R b - -,b6b5
8/4p1k1/1q1pPpp1/r1pP4/6P1/rP6/P1RRQP2/6K1 b - -,g6g5
2k1bq1r/p4p2/Pp2pQ2/3pP3/7P/2pB4/2P2PP1/3R2K1 w - -,d1b1
1r1q1rk1/3nppbp/b2p2p1/P1pP4/8/R1N3P1/1PQ1PPBP/2B1R1K1 b - -,d8c7
3r3k/2pr4/1p2Pppb/p1p3n1/P1P2pP1/1P1P4/1B2R2K/3R4 b - -,d7h7
1r3rk1/2q1bppp/p3p3/2p1P3/Ppn1NP2/2PRB1P1/4P1QP/R5K1 b - -,b4b3
5k2/B5pp/pp6/8/2P1n3/P7/1P4KP/8 b - -,e4d2
3brrk1/1p3qp1/2p1p1np/p2p4/2PP3P/PP1Q1NP1/3BRPK1/4R3 w - a6,a3a4
6k1/5p2/2p2qp1/2Pr4/3pR3/3Q3P/4KP2/8 b - -,g8g7
3k4/3P4/3R3p/2p2r1p/1pP5/8/1K6/8 b - -,h5h4
3r2k1/3rnpp1/1pp1p2p/4P3/2PP1P2/4K3/2B2P1P/1R1R4 b - -,b6b5
1nb1rbk1/1p3ppp/2p2n2/2P4q/1P1N4/2N1pPP1/1BQ1P1BP/R5K1 w - -,c2b3
r2qkr2/ppp1np1p/2np1Bp1/3P4/2P3b1/5N2/PP2BPPP/R2Q1RK1 b q -,c6e5
6k1/4b2p/2Np2p1/1P2p3/4P3/2r2P2/8/K4R2 b - -,e7g5
2r5/2r1k1pp/1p1q1p2/pQnPpP2/P1R1P3/6PB/7P/3R2K1 w - -,h3f1
5rk1/ppp5/r6p/3p4/3P4/2P1Rp2/P4P1R/6K1 b - -,f8f6
5r1k/8/P1R2P2/5KN1/7p/4b3/8/8 w - -,g5e6
1R6/8/8/7r/8/8/p1K5/k7 b - -,h5h1
r1bb2k1/2r4p/pRp1ppp1/2Pp4/R2P4/4P3/3NBPPP/6K1 w - -,g1f1
7r/1k1nb1pp/3p1p2/PP1Pp3/8/R1P5/6PP/2NK1R2 b - -,h8c8
8/R3p2p/4Bkp1/3P1p2/P4P2/6P1/1r5P/3b2K1 w - -,a4a5
1r5k/4p2p/6pb/3RP3/4Q1P1/8/1r6/2K5 w - -,c1d1
4r3/p1n3pp/2bk1p2/1pNp4/3P4/2R1P1P1/PP3P1P/5BK1 b - -,a7a5
rn1r2k1/pp1bppbp/6p1/1B6/3PP3/4B3/P2N1PPP/2R1K2R w K -,b5d7
4n3/1pqr1pkp/3p2p1/pPr1p3/P1B1P3/1P1RQPPP/8/3R2K1 b - -,e8f6
8/1R6/p2r3p/6p1/k1p4P/6P1/6P1/4K3 w - -,b7c7
5r2/7k/6pp/pp1pPr2/2pPpP1P/6K1/PP3R2/R7 w - -,a1h1
r5k1/7p/pp1pb1q1/4n1Q1/2P1P1P1/1P2N3/P5P1/2B2BK1 w - -,e3f5
r1b2rk1/1pq1bppp/p2ppn2/4n3/2PNP3/1BN5/PP2QPPP/R1B2RK1 b - -,e5c6
r3k2r/1b2qpp1/ppp2n2/2b1pPB1/P3P2p/3B4/1PP1Q1PP/RN3R1K w kq -,b1d2
rnbqk2r/4ppbp/P2p1np1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq -,f1b5
8/5pk1/1p2p1p1/pq1nP2p/3B4/PP4P1/2Q2PKP/8 w - -,c2c4
4r1k1/5pp1/1R2p2p/8/3P4/4P3/5PPP/qQ4K1 b - -,a1b1
r1bq1rk1/ppp1bppp/2n1p3/1B6/3Pn3/P1N1B3/1PP2PPP/R2QK2R w KQ -,c3e4
8/p7/4K3/1pq5/8/k7/P5Q1/8 w - -,g2d2
r1b2rk1/pp5p/1q6/3pp1P1/3NB3/4B1P1/PP4KP/R2Q3R b - -,d5e4
r1b2rk1/4qpnp/pp1p2p1/2pPb3/P3PB2/2N2B1P/1P1Q1PP1/1R2R1K1 b - -,f8e8
r3rnk1/4qp1p/p1b2np1/2p1p3/1pP1P3/1P2N1P1/PNQ2PBP/2R1R1K1 w - -,e3d5
7r/6bk/p3p3/3pP1Q1/1p1qbN2/6P1/PPR4K/6B1 b - -,d4e5
r5k1/pp4pp/2p2b2/4pb2/2Pr4/2N3P1/PP3P1P/R1B1R1K1 w - -,b2b3
8/R6p/P5pk/8/8/6PP/r4PK1/8 b - -,g6g5
3q2k1/r3nrbp/1p2R1p1/p1pp1p2/P4PPQ/2PP3P/1P1B2BK/4R3 w - -,g4f5
q1r3k1/4bppp/p3p3/1p1n4/1PN5/P3P3/1B2QPPP/1N1R2K1 b - -,c8c4
