4b3/1p5p/5N2/2P3Pk/n2K4/P7/1p6/1B6 b - -,h5g5
r2r2k1/pb3ppp/1p2p3/n1N5/2B5/PP2PP2/1B2K1PP/R6R b - -,b6c5
r1b2rk1/pp3ppp/1qn5/8/3p4/5NP1/PP1QPPBP/2R2RK1 b - -,c8g4:c8f5
r1bq1rk1/ppp1nppp/1b6/3p4/1PNpP3/3B4/P1PP1PPP/R1BQ1RK1 w - d6,c4b6
8/R1R3pk/6rp/1r6/6PP/5PK1/8/8 b - h3,b5b3
8/7p/2p1k2K/2p3P1/2n1P3/7P/8/1N6 b - -,e6f7
6k1/5p2/1pr3pp/1R2P3/p2r1P2/3PR2P/P5PK/8 w - -,e3f3
rnb2rk1/pp2qpbp/2p3p1/P3p2n/2B1P3/2N1BN1P/1PP2PP1/RQ3RK1 b - -,h5f4
r5k1/pp1n1ppb/1q2pn1p/2rpN3/8/1P1P1NP1/P3PPBP/2RQR1K1 b - -,a8c8
1r3rk1/4pp1p/1n1q2p1/2p5/Pp5Q/1PnP1BP1/2R2P1P/3N1RK1 w - -,d1c3
8/4n3/4pk2/4p1p1/4P1Pp/2R2P1P/3r4/5BK1 b - -,f6f7
3r1k2/6pp/3rqp2/2Rn4/2Q5/5N1P/1P3PP1/3R2K1 w - -,f3d4
r3r1k1/pp2bpp1/4p2p/2P4P/n5n1/5N2/PPPB1PP1/1K1R1N1R w - -,d2e3
r1bqk2r/pp1pppbp/5np1/8/2PQ4/2N3P1/PP2PPBP/R1B1K2R b KQkq -,e8g8:d7d6
3r2k1/1p2q3/p1bN1P2/n1P3p1/1P1bpQB1/7R/P5K1/2R5 b - -,d4f6
4r1k1/4qpp1/7p/p1p5/1pP3P1/1P3P2/P2Q2P1/3R2K1 b - -,e7f6
r4rk1/pp1qbppp/2n1b3/3pN3/3P1B2/7P/PPB2PP1/R2Q1RK1 b - -,c6e5
R7/5p2/4r1kp/4n1p1/8/7P/5KP1/8 b - -,f7f5
6r1/1p2k3/p1p1p1qp/P1Pp1p2/1P1P1Brb/4P2R/3QR1PP/7K b - -,e7d7
3r1rk1/pn3pp1/1q3np1/8/1P1p2P1/3Q3P/PB3PB1/R2R2K1 b - -,b7c5
5rk1/1b1nbppp/q3p3/2pn4/1pN2B2/1Q1P1NP1/1P2PPBP/5RK1 w - -,f4d2
3rr1k1/pbq2pbp/1pp1p3/2P2p2/1P1P1N2/P5P1/2Q2PBP/3R1RK1 w - -,f4h5
8/6R1/2r1pp2/8/5P1b/4P2k/4K3/8 b - -,c6d6
1r1qk2r/pB1bbnpp/1p2p3/3pPp2/1PpP1P2/P1P1BNPP/3QN3/R3K1R1 b Qk -,b8b7
4rrk1/pppq1pbn/2np2p1/6Pp/3PPB2/2PB1Q1P/PP1N4/R4RK1 b - -,f7f6
6k1/pp3qp1/n1p1Q2p/8/Pn6/1PB3PB/5P1K/8 w - -,e6c8
3rk1nr/pp3pp1/2p2np1/8/5B1P/5P2/PPP3P1/R3KB1R w KQk -,f1d3
6qk/6b1/p1Q3pp/2P2p2/2r5/4B1P1/P1P2P1P/3R2K1 b - -,g6g5
8/8/8/8/3bk3/1R6/r1K5/8 w - -,c2d1
2r4k/1p1qrpb1/p2n2pp/P1pBp3/R1P3P1/1R1PQ2P/1P1N1P2/6K1 w - -,b3b6
2rq1rk1/p2bbppp/4pn2/np1pN3/3P1B2/2PB4/PPQN1PPP/R4RK1 w - b6,a2a3
r3kb1r/pp2p1pp/1n1q4/4n1N1/3Q4/2P5/PP3PPP/RNB2RK1 b - -,d6d4
3qk2r/rb1n1ppp/p3pn2/1pb5/P2p1B2/5NP1/1P2PPBP/RNQ2RK1 w k -,a4b5
q1r2k2/pb3rp1/1p5p/7N/1bPB1P2/5PQ1/P5KP/4RR2 b - -,c8c7
2R2rk1/pp3ppp/1n2p1b1/1q2Pn2/5B2/1B3N2/PP1Q1PPP/5RK1 b - -,f8c8
1q1rrk2/p1n1ppbp/1pPp1np1/1P1B4/2P2B2/P1N4P/4QPP1/2R1R1K1 w - -,e2d2
8/1p3ppp/2r5/p3k3/P2pP2P/RP1P2P1/1K6/8 w - -,a3a1
r7/5k2/4bpp1/ppb1p2p/2p1P3/P1P4P/1PN1BPP1/3R2K1 w - -,g1f1
r1bqrbk1/1p3ppp/1np2n2/p2p4/3P4/P1N1P1N1/1PQBBPPP/R4RK1 w - -,b2b3
r2q1rk1/p4pbp/1p2p1p1/n7/2PPb3/PR2BN2/4BPPP/3QR1K1 w - -,b3b4
1rq3k1/3nppb1/n2p2pp/1NpP4/2N1P3/6P1/1P2QPKP/R1B5 w - -,b5d6
2rr2k1/1q3pbp/6p1/p3p3/2p2n2/2Pb1PNP/PPB2BP1/R1Q1R1K1 w - -,c2a4
4rrk1/p3ppbp/2Nn1np1/P2P4/2Q5/2B3P1/5PBP/R3R1K1 b - -,d6c4
8/6p1/5p2/R2P1k2/pr3P1P/3K3P/3N4/3b4 b - -,b4f4
3r1rk1/1B3p2/6pp/2P1R3/1b1p4/1p1R4/1P3KPP/8 b - -,f7f6
8/4B3/p1P3k1/P2K2p1/3P2bp/8/8/8 w - -,d5c5
6rk/1pR2Qp1/1P2p2p/q2bNp2/3PpP2/4P1P1/5PK1/8 b - -,a5b6
rnbqkb1r/pp1p1ppp/1n2p3/2p1P3/2B5/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,c4b3
4n1k1/3n1p2/2b4Q/1p2pp1p/1Pp1P1N1/2P2P1P/q1B3PK/8 w - -,h6c6
8/8/3p1p2/2pPk1p1/BpPnPpK1/1P3P2/8/8 w - -,g4h5
5rk1/1p2pp2/1p2bb1p/1B1p1N2/4n3/1N4B1/r5PP/1R3R1K w - -,b5d3
2bq1rk1/p4rbp/1npp1pp1/2p1p3/2P1PP2/1PBP1NQ1/PN3RPP/5RK1 w - -,c3d2
8/7p/p4k2/R3pp2/1P6/P3K1PP/8/3r4 b - -,e5e4
5Q2/4R2p/5p2/2p2q1k/3r2p1/P1Nr2P1/1P3P1P/6K1 w - -,f8e8
r1n5/8/1p1pPkp1/2pP1b1p/P1P4P/2N1K1N1/5RP1/8 w - -,c3e4
r1q2rk1/3n4/bp1p1bpp/p1pP1p2/5P2/P2BP3/1PQN1BPP/2R2RK1 w - -,d2c4
4r3/p4pk1/1p2p1p1/6Pp/P1PR1P2/1P1R3P/4r3/6K1 b - a3,e6e5
3rr3/p3qp1k/1p3nbp/2pp2p1/8/2P1PPQP/PP1RB1P1/3R1NK1 b - -,d8d7
6k1/3rbpp1/1rp1p2p/p2n4/P1RP4/1P1R2B1/1K2NPP1/8 b - -,d7b7
r2qk2r/pp1nnbp1/2p4p/3p2b1/3P4/2NBP1B1/PPQ2P2/R3K1NR w KQkq -,g1f3
r1b2rk1/p1q1bppp/2p2n2/4p3/2B1P3/2N1BQ2/PPP3PP/R4R1K b - -,a8b8
8/8/5k2/R4pp1/8/4r2P/6K1/8 b - -,e3d3
8/6k1/p1r4p/4RBp1/1n1p4/3P2P1/5P1P/6K1 w - -,f5e4
8/5k2/1R6/5P2/6K1/8/8/2r5 w - -,b6a6
r1b2rk1/1p3p2/pn1Np2p/q3Pp2/P1p5/6P1/1PQ2PBP/R4RK1 b - -,a5e5
7k/6p1/2n1Bn1p/8/1q5P/2p1Q1P1/5P2/2B2K2 w - -,e6f5
r4rk1/1bqnbppp/pp1ppn2/8/1PPN4/PQ2PN2/1B2BPPP/R4RK1 b - -,a8c8
8/8/7P/p7/k1p5/2P3K1/4r3/7R b - -,e2e8
8/1R4b1/6rk/2pN1R1p/2r2P2/8/5P1P/5K2 w - -,d5e3
r2q1rk1/pp3p1p/2nbb1p1/3p4/3P1N2/4B3/PPB2PPP/R2QR1K1 b - -,d8f6
rnbqkb1r/ppp4p/5pp1/3Q4/3Pp3/2N5/PPP2PPP/R3KBNR b KQkq -,d8e7
rn2kb1r/pbp2pp1/1p2pq1p/8/3P4/5NP1/PPP2PBP/R1BQK2R w KQkq -,e1g1
r2q1rk1/ppp1ppbp/2np2p1/5b2/2PPn3/2N1BNP1/PP2PPBP/R2Q1RK1 w - -,c3e4
6k1/2p2p1p/1p1p2p1/8/2PNr2P/1P1n4/1P3PP1/1R3K2 w - -,d4b5
8/3kr3/R1b5/1pPp1p2/3B4/1B2PKP1/8/2r5 w - -,a6a2
r4rk1/pppqbppp/2n1bn2/3pp3/4P2N/2PP2P1/PPQN1PBP/R1B2RK1 b - -,d5e4
5rk1/pb1p2pp/1p1b2n1/1PpP4/7q/5QN1/P2B1PPP/2R2RK1 w - -,f3d3
8/5ppk/7p/p2Rnq2/Pp6/1P2B1QP/2r2PP1/6K1 b - -,f7f6
2q3k1/pp1n1p1p/r3p1p1/3nB3/3PN3/5Q1P/PP3PPK/4R3 b - -,d7e5
2rq1rk1/1p3pp1/p1bbpn1p/8/1PBP4/P1NQB2P/5PP1/2R1R1K1 b - -,d6b8
1r6/p3k3/6p1/4pb2/1pBp4/1P1P1N1n/2P5/1R3K2 b - -,b8f8
2kr2nr/pb1qpp1p/1pnp2p1/2p3N1/2P1P3/2PP2P1/P4PBP/R1BQ1RK1 b - -,e7e6
8/8/2b1p1k1/4P3/5pK1/8/3R4/8 b - -,f4f3
r2qkb1r/pp1n1ppp/2b2n2/2p1p3/4P3/3P1NP1/PP3PBP/RNBQ1RK1 w kq e6,a2a4
