2Q5/3Q4/5k2/8/8/6Pp/5PKP/2q5 w - -,g2h3
8/1p2kp2/3r2p1/p3q2p/P1PpP3/1P1Q3P/6P1/3R3K w - -,h1g1
3qrnk1/1b2nNb1/pp2p1p1/6Np/P2P3P/3B2Q1/5PP1/2B1R1K1 b - -,d8d4
4k1r1/3qnb1Q/3P2p1/p3B3/1p3N2/1n5P/1P3PP1/4R1K1 w - -,e5f6
2q3k1/5pbp/4rnp1/1BBp4/P7/5P2/5QPP/1R4K1 b - -,f6d7
r7/6bk/1p1p2pp/p6n/Pn2Nq2/3p3P/1P1Q1PPN/3RR1K1 w - -,g2g3
3r4/ppk2B1r/1npb3p/Q2pN1p1/2PPbn2/8/PP4PP/4RRK1 w - -,c4d5
2B5/8/8/4k1p1/4pp1p/5P2/6K1/8 b - -,e5d4
r2r2k1/p3pp1p/2p1b1p1/2Qnq3/N7/1P3PP1/P1P4P/2KR1B1R w - -,c5d4:c2c3
5bk1/3R1N2/p3pp1p/8/2p5/5PK1/r5PP/8 w - -,f7d8
3qr1k1/1p3pp1/3p4/p2P1N1p/Pn2B2P/2b2QP1/5P2/5RK1 b - -,c3f6
5rk1/pR3pbp/5np1/8/3r4/4BB2/PP3PPP/R5K1 b - -,d4d7
r3r1k1/pb3ppp/1p6/1Bq5/6Q1/P7/1P4PP/2KR3R w - -,g4c4
4Nbk1/ppp2p1p/6p1/n3P1BP/3P4/2P3R1/5rPK/8 w - -,e8c7:e8f6
1n1r2k1/2r2p1p/p4p2/1pb2P2/8/1P3B1P/P3N1Pq/RQ2KR2 b - -,c7e7
2r1bk2/4p3/B7/3P1pp1/8/6KP/5PP1/8 w - -,a6c8
2r2rk1/1p2b2p/pn1p2p1/3P1p2/3NpP2/2N3P1/PPP4P/2R1R2K b - -,e7f6
1rr2qk1/1pn3pp/p4pb1/2P5/1P1N4/2Q3P1/P4PBP/3RR1K1 w - -,d4e6
3r2k1/1r2q1pp/p2p1pn1/1p6/3RP3/2P3QP/PP1RB1P1/7K w - -,e2d1
2r2k1r/3n1pp1/pq5p/1bbP4/1p1N1Bn1/6P1/PP1Q1PBP/2R1R1K1 b - -,g7g5
8/p2k3p/1p2p1p1/4P3/3R1P2/5K1P/Pr4P1/8 b - -,d7e7
1q1rr1k1/5pbp/bn1pp1p1/2p1n3/4PN2/1PN1BPP1/P2Q1KBP/1R1R4 w - -,g2f1
5k2/6pp/1R6/P7/6r1/4np2/1P3N2/7K b - -,g4g2
r2qrbk1/ppp2ppp/2np4/8/2P1BN2/1P2P3/PB3PPP/R2Q1RK1 b - -,e8e4
6k1/3n3p/2r3p1/Q4p2/p1qB1P2/2P5/P5PP/1R4K1 b - -,c4a2
2kr3r/pbpn1p2/1p1pqn2/4p1p1/2PPP2p/2P1NP2/P1Q1BBPP/2KR3R w - -,h1e1
r1b1kb1r/pp3ppp/3qp3/8/8/2Q1P3/PP2BPPP/R1B2RK1 b kq -,d6b4
r1b1n1k1/4qp1p/3p2p1/pBpP4/P3P3/2N3Q1/1P3RPP/6K1 b - -,c8a6
1rr3k1/1bq1bppp/1n1p1n2/p2Pp3/1Rp1P3/B1P2N1P/P1BNQPP1/4R1K1 w - -,b4b2
r2qr1k1/1bBnbpp1/p1p2n1p/3N4/1p1PP3/3B1N2/PPQ2PPP/2R2RK1 b - -,d8c8
4rrk1/1bq1nppp/2N1p3/p1P5/Pp1P1Q2/1P4P1/5PBP/R2R2K1 b - -,c7f4
8/1p1kb3/1PP4R/3K1pp1/6p1/6Pp/5P2/8 b - -,b7c6
r5kr/2pq1pb1/1p1p1np1/3Pp1Nn/p1P1P2P/P1N1BP1R/1P4Q1/2K3R1 b - -,g8f8
8/6pp/4pk2/8/3r1p2/4nP2/1R3KPP/5B2 w - -,b2a2
r1bqkb1r/pp3pp1/2np1n1p/2p1p3/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQkq -,e1g1
rnb1k2r/p1p1qpp1/1p1pp2p/4P3/2PP4/2PB1N2/P4PPP/R2QK2R b KQkq -,c8b7
r1b1r1k1/pp4b1/n3Pnp1/2p4p/2B5/2N2N1P/PP4P1/R1B2RK1 w - -,f1e1
8/8/5r1p/3R1pkP/6p1/6P1/5PK1/8 w - -,f2f4
8/p3p1kp/1pn2p2/2prqPp1/2Q5/3P2P1/PR2PRKP/8 b - -,d5d6
2kr3r/1b2b3/p4p2/2p2npp/q1Pp4/5N1P/1P3PPB/RN2R1K1 w - -,a1a4
8/8/r5p1/3kP3/1pppRP2/5P2/1P1K4/8 b - -,b4b3
4rk2/2R1bp1p/p2B2p1/1p6/8/1B3P1K/PP3n1P/3R4 w - -,h3g2
rnbqk2r/ppp1bp1p/4pp2/8/3PN3/3Q4/PPP2PPP/R3KBNR b KQkq -,b8c6:f6f5
5Q2/1p1rN1pk/p2q3p/2n4P/8/PP6/1B4P1/6K1 b - -,d6e7
r2r2k1/pq2bppp/1p2pn2/P1p1N3/1nP5/3P1NP1/1B2PPKP/R2Q1R2 w - -,d1a4
6k1/1p1b1pp1/1p4qp/2p1p3/P1B1Pn2/1PP2Q1P/5PPN/6K1 w - -,g1f1
2b1rr2/5pkn/p1np2p1/q1p5/1pP1PP1p/3BN3/PP1Q2PP/R2N1RK1 w - -,b2b3
r3kb1r/pp1b1p2/1qn1pp2/3pP3/3p4/3B2P1/PPP2PP1/R1BQK2R w KQkq -,h1h8
3r4/bp3kp1/p1p1p1p1/3nPp2/1P3PP1/P4N1P/R5B1/5K2 w - -,f3g5
r2q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP1NP1/2QBPPBP/R4RK1 b - -,d8d7
8/4Q1p1/1pk4p/5P1P/p2q4/P7/6K1/8 w - -,e7e6
r5k1/5p2/5P2/4PK2/8/1R6/8/8 w - -,b3b7
r1b2rk1/pp1p1p1p/2n3p1/3B4/2PN1p2/4P2q/PP1Q1P1P/2KR3R b - -,c6e7
r4rk1/p2qbpp1/1pn1p2p/3pP3/3N4/2P5/PP2QPPP/3RRNK1 b - -,c6d4
rn2kb1r/1p3ppp/p3pn2/3q4/3P2b1/5N2/PP2BPPP/RNBQ1RK1 w kq -,b1c3
1r4k1/1rqnppbp/b2p1np1/3P4/2p2P2/1PN3PP/P1QNP1BK/1RBR4 w - -,d2c4
2rr1qk1/pb3pb1/1p1ppnpp/1N6/1PB1P3/2N4P/PBQ2PP1/3RR1K1 b - -,c8c4
r1b2rk1/pppnq1pp/3pp3/5p2/1PPPn3/2B2NP1/P3PPBP/2RQ1RK1 b - b3,a7a5
7r/r1pbkp2/p2b2pp/Pp2p3/4PP1N/1B5P/1PP3P1/2KRR3 b - f3,d7e6
rn1qkb1r/p2n1ppp/bp2p3/2ppP3/3P4/2PB1N2/PP2NPPP/R1BQK2R b KQkq -,h7h6:a6d3
r1b2rk1/pp1n2p1/2nb1q1p/3pp3/3P4/2BB1N2/PP2NPPP/R2Q1RK1 w - -,d1b3
4Q3/4p2k/3pNqp1/2pPP3/1p6/1P3P2/2r5/6K1 b - -,d6e5
r1bq1rk1/ppp1bppp/3p1n2/4p3/2n1P3/2NP1N1P/PPP2PP1/R1BQR1K1 w - -,d3c4
5R2/8/8/8/2p5/p1K5/4kp2/8 w - -,f8e8
3r4/p5kp/1p1R1bp1/3B4/8/2P3PP/PP3PK1/8 w - -,d6d8
8/4k3/1r1p2pp/pPn1p3/P3Pp2/5P2/2BK2PP/1R6 b - -,b6b8
1k1r2r1/pb1pp2p/2n2p2/1pP2P2/q7/1NQ2BP1/P2BP2P/2R3K1 b - -,g8g4
3Rrk2/p4pp1/1p2pn1p/8/1PP1b1P1/P1b1NB2/5PP1/2B1R1K1 b - -,e8d8
8/2r2pk1/p4n2/1p4p1/1b1P2P1/3R1P2/6P1/3K3R b - -,f6d5
rnb1k2r/pp1pqppp/2p2n2/2b1p1B1/2B1P3/3P1N2/PPP1QPPP/RN2K2R b KQkq -,d7d6
r1bqkbnr/pp1pn1pp/8/2pP1p2/2PNp3/2N5/PP2PPPP/R1BQKB1R w KQkq c6,d4c2
8/6p1/8/1p1k1r2/3p3P/pn1P2KN/8/4R3 w - -,h3f4
1rbq1rk1/2nnppbp/3p2p1/1ppP4/1P2PB2/2N2N2/2PQBPPP/1R2R1K1 b - b3,f7f5
8/1r6/7k/7P/8/b7/1pK5/7R b - -,b7c7
1r6/4kp2/1p1pp1p1/pP2n2n/N1PRP2r/1P2R3/6B1/6K1 b - -,h5f4
r2r2k1/1p1nqp1p/2p2np1/p1b1p3/2P1P2N/1P4PP/PB1Q1PBK/3R1R2 b - -,f6h5
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq -,c1e3:e1g1:c1g5
r2q1rk1/pbp3p1/4pb2/1p1n2P1/3P2P1/P3B3/BPQ2P2/2KR3R b - -,g8f7
r2q2k1/2pb1rp1/p1ppn2p/5P2/5P2/1PN3Q1/PBP3PP/3RR1K1 b - -,e6f8
3b4/2kP4/7p/5BpP/4K1P1/8/8/8 w - -,e4d5
q4kr1/5p2/5P1Q/p1p1p3/P1Pp1Pb1/3P2P1/1R5K/4R3 b - -,f8e8
2r2rk1/1bq3pp/1pn2b2/p1p1p3/P1P1Pp1n/2BP1N1P/1Q2BPP1/RN2R1K1 b - -,c8d8
3rk2r/ppb2pp1/2pqn1p1/3np3/6P1/PN1PP2P/1PQB1PB1/2KR3R w k -,c1b1
2rr2k1/4pp1p/p3b1p1/p7/Nn6/1P2P1PP/5PB1/1R3RK1 w - -,a4b6
