8/5p2/4nkpp/p2RN3/P5PP/2r2PK1/8/8 b - -,g6g5
r1bq1rk1/pp2ppbp/2n2np1/1B1p4/3P1B2/1QN1PN2/PP3PPP/R3K2R b KQ -,c6a5
1q2r2k/6pp/4Q3/5pP1/5r1P/1PbR1P2/1NP5/1K4R1 w - -,e6c6
2kr1bnr/ppp2ppp/2n5/1B2P3/6b1/5N2/PPP2PPP/R1BNK2R w KQ -,b5c6
2r3k1/p4ppp/1q2p3/1b1p4/1b3P2/1P2P2P/P2N1PB1/3QR1K1 b - -,b6a5
3rr1k1/1pq3bp/p4pp1/4p3/Q7/2P1B3/PP3PPP/3RR1K1 b - -,g7f8
1r3r1k/1p4pp/2p5/2q5/2PpB3/3P2PP/Q1R2PK1/8 w - -,a2b2
rnbq1rk1/ppp2ppp/3p1n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQ1RK1 w - -,d2d3
1R6/5Qbk/3p1npp/2pP4/4P3/5qPP/8/5K2 w - -,f1e1
3r4/5kp1/2p1b1pp/p3P3/1B1P4/P7/5PPP/5RK1 w - -,b4d6
8/8/4p3/2B1b3/2P5/1p1K1k2/8/8 w - -,c5a3
r1bb1nk1/2q4p/p2p2p1/2pPpn2/2P1NP2/P1NBB2P/5QP1/1R4K1 b - -,f5e3
rn1qk2r/1p3ppp/2p1pn2/5b2/Pp6/1Q1P1NP1/4PPBP/RN3RK1 b kq -,b8a6
2r2rk1/1p2ppbp/p2pq1p1/4n3/PP1BP3/2P5/2N2PPP/R2Q1RK1 b - -,e5c4
r1b1nrk1/ppqn2bp/2pp4/4pp2/2PP4/2N1BNP1/PP3PBP/1R1QR1K1 w - -,d1d2
3r4/p1R5/kp1Bp3/3pPp2/2n4P/P7/2P2PP1/6K1 w - -,d6e7
3N4/8/4p2k/2Bp2p1/3P4/p1P4P/bb4K1/8 w - -,d8e6
3r2k1/2p1pp1p/2p3p1/p3P3/2n1P3/Pb2BP2/1P2NKPP/7R w - -,e2d4
3bk2r/1p3p2/p2p2p1/2q1p2p/2NnPP1P/3Q2P1/PP2r1B1/1R3RK1 b k -,e8g8
r1bqk2r/4ppbp/1np2np1/p2p2B1/1p1P1NPP/3BPP2/PPPQN3/1K1R3R b kq -,b6c4
BR3b2/p1p2pkp/6p1/2P2q2/7Q/2Pb1pP1/P4P1P/5RK1 w - -,h4d4
4r2k/1pq3bp/p2pn2r/5p2/2P2P2/1P3B1P/P2Q1B1K/4R1R1 b - -,e8f8
3R4/5p2/2p1p1p1/ppk4p/P1B1p3/1P2P1P1/5PK1/1r6 w - b6,a4b5
r1bqk2r/1p2npbp/p3p1p1/2p5/3PBP2/2P2R1P/PP2N1P1/R1BQ2K1 b kq d3,c5d4
2r3k1/7p/1p3pp1/1B2p3/P7/1Nr5/1KP1R2P/8 b - -,g8f7
r1b1r1k1/1pqn1pbp/p2p1np1/2pP2B1/P3P3/2N2PN1/1P1Q2PP/R3KB1R w KQ -,f1e2
8/2knb3/3p1pp1/3PP2p/1BN1P3/3K2P1/7P/8 b - -,d7e5
r4rk1/1nqn1pbp/2p1p1p1/1p2P3/2pPNP2/4BB1P/1P4P1/1R2QRK1 b - -,a8a6
r4rk1/2qnbppp/p2p2b1/nppPp3/4P1P1/1PP2N1P/P1BNQP2/R1BR2K1 b - -,d7b6
5r1k/r2nb2p/3pq1p1/p1p1p2n/P1P2P2/1P3BPP/1B1NQ2K/4RR2 w - -,f3d5
3r4/1pr3kp/2n2p2/pR6/P1B5/bP1pP1P1/3B2KP/1R6 w - -,d2a5
2r5/2P1k1K1/5p2/6p1/6PP/8/2R5/8 b - -,e7e6
8/8/6p1/7p/6r1/4Q3/5K1k/8 b - -,g4g2
r2q1rk1/1p2pp1p/2bp2p1/p1n1b3/2P1P3/1PN1BP2/P2QB1PP/1R1R2K1 w - -,d2e1
r3r1k1/p1q4p/1p1bn1pB/2p5/3P4/2N2Q1P/PP4P1/2R2RK1 w - -,c3b5
5r2/p2P2kp/BpPbP1p1/4Rp2/3p4/5P2/P4P1P/6K1 w - -,e5d5
2r4r/1p3kp1/p3pb1p/3b4/P2P1PPP/3B2B1/3K4/1R6 b - f3,f6d4
r3qbk1/pp3r2/4p2p/3pPpp1/3B1P2/1P2P1P1/P1R1Q1KP/3R4 w - -,d1c1
r3k2r/pp1bqpb1/3p2p1/2pPP2p/8/2PPB1PP/PP2Q1B1/R3K2R b KQkq -,g7e5
r2qnrk1/1p1n1ppp/p2p1b2/3Pp3/5P2/1N1QB3/PPP1B1PP/R4RK1 w - -,c2c3
2b1qnr1/k1r1b1pn/1p2p2p/pP1pPp1P/P1pP1P1N/2P1NQPR/1B4B1/4K2R w - -,e1d2
5q2/p5k1/1p2p3/3bP2p/1p1P2pP/6Q1/PP2N1P1/6K1 w - -,e2f4
8/r4Qbk/1N1R1np1/4p2p/3pP2P/q2P2P1/5PK1/2B5 b - -,a7f7
8/2pb1pk1/4p1p1/1pQnP3/p4P2/1P3KP1/8/8 w - -,b3a4
r1bq1rk1/3n1pbp/p1pp1np1/8/NpPNPP2/1P4PP/P5B1/R1BQ1RK1 b - -,c8b7
5r1k/4Npbp/B7/4p2p/4P1b1/4q3/PPQ5/1K3R2 w - -,e7f5
rnb4r/p4kpp/5n2/6B1/pb1P4/8/PP3PPP/R3KBNR w KQ -,e1d1
2rqnrk1/1p1n1pp1/p2pb2p/P3p1b1/4P1P1/2N1B1NP/1PP2PB1/R2Q1RK1 w - -,g3f5
r1bq1rk1/pppnppbp/3p1np1/8/2PPP3/2N3N1/PP2BPPP/R1BQK2R b KQ -,b7b6:e7e5
3rqnk1/1p3bb1/rp1p3p/3PpBp1/2N5/P2QP1P1/1B3P2/2R2RK1 w - -,e3e4
2r4k/6p1/p3rqn1/P1p1p2p/2Q5/4RP2/1P4PP/4RBK1 w - h6,g2g3
r3rbk1/2nq1pp1/3p1n1p/pp1Pp3/8/P2B1NNP/1P1BQPP1/R3R1K1 b - -,e5e4
r1br4/1p2ppkp/2p2np1/4q3/4P3/P1N3P1/2QP1PBP/R4RK1 w - -,c3e2
r3kbnr/ppp2ppp/2n5/3q4/3P2b1/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f8b4
r2q2k1/1p1npr1p/2bp4/p2Nbp2/2P5/1P2BP2/P2QB1PP/2RR2K1 b - -,f7g7
1r1r1bk1/2q2p2/1p1p1np1/pQ2p3/2P5/1P1RP1P1/P4PB1/1R2B1K1 b - -,d8e8
5k2/p2r1p2/1pRPr1p1/1P5p/P7/3R2P1/5K1P/8 b - -,f8g7
5R2/6kp/4P3/3P2n1/N7/3n4/P3r2P/6BK w - -,f8f1
r1bqkb1r/3npp1p/p2p2p1/2p5/Pp1PP1n1/3BBNN1/1PP2PPP/R2QK2R w KQkq -,e3g5
8/n1n5/1p2k3/1P1p4/K2P4/2NB4/8/8 w - -,d3h7
r3k2r/ppqN1p1b/2p1pn2/3p2p1/3P2P1/1QP5/PP1NBP1P/R3K1R1 b Qkq -,f6d7
8/1p4B1/p5p1/P2k3p/1P3P1P/n2K4/8/8 b - -,a3c4
r2q1rk1/1b3pbp/p1n1p1p1/1p6/3PP3/3BBN2/PQ3PPP/2RR2K1 b - -,d8d6
3R1bk1/5pp1/7p/1pp1QPn1/6P1/2P4P/1Pq2PK1/8 b - -,b5b4
3r1k2/5p2/p1R1p2p/1p6/1P1qP3/3B2Q1/P5PP/5K2 w - -,f1e2
r3kb1r/pppqpppp/1nn5/4Pb2/3P4/2NBB3/PP2NPPP/R2QK2R w KQkq -,d3f5
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP3/1BN1B2P/PPP1QPP1/R3R1K1 b - -,a7a6
5k2/1p3pp1/5p2/1PP4p/1n6/4B2P/4KPP1/8 w - -,c5c6
2r5/q5k1/p2P2p1/Pp2p2p/2p1N3/1nQ5/1P4PP/3R2K1 w - -,g1h1
3R1r1k/2p2r2/p3bp1p/2p1Pp2/2p2P1P/q1P3Q1/P5P1/3R2K1 w - -,e5f6
r1bq1rk1/p4pb1/3pp2p/2pPn1P1/1p2P3/6B1/PPPQBPP1/R2NK2R b KQ -,d8g5
3r4/p1q2p1k/3ppb1p/1bp2p2/2N2P1r/2P1P3/PP1RQ1PP/3RN1K1 w - -,h2h3
2rqk2r/1p1nbp2/p1n1p3/3p1b2/N2P2Pp/P3PN2/1P2BPPB/2RQ1RK1 b k -,f5g4
8/2p5/pp1n1p2/3P1k2/3P2p1/3K4/P4PPB/8 w - -,d3e3
r2q1rk1/pp1nbppp/2p1p3/8/2PPn3/1P1Q1N2/P4PPP/R1B2RK1 w - -,d3e4
1r2k2r/2bb1p1p/p1n1pp1N/1p6/1P2B3/P1P2N2/5PPP/3RR1K1 b - -,c6e5
r3qr1k/pp2bpp1/2p1p2p/4PP1P/8/3Q4/PPPB4/2K1R1R1 b - -,a8d8
8/R6p/1p1Q2rk/2pP1p2/2P1p3/1P2P2q/7P/5R1K w - -,d6f8
8/3bkppp/2R5/2n5/4PP2/N5P1/6BP/7K b - -,d7c6
r1bqr1k1/p4pp1/2pb1n1p/8/1Pn5/2PN4/P2NBPPP/R1BQ1RK1 b - -,c8a6
r4rk1/4ppbp/p5p1/qp6/n2PPNb1/Q7/P1B2PPP/1RB2RK1 b - -,g7d4
r2r2k1/2pnbpp1/3p3p/p2B4/Pp1B1PPq/3R3P/1PP5/4RQK1 b - -,c7c6
rnbqkb1r/1p3ppp/p3p3/3p2P1/3Nn3/2N1B3/PPP2P1P/R2QKB1R w KQkq -,c3e4
1q3r1k/2R3b1/1p2P1np/1NpB1pp1/2P2P2/1P2Q1Pb/5B2/6K1 b - -,f8e8
1k4r1/pbqrbp2/1pp1pn2/4Qp1p/3P3P/PNN2PP1/1PP3B1/1K1RR3 w - -,c3e2
r2k1b1r/1p1b1pp1/p2p1n1p/q1pP4/5BP1/N1P2P2/PP2QN1P/2KR3R b - -,b7b5
r7/p2q1kp1/2n1p3/2pr2B1/2P4P/P7/4QPP1/3R1RK1 b - -,d5d1
r1b1r1k1/ppp2pnp/3q2p1/3Pp3/4P3/2P2PP1/P2QBR1P/R1B3K1 b - -,f7f6
