2R5/5k2/4p3/3n4/2P5/4r3/5KP1/8 b - -,e3c3
8/5pkp/3p1p2/p2P1Pb1/PrBq2r1/1P2p1PQ/2R4P/5R1K w - -,h3g2
7r/1p4rk/3p1q2/p1pPn3/P1PpP1pP/1P2bpP1/R6N/1R1B1Q1K b - -,h7g8
r7/2p4p/4k3/p3p1p1/3nP3/3PKPP1/1N5P/R7 w - -,a1a4
r4rk1/pbq1bppp/1pPp1n2/4p3/P1B1P3/2N2N2/1PP2PPP/R2QR1K1 b - -,b7c6
1r4k1/4p2p/3p2p1/1NpPb3/2P2r2/3p3P/1P3PP1/RR3K2 w - -,a1a4
6k1/p4pp1/1p4rp/4p3/1P6/P1q1PP2/3R2PP/1Q5K w - -,d2d3
2r1k2r/1bqnbppp/p2pp3/6P1/1p1NPP1P/5QN1/PPP4R/2KR1B2 b k -,d6d5
r2r1bk1/2q3pp/1p2pp2/1N1np3/PP6/2P2N2/3BQPPP/R5K1 b - -,c7c6
1r4k1/2qb1pb1/p2p2p1/n1pPp3/2P1P1p1/2B3P1/P1QN1PBP/1R4K1 b - -,b8b1
8/1K1k3p/3P4/8/5p2/8/1p6/3R4 w - -,b7b6
r5k1/rp2qpp1/1Qp4p/P1Np4/6b1/3P2P1/R3PP1P/1R4K1 w - -,b1b2
5rk1/p7/6P1/7n/2nK1P2/3R4/P7/8 b - -,h5f4
2br2k1/5pp1/p7/2qPp3/1pP1P1r1/1B1RQ1P1/5P2/R5K1 b - -,c5e3
8/8/2P5/4k1pK/4B3/5P2/8/6r1 b - -,e5f4
8/5pk1/5p2/1r3P1R/8/5rPK/7P/8 w - -,h3g4
8/3Bn3/4Pkp1/5p1p/4p2P/2r3P1/1R3P2/5K2 w - -,b2b8
r1bqk2r/pp2npb1/2npp1pp/2p3B1/2P5/2NP1NP1/PP2PPBP/R2Q1RK1 w kq -,g5d2
6k1/2R5/2P5/5p2/6P1/3p4/2r5/4K3 w - -,g4f5
r4bk1/p4n1p/2bB1pp1/5q2/2Q5/5P2/PPP3PP/3RR1K1 b - -,c6b5
8/2r4p/1P1kp3/R3pp2/3b4/6P1/6KP/1R6 b - -,c7b7
r4rk1/1p3pbp/p5p1/3p4/3N2n1/2P1PRPq/PPQ4P/R1B3K1 b - -,a8e8
8/3q2p1/2p5/4Q2P/1k3P2/6P1/4P2K/8 w - -,f4f5
r1bq1rk1/3nppbp/3p1np1/1NpP4/2B5/4PN2/PP3PPP/R1BQ1RK1 w - -,b5c3
2r3k1/5p1p/p5p1/1p1b4/5B2/P6P/5PP1/1R4K1 w - -,b1d1
1R4k1/3brpp1/7p/2Pp4/3Q4/q3PPP1/5K1P/3B4 b - -,g8h7
8/8/8/1kpr2N1/7P/2B5/2K5/8 b - -,b5c6
8/2rpk3/4r1p1/2p2p1p/p1P2P2/P3n1P1/1P1R3P/2KR1B2 w - -,d1e1
8/8/6pk/8/4K3/8/8/8 w - -,e4f3
r1bqk2r/pp1pbppp/2n1pn2/2P3B1/8/2Q5/PPP1PPPP/RN2KBNR w KQkq -,b1d2
6k1/5p1p/1R1br1p1/5qP1/7Q/5N1P/1P2rPK1/3R4 b - -,e6e4
8/p4pk1/5b2/2p3pR/6KP/2P3P1/1P3r2/8 b - -,g5h4
2b1r3/2pr1pbk/1pnq1npp/p2pp3/PP2P3/2PP1NNP/2QBBPP1/1RR3K1 w - -,b4b5
2rq1r2/p5kp/b3p1p1/2pnNp2/PP1Pn2P/1Q3NP1/4PPB1/2R2RK1 b - -,c5b4
4rqk1/1R4pp/p3p3/b3p3/2NpQ3/3P2PB/2P2P1P/6K1 b - -,a5b4
4r1bk/pp3r1p/3R3B/4np2/2P1p3/1P4PP/P5BK/5R2 w - -,h6e3
6k1/1Prn4/8/6pP/3K2R1/N5p1/8/8 w - -,g4g5
2kr3r/pbq1npb1/1pn5/2pp3p/B3PPp1/3P4/PP2N1PP/1RBQNRK1 w - -,e4e5
rn2k2r/ppq2pp1/4p3/3pP3/6pP/6Q1/PPP1P1P1/2KR1B1R w kq -,e2e4
8/5p2/1r1kp3/r4p1p/3P4/1PR3P1/1K1R3P/8 w - -,c3c4
8/8/6p1/3bk3/1N5P/8/pK6/8 b - -,d5e4:e5d4
8/p6k/3p4/1PpPb1Rp/2P1p1b1/pB6/5P2/5K2 b - -,e5f4
r2r2k1/1p2q1b1/p2pbp2/4n2N/2P1PB2/1P6/P2Q2PP/3R1R1K w - -,d1e1
3r1b1k/p1q2rp1/1pp2n1p/2P1R3/1P1P4/3B3P/P1QB3P/5RK1 w - -,d2c3
2rr2k1/Bb2bpp1/p4n1p/1q2pP2/Np2P3/1Q3B2/1PPR2PP/R6K w - -,d2d8
rn2kb1r/pp2qppp/2pp1n2/4p3/2BPP1b1/2N1BN2/PPP2PPP/R2QK2R w KQkq -,e1g1
1rR3k1/6bp/5pp1/1p2pPP1/4Pn1P/1P6/P2r3B/2R2BK1 b - -,b8c8
4r1k1/pb1n1p2/1p3n1p/3pq1p1/1P1Q4/P1rBPP1N/5BPP/R2R3K b - -,c3b3
r3k3/ppp1q3/2nb2p1/5b2/3P2p1/2P3P1/PP4Q1/RNB2RK1 w q -,c1f4
k1r1r3/1pq2pp1/p2p1b1p/3Pn3/1Q4P1/2P4P/PPN5/1K1R1B1R b - -,e5d7
rnb1k2r/pp3ppp/4p3/q7/1bPPp3/5N2/PP1B1PPP/R2QKB1R w KQkq -,a2a3
1k1r4/pp1q4/2pb1p2/6p1/P2pPP1r/5Q2/NP1B3P/R4RK1 b - -,g5f4
8/1R4pk/P2Kp2p/1P1pN2P/3P2P1/8/2r5/5b2 b - -,c2a2
3rkb1r/4qppp/p3bn2/2P3N1/Pp1N4/1n2Q3/1B3PPP/2R1KB1R b Kk -,f6g4
r2qk2r/pp2bppp/2b1p3/3nN3/3P4/2N5/PP3PPP/R1BQ1RK1 b kq d3,e8g8
8/pp1N1pk1/2pq4/K4p2/8/2P5/PP6/2b1Q3 b - -,d6d7
5k2/4p2P/4qp2/2p4Q/1p6/1P4P1/P6K/8 b - -,e6e2
rnbqk2r/ppp2ppp/3Bp3/3p4/2PP4/2P1P3/P1Q2PPP/R3KBNR b KQkq -,d8d6
6k1/1pbrqpp1/2p2np1/4p3/2P5/1PB1P1PP/5PB1/R3Q1K1 w - -,a1d1
r2q1r2/3n2kp/1pp2pb1/p1Pppn2/1P1P2B1/P1N1B3/5PPP/R2Q1RK1 b - -,a5b4
8/p4kpp/1p6/2b2p2/4p3/1P2P3/PB3PPP/3K4 w - -,d1e2
r4rk1/1p1q1pbp/p2p2p1/P2b2B1/1n1PB3/5N2/1P3PPP/R2QR1K1 b - -,f8e8
7k/pb3q2/1p1n4/2p1n1P1/4Pp1P/2P2B2/PP1NQ3/6K1 b - -,e5f3
r1r3k1/1p4bp/4pB2/p1Pp3B/8/1P4RP/P4PP1/6K1 b - -,c8c7
8/2q1kp2/4p1p1/p5P1/1p6/1P2PP2/P2Q1KP1/8 b - -,c7e5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2PP1N2/PP1N1PPP/R1BQKB1R w KQkq d6,g2g3
r1bq1rk1/2pn1ppp/1p1ppn2/p5B1/2PP4/P1QBPN2/1P3PPP/R3K2R b KQ -,c8b7
3rr1k1/pp2qpb1/1np4p/6p1/1P1pP1b1/PQ1B2B1/3N1PPP/R4RK1 w - -,f2f4
6k1/3R3p/8/pp6/4P1p1/5P2/PPb3P1/6K1 w - -,d7d5
8/5kbp/p3rp2/1r6/1P1B1p2/2PR3P/5PP1/R4K2 w - -,d4c5
1k4r1/pbq1b1rp/2p1p3/1pP4n/1P1Ppp2/6P1/P2NBP1P/1R1RQ2K w - -,e2h5
r3k1r1/pp1qbpBp/2n5/3p4/8/8/PP1N1PPP/R2QR1K1 w q -,g7f6
8/6kq/8/1P4p1/2P1KpQ1/7P/8/8 w - -,e4e5
r1b2rk1/pp1nqppp/2p5/8/2BpP3/P1P2N2/5PPP/R2QR1K1 w - -,c3d4
4rrk1/1p4pp/1Bpb1P2/p2p3b/N2P4/4q1pP/PPQ3B1/R4R1K w - -,c2f5
6k1/3n2p1/r1pq1r1p/p2p4/1P3P2/P7/3QN1PP/R4R1K w - -,e2d4
2b2r1k/p1r2ppp/1npb3q/1p1pN3/3P1P2/1P1QPN2/P4PBP/2R3RK b - -,f7f6
4r3/8/2R5/1k2Pp1p/5B2/2P3PK/b7/8 w - -,c6c7
2nr4/1kpp1p2/4r2p/2p1PNp1/2P1R3/1P3P2/2K3PP/4R3 w - -,e1e3
8/8/8/6R1/8/2k2K2/6p1/6r1 b - -,c3d3
r5k1/pbq2pp1/1p2pn2/3r2PP/3N4/2PB3R/PP2Q3/1K1R4 b - -,d5g5
r3k2r/pp1b1ppp/4pn2/1Bqn4/7Q/P1N5/1PPB1PPP/3RK2R w Kkq -,b5d7
5rk1/1p2b1pp/p2pq3/2P1B3/P3R3/1P3r1P/2PQ1PPK/4R3 b - -,f3f2
2r5/5pk1/5n1p/p1rpp1p1/P7/1P3PP1/N1PRK2P/2R5 w - -,e2d1
r1b1r1k1/5ppp/2p3n1/qpPp4/4B3/1P2PN1P/P1Q2PPB/1K1R3R b - -,e8e4
2kr1b1r/qb1n1p2/p2Pp2p/P1p1P1p1/2B5/2P3BP/3Q1PP1/RR4K1 b - -,c8b8
r2r1k2/pp1b1pp1/7p/2PpR3/3N4/8/PP3PPP/4R1K1 b - -,d7c6
5r2/3bppk1/3p2p1/3P3p/3NP2P/1Pp1P3/6P1/5RK1 w - -,f1c1
r4rk1/p1q1Npbp/bp4p1/3p4/8/6P1/PPP2P1P/R1BQR1K1 b - -,g8h8
r2qk2r/1pp2ppp/p1npbn2/2b1p3/4P3/2NP2PP/PPP1NPB1/R1BQK2R w KQkq -,f2f4:c3d5
