8/5p1k/2p2Qp1/p2qP3/5PP1/8/5K2/8 b - -,d5e6
r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d2d4:a2a4
r1b1qnk1/p3bp1p/1p3np1/2ppNpP1/3P1B2/2P1P2Q/PP1N3P/R4RK1 b - -,f6h5
3r1k2/2p2bp1/1p1n1p1p/7P/2P2PP1/1P6/1BB1r3/2K2RR1 w - -,g4g5
r2qrn2/1bn1p1kp/p1p2pp1/1pP5/3P4/P1N2N1P/1P1QBPP1/3RR1K1 w - -,e2d3
r3r1k1/ppb2ppp/2p5/2nP4/2B2p2/2B2P2/PP5P/2KRR3 w - -,d5c6
8/p3Pkp1/1p4p1/1P3p2/1BP1n3/3K2P1/7P/8 b - -,f7e8
2r1kr2/1b1n2pp/pp1Q1n2/8/2q1P3/2P2N1P/PP3PP1/R1B1R1K1 b - -,c4c6
1r3bk1/5p1p/2p3p1/p3N3/4Pn2/P1P2P1P/5BP1/3R1K2 b - -,b8b3
r1b1k2r/1p3ppp/p1nBp3/8/8/3P1N2/PP3PPP/R3K2R b KQkq -,f7f6
r4rk1/pp2npbp/4p1n1/qN3p2/8/2P1B1PB/PP2QP1P/R2R2K1 w - -,h3g2
3r4/4R3/P2P1kp1/1bB4p/8/7P/7K/8 w - -,c5d4
3rrb2/p2q3k/1n4pp/R1p1pp2/8/1NPP1P1P/1PQ2BP1/4R1K1 b - -,b6c8
8/5bpk/8/5q2/4P3/6K1/2Q5/8 b - -,f5g5
r3kb1r/pp2pppp/2n2n2/2pq1b2/2BP4/N1P2N2/PP3PPP/R1BQK2R b KQkq -,d5e4
r2rb1k1/pp2qpp1/2p1p2p/8/3PPP2/PBR1Q2P/1P4P1/3R3K b - -,a7a5
4r3/7N/8/R2n4/1P1k4/P6P/6PK/8 b - -,e8e2
rnbq1rk1/ppp1p1bp/1n3pp1/3pP3/3P1P2/1B3N2/PPP3PP/RNBQ1RK1 b - -,b8c6
2R5/1p1k3p/pB1p2b1/3Pp3/PP2p3/6P1/3KPP2/8 b - -,d7c8
5b2/1b1B3p/pp1P4/2p1pN2/P3Pk1P/1P1K1P2/8/8 w - -,d3e2
r5k1/4pp2/1p4p1/3b1nQp/p2Nq2P/3R1PP1/P2R4/6K1 b - -,e4e1
5k2/1p2qpp1/4b3/p3r1P1/5P1r/P1BBP2p/1P5R/2KR4 w - -,c3e5
1k1r3r/pp5q/1np1B3/4R1QN/7P/P5P1/1P3P2/3bR1K1 w - -,h5f4
r1b1kb1r/pp1n1ppp/1qpnp3/3p4/3PP3/2NB1P2/PPP2BPP/1R1QK1NR b Kkq -,b6a5
8/4kpp1/2B4p/p7/2Pb4/6PP/4KP2/8 w - -,f2f3
2r1qrk1/pb3pp1/1p2pn1p/4n3/2BP3B/1QR5/PP3PPP/4R1K1 w - -,e1e5
r4rk1/1bp2pp1/p2qpn1p/1p6/1PpP4/P1N1PN1P/2P1QPP1/R2R2K1 b - -,f8d8
2r3k1/1p3pp1/p2n1n1p/3p4/1P1P1N2/P3BP2/2r1RKPP/R7 b - -,g7g5
3k1r2/1Q6/3q4/4r3/8/1P5P/1P2B1P1/4R2K b - -,e5e2
1rq2rk1/pp2bppp/4p1b1/7n/4P3/1QN2NP1/PP3PBP/R4RK1 w - -,a1c1
2r1k2r/1pq1bpp1/p2pb3/6P1/2n1PB2/2N5/PPP2Q2/1K1R1BR1 w k -,f1c4
r5k1/Nn3ppp/1p6/3p4/8/P3PB2/1Pr2PPP/5RK1 w - -,a7b5
2r3k1/5pp1/4p2p/8/P2q4/R1p4P/P1Q2PP1/6K1 b - -,d4d2
8/3Q4/5pk1/4r3/5KP1/8/8/8 w - -,d7c7
5kr1/1b3p1p/pp3bq1/5p2/1PpN1Bn1/P5PB/4Q2P/4R1K1 w - -,d4f5
br2r1k1/4pp1p/1p1p1np1/p1q5/P1PNP3/1P4PP/3Q1PB1/2RR2K1 w - -,d1e1
r3k2r/1bqnbppp/pp1ppn2/6B1/2PNP3/P1N5/1P2BPPP/2RQ1RK1 w kq -,f2f3
3k4/3n3p/1p1R1p2/1P1BpP2/4P2K/3r4/8/8 b - -,d3d1
3q2r1/4bpr1/2k1p3/1b1pPp1p/p1pP1P2/1nP2N1P/RP3BPK/4QNR1 b - -,g8h8
2q3k1/1p2n3/p1r1Pr1p/P2p1Pp1/3P3b/2B4Q/1P1N2RK/6R1 b - -,e7f5
rnb1k2r/pp2pp1p/6p1/2P3B1/n7/2P2NP1/P3PP1P/3RKB1R b Kkq -,a4c3
r4rk1/2q5/pnbNp2p/1p1nPpp1/2pP1b2/6B1/PP2QPPP/1B1RNRK1 w - -,e2h5
8/4p1kp/p5p1/3b1p2/5P2/1P6/P1N2KPP/8 b - -,d5e4
r2q1rk1/5ppp/p3nb2/N1Pb4/1p1P4/8/1PB2PPP/R1BQR1K1 w - -,c1e3
1r1q1rk1/p1nbb1pp/2pp4/2p1p3/2P1Q3/1P1P1NNP/P2B1PP1/R3K2R b KQ -,c7e6
r2q1rk1/3P1p2/p3n2p/1p6/1Q5P/2N4b/PPP2P1P/R2R2K1 b - -,g8h8
r3r1k1/1pqn1ppp/2p2b2/p3p2b/2P1P3/PP3NP1/1BQ2PBP/3RR1K1 b - e3,a8d8
r1bqkb1r/pp1n1pp1/2pp1n1p/4p3/3PP1P1/2N2N1P/PPP2P2/R1BQKB1R w KQkq -,a2a4
2rq3k/1Q3Bpp/5b2/1N6/2Pp4/3n2Pb/5PNP/4R2K w - -,e1e8
r3k2r/pb1pqppp/2n1p3/2p4n/2P1P3/P1N1BP2/1PQ3PP/R3KB1R w KQkq -,c2f2
7k/2q4p/2p1p1r1/prPp4/3PP1p1/RP4R1/6PP/4Q1K1 b - -,c7f4
8/6pk/8/8/2Qp2KP/4p1P1/5q2/8 b - -,e3e2
r4rk1/pp1qp1bp/1np3p1/3bPp2/PP1P4/5N2/2QBBPPP/R4RK1 w - -,a4a5
6K1/4r3/2pb2Q1/1pk3p1/3p4/6r1/8/8 b - -,g3a3
1rb2rk1/2qnppbp/3p2p1/np6/2pPP3/2P1B2P/1PNNBPP1/2RQ1RK1 w - -,c2b4
2r1k2r/1p3ppp/p1n1b3/2Q1p3/q7/P2BB3/1PP2PPP/2KR3R b k -,c6d4
3r1rk1/1p2bpp1/pNqpb2p/P3p3/4PnP1/1P2NPB1/2PQ3P/R2R3K b - -,f4g6
2b1r1k1/1p3ppp/1q1r4/8/1P3P2/4b1P1/2Q3BP/R1B2R1K w - -,c1e3
r1bqk2r/pp1n1ppp/2p1p3/8/1bPPB3/5N2/PP2KPPP/R1BQ3R b kq -,b4e7
1r2kb1r/p1ppnp1p/b1p3p1/4P3/1qP5/P4N2/1PQ2PPP/R1BK1B1R b k -,b4b6
4r1k1/5pp1/8/1R1R4/7p/2P5/1P5r/1K6 b - -,h4h3
2kr2r1/ppqb1p2/2n1p3/3pPn1P/5P2/P1pQ4/2P1N1P1/R1B1KB1R w KQ -,a1b1
2r2rk1/pb2qppp/1p3n2/3pR3/3P1P2/bP1B1Q2/PB1N2PP/5RK1 b - -,e7b4
4r3/pp3kpp/3R4/2r2p2/4B3/1P6/P2K1PPP/R7 b - -,e8e4
1r2rbk1/p2q1pp1/3p2np/1PpPpN1n/4P3/4BNP1/PPQ2P1P/3RR1K1 b - -,d7b5
r2r2k1/pp1bbppp/n3p3/1q2P3/1P1B4/P2Q1NP1/5PBP/R4RK1 w - -,d3e3
8/1b2kp1p/3ppp2/1p6/p2bPN1P/1P1P2P1/P3KPB1/8 b - -,b7c6
2r1rnk1/pb1q2bp/1pn1ppp1/2p5/P1PpPN1P/3P2B1/1P3PPN/R2QRBK1 w - -,f2f3
r3nrk1/pb1n1p1p/1p3Qp1/2pp4/6P1/1PPN1PB1/P1P4P/R3RBK1 b - -,e8f6
4r3/2p5/3k2p1/1pNpr2p/p2R3P/P4P2/1PP1b1P1/4K2R w - -,c5e4
4r1k1/3p3p/2bP2p1/4Bp2/4nPP1/2p1P3/qR4KP/2QR4 b - -,c3b2
8/bp3Q1k/8/2P1pp1P/1p2p3/8/P3K3/6q1 b - -,g1g7
5rk1/p2n2pp/1p1P4/2r2pb1/P1q1p3/2N3P1/1B2RPKP/R2Q4 w - -,c3b5
r3r1k1/pp1n1ppp/2p1p1b1/8/3PPP2/PBB4P/1P4P1/R3R1K1 b - f3,g8h8
2kr3r/1pp2ppp/p1p2nb1/8/3qP1P1/1N1PN2P/PPP2P2/R2Q1RK1 b - -,d4b2
7k/1prbrn1p/5p2/p1b1p1p1/4B1P1/P5BP/1PPR1P2/3RKN2 w - -,f1e3
5k2/8/8/p2BN1p1/2P1R2p/P7/KP4PP/3q4 w - -,e5d7
k1r4r/1pq1bp2/p2pp1pp/8/N1nRPB1P/5P2/PPP2QP1/1K1R4 b - -,a8b8
r2q1rk1/1p3pbp/2bp2p1/p3p3/2P1n3/1P2PN2/P3BPPP/B1RQ1RK1 w - -,c4c5
r4rk1/p1pqppbp/1pn3p1/8/3P3B/1QP1PN2/P3KPPP/R2R4 b - -,a8c8:f8e8
r2qkb1r/pppn1ppp/3p1n2/4p3/2PP2b1/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,c7c6:f8e7
8/1p4pp/5p2/p2k4/7n/PP2PP1P/3K2P1/4N3 b - -,b7b6
r2qk2r/ppp2ppp/4pn2/8/2QP4/B1P1Pb1P/P4PP1/R4RK1 w kq -,g2f3
r1bnk1nr/ppppbppp/1q6/3PP3/B7/5N2/P4PPP/RNBQR1K1 b kq -,e7c5
r2q3k/1p3rb1/p2pb1p1/2pNpp1p/2P1P3/1P1P3P/P2RQPPN/5RK1 b - -,g7h6
2r1r1k1/1b3pqp/pp3p2/n2P4/2P5/3B1P2/P2Q2PP/R1R4K w - -,d2b4
8/3r2p1/R1pk1p1p/1p1p1P2/1P1P2PP/4P3/5K2/8 b - -,d7e7
8/5pkp/R1n2Pp1/p7/1r1nP3/6P1/1P1R1K1P/8 b - -,g7f6
8/p2R1q1k/1pP4p/8/6r1/2B1p1P1/P1P1pP2/4n2K b - -,f7d7
