7b/p1k5/3p3P/8/2n1P1K1/2p5/P1N5/8 w - -,g4f5
2r3k1/1b3pp1/p2pp3/2p4q/2P1p2p/PPQ1P2P/3RNPP1/6K1 b - -,c8c6
4r1k1/5ppb/5n1p/q1n1p3/1pQ1P3/5PPP/2BB2K1/1N1R4 b - -,c5a6
3q4/1p3pk1/2p5/p5pr/P1BpPb2/N1PR3P/1P2R3/7K b - -,d8c8
r2r2k1/1pq2pb1/3p4/pB1Q1pP1/P7/2P5/1P3B2/4R1K1 w - -,d5f5
6k1/pp4p1/2r4p/3r4/5P2/7P/PP3R1K/4R3 b - -,c6d6
8/5b2/8/5kpp/8/6P1/5K2/3B4 w - -,d1a4
r2qr1k1/1p1n1pbp/p1p1p1p1/8/3P2b1/1PB1PN1P/P1Q1BPP1/2R2RK1 b - -,g4f3
2r2rk1/5pp1/p4qn1/3R3p/1P6/P3Q1PP/B6K/4R3 w - -,e1e2
8/p4k1p/4Rb2/6p1/PB6/7P/5PPK/3r4 w - -,e6e4
5rk1/ppp1R1pp/1b1q4/8/1P1PQ3/P2B3P/7K/8 w - -,h2g2
r2q1rk1/pbpp2pp/1pnbpn2/8/N1P1P3/1P4P1/P3NPBP/R1BQ1RK1 b - -,d8e7
r2rn1k1/1bq1bppp/p1p5/4pP2/3pP1PP/P2B1Q2/1PP2B2/1N2RRK1 b - h3,a6a5
r4rk1/p4bp1/1n2np1p/Np2p3/1Pp1P2B/2P4P/P1B2PP1/3RR1K1 w - -,f2f3
R4k2/5p2/p3r1pp/1p6/3B1nPP/8/PP6/6K1 b - -,f8e7
r2q1rk1/1pp1ppbp/3p1np1/p2P1b2/Pn1N1B2/2N3P1/1PP1PPBP/R2Q1RK1 b - -,f5d7
2r1bqk1/1p4p1/p3prn1/2np3p/8/P1N2P1N/1PPQ2PP/3RRBK1 b - -,c5a4
r1bq1rk1/p2nppbp/n2p2p1/2pP4/2P1P3/R2B1N2/1P3PPP/1NBQR1K1 b - -,a6b4
rn1qk2r/pbp1bppp/1p2pn2/3pP3/3P4/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,f6d7
r1bqk2r/pp1nppb1/2np2p1/2p4p/3PP2P/2PBBP2/PP2N1P1/RN1QK2R b KQkq -,c5d4
1r2q1k1/2p4p/n2b2pB/1p1R1p2/2r5/P4NP1/1Q2PPKP/3R4 b - -,e8e7
1r1q1rk1/2pb1pbp/2Np1np1/n2Pp3/Np6/1P4P1/PB2PPBP/2RQ1RK1 b - -,a5c6
r3kbnr/1bqp1ppp/p1n1p3/1p6/3NP3/2NB4/PPP2PPP/R1BQR1K1 w kq -,d4c6
r2q1rk1/1b1nbppp/p1p1pn2/P5B1/1p1P4/1N4P1/2QNPPBP/R4RK1 b - -,a8b8
r5k1/pr3pbp/2N1pnp1/1p1p4/3P4/4P1P1/1P3PBP/R1R3K1 w - -,a1a6
r3r1k1/pp3pp1/2p4p/2PpB3/1P2b3/4P2P/1P3PP1/R3RBK1 b - -,e8e5
8/4q1k1/6p1/2n1p1P1/2BpP2p/1P5P/2P2Q2/2K5 w - -,f2h4
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPn3/2PBP3/P1Q2PPP/R1B1NRK1 b - -,d8h4
r1bq1rk1/pp3pbp/5np1/3Np3/3NP3/1Q2B3/PP2BPPP/2R2RK1 b - -,f6d5
r1b1kb1r/1p1n1ppp/pqn1p3/3pP3/3N1P2/P1N1B3/1PP1B1PP/R2QK2R b KQkq -,f8c5
4nrk1/r5bp/pq1p2p1/1p1Pp3/P5R1/1N1B1P2/1PP1Q2P/1K1R4 b - a3,e8f6
rnbqk2r/1p2ppbp/p1p2np1/3p4/P1PP4/2N2NP1/1P2PP1P/R1BQKB1R w KQkq -,f1g2
r2k1b1r/p3pp1p/3p1np1/q1pP4/2P3b1/P1N1PN2/1BQ2PPP/R3K2R w KQ -,f3g5
8/1b4r1/pP6/P1p1p1B1/2Ppkn1P/N7/7K/5R2 b - -,d4d3
rnb2rk1/2q1bppp/p4n2/1p2p3/8/1PN1PN2/PB2BPPP/R2Q1RK1 b - -,f8d8
5bk1/5p2/2n1q1p1/1p2p2Q/2p1B3/2P4P/1P1B1PP1/7K w - -,h5e2
4r1k1/2p2ppp/2n2n2/p1Pp4/3P4/P1B1PPNq/5K1P/Q6R b - -,h7h5
1R6/1P4p1/6k1/7p/q7/8/6PP/5Q1K w - -,b8f8
8/5p1k/3Q2p1/p4r2/PpB2n1P/1P3P2/3K1P2/8 b - -,h7g7
6k1/6p1/2b4p/8/1P6/3q1P2/6QP/5R1K b - -,g8h7
8/8/1p1k4/5bp1/1P1K4/5BP1/8/8 b - -,f5b1
2r3k1/pr3p2/5p1p/R7/3PK3/4P1B1/5PPP/8 b - -,c8c6
r3k1nq/3p1p2/b2P4/pp1Qb1p1/4Pp2/PB3P2/1PP5/R1B1K3 b Qq -,h8h1
r4rk1/1b4pp/p2bp3/5p1Q/q2PpP2/P3P3/3BN1PP/2R2RK1 b - -,a4a3
1nkrr3/1p2bppp/p1qpbn2/2p5/5B2/2N1QN1P/PPP2PP1/2KRRB2 b - -,h7h6
8/4kpp1/7p/p3P2P/P4KP1/1P2Q3/5Pq1/8 w - -,e3f3
1r2k3/p2prp1p/2p3p1/2Rp4/8/1P1N1BP1/P4P1P/5K2 b - -,e8d8
r1bq1rk1/ppp2ppp/2nb4/4p3/8/P1P2NP1/2QPPP1P/R1B1KB1R w KQ -,f1g2
b1rq2k1/2p2ppp/p3rn2/Bp2b3/4P3/1N4P1/PPQ2PBP/R3R1K1 w - -,a1d1
1r3rk1/p3ppb1/1q1pb1pp/n1p2P2/2P3nN/BPN3P1/P2QP1BP/1R3RK1 b - -,g6f5
1r3rk1/p2qnp1p/3p2pb/N3p3/1P1pPPb1/P2P2P1/3QN1BP/R4R1K w - -,e2g1
r1b2rk1/1p3ppp/3p4/2p5/2P1PN1P/8/PPP2K1P/R6R b - -,f7f5
r3r1k1/1pq2pp1/p1p2n1p/2Np1Nn1/1P1P4/4P2P/P1Q2PP1/1R3RK1 w - -,a2a4
2kr3r/1pq1bppp/p1nppn2/2p5/4PP2/2PPN3/PPN1Q1PP/R1B2RK1 b - -,d6d5
r2q1rk1/ppp2ppp/8/2B1n2n/2B1P3/2PP1b2/PP4PP/R2QK2R w KQ -,g2f3
r3k2r/p4ppp/1n2b3/1pp1N3/2P4B/1Bn5/P4PPP/2KRR3 w - -,d1d3
8/8/1b6/2p1pk1p/8/1PBP1P2/6K1/8 w - -,c3d2
rn1qkb1r/pb3ppp/1p1ppn2/8/2PNP3/2N2P2/PP4PP/R1BQKB1R w KQkq -,c1e3:f1e2
r1b1k3/4b1p1/2p1ppP1/p1q5/N2pP3/1B1Q4/PPP4r/1K1RR3 b q -,c5e5
r1q2rk1/p1pnppbp/1p1p2p1/3P4/2P1b3/4BNP1/PP1QPPBP/R4RK1 w - -,e3d4
4r1k1/5p2/1Q1p2p1/2nPp2p/2P5/2P4P/2B4B/2q4K w - -,h2g1
2rqr1k1/1b3ppp/pp1b1n2/3NpN2/2PpP3/1P3PP1/P3Q1BP/2RR2K1 b - -,b7d5
8/2k2p2/5P2/1p4Pp/1p2b2P/8/1PPK4/8 w - -,c2c3
r4rk1/pb3ppp/1p2p3/n1b4q/1P2P3/5NP1/PB3PBP/R2Q1RK1 b - -,f8d8
qr4k1/2pbpp1p/1r4p1/3P4/P7/3QP3/Rp2NPPP/1R4K1 b - -,d7b5
r5r1/1b3pk1/3p3b/p1q1pP1Q/1pB1P2P/8/PPP3P1/1K1RR3 w - -,f5f6
r5k1/pb1qb1pp/1pp1p1r1/8/2PPQ1B1/1P2p1P1/PB2P2P/R4RK1 w - -,a1d1
r1bqkb1r/pp1p1ppp/2n5/2p1P3/3p4/1P4Q1/PBPP1PPP/RN2K1NR b KQkq -,d7d6
2kr1b1r/pppq2p1/3p4/3Qn1Pb/2B1PR2/7P/PPPN2P1/R5K1 w - -,a1f1
8/8/7p/4kp2/8/1B2Ppr1/8/5K2 b - -,g3g2
r4rk1/pb2bpp1/5n1p/q1pp4/8/2N1PNP1/PPQ1BPP1/2RR2K1 w - -,f3d2
rnbqkbnr/ppp2ppp/8/8/2pQ4/4PN2/PP3PPP/RNB1KB1R b KQkq -,d8d4
r3r1k1/pp2bppp/4pn2/q1p5/2PP1BP1/5N1P/PP2QP2/R2R2K1 w - -,b2b3
8/1nk1n2p/R2p2p1/1P1Pp1P1/2p3P1/4NK2/7P/8 w - -,b5b6
8/6k1/1R4pp/5p2/1P2p2P/4P1K1/5PP1/1r6 b - -,g6g5
8/1p6/p4pp1/2p1k2p/7P/1P1K1PP1/P7/8 w - -,d3e3
r1b2rk1/p3q1bp/2p2pp1/B2np3/N1NPQ3/8/PP3PPP/R2R2K1 w - -,c4e3
r2qk2r/pp1nbpp1/2p4p/3pP3/6b1/2NBP1BP/PPQ2PP1/R3K2R b KQkq -,g4e6
4r3/p7/1p1rppk1/6pp/P1RP1bP1/5N1P/1P2RP2/6K1 w - -,g1g2
r1bqr1k1/pp1nbppp/2pp1n2/4p3/3PP3/5NP1/PPPN1PBP/R1BQR1K1 b - -,e7f8
8/2k2pp1/4p2p/2Pp4/1n3PP1/2n2N1P/8/5BK1 b - -,b4c6
