2r4r/8/5Q2/8/1P1K4/5k2/P7/8 b - -,f3e2
r1bq1rk1/pp4b1/n2p1ppn/2pPp2p/2P1P2B/2N2P2/PP2B1PP/R2QKN1R b KQ -,h6f7
r4rk1/p3pp2/1p4pp/n1BPP3/5P1b/8/q3BP1P/1R1Q1RK1 w - -,c5b4
6k1/1N3p2/2p3rp/p4np1/PpB3n1/8/1P1r1PP1/2R1R1K1 w - -,e1e2
1r1qbbk1/1p1Nnr1p/p2p2p1/3Pp3/1Q2P3/4B1N1/PPRKBPP1/7R b - -,d8d7
r3qrk1/1pp2pbp/n2p2p1/p2Pp2n/2P1P3/P1N1B3/1P1NQPPP/R3R1K1 b - -,f7f5
r4r2/pp3kn1/2p1bp2/3p4/3P1R2/P3P1NP/1P4BK/R7 b - -,f8h8
rn1q1rk1/1p2npbp/p2p2p1/2pP4/P3PPb1/2N2N2/1P2B1PP/R1BQ1RK1 b - -,b8d7
5k2/1R3pp1/1p2r3/p6p/P6P/1P4P1/4PP2/6K1 w - h6,e2e3
1r4k1/r4p1p/2q1p1p1/8/P1RP1b2/5N1P/5PP1/R5K1 w - -,c4c6
6k1/5pbp/6p1/4q3/1BQ1p3/2P1N1P1/3N1PKP/r7 b - -,h7h5
6n1/5pkp/1pB1p1p1/1Pr1q3/3p1Q2/3P2P1/5P1P/R5K1 w - -,f4e5
r2r2k1/1bq2pbp/p2pp1n1/P1p3P1/4P1P1/2N2BB1/1PPQ3P/R4RK1 b - -,b7c6
r2rn1k1/p1q1bppp/4p3/2p5/8/2NP1QP1/1PP2PKP/R1B2R2 w - -,c1d2
r2q1rk1/p4ppp/bp1ppn2/n1p1P3/2PP1P2/P1PB4/4N1PP/R1BQ1RK1 b - -,f6e8
4r1k1/pp1nrppp/2pq4/3pN3/3P4/2P2PQ1/PP4PP/R3R1K1 w - -,e5d3
1r3rk1/4b1pp/p5b1/p1pP1p2/1PPq1B2/1Q6/4B1PP/2R2R1K w - -,b4b5
r1bq1rk1/pp1nppbp/5np1/2p1P3/3P4/1QN2N2/PP2BPPP/R1B1K2R b KQ -,f6g4
r5k1/pp3p1p/1qr2bp1/2n5/2Bp1PP1/8/PPP3QP/1KBR2R1 b - -,a8c8
r4rk1/pb1nq1pp/1pp1pn2/3p1p2/2PP1N2/1P4P1/P2NPPBP/R2Q1RK1 w - -,e2e3
3rr1k1/pp2qpbp/2ppb1p1/4n3/4PB2/P1N4P/1PPQBPP1/1R2R1K1 w - -,f4g5
8/4r2k/1p2K2p/p1b5/P7/1P1R4/6R1/8 w - -,e6f6
6k1/2q1n1bp/1p4p1/3pN1P1/b2P1Q2/P2B4/3N2KP/8 b - -,a4e8
r2q1rk1/pb1nppbp/3p1np1/2pP4/2B1P3/2N2N1P/PPQ2PP1/R1B2RK1 w - -,f1e1
8/1p2pk2/p2p4/P2P1P2/1P2R3/r5p1/6K1/4bB2 b - -,a3a2
r1b2rk1/1ppnq1bp/3p2p1/P2P4/2P1Bp2/1NN4P/PBQ2P2/R3K2R b KQ -,d7e5
8/6k1/5p1p/1p5P/1Pb1PPB1/3p4/r2B3b/1R2K3 w - -,g4f3
3rk1r1/p4pbp/1pb1p2p/8/1PPp4/PR1K2P1/3NBP1P/4R3 w - -,e2f3
r5k1/p3ppbp/q2p1np1/1p1Pn3/b2NPP2/2P1B1PP/P7/R1Q1RBK1 b - -,e5c4
rnbq1rk1/1p2b1pp/2p1pn2/p2p1p2/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - a6,a1c1
6k1/pp2pr1p/1q1p2p1/1P6/2r1P3/2P4P/5PP1/R3QRK1 b - -,b6c5
2r2k2/5p2/5b2/pPP2p1p/2Bp1P2/P6P/2K5/4R3 w - -,c5c6
2b2r2/1p4p1/p3k2p/3p4/8/1P1B1P2/P1R3PP/2K5 w - -,c2c7
r1b1k2r/2p1nppp/1bpp4/p7/P3P3/1N3P2/1PPB1P1P/R3KB1R w KQkq a6,d2e3
rnb1k2r/2p2p1p/1p1pp3/p7/2PP1N2/2PB4/P4PPP/R3K2R b KQ -,c8b7
1k1r3r/pp2q1pp/2p1bp2/3p4/Q2Pn3/3BPN1P/PPR2PP1/1KR5 b - -,d8c8
r1bqk2r/pp1nbppp/3p1n2/1BpPp3/P3P3/2N2N2/1PP2PPP/R1BQK2R b KQkq -,a7a6
8/6b1/ppk2p1p/3b4/6R1/2P2pP1/PPK2P1P/4r3 b - -,d5e4
8/p4k1p/1pb2np1/2pp1P2/8/P1PB2N1/3B3P/6K1 b - -,f6d7
4rrk1/bp3qpp/p1p2n2/3p1P2/4PP2/1P6/PBQ3BP/4R1RK w - -,b2f6
r1b2rk1/ppqnppbp/3p1np1/2p5/3PP3/2P2N2/PP1NBPPP/R1BQR1K1 b - -,b7b6:a7a6
2r1n1k1/3bpp1p/nN1p2p1/pN1P4/P3P3/1P3P2/1b2B1PP/5R1K w - -,b6c8
r1r3k1/1n3qpp/pB1p4/1p1P1b2/5p1P/Q3p1P1/PPP2P2/2KR1B1R w - -,c2c3
8/3kb3/3n4/R7/P1p2P2/r7/2KR4/8 b - -,d7c6
2rqr1k1/1b1nppbp/pp1p1np1/6B1/2P4Q/1PN2NP1/P3PPBP/2RR2K1 b - -,c8c5
1kb5/pp4q1/2p1p1p1/3rNp2/1P1P1P2/P3Q1P1/5PK1/7R w - -,a3a4
5nkr/p2q3r/1n1p4/1QpPp1p1/P1P1PpPb/5P2/1N1BN1KR/7R b - -,d7e7
8/8/6K1/3n3p/4N1kP/P7/8/8 b - -,d5f4
8/5q1k/p5p1/8/2PQ2PP/1K6/1P6/8 b - g3,f7b7
r3r1k1/p1q2pbp/bnpp1np1/4p3/3PP3/2P2NN1/P1BB1PPP/1R1QR1K1 b - -,b6c4
5r2/2p3kr/1n1p2p1/pPpPpp2/P3P2p/1P2KB1P/5PP1/R6R w - -,h1c1
r1bqk2r/pp1nbppp/4p3/3pP3/1P6/P2B1N2/4QPPP/R1B2RK1 w kq -,f3d4
r1b1qrk1/pp1np1bp/2pp1np1/5p2/2PP4/1PN2NP1/PBQ1PPBP/R4RK1 b - -,a8b8:e7e5
r4r1k/pp1b2bp/2pP1n2/2N1ppBn/1Pq5/6PP/P2QN1BK/2R2R2 b - -,c4g8
8/6kp/1p4p1/1P2q3/7P/6P1/3Q3K/8 w - -,d2d7
2r2rk1/pp3ppp/2n1bq2/3p4/3P1b2/P1N2N2/1P2BPPP/2RQR1K1 w - -,c1c2
8/4k3/6p1/2PPKp1p/1N5P/6P1/4n3/8 w - -,d5d6
b7/5r2/1B4kp/P5p1/4N3/r4P2/1R1N3K/8 b - -,a8d5
8/p6p/1p3k2/3p1p2/P2PnK1P/1P6/8/3BB3 b - -,a7a5
3q2k1/2r2pp1/4pb1p/8/b2pB2P/P2P2P1/1P1N1PK1/3Q4 w - -,d1a4
r1bqkb1r/pp1n2pp/4p1n1/3pPp2/2pP3P/2P2N2/PPBN1PP1/R1BQK2R b KQkq h3,f8e7
r1bqr1k1/pp1n1ppp/2pb1n2/3p4/4P3/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,e4d5
8/8/Q2bk1p1/8/1P5q/2P1p3/6B1/7K w - -,h1g1
2r5/2q2pkp/p4np1/Pp6/5P2/6PP/2P1R1QK/R7 b - -,c7c3
br4k1/6pp/p2b1r2/P1Np1q2/8/4B3/1P1Q1PPP/2R2RK1 w - -,e3d4
r2q2r1/1ppkn3/1p1pp2p/4p2Q/1P2P2P/P2P2P1/2PN2P1/R3K2R w KQ -,h1h3
8/7R/8/2rpk3/4p1b1/6P1/5PB1/6K1 w - -,h7e7
rn1qkb1r/pp3pp1/2p1pnp1/3p4/3P1BP1/7P/PPP1PPB1/RN1Q1RK1 b kq -,f8d6
R7/4kp2/p1p1b1p1/PpP3P1/1b1KP3/5Pp1/8/5B2 w - -,a8a6
r4rk1/1ppqppbp/1nnp2p1/p3Pb2/P2P4/1BN2N1P/1PP1QPP1/R1B2RK1 w - -,f1d1
4r1k1/2q4p/2p3p1/p1Bp1p2/3Q4/2P1bP1P/PP4P1/4R2K b - -,e3d4
1r3rk1/1b1p1ppp/p3pn2/q3n3/4P3/P1NB1PN1/1PP2QPP/3R1RK1 b - -,b7c6
r5k1/pp1r1p2/2n3p1/3pP1N1/1qp2PPQ/8/P1PP4/R4R1K w - -,h4h7
5kn1/p1r2p2/Pp5p/8/1K3R2/1B4P1/1P4P1/8 b - -,f8g7
3q1rk1/p2r2bp/3p2p1/4Pp1n/3P1P2/4BQ1P/P6K/R2N1R2 b - -,d6e5
8/5k2/8/1p1Pp1P1/1Pp4B/2P2P2/6PK/8 b - -,f7e7
2r3k1/5p2/4p1bp/1pP5/8/P1N4P/PK1R1P2/8 w - -,c3b5
rnbqk2r/pp2bppp/3ppn2/8/3NPP2/2N2Q2/PPP3PP/R1B1KB1R b KQkq -,a7a6
3r2k1/1b1n1p1p/4p1p1/2q5/4P3/1p1B1P2/3Q2PP/1R2NK2 w - -,b1b3
2r3k1/1pqr1pbp/p5p1/1n1P4/R3Q3/P1N1B3/1P3PPP/2R3K1 b - -,b5c3
r4rk1/p1pnqpbp/2pp2p1/4p3/2PP4/2N1B1PP/PP1QPP2/R4RK1 w - -,d4e5
rn1qkb1r/pbp2ppp/1p2p3/8/3PP3/2P2P2/P5PP/R1BQKBNR w KQkq -,f1b5
1r2qrk1/pppb1pp1/3b2np/3N4/3N1P2/1Q2P3/PP2B1PP/R4RK1 w - -,e2d3
4r1k1/3n2b1/p1Np2Pp/P2P4/4R2n/8/1PP3B1/2B3K1 b - -,e8e4
2k1r3/1b6/p2B1p2/2p2npp/R1Pp4/7P/1P1N1PP1/1N4K1 b - -,f5d6
